,https://roic.ai/company/PINS,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1506293/000150629320000013/0001506293-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1506293/000150629321000025/0001506293-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1506293/000150629322000016/0001506293-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-130044000,-62974000,-1361371000,-128323000,316438000
74,Depreciation and Amortization,16135000,20859000,27791000,36988000,27500000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,28804000,14859000,1377781000,321020000,415382000
77,Change in Working Capital,-18461000,1400168000,261633000,477418000,-61320000
78,Accounts Receivable,-47833000,-86094000,-94224000,-253173000,-88862000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,11969000,6533000,11636000,15721000,-33451000
81,Other Working Capital,490909000,1891077000,2152710000,2630128000,- -
82,Other Non-Cash Items,653000,-1433281000,-305177000,-678277000,54907000
83,Cash Provided by Operating Activities,-102913000,-60369000,657000,28826000,752907000
84,CAPEX,-41192000,-22194000,-33783000,-17401000,-9031000
85,Acquisitions Net,- -,- -,- -,- -,-36914000
86,Purchases of Investments,-515165000,-518711000,-1075875000,-1216260000,-1104087000
87,Sales/Maturities of Investments,498112000,655468000,523157000,1185722000,1124174000
88,Other Investing Activites,995000,-500000,- -,316000,- -
89,Cash Used for Investing Activites,-57250000,114063000,-586501000,-47623000,-25858000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,1573200000,- -,- -
92,Common Stock Repurchased,- -,- -,-475015000,-56894000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,150264000,-2216000,30013000,76532000,22162000
95,Cash Used/Provided by Financing Activities,150264000,-2216000,1128198000,19638000,22162000
96,Effect of Forex Changes on Cash,145000,-157000,99000,327000,-1058000
97,Net Change In Cash,-9754000,51321000,542453000,1168000,748153000
98,Cash at the End of Period,83969000,135290000,677743000,678911000,1427064000
99,Cash at the Beginning of Period,93723000,83969000,135290000,677743000,678911000
100,Free Cash Flow,-144105000,-82563000,-33126000,11425000,743876000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1506293/000150629320000013/0001506293-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1506293/000150629321000025/0001506293-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1506293/000150629322000016/0001506293-22-000016-index.htm
102,false,,,,,
