,https://roic.ai/company/WKHS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,17091,65788,583406,784608,1936648,2438540,4464578,3267235,18424863,4334390,7157355,18915137,47044031,17597065,27550064
54,Long-Term Debt,- -,- -,- -,25253,69550,362186,2292890,2494141,- -,2088429,6472381,8312079,19400000,197700000,25896053
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21833930,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19142908,207040,- -
58,Total Non-Current Liabilities,- -,- -,- -,25253,69550,362186,2292890,2494141,- -,2088429,6472381,8312079,38542908,219740970,25896053
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1554767
61,Total Liabilities,17091,65788,583406,809861,2006198,2800726,6757468,5761376,18424863,6422819,13629736,27227216,85586939,237338035,53446117
62,Preferred Stock,3100,3300,8,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1270,27713,38735,55955,82712,149937,18205,27579,41529,58271,67105,121923,151916
64,Retained Earnings,-1800,-26276,-3364952,-8393058,-17098769,-21371258,-27481812,-34090492,-43517345,-63073213,-105312444,-141557496,-178806530,-109030031,-510374844
65,Other Comprehensive Income/Loss,- -,- -,-114111,-147955,-203886,-255178,-574827,-962833,-1334059,-1545598,-2095571,-2407477,-2649304,- -,-1402500
66,Other Total Stockholders Equity,3100,6866,2974073,8232800,15707616,18990448,26067456,34094001,41050064,68408206,109855607,128484259,146475619,504112442,686318201
67,Total Stockholders Equity,1300,-19410,-503712,-280500,-1556304,-2580033,-1906471,-809387,-3783135,3816974,2489121,-15422443,-34913110,395204334,174692773
68,Total Liabilities And Stockholders Equity,18391,46378,79694,529361,449894,220693,4850997,4951989,14641728,10239793,16118857,11804773,50673829,632542369,228138890
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18391,46378,79694,529361,449894,220693,4850997,4951989,14641728,10239793,16118857,11804773,50673829,632542369,228138890
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1425287/000116552709000207/0001165527-09-000207-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000101376210000713/0001013762-10-000713-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1425287/000101376213000511/0001013762-13-000511-index.htm,https://www.sec.gov/Archives/edgar/data/1425287/000101376214000406/0001013762-14-000406-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1425287/000101376216001424/0001013762-16-001424-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390017002275/0001213900-17-002275-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390018002957/0001213900-18-002957-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390019004319/0001213900-19-004319-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000162828020003532/0001628280-20-003532-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000162828021003538/0001628280-21-003538-index.htm,https://www.sec.gov/Archives/edgar/data/1425287/000142528722000031/0001425287-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1800,-24476,-1524923,-5028106,-8705711,-4272489,-6110554,-6608680,-9426853,-19555868,-42239231,-36502316,-37162827,69776499,-401344813
74,Depreciation and Amortization,- -,- -,34864,40733,58037,63629,319649,388006,371226,381823,549973,348339,388401,809645,1908419
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21833930,-21833930
76,Stock Based Compensation,- -,- -,7983,1436979,2002891,338853,1392370,414597,402518,799552,1433192,1059582,1979998,4020805,4943380
77,Change in Working Capital,17091,-5419,-550308,238300,-1337513,-675763,-1676148,1663237,-5161889,7101772,3571207,-15699390,-2978455,288420056,-53417431
78,Accounts Receivable,- -,- -,- -,-58042,53023,5019,- -,- -,- -,-1047594,-223133,1024366,- -,-961966,982388
79,Inventory,- -,- -,- -,- -,-122000,80998,48252,- -,- -,-2464835,-1771671,-399774,41022,-13668866,-69606432
80,Accounts Payable,17091,43197,155672,276153,915945,524413,293160,460794,907308,2449556,3777320,2344963,-3502682,5499464,- -
81,Other Working Capital,-13991,-19410,-569718,-331418,-1668931,-2344694,-4020842,-2357605,-7519494,-417722,3153485,-12545905,-15524360,272895696,-816084
82,Other Non-Cash Items,- -,2310,789345,60580,2103403,2344489,3342055,-323748,5594766,-7761442,-1977682,29039652,901206,-455139884,337167272
83,Cash Provided by Operating Activities,15291,-27585,-1243039,-3251514,-5878893,-2201281,-2732628,-4466588,-8220232,-19034163,-38662541,-21754133,-36871677,-70278949,-132577103
84,CAPEX,- -,- -,-25482,-41914,-156750,-28753,-63,-23104,-65226,-528095,-143355,-23222,-2005498,-5728130,-5314198
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-2750000,- -,- -,- -,- -,- -,3655000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105126747
88,Other Investing Activites,- -,- -,8649,-26014,-156750,-22753,-63,-23104,-65226,-528095,-143355,-18422,-2000498,-5728130,-5314198
89,Cash Used for Investing Activites,- -,- -,8649,-26014,-156750,-22753,-2750063,-23104,-65226,-528095,-143355,-18422,1654502,-5728130,99812549
90,Debt Repayment,- -,- -,- -,-154518,-6178,-10885,-211826,-326070,-5045,-2724550,-76572,-15641378,-15854140,-25000000,- -
91,Common Stock Issued,- -,53100,1068500,3717339,5427016,- -,4285418,4293000,3171604,- -,37042468,16418662,5928235,- -,- -
92,Common Stock Repurchased,-15291,-30943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491860,- -
94,Other Financing Activites,- -,5500,107587,100000,319000,2185250,1376300,958000,12353804,15079215,5439907,18438544,68498746,315875870,-6817119
95,Cash Used/Provided by Financing Activities,-15291,27657,1176087,3662821,5739838,2174365,5449892,4924930,15520363,12354665,42405803,19215828,58572841,292367730,-6817119
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-295805,-49669,-32800,435238,7234906,-7207593,3599907,-2556727,23355666,216360651,-39581673
98,Cash at the End of Period,- -,72,- -,385293,89488,39819,7019,442257,7677163,469570,4069477,1512750,24868416,241229067,201647394
99,Cash at the Beginning of Period,- -,- -,58303,- -,385293,89488,39819,7019,442257,7677163,469570,4069477,1512750,24868416,241229067
100,Free Cash Flow,15291,-27585,-1268521,-3293428,-6035643,-2230034,-2732691,-4489692,-8285458,-19562258,-38805896,-21777355,-38877175,-76007079,-137891301
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1425287/000116552709000207/0001165527-09-000207-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000101376210000713/0001013762-10-000713-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1425287/000101376213000511/0001013762-13-000511-index.htm,https://www.sec.gov/Archives/edgar/data/1425287/000101376214000406/0001013762-14-000406-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1425287/000101376216001424/0001013762-16-001424-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390017002275/0001213900-17-002275-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390018002957/0001213900-18-002957-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390019004319/0001213900-19-004319-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000162828020003532/0001628280-20-003532-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000162828021003538/0001628280-21-003538-index.htm,https://www.sec.gov/Archives/edgar/data/1425287/000142528722000031/0001425287-22-000031-index.htm
102,false,,,,,,,,,,,,,,,
