,https://roic.ai/company/CMT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015299002450/0000950152-99-002450-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015200002370/0000950152-00-002370-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015203003766/0000950152-03-003766-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015204002501/0000950152-04-002501-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015205002750/0000950152-05-002750-index.html,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015207002706/0000950152-07-002706-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095015208002431/0000950152-08-002431-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095015209003421/0000950152-09-003421-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095012310032860/0000950123-10-032860-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095012311030227/0000950123-11-030227-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665512000006/0001026655-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665513000011/0001026655-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665514000009/0001026655-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665515000005/0001026655-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665516000044/0001026655-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665517000005/0001026655-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665518000007/0001026655-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665519000012/0001026655-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665520000013/0001026655-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665521000003/0001026655-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665522000015/0001026655-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,3100000,1128868,2712412,3194000,8976059,346191,5358246,9413994,16096223,- -,- -,4141838,5656865,4634000,7838000,2266000,2312000,8943000,28285000,26780000,1891000,1856000,4131000,6146000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,3100000,1128868,2712412,3194000,8976059,346191,5358246,9413994,16096223,- -,- -,4141838,5656865,4634000,7838000,2266000,2312000,8943000,28285000,26780000,1891000,1856000,4131000,6146000
34,Net Receivables,14300000,17700000,19714554,13221320,11946000,11281060,12830356,19130835,23036311,24920559,13429269,16019333,13150666,15747177,22958000,17162000,23720000,38093000,37836000,19779000,20456000,51172000,35939000,30164000,36536000
35,Inventory,3300000,4200000,5442577,3644118,3901000,4433612,4851945,6544496,7295021,7392976,8344410,9732223,7013362,8408530,11408000,9965000,10827000,11635000,13697000,10912000,13459000,25765000,21682000,18360000,25129000
36,Other Current Assets,4000000,3900000,1254041,3655680,2785000,3370058,3537100,4165213,3156504,2259701,2258110,2745292,2216924,2264969,2797000,2761000,2437000,2583000,2208000,2293000,3305000,1474000,1748000,3823000,7331000
37,Total Current Assets,21700000,28900000,27540040,23233530,21826000,28060789,21565592,35198790,42901830,50669459,24031789,28496848,26522790,32077541,41797000,37726000,39250000,54623000,62684000,61269000,64000000,80302000,61225000,56478000,75142000
38,PP&E,24700000,24100000,26205932,26053054,25361000,24031260,23208932,22729688,23670357,30537991,30215665,38815451,44943244,43342931,49344000,51558000,56478000,61995000,74103000,70601000,68631000,80657000,83690000,76806000,81474000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1097433,1097433,1097433,1097433,1097433,1097433,1097000,1097000,1097000,1097000,2403000,2403000,2403000,21476000,17376000,17376000,17376000
40,Intangible Assets,- -,- -,- -,- -,1097000,1097433,1097433,1332644,189860,138814,87629,- -,- -,- -,- -,- -,56478000,- -,613000,563000,513000,15413000,13464000,11516000,9567000
41,Intangible Assets,- -,- -,- -,- -,1097000,1097433,1097433,1332644,1287293,1236247,1185062,1097433,1097433,1097433,1097000,1097000,1097000,1097000,3016000,2966000,2916000,36889000,30840000,28892000,26943000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,11692000,10746223,9888287,9361558,6164317,6916348,6173514,5318623,5535735,2519567,1045000,1466000,296000,- -,- -,- -,- -,1153000,2026000,929000,521000
44,Other Non-Current Assets,11100000,12400000,14236511,13498477,1329000,448008,391279,337782,197605,145668,89168,102737,42028,24793,15000,2000,- -,- -,- -,- -,2076000,2197000,1525000,2403000,2040000
45,Total Non-Current Assets,35800000,36500000,40442443,39551531,39479000,36322924,34585931,33761672,31319572,38836254,37663409,45334244,51618440,46984724,51501000,54123000,57871000,63092000,77119000,73567000,73623000,120896000,118081000,109030000,110978000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,57500000,65400000,67982483,62785061,61305000,64383713,56151523,68960462,74221402,89505713,61695198,73831092,78141230,79062265,93298000,91849000,97121000,117715000,139803000,134836000,137623000,201198000,179306000,165508000,186120000
48,Accounts Payable,8100000,7400000,11067668,5266017,3757000,5114655,6581912,14055397,10224296,10735295,8537895,6866388,4805468,6487983,9813000,6871000,9625000,9256000,13481000,8534000,13850000,25450000,19910000,16994000,22695000
49,Short-Term Debt,4000000,300000,305000,330000,355000,2251000,1905714,1735714,1775716,1886089,4117579,4099681,4342005,4151420,4104000,3734000,3314000,4482000,3714000,3000000,3000000,3230000,49451000,2955000,3943000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,260000,199000,256000,203000,1038000,861000,- -,- -,2613000,2232000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,334000,8068000,2271000,1084000,- -,1686000,3698000,1319000,- -
52,Other Current Liabilities,5000000,5400000,4170908,4096359,5928000,4785399,4533750,5877923,8051089,10473194,5123020,6900104,3788354,6521782,10897000,8479000,8108000,9573000,11684000,8680000,6781000,9825000,10775000,14727000,26414000
53,Total Current Liabilities,17100000,13100000,15543576,9692376,10040000,12151054,13021376,21669034,20051101,23094578,17778494,17866173,12935827,17161185,24814000,19087000,21381000,31379000,31150000,21298000,23631000,40191000,83834000,35995000,53052000
54,Long-Term Debt,18800000,27000000,26700150,26370150,26015000,23764150,12999286,11370711,9594995,7779279,5913563,11129184,17732842,13581425,9477000,5743000,2429000,714000,9750000,6750000,3750000,55159000,- -,25198000,21251000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1365000,2252000,2373000,395000,- -,- -,- -,- -
57,Other Non-Current Liabilities,5500000,6400000,6815761,7084188,7714000,9194346,9276783,9643831,10434539,15937456,16176457,15860278,18275505,10254916,8911000,9021000,5863000,8111000,7918000,7649000,7954000,6919000,11046000,10383000,11722000
58,Total Non-Current Liabilities,24300000,33400000,33515911,33454338,33729000,32958496,22276069,21014542,20029534,23716735,22090020,26989462,36008347,23836341,18388000,14764000,8292000,10190000,19920000,16772000,12099000,62078000,11046000,35581000,32973000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3119000,- -,- -
61,Total Liabilities,41400000,46500000,49059487,43146714,43769000,45109550,35297445,42683576,40080635,46811313,39868514,44855635,48944174,40997526,43202000,33851000,29673000,41569000,51070000,38070000,35730000,102269000,94880000,71576000,86025000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,97787,97787,98000,97787,97787,97787,100401,102046,67279,67658,67996,68803,70000,71000,73000,76000,76000,76000,77000,78000,79000,80000,82000
64,Retained Earnings,-100000,-500000,-426183,289168,-1571000,435450,1907593,7042243,13328299,23738946,27533872,33177358,34195063,37245954,47772000,55962000,62828000,72462000,84512000,91923000,96434000,91929000,76706000,84871000,89542000
65,Other Comprehensive Income/Loss,-10300000,-11800000,-13461300,-15509218,-17398000,-510466,-402694,-314536,-58891,-3019315,-2209540,-1092977,-2223146,3213197,3877000,3187000,4872000,2830000,2645000,2414000,2070000,2117000,1370000,1375000,1075000
66,Other Total Stockholders Equity,26500000,31200000,32712692,34760610,36407000,19251392,19251392,19451392,20770958,21872723,-3564927,-3176582,-2842857,-2463215,-1623000,-1222000,-325000,778000,1500000,2353000,3312000,4805000,6271000,7606000,9396000
67,Total Stockholders Equity,16100000,18900000,18922996,19638347,17536000,19274163,20854078,26276886,34140767,42694400,21826684,28975457,29197056,38064739,50096000,57998000,67448000,76146000,88733000,96766000,101893000,98929000,84426000,93932000,100095000
68,Total Liabilities And Stockholders Equity,57500000,65400000,67982483,62785061,61305000,64383713,56151523,68960462,74221402,89505713,61695198,73831092,78141230,79062265,93298000,91849000,97121000,117715000,139803000,134836000,137623000,201198000,179306000,165508000,186120000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,57500000,65400000,67982483,62785061,61305000,64383713,56151523,68960462,74221402,89505713,61695198,73831092,78141230,79062265,93298000,91849000,97121000,117715000,139803000,134836000,137623000,201198000,179306000,165508000,186120000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015299002450/0000950152-99-002450-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015200002370/0000950152-00-002370-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015203003766/0000950152-03-003766-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015204002501/0000950152-04-002501-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015205002750/0000950152-05-002750-index.html,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015207002706/0000950152-07-002706-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095015208002431/0000950152-08-002431-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095015209003421/0000950152-09-003421-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095012310032860/0000950123-10-032860-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095012311030227/0000950123-11-030227-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665512000006/0001026655-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665513000011/0001026655-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665514000009/0001026655-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665515000005/0001026655-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665516000044/0001026655-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665517000005/0001026655-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665518000007/0001026655-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665519000012/0001026655-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665520000013/0001026655-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665521000003/0001026655-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665522000015/0001026655-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2700000,3700000,71338,715351,-1860000,2006423,1665259,5134650,6286056,10410647,3726473,5643486,1017705,2433072,10526000,8190000,6866000,9634000,12050000,7411000,5459000,-4782000,-15223000,8165000,4671000
74,Depreciation and Amortization,2000000,1500000,1445840,1667666,1596000,1635037,1708571,1648548,1802148,2067463,3409867,3544676,3855603,3949378,3942000,4523000,4878000,5023000,6041000,6283000,6240000,9384000,10376000,11662000,11616000
75,Deferred Income Tax,1500000,1600000,68714,284581,28000,1013538,571640,-30901,2755124,1644804,127332,-9695,1125555,1224758,570000,-782000,279000,2521000,1229000,426000,-597000,-1739000,-873000,1097000,-475000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287502,334063,351703,382000,410000,413000,744000,785000,1003000,1331000,1743000,1564000,1355000,1886000
77,Change in Working Capital,-700000,11200000,-3803536,1544690,-1755154,4123735,-7365519,4985540,9320973,4724152,-21321586,4377380,2956288,1329393,2066644,1656000,-770000,5375000,8290000,8437000,398000,-258000,-62720000,43092000,1607000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2965601,3498768,-2809803,-7302000,7425000,-7446000,-12292000,-911000,17335000,-295000,-17945000,13044000,4840000,-8952000
79,Inventory,- -,-900000,-1219296,1798459,135000,-531617,-726333,-1548401,-81663,-97955,-951434,-1387813,2718861,-1395167,-2999000,1444000,-862000,-808000,-1387000,2785000,-2547000,-5783000,4083000,3322000,-6769000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1675948,-1745662,1769585,2159000,-2099000,2259000,-275000,2095000,-4689000,5347000,7822000,-4849000,-3142000,5346000
81,Other Working Capital,4600000,15800000,11996464,13541154,11786000,15909735,8544216,13529756,22850729,27574881,6253295,10630675,13586963,14916356,16983000,18639000,17869000,23244000,31534000,39971000,40369000,40111000,-22609000,20483000,22090000
82,Other Non-Cash Items,200000,-15900000,3863897,-644576,5350154,-2790409,7264241,-3264735,-11601717,-1937894,26005794,-6686336,-1054938,-1921373,-6011644,801000,-4749000,-12470000,-9780000,2509000,-5919000,-10876000,83577000,-37207000,-6759000
83,Cash Provided by Operating Activities,5700000,2100000,1646253,3567712,3359000,5988324,3844192,8473102,8562584,16909172,11947880,7157013,8234276,7366931,11475000,14798000,6917000,10827000,18615000,26069000,6912000,-6528000,16701000,28164000,12546000
84,CAPEX,-10300000,-7000000,-7384864,-1977722,-1301000,-680873,-1368701,-1319758,-3044643,-9226312,-2742675,-12097474,-10065099,-2227748,-8806000,-8258000,-9332000,-10679000,-5683000,-2863000,-4259000,-5801000,-7460000,-3683000,-11569000
85,Acquisitions Net,- -,- -,- -,- -,-1953000,- -,- -,-544150,-688077,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14512000,- -,- -,-63005000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,100000,600000,659682,298554,686000,829452,4791,1434,88239,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,11900000,6900000,3375712,- -,21000,- -,- -,- -,65000,10563,3116,- -,18000,22100,- -,777000,92000,- -,- -,- -,- -,- -,- -,- -,154000
89,Cash Used for Investing Activites,1700000,500000,-3349470,-1679168,-2547000,148579,-1363910,-1862474,-3579481,-9215749,-2739559,-12097474,-10047099,-2205648,-8806000,-7481000,-9240000,-10679000,-20195000,-2863000,-4259000,-68806000,-7460000,-3683000,-11415000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57265262,-37294777,-3675002,-4151000,-51473000,-3734000,-71308000,-14566000,-3714000,-3000000,-126598000,-203157000,-107106000,- -
91,Common Stock Issued,100000,100000,- -,- -,- -,- -,- -,- -,808361,485017,358224,100130,- -,103316,378000,81000,410000,328000,19000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26215054,- -,- -,-74570,-241000,-253000,-334000,-278000,-287000,-134000,-372000,-250000,-98000,-20000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786000,-792000,- -,- -,- -
94,Other Financing Activites,-8000000,300000,-285000,-305000,-330000,-355000,-11110150,-1598573,-1735716,-1496211,552286,62105593,43249438,- -,322000,47532000,409000,71156000,23045000,-16000,- -,178085000,193979000,84920000,884000
95,Cash Used/Provided by Financing Activities,-7900000,400000,-285000,-305000,-330000,-355000,-11110150,-1598573,-927355,-1011194,-25304544,4940461,5954661,-3646256,-3692000,-4113000,-3249000,-102000,8211000,-3864000,-4158000,50445000,-9276000,-22206000,884000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1988217,1583544,482000,5781903,-8629868,5012055,4055748,6682229,- -,- -,- -,1515027,-1023000,3204000,-5572000,46000,6631000,19342000,-1505000,-24889000,-35000,2275000,2015000
98,Cash at the End of Period,- -,- -,1128868,2712412,3194000,8976059,346191,5358246,9413994,16096223,- -,- -,4141838,5656865,4634000,7838000,2266000,2312000,8943000,28285000,26780000,1891000,1856000,4131000,6146000
99,Cash at the Beginning of Period,600000,100000,3117085,1128868,2712000,3194156,8976059,346191,5358246,9413994,16096223,- -,- -,4141838,5657000,4634000,7838000,2266000,2312000,8943000,28285000,26780000,1891000,1856000,4131000
100,Free Cash Flow,-4600000,-4900000,-5738611,1589990,2058000,5307451,2475491,7153344,5517941,7682860,9205205,-4940461,-1830823,5139183,2669000,6540000,-2415000,148000,12932000,23206000,2653000,-12329000,9241000,24481000,977000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015299002450/0000950152-99-002450-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015200002370/0000950152-00-002370-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015203003766/0000950152-03-003766-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015204002501/0000950152-04-002501-index.html,https://www.sec.gov/Archives/edgar/data/1026655/000095015205002750/0000950152-05-002750-index.html,- -,https://www.sec.gov/Archives/edgar/data/1026655/000095015207002706/0000950152-07-002706-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095015208002431/0000950152-08-002431-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095015209003421/0000950152-09-003421-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095012310032860/0000950123-10-032860-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000095012311030227/0000950123-11-030227-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665512000006/0001026655-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665513000011/0001026655-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665514000009/0001026655-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665515000005/0001026655-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665516000044/0001026655-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665517000005/0001026655-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665518000007/0001026655-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665519000012/0001026655-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665520000013/0001026655-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665521000003/0001026655-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1026655/000102665522000015/0001026655-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
