,https://roic.ai/company/BATL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,Infinity,-0.1002,Infinity,Infinity,0.0742,-0.0153,-0.7558,-0.6705,0.0215,-0.0137,-0.2173,-1.2233,0.2752,-3.4939,-1.1119,1.4173,0.2028,-4.6783,-1.5490,-0.0993
25,EPS,764.93,-0.06,0.01,0.02,0.21,-0.03,-1.95,-0.75,0.03,-0.02,-0.91,-3.25,0.68,-18.66,-5.12,3.67,0.29,-8.53,-14.18,-1.74
26,EPS Diluted,764.93,-0.06,0.01,0.02,0.20,-0.03,-1.95,-0.75,0.03,-0.02,-0.91,-3.25,0.59,-18.66,-5.12,3.65,0.29,-8.53,-14.18,-1.74
27,Weighted Average Shares Outstanding,2727,31790743,5739057,7700000,24347607,41240021,70629452,77601057,78426179,78782568,156494000,379621000,415772000,107531000,91228000,132763000,157011000,123238000,16204000,16261000
28,Weighted Average Shares Outstanding Diluted,2727,31790743,5739057,7700000,25658711,41240021,70629452,77601057,78426179,78782568,156494000,379621000,542394000,107531000,91228000,133576000,157295000,123238000,16204000,16261000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282648/000119312509247515/0001193125-09-247515-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1282648/000119312512096917/0001193125-12-096917-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746913001872/0001047469-13-001872-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746914001420/0001047469-14-001420-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746915001657/0001047469-15-001657-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746916012518/0001047469-16-012518-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746917001083/0001047469-17-001083-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746918001171/0001047469-18-001171-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746919001144/0001047469-19-001144-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837020003121/0001558370-20-003121-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837021002578/0001558370-21-002578-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837022002965/0001558370-22-002965-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,834094,290751,6721000,6873000,164000,129000,37000,49000,2506000,2834000,43713000,8026000,24000,424071000,46866000,5701000,4295000,46864000
32,Short-Term Investments,- -,- -,33351358,34256092,- -,- -,- -,- -,1340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,34185452,34546843,6721000,6873000,164000,129000,1377000,49000,2506000,2834000,43713000,8026000,24000,424071000,46866000,5701000,4295000,46864000
34,Net Receivables,- -,- -,91170,167172,7301000,18061000,13565000,14081000,10583000,10288000,270237000,324950000,632080000,522485000,153685000,43343000,94248000,54749000,40801000,36806000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,3900000,3382000,4310000,3116000,5148000,4693000,4635000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,22125,25314,1690000,6556000,46293000,5528000,5187000,5590000,11998000,5694000,22219000,21447000,6940000,4378000,3538000,10703000,2740000,4244000
37,Total Current Assets,- -,- -,34298747,34739329,15712000,31490000,60022000,23638000,20529000,20237000,287857000,338626000,702705000,556593000,160649000,471792000,144652000,71153000,47836000,87914000
38,PP&E,- -,- -,6558,8954,142805000,541623000,296500000,249298000,209910000,216519000,4459265000,4916372000,5379574000,2876044000,1157134000,1170137000,1924339000,512586000,292301000,3153000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227762000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227762000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11137000,4463000,4309000,209000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,31573000,31001000,24102000,- -,8474000,136826000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,540907,3208000,7129000,39323000,6653000,3561000,6944000,55004000,88556000,211061000,25846000,1887000,1691000,14618000,927000,6360000,299200000
45,Total Non-Current Assets,- -,- -,6558,549861,146013000,548752000,335823000,287524000,244472000,247565000,4753168000,5017865000,5731770000,2902099000,1159021000,1171828000,1938957000,513513000,298661000,302353000
46,Other Assets,62192000,45908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,62192000,45908000,34305305,35289190,161725000,580242000,395845000,311162000,265001000,267802000,5041025000,5356491000,6434475000,3458692000,1319670000,1643620000,2083609000,584666000,346497000,390267000
48,Accounts Payable,- -,- -,- -,- -,11741000,20323000,34570000,26446000,27015000,21454000,147679000,87661000,60512000,47261000,24364000,35688000,68959000,36038000,22740000,- -
49,Short-Term Debt,- -,- -,- -,- -,756000,29231000,160000,126000,127000,- -,74669000,22858000,29681000,20036000,14077000,2024000,6292000,10153000,9745000,738000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,699000,406000,130000,- -,- -,9172000,250000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8840000,24882000,21220000,7964000,422000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,52680,685564,5683000,16371000,28329000,11444000,5744000,4882000,446780000,528981000,633269000,219987000,168690000,112623000,86491000,60243000,50691000,120864000
53,Total Current Liabilities,- -,- -,52680,685564,18180000,65925000,63059000,38016000,32886000,26336000,677968000,664382000,744682000,295248000,207553000,150335000,161742000,106434000,83176000,121602000
54,Long-Term Debt,56267000,- -,- -,- -,131481000,306516000,250536000,246041000,196965000,202000000,2034498000,3183823000,3746736000,2873637000,964653000,409168000,613105000,144000000,158489000,181917000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,26677000,71051000,- -,- -,- -,- -,160055000,- -,- -,- -,- -,- -,95791000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,6448277,6881213,13282000,38052000,32529000,27631000,30983000,33518000,75284000,60676000,170888000,237393000,34776000,12119000,15927000,17582000,14874000,23043000
58,Total Non-Current Liabilities,56267000,- -,6448277,6881213,171440000,415619000,283065000,273672000,227948000,235518000,2269837000,3244499000,3917624000,3111030000,999429000,421287000,724823000,161582000,173363000,204960000
59,Other Liabilities,135301000,65561000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21469000,29681000,20036000,14077000,2024000,6292000,12400000,8025000,- -
61,Total Liabilities,79034000,65561000,6500957,7566777,189620000,481544000,346124000,311688000,260834000,261854000,2947805000,3908881000,4662306000,3406278000,1206982000,571622000,886565000,268016000,256539000,326562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695238000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,770,770,3000,6000,8000,8000,8000,3000,26000,41000,42000,12000,9000,15000,16000,2000,2000,- -
64,Retained Earnings,- -,- -,64525,415526,-26438000,-28988000,-167060000,-217324000,-214907000,-216310000,-274463000,-1506217000,-1223275000,-3230695000,-479984000,55702000,101661000,-10460000,-240167000,-268484000
65,Other Comprehensive Income/Loss,- -,- -,-1418,-4919,-48577000,-67529000,-396301000,-462541000,-489634000,-509126000,-596326000,-2197976000,-2967836000,-5956123000,-466956000,-574247000,-648339000,-19852000,- -,- -
66,Other Total Stockholders Equity,- -,- -,27740471,27311036,47117000,195209000,613074000,679331000,708700000,731381000,2268745000,5151762000,5963238000,9239220000,1059619000,1590528000,1743706000,346960000,330123000,332189000
67,Total Stockholders Equity,-16842000,-19653000,27804348,27722413,-27895000,98698000,49721000,-526000,4167000,5948000,2093220000,1447610000,1772169000,52414000,112688000,1071998000,1197044000,316650000,89958000,63705000
68,Total Liabilities And Stockholders Equity,62192000,45908000,34305305,35289190,161725000,580242000,395845000,311162000,265001000,267802000,5041025000,5356491000,6434475000,3458692000,1319670000,1643620000,2083609000,584666000,346497000,390267000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,62192000,45908000,34305305,35289190,161725000,580242000,395845000,311162000,265001000,267802000,5041025000,5356491000,6434475000,3458692000,1319670000,1643620000,2083609000,584666000,346497000,390267000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282648/000119312509247515/0001193125-09-247515-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1282648/000119312512096917/0001193125-12-096917-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746913001872/0001047469-13-001872-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746914001420/0001047469-14-001420-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746915001657/0001047469-15-001657-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746916012518/0001047469-16-012518-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746917001083/0001047469-17-001083-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746918001171/0001047469-18-001171-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746919001144/0001047469-19-001144-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837020003121/0001558370-20-003121-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837021002578/0001558370-21-002578-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837022002965/0001558370-22-002965-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,2086000,- -,64525,351001,5048000,-1250000,-138072000,-58383000,2417000,-1403000,-53885000,-1222662000,315956000,-1922621000,-467235000,535686000,45959000,-1051147000,-229707000,-28317000
74,Depreciation and Amortization,2947000,- -,1418,3501,14240000,19893000,47955000,31650000,27225000,21345000,- -,463655000,- -,- -,167454000,- -,- -,- -,62053000,45408000
75,Deferred Income Tax,- -,- -,- -,- -,1311000,-9165000,-97024000,-16865000,577000,6549000,-13060000,-159239000,- -,- -,- -,- -,95791000,-95791000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2179000,3110000,3584000,4573000,17112000,18733000,14529000,- -,36757000,15266000,-8035000,2578000,- -
77,Change in Working Capital,- -,- -,34246067,-192302,-36521765,-31967000,31398000,-11341000,2021000,6258000,-384012000,64355000,283779000,303322000,-308249000,368361000,-338547000,-18191000,-59000,1652000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-650000,3704000,295000,-93120000,-96216000,85767000,86411000,- -,103166000,378000,-6790000,13513000,-4647000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1194000,-504000,455000,-592000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-10641000,543000,-5219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,865000
81,Other Working Capital,- -,- -,34246067,34053765,-2468000,-34435000,-3037000,-14378000,-12357000,-6099000,-390111000,-325756000,-41977000,261345000,-46904000,321457000,-17090000,-35281000,-35340000,-33688000
82,Other Non-Cash Items,-5033000,- -,-34515287,-581885,45582765,39531000,230197000,85132000,2525000,-6498000,564558000,1330703000,49466000,2071769000,886514000,-826213000,248686000,1153585000,215332000,49829000
83,Cash Provided by Operating Activities,- -,- -,-203277,-419685,29660000,17042000,74454000,32372000,37875000,29835000,118174000,493924000,667934000,466999000,278484000,114591000,67155000,-19579000,50197000,68572000
84,CAPEX,- -,- -,-7976,-5897,-28957000,-41495000,-85998000,-30475000,-34400000,-25886000,-1255587000,-2519740000,-1567424000,-670257000,-289776000,-1428555000,-926537000,-298887000,-101893000,-52557000
85,Acquisitions Net,- -,- -,- -,- -,-386000,-199726000,35000,- -,- -,- -,-1631692000,-32713000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-66493753,-237102158,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,33351000,237102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-46000,- -,- -,-117603,4026000,29000,3395000,6554000,49370000,510000,-1234588000,-1928691000,-1271093000,-667132000,-1040000,1642676000,-372628000,-294398000,-72331000,-51542000
89,Cash Used for Investing Activites,-46000,- -,-33150729,-123658,-25317000,-241192000,-82568000,-23921000,14970000,-25376000,-2866280000,-2100699000,-1271093000,-667132000,-290816000,598592000,-706485000,-297207000,-72354000,-51913000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-38480000,-98490000,-245621000,-655000000,-2644400000,-1719000000,-1643804000,- -,-1922826000,-232000000,-79000000,-132000000,-332085000
91,Common Stock Issued,- -,- -,34188100,- -,- -,27372000,86614000,- -,- -,- -,569000000,222870000,- -,15356000,- -,- -,63480000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-13560000,-177000,-82000,-28000,-787000,-183000,-2139000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,-8478000,-8177000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,16368000,197107000,-85127000,30022000,46340000,241357000,2838702000,4028633000,2371516000,1801071000,4330000,1633690000,430645000,346819000,148177000,359490000
95,Cash Used/Provided by Financing Activities,- -,- -,34188100,- -,2308000,224302000,1405000,-8486000,-52937000,-4447000,2750563000,1607103000,644038000,164446000,4330000,-289136000,262125000,267819000,16177000,27405000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,34188100,-543343,6651000,152000,-6709000,-35000,-92000,12000,2457000,328000,40879000,-35687000,-8002000,424047000,-377205000,-36591000,-5980000,44064000
98,Cash at the End of Period,- -,- -,834094,290751,6721000,6873000,164000,129000,37000,49000,2506000,2834000,43713000,8026000,24000,424071000,46866000,10275000,4295000,48359000
99,Cash at the Beginning of Period,- -,- -,- -,834094,70000,6721000,6873000,164000,129000,37000,49000,2506000,2834000,43713000,8026000,24000,424071000,46866000,10275000,4295000
100,Free Cash Flow,- -,- -,-211253,-425582,703000,-24453000,-11544000,1897000,3475000,3949000,-1137413000,-2025816000,-899490000,-203258000,-11292000,-1313964000,-859382000,-318466000,-51696000,16015000
101,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282648/000119312509247515/0001193125-09-247515-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1282648/000119312512096917/0001193125-12-096917-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746913001872/0001047469-13-001872-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746914001420/0001047469-14-001420-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746915001657/0001047469-15-001657-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746916012518/0001047469-16-012518-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746917001083/0001047469-17-001083-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746918001171/0001047469-18-001171-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746919001144/0001047469-19-001144-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837020003121/0001558370-20-003121-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837021002578/0001558370-21-002578-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837022002965/0001558370-22-002965-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
