,https://roic.ai/company/ITP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,275225,272204,598471,728429,633010,699892,871834,995694,1446439,3157524,2621147,2433770,1492119,926368,1026512,-1124702
14,Depreciation and Amortization,- -,- -,1870878,2953201,3837353,3510082,4147777,4424531,8382859,7794743,8289320,13398990,15287509,14633780,14290919,15304039,15793854,15358452
15,EBITDA,- -,- -,6905125,9287816,16135824,21638511,26380787,34524423,29454693,26890437,25874619,32221694,28336206,19310170,3386428,19527687,10164506,20686239
16,EBITDA ratio,- -,- -,0.2259,0.2339,0.2475,0.2119,0.2127,0.2291,0.1949,0.2139,0.1888,0.2381,0.2103,0.1650,0.0390,0.1660,0.1007,0.1286
17,Operating Income,- -,- -,5038265,6334615,12232376,18006096,21985984,30111345,20978666,18843492,17412906,18196770,12951719,4680267,-11182314,3897799,-5455804,1459369
18,Operating Income ratio,- -,- -,0.1649,0.1595,0.1876,0.1764,0.1773,0.1998,0.1388,0.1499,0.1271,0.1345,0.0961,0.0400,-0.1289,0.0331,-0.0540,0.0091
19,Total Other Income Expenses (Gains),- -,- -,-279243,-272204,-532376,-606096,-485984,-711345,-878666,-743492,-1274046,-2531600,-2524169,-2357647,-1214296,-600519,-1200056,4993120
20,Income Before Tax,- -,- -,4759022,6062411,11700000,17400000,21500000,29400000,20100000,18100000,16138860,15665170,10427550,2322620,-12396610,3297280,-6655860,6452489
21,Income Before Tax Ratio,- -,- -,0.1557,0.1527,0.1794,0.1704,0.1734,0.1951,0.1330,0.1440,0.1178,0.1158,0.0774,0.0198,-0.1429,0.0280,-0.0659,0.0401
22,Income Tax expense (Gain),- -,- -,1565952,2000596,2900000,4700000,6000000,7800000,5500000,5100000,4432500,4122970,3114570,582830,-1850930,1076100,1101858,5546954
23,Net Income,- -,- -,3193070,4061815,8800000,12700000,15600000,21600000,14700000,13000000,11706360,11542210,7312980,1659790,-10545680,2221180,-7757718,905535
24,Net Income ratio,- -,- -,0.1045,0.1023,0.1350,0.1244,0.1258,0.1433,0.0973,0.1034,0.0854,0.0853,0.0543,0.0142,-0.1216,0.0189,-0.0769,0.0056
25,EPS,- -,- -,0.44,0.40,0.80,1.04,0.89,1.18,0.79,0.71,0.61,0.57,0.34,0.08,-0.49,0.10,-0.21,0.02
26,EPS Diluted,- -,- -,0.44,0.40,0.80,1.04,0.89,1.18,0.79,0.71,0.61,0.57,0.34,0.08,-0.49,0.10,-0.21,0.02
27,Weighted Average Shares Outstanding,- -,- -,7545291,10025496,10769895,12221782,17435218,18349332,18456781,18458446,19270394,20316400,21416143,21450316,21618305,22034905,26498298,59849082
28,Weighted Average Shares Outstanding Diluted,- -,- -,7545291,10025496,10769895,12232878,17436246,18349332,18456781,18458446,19270394,20316400,21416143,21450316,21618305,22034905,26498298,59849082
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1358190/000119380509000681/0001193805-09-000681-index.html,https://www.sec.gov/Archives/edgar/data/1358190/000114544310000702/0001145443-10-000702-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420411014970/0001144204-11-014970-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420412015061/0001144204-12-015061-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420413015600/0001144204-13-015600-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420414017612/0001144204-14-017612-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390015002051/0001213900-15-002051-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390016011815/0001213900-16-011815-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390017002695/0001213900-17-002695-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390018004589/0001213900-18-004589-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390019003744/0001213900-19-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390020007091/0001213900-20-007091-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390021017307/0001213900-21-017307-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390022012560/0001213900-22-012560-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,80970,622661,3200000,6900000,11300000,4200000,13100000,3100000,3891470,2641920,2332650,2895790,8474810,5837750,4142437,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,80970,622661,3200000,6900000,11300000,4200000,13100000,3100000,3891470,2641920,2332650,2895790,8474810,5837750,4142437,- -
34,Net Receivables,- -,- -,1625862,1111157,1400000,2100000,2100000,3800000,2800000,3300000,3730120,1904400,3894440,1843680,2876630,10649770,2389057,4868934
35,Inventory,- -,- -,2681680,400689,2800000,6900000,7400000,10000000,15100000,11400000,7139600,9205420,5632030,8474170,2923520,1607460,1233801,5844895
36,Other Current Assets,- -,- -,- -,2249,100000,500000,300000,5100000,7100000,8200000,11793670,12592250,2618200,6773160,9883910,5946260,7144310,44802320
37,Total Current Assets,- -,- -,4388512,2136756,7500000,16400000,21100000,23100000,38100000,26000000,26554860,26343990,14477320,19986800,24158870,24041240,14909605,55516149
38,PP&E,- -,- -,34274161,34593532,45300000,55300000,87400000,114700000,122400000,178500000,208213200,206191160,187689880,189388710,167829720,151616850,21149749,128873887
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11268679
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,7000000,7200000,2300000,5000000,4999530,6091770,6210420,9613970,11087420,14540340,- -,45876487
45,Total Non-Current Assets,- -,- -,34274161,34593532,45300000,55300000,94400000,121900000,124700000,183500000,213212730,212282930,193900300,199002680,178917140,166157190,21149749,186019053
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,38662673,36730288,52800000,71700000,115500000,145000000,162800000,209500000,239767590,238626920,208377620,218989480,203076010,190198430,36059354,241535202
48,Accounts Payable,- -,- -,7025125,6611735,740846,1800000,400000,2800000,1000000,900000,- -,253430,559950,422710,629050,250490,592391,10255
49,Short-Term Debt,- -,- -,2564000,2530368,6858652,4273750,6923984,2833619,11302032,21377912,40711817,34580012,15994255,19681062,17936240,7769273,11614445,210161
50,Tax Payable,- -,- -,1832419,851279,1047678,1345069,2601906,1744253,1255457,2158540,1478699,600876,2391022,722199,739495,2237199,688130,1108038
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28831,- -,- -,7367908,- -,- -
52,Other Current Liabilities,- -,- -,1832419,851279,1000502,3326250,4476016,6066381,3897968,6122088,3758333,5404508,4002554,1653758,11068980,1447789,6133238,20213936
53,Total Current Liabilities,- -,- -,11421544,9993382,8600000,9400000,11800000,11700000,16200000,28400000,44470150,40237950,20585590,21757530,29634270,16835460,18340074,20434352
54,Long-Term Debt,- -,- -,9209190,3223817,10100000,6100000,2200000,5700000,3900000,18900000,19656680,22251910,14934410,11906580,6891830,7367910,354107,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,941656,268329,281010,1420854,3264841,6572559,8277091,10485053,13708630,11268679
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-100000,- -,- -,-941656,931671,414380,-1093224,-3162611,-6572549,-8277091,-10485053,- -,-5917737
58,Total Non-Current Liabilities,- -,- -,9209190,3223817,10100000,6000000,2200000,5700000,3900000,20100000,20352070,22579540,15036640,11906590,6891830,7367910,14062737,5350942
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,20561434,16348901,10078197,8786528,- -,- -,- -,536959,- -
61,Total Liabilities,- -,- -,20630734,13217199,18700000,15400000,14000000,17400000,20100000,48500000,64822220,62817490,35622230,33664120,36526100,24203370,24794300,25785294
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,40102,40102,- -,14876,18345,18350,18460,18754,20320,20320,21450,21450,22360,22690,28536,99050
64,Retained Earnings,- -,- -,6896240,10958055,20900000,33100000,48700000,70300000,84300000,97000000,108684900,120227110,127540080,129199870,118654190,120875370,109240794,110146329
65,Other Comprehensive Income/Loss,- -,- -,871852,2291187,3592839,8426755,12799820,11442567,18291399,23184714,23101739,12423593,639183,11549373,2816622,23037,11821296,10496168
66,Other Total Stockholders Equity,- -,- -,10223745,- -,9189156,14733325,40023911,45764526,40158942,40849680,43138407,43138402,44554673,44554671,45056743,45073965,53989548,95008361
67,Total Stockholders Equity,- -,- -,18031939,23513089,34089156,56274956,101542076,127525443,142768801,161053148,174945366,175809425,172755386,185325364,166549915,165995062,175080174,215749908
68,Total Liabilities And Stockholders Equity,- -,- -,38662673,36730288,52789156,71674956,115542076,144925443,162868801,209553148,239767586,238626915,208377616,218989484,203076015,190198432,199874474,241535202
69,Minority Interest,- -,- -,- -,- -,10844,25044,-42076,74557,-68801,-53148,4,5,4,-4,-5,-2,-163815120,- -
70,Total Liabilities & Equity,- -,- -,38662673,36730288,52800000,71700000,115500000,145000000,162800000,209500000,239767590,238626920,208377620,218989480,203076010,190198430,36059354,241535202
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1358190/000119380509000681/0001193805-09-000681-index.html,https://www.sec.gov/Archives/edgar/data/1358190/000114544310000702/0001145443-10-000702-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420411014970/0001144204-11-014970-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420412015061/0001144204-12-015061-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420413015600/0001144204-13-015600-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420414017612/0001144204-14-017612-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390015002051/0001213900-15-002051-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390016011815/0001213900-16-011815-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390017002695/0001213900-17-002695-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390018004589/0001213900-18-004589-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390019003744/0001213900-19-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390020007091/0001213900-20-007091-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390021017307/0001213900-21-017307-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390022012560/0001213900-22-012560-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,3193070,4061815,8800000,12700000,15600000,21600000,14700000,13000000,11706360,11542210,7312980,1659790,-10545680,2221180,-7757718,905535
74,Depreciation and Amortization,- -,- -,1870878,2953201,3837353,3510082,4147777,4424531,8382859,7794743,8289320,13398990,15287509,14633780,14290919,15304039,15793854,15358452
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-941207,409665,398385,-1203019,-1959494,-3010577,-2089439,-2369683,-2364575,2730050
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,30369,378065,773862,- -,- -,1417395,- -,470361,- -,1256700,- -
77,Change in Working Capital,- -,- -,-7033032,-7856626,6756626,8100000,2300000,2100000,10500000,-24300000,-15515290,4021330,7785690,4337540,-3704670,12681180,-10636249,38512266
78,Accounts Receivable,- -,- -,-699793,514705,-312493,-676861,- -,- -,1029978,-402709,-413159,1710176,-2246882,2265428,-1183782,-294882,923429,-2430495
79,Inventory,- -,- -,423639,2280991,-2420374,-4111602,-253598,-2246090,-5024459,4105876,4257805,-2578342,3112465,-2417942,5322320,1207958,458878,-4531263
80,Accounts Payable,- -,- -,- -,- -,168256,1818470,-1431851,2299240,-1771968,-117308,-921580,263720,336507,-166464,234448,-372728,307198,-589371
81,Other Working Capital,- -,- -,-7033032,-7856626,-1100000,7000000,9300000,11400000,21900000,-2400000,-17915290,-13893960,-6108270,-1770730,-5475400,7205780,-3430469,35081797
82,Other Non-Cash Items,- -,- -,9831081,8573337,-8650423,-9271412,-1688039,-9524851,-10787751,32243671,27434398,-6554926,-14566558,531255,11369122,-20306242,19851514,-59942374
83,Cash Provided by Operating Activities,- -,- -,7861997,7731727,10743556,15038670,20359738,18630049,22231966,29921941,32313173,21204585,15277522,18151788,9790613,7530474,16143526,-2436071
84,CAPEX,- -,- -,-15934313,-3272572,-14584502,-13604113,-41560741,-27722913,-16278952,-64566785,-39207768,-19331000,-11586214,-9380702,-2198852,-6416481,-21106210,-25071372
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1450368,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1075095,1614387,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,271508,3288164,2589919,2926417,- -,41185,59066,- -,- -,580206,- -
89,Cash Used for Investing Activites,- -,- -,-15934313,-3272572,-14584502,-13604113,-41560741,-27451405,-11915693,-60362479,-36281351,-19331000,-11545029,-9321636,-2198852,-7866849,-20526004,-25071372
90,Debt Repayment,- -,- -,- -,- -,- -,-2562891,-2592843,-7092835,-6062469,-15079090,-13105079,-19902674,-21431973,-20193723,-24963068,-20131114,-6309220,-185050
91,Common Stock Issued,- -,- -,23500,- -,- -,4898849,26570161,- -,- -,- -,2311002,- -,- -,- -,- -,- -,2273360,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-692242,-323032,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,7250939,-5336799,5151052,-29105,1114224,8589626,5387154,35502808,15528339,17104475,17750627,11568753,21797461,14358647,6090715,34378874
95,Cash Used/Provided by Financing Activities,- -,- -,7274439,-5336799,5151052,2306853,25091542,1496791,-1367557,20100686,4734262,-2798199,-3681346,-8624970,-3165607,-5772467,2054855,34193824
96,Effect of Forex Changes on Cash,- -,- -,550826,1419335,1301652,-25876,507616,141903,26126,330727,-5774,-324942,-360418,357962,-1326156,-170838,632315,372794
97,Net Change In Cash,- -,- -,-247051,541691,2611758,3715534,4398155,-7182662,8974842,-10009125,760310,-1249556,-309271,563144,3099998,-6279680,-1695308,7059175
98,Cash at the End of Period,- -,- -,80970,622661,3234419,6949953,11348108,4165446,13140288,3131163,3891473,2641917,2332646,2895790,12117425,5837745,4142437,- -
99,Cash at the Beginning of Period,- -,- -,328021,80970,622661,3234419,6949953,11348108,4165446,13140288,3131163,3891473,2641917,2332646,9017427,12117425,5837745,4142437
100,Free Cash Flow,- -,- -,-8072316,4459155,-3840946,1434557,-21201003,-9092864,5953014,-34644844,-6894595,1873585,3691308,8771086,7591761,1113993,-4962684,-27507443
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1358190/000119380509000681/0001193805-09-000681-index.html,https://www.sec.gov/Archives/edgar/data/1358190/000114544310000702/0001145443-10-000702-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420411014970/0001144204-11-014970-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420412015061/0001144204-12-015061-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420413015600/0001144204-13-015600-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000114420414017612/0001144204-14-017612-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390015002051/0001213900-15-002051-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390016011815/0001213900-16-011815-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390017002695/0001213900-17-002695-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390018004589/0001213900-18-004589-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390019003744/0001213900-19-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390020007091/0001213900-20-007091-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390021017307/0001213900-21-017307-index.htm,https://www.sec.gov/Archives/edgar/data/1358190/000121390022012560/0001213900-22-012560-index.htm
102,false,,,,,,,,,,,,,,,,,,
