,https://roic.ai/company/AGO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,40000000,27000000,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-88958000000,-87307000000,148000000,-93166000000,1158000000,9005000000,6779000000,- -,- -,- -,3186000000,3048000000,2894000000,2626000000,3599000000,-2423000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,-3514000000,-1850000000,- -,-7749000000,- -,9005000000,6779000000,- -,- -,- -,3186000000,3048000000,2894000000,2626000000,3917000000,203000000,15133000000
46,Other Assets,1913700000,2322100000,2769900000,2857867000,2694000000,- -,- -,3800000000,- -,5741000000,- -,- -,17242000000,16287000000,14925000000,- -,- -,- -,- -,- -,- -,33341000000
47,Total Assets,1913700000,2322100000,2769900000,2857867000,2694000000,2676000000,2935000000,3800000000,4556000000,16593000000,19842000000,18092000000,17242000000,16287000000,14925000000,14544000000,14151000000,14433000000,13603000000,14326000000,320000000,18208000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000000,148000000,107000000,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,7196000,635000,- -,- -,93020000,- -,- -,44000000,5000000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,26629000000,39906000000,- -,129118000000,141814000000,6972894000,5962799000,- -,- -,- -,3996000000,3511000000,3475000000,3512000000,3736000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,969000000,-25811000000,-38968000000,1787000000,-126836000000,-129658000000,8082106000,6372201000,- -,- -,- -,3185000000,2830000000,2827000000,2303000000,2716000000,25000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,969000000,818000000,938000000,1787000000,2282000000,12156000000,15055000000,12335000000,- -,- -,- -,7181000000,6341000000,6302000000,5815000000,6452000000,25000000,- -
54,Long-Term Debt,- -,150000000,- -,75000000,197000000,197000000,347000000,347000000,347000000,917000000,1053000000,1038000000,836000000,816000000,1303000000,1300000000,1306000000,1292000000,1233000000,1237000000,1224000000,1673000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,55637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276000000,497000000,98000000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-276000000,-497000000,-98000000,- -,-2000000,- -,- -
58,Total Non-Current Liabilities,- -,150000000,- -,130637000,197000000,197000000,347000000,347000000,347000000,917000000,1053000000,1038000000,836000000,816000000,1303000000,1300000000,1306000000,1292000000,1233000000,1235000000,1224000000,1673000000
59,Other Liabilities,919200000,1410400000,1512700000,1550880000,- -,- -,- -,- -,- -,- -,- -,- -,13084000000,11988000000,10470000000,- -,- -,- -,- -,- -,9849000000,13381000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,919200000,1260400000,1512700000,1420243000,1166000000,1015000000,1285000000,2134000000,2629000000,13073000000,16108000000,13373000000,12248000000,11172000000,9167000000,8481000000,7647000000,7594000000,7048000000,7687000000,8650000000,11708000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,16403000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,390025000,568000000,748000000,897000000,585000000,638000000,790000000,1032000000,1775000000,1749000000,2482000000,3494000000,4478000000,5289000000,5892000000,6374000000,6295000000,6143000000,5990000000
65,Other Comprehensive Income/Loss,- -,- -,89000000,81185000,78960000,45832000,41883000,56629000,2887000,141814000,110645000,367499000,515000000,160000000,370000000,237000000,149000000,372000000,93000000,342000000,498000000,300000000
66,Other Total Stockholders Equity,994500000,1061600000,1257200000,950011000,879652000,866681000,710878000,1023941000,1284335000,2586694000,2654119000,2573937000,- -,- -,- -,1347000000,1065000000,574000000,87000000,1000000,1000000,- -
67,Total Stockholders Equity,994500000,1061600000,1257200000,1437624000,1527612000,1661513000,1650761000,1666570000,1926222000,3520508000,3798764000,4718436000,4994000000,5115000000,5758000000,6063000000,6504000000,6839000000,6555000000,6639000000,6643000000,6292000000
68,Total Liabilities And Stockholders Equity,1913700000,2322000000,2769900000,2857867000,2693612000,2676513000,2935761000,3800570000,4555222000,16593508000,19906764000,18091436000,17242000000,16287000000,14925000000,14544000000,14151000000,14433000000,13603000000,14326000000,15293000000,18000000000
69,Minority Interest,- -,100000,- -,- -,388000,-513000,-761000,-570000,778000,-508000,-64764000,564000,- -,- -,- -,- -,- -,- -,- -,- -,-14973000000,208000000
70,Total Liabilities & Equity,1913700000,2322100000,2769900000,2857867000,2694000000,2676000000,2935000000,3800000000,4556000000,16593000000,19842000000,18092000000,17242000000,16287000000,14925000000,14544000000,14151000000,14433000000,13603000000,14326000000,320000000,18208000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1273813/000110465906013292/0001104659-06-013292-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000110465907014987/0001104659-07-014987-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1273813/000104746909001890/0001047469-09-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746910001650/0001047469-10-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746911001611/0001047469-11-001611-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746912001832/0001047469-12-001832-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1273813/000127381316000055/0001273813-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381317000009/0001273813-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381318000004/0001273813-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381319000004/0001273813-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381320000006/0001273813-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381321000004/0001273813-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381322000007/0001273813-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,214522000,182800000,188400000,159700000,-303300000,68900000,97200000,493700000,775600000,110000000,808000000,1088000000,1056000000,881000000,730000000,521000000,401000000,362000000,389000000
74,Depreciation and Amortization,- -,- -,- -,9119000,8825000,7026000,6075000,2649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,12782000,34426000,-4304000,11596000,-172136000,43116000,-180391000,111760000,385746000,-35000000,177000000,347000000,300000000,19000000,250000000,74000000,65000000,58000000,-38000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,104827000,-969000000,6341000000,-1525000000,-5634000000,11810000000,-11327000000,-2914000000,3196000000,1022000000,- -,- -,4177000000,585000000,475000000,-75000000,-1205000000,-3865000000,2000000
78,Accounts Receivable,- -,- -,- -,48257000,133936000,25660000,-5095000,-28206000,12059000,148398000,376478000,138479000,48000000,86000000,108000000,-8000000,128000000,-69000000,-6000000,-388000000,-102000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,36928000,-8311000,-59062000,85209000,-18759000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-969000000,5372000000,3847000000,-1787000000,10023000000,-1304000000,-4218000000,-1022000000,- -,- -,- -,4177000000,4762000000,5237000000,5162000000,3957000000,92000000,118000000
82,Other Non-Cash Items,- -,- -,- -,-141220000,698370000,-6356315000,1609203000,6492637000,-11495027000,11689361000,2412530000,-3681727000,-1262000000,-741000000,-858000000,-5585000000,-1626000000,-1022000000,-58000000,230000000,2592000000,-2290000000
83,Cash Provided by Operating Activities,- -,- -,- -,200030000,-44579000,175807000,261574000,385850000,426989000,279170000,103990000,675619000,-165000000,244000000,577000000,-52000000,-141000000,433000000,462000000,-509000000,-853000000,-1937000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,39784000,- -,- -,- -,- -,-458998000,- -,- -,-91000000,- -,- -,-800000000,-435000000,95000000,- -,-145000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-902935000,-813485000,-956803000,-883221000,-1450979000,-1272024000,-2684768000,-2461692000,-2308078000,-1649000000,-1973000000,-2801000000,-2577000000,-1646000000,-2552000000,-2208000000,-1813000000,-1484000000,-1725000000
87,Sales/Maturities of Investments,- -,- -,- -,753948000,795967000,803252000,864528000,786590000,622409000,1737195000,2695197000,2090435000,2046000000,1912000000,2286000000,3902000000,2537000000,2596000000,2372000000,2940000000,2188000000,1692000000
88,Other Investing Activites,- -,- -,- -,3690000,- -,- -,-209768000,- -,- -,9350000,443783000,778992000,637000000,742000000,419000000,469000000,620000000,206000000,133000000,187000000,84000000,56000000
89,Cash Used for Investing Activites,- -,- -,- -,-145297000,22266000,-153551000,-228461000,-664389000,-649615000,-1397221000,677288000,561349000,943000000,681000000,-96000000,994000000,1076000000,345000000,297000000,1169000000,788000000,23000000
90,Debt Repayment,- -,- -,- -,- -,-200000000,- -,- -,- -,- -,-14823000,-20891000,-22137000,-209000000,-27000000,-19000000,-4000000,-2000000,-30000000,-101000000,-310000000,-232000000,-2981000000
91,Common Stock Issued,- -,- -,- -,- -,- -,356000,501000,304643000,249392000,1190068000,- -,- -,173000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5986000,-19014000,-171063000,-9349000,- -,-3676000,-10457000,-23311000,-24000000,-264000000,-590000000,-555000000,-306000000,-514000000,-513000000,-500000000,-446000000,-496000000
93,Dividends Paid,- -,- -,- -,-35000000,-4558000,-9012000,-10458000,-11032000,-16015000,-22332000,-33190000,-33035000,-69000000,-75000000,-76000000,-72000000,-69000000,-70000000,-71000000,-74000000,-69000000,-66000000
94,Other Financing Activites,- -,- -,- -,- -,216638000,-4267000,145954000,-2826000,-4041000,-683000,-652896000,-1054472000,-727000000,-512000000,100000000,-216000000,-601000000,-152000000,-110000000,300000000,930000000,5503000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-35000000,6094000,-31937000,-35066000,281436000,229336000,1148554000,-717434000,-1132955000,-856000000,-878000000,-585000000,-847000000,-978000000,-766000000,-795000000,-584000000,183000000,1960000000
96,Effect of Forex Changes on Cash,- -,- -,- -,3187000,832000,-1107000,548000,366000,-2453000,1325000,-798000,2142000,1000000,-1000000,-5000000,-4000000,-5000000,5000000,-4000000,3000000,-3000000,-2000000
97,Net Change In Cash,- -,- -,- -,22920000,-15387000,-10788000,-1405000,3263000,4257000,31828000,63046000,106155000,-77000000,46000000,-109000000,91000000,-48000000,17000000,-40000000,79000000,115000000,44000000
98,Cash at the End of Period,- -,- -,- -,32365000,16978000,6190000,4785000,8048000,12305000,44133000,107179000,214544000,138000000,184000000,75000000,166000000,118000000,144000000,104000000,183000000,298000000,342000000
99,Cash at the Beginning of Period,- -,- -,- -,9445000,32365000,16978000,6190000,4785000,8048000,12305000,44133000,108389000,215000000,138000000,184000000,75000000,166000000,127000000,144000000,104000000,183000000,298000000
100,Free Cash Flow,- -,- -,- -,200030000,-44579000,175807000,261574000,385850000,426989000,279170000,103990000,675619000,-165000000,244000000,577000000,-52000000,-141000000,433000000,462000000,-509000000,-853000000,-1937000000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1273813/000110465906013292/0001104659-06-013292-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000110465907014987/0001104659-07-014987-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1273813/000104746909001890/0001047469-09-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746910001650/0001047469-10-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746911001611/0001047469-11-001611-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746912001832/0001047469-12-001832-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1273813/000127381316000055/0001273813-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381317000009/0001273813-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381318000004/0001273813-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381319000004/0001273813-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381320000006/0001273813-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381321000004/0001273813-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381322000007/0001273813-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
