,https://roic.ai/company/HTGC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,-2041822,2359565,12026686,42411000,- -,- -,- -,- -,46759000,99446000,71188000,42916000,68703000,78998000,76496000,173598000,227261000,174155000
21,Income Before Tax Ratio,-Infinity,0.2432,0.4881,0.7123,- -,- -,- -,- -,0.6457,0.7594,0.6522,0.4787,0.6460,0.6228,0.5938,0.7339,0.7632,0.6694
22,Income Tax expense (Gain),- -,255000,643088,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2041822,2104565,11383598,42409000,20995000,13572000,4982000,46936000,46759000,99446000,71188000,42916000,68703000,78998000,76496000,173598000,227261000,174155000
24,Net Income ratio,-Infinity,0.2169,0.4620,0.7123,0.3212,0.2092,0.0979,0.7047,0.6457,0.7594,0.6522,0.4787,0.6460,0.6228,0.5938,0.7339,0.7632,0.6694
25,EPS,-1.72,0.30,0.85,1.50,0.64,0.38,0.12,1.08,0.93,1.67,1.12,0.60,0.91,0.95,0.83,1.71,2.02,1.29
26,EPS Diluted,-1.72,0.30,0.84,1.49,0.64,0.37,0.12,1.07,0.93,1.63,1.10,0.59,0.91,0.95,0.83,1.71,2.01,1.29
27,Weighted Average Shares Outstanding,1187000,6939000,13352000,28295000,32619000,34486000,36156000,42988000,49068000,58838000,61862000,69479000,73753000,82519000,90929000,101132000,111985000,114805000
28,Weighted Average Shares Outstanding Diluted,1293000,7016000,13527000,28387000,32619000,34891000,36694000,43299000,49156000,60292000,63225000,69663000,73775000,82640000,91057000,101569000,112267000,116239000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1280784/000119312506047261/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312507051057/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312508054268/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312509055279/0001193125-09-055279-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312510055525/0001193125-10-055525-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312511081409/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312512106898/0001193125-12-106898-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312513084470/0001193125-13-084470-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312514072989/d674917d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000156459015001201/htgc-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1280784/000156459016013376/0001564590-16-013376-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459017002220/0001564590-17-002220-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459018002885/0001564590-18-002885-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459019003680/0001564590-19-003680-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459020005567/0001564590-20-005567-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459021007594/0001564590-21-007594-index.htm,https://www.sec.gov/Archives/edgar/data/1280784/000095017022001628/0000950170-22-001628-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8678329,15362447,16404214,7856000,17242000,124828000,107014000,64474000,182994000,268368000,227116000,95196000,13044000,91309000,34212000,64393000,198282000,133115000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8678329,15362447,16404214,7856000,17242000,124828000,107014000,64474000,182994000,268368000,227116000,95196000,13044000,91309000,34212000,64393000,198282000,133115000
34,Net Receivables,80902,1479375,2906831,6387000,8803000,10309000,4520000,5820000,9635000,8962000,9453000,9239000,11614000,12262000,16959000,20207000,19077000,17365000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-77496193943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,-77479352121,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
38,PP&E,35231,77673,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11659000,9278000,6761000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,176673226,283233751,529972000,581301000,370437000,472032000,652870000,906300000,910295000,1020737000,1200638000,1423942000,1542214000,1880373000,2314526000,2354078000,2434522000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,77496249101,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,77673000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,25232672,- -,301142209,541943000,608672000,508967000,591247000,747394000,1123643000,1221715000,1299223000,1334761000,1464204000,1654715000,1945191000,2461968000,2623997000,2600013000
47,Total Assets,25232672,193647879,301142209,541943000,608672000,508967000,591247000,747394000,1123643000,1221715000,1299223000,1334761000,1464204000,1654715000,1945191000,2461968000,2623997000,2600013000
48,Accounts Payable,1979,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36343000,47781000
49,Short-Term Debt,- -,76000000,41000000,79200000,89582000,- -,- -,- -,- -,- -,- -,50000000,5016000,- -,52956000,103919000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,4700000,6900000,9418000,11900000,8700000,10900000,311300000,14300000,14101000,-32759000,16447000,26896000,-26995000,-62075000,- -,- -
53,Total Current Liabilities,- -,76000000,45700000,86100000,99000000,11900000,8700000,10900000,311300000,14300000,14101000,17241000,21463000,26896000,25961000,41844000,- -,- -
54,Long-Term Debt,- -,- -,- -,55050000,127200000,130600000,170000000,295353000,596100000,557440000,626258000,550386000,649781000,786852000,910830000,1183156000,1295950000,1243685000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,50000,- -,- -,- -,10147000,-299700000,-40000,- -,39223000,5016000,- -,52956000,103919000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,55100000,127200000,130600000,170000000,305500000,296400000,557400000,626258000,589609000,654797000,786852000,963786000,1287075000,1295950000,1243685000
59,Other Liabilities,154539,3295549,29387,110206000,254414000,- -,340016000,- -,- -,1114808000,- -,1189995000,- -,- -,- -,- -,2628243000,2535151000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11538000,- -,- -
61,Total Liabilities,154539,79295549,45729387,141206000,226214000,142452000,178716000,316353000,607675000,571708000,640359000,617627000,676260000,813748000,989747000,1328919000,1332293000,1291466000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2059,9802,21927,33000,33000,35000,43000,- -,53000,62000,65000,73000,80000,85000,96000,108000,115000,117000
64,Retained Earnings,- -,-182305,-2732474,-3696000,-5944000,-4399000,-5990000,-6774000,-40646000,-10247000,18642000,17625000,37232000,12141000,-92859000,-12165000,133391000,216523000
65,Other Comprehensive Income/Loss,-2041822,1000000,888640,10870000,-9714000,-38157000,-59071000,-46473000,-44863000,-11642000,-2997000,-24815000,-51422000,-100134000,- -,- -,- -,- -
66,Other Total Stockholders Equity,27117896,113524833,257234729,393530000,398083000,409036000,477549000,483815000,601424000,671834000,643154000,724251000,802054000,928875000,1048207000,1145106000,1158198000,- -
67,Total Stockholders Equity,25078133,114352330,255412822,400737000,382458000,366515000,412531000,431041000,515968000,650007000,658864000,717134000,787944000,840967000,955444000,1133049000,1291704000,1308547000
68,Total Liabilities And Stockholders Equity,25232672,193647879,301142209,541943000,608672000,508967000,591247000,747394000,1123643000,1221715000,1299223000,1334761000,1464204000,1654715000,1945191000,2461968000,2623997000,2600013000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25232672,193647879,301142209,541943000,608672000,508967000,591247000,747394000,1123643000,1221715000,1299223000,1334761000,1464204000,1654715000,1945191000,2461968000,2623997000,2600013000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1280784/000119312506047261/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312507051057/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312508054268/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312509055279/0001193125-09-055279-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312510055525/0001193125-10-055525-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312511081409/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312512106898/0001193125-12-106898-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312513084470/0001193125-13-084470-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312514072989/d674917d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000156459015001201/htgc-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1280784/000156459016013376/0001564590-16-013376-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459017002220/0001564590-17-002220-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459018002885/0001564590-18-002885-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459019003680/0001564590-19-003680-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459020005567/0001564590-20-005567-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459021007594/0001564590-21-007594-index.htm,https://www.sec.gov/Archives/edgar/data/1280784/000095017022001628/0000950170-22-001628-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-2041822,2104565,11383598,42409000,20995000,13572000,4982000,46936000,46759000,99446000,71188000,42916000,68703000,78998000,76496000,173598000,227261000,174155000
74,Depreciation and Amortization,7533,-766564,65185,204000,306000,367000,400000,348000,289000,252000,266000,193000,202000,201000,199000,262000,415000,317000
75,Deferred Income Tax,- -,-1454000,1454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1983000,2790000,3195000,4303000,6054000,9638000,9461000,7129000,7247000,11266000,8642000,- -,- -
77,Change in Working Capital,335427,-77479352121,77433652121,-40400000,-12900000,87100000,3200000,-2200000,-300400000,297000000,199000,-3140000,-4222000,-5433000,935000,-15883000,41844000,13395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-3815000,672000,-490000,213000,-2375000,-648000,-4697000,-3248000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-70000,350000,-563000,279000,54000,271000,-639000,56000,-10000,11000,-205000,- -,- -
81,Other Working Capital,- -,-77479352121,-45700000,-86100000,-99000000,-11900000,-8700000,-10900000,-311300000,-14300000,-14101000,-17241000,-21463000,-26896000,-25961000,-41844000,- -,- -
82,Other Non-Cash Items,-16020000,77322787241,-77537806516,-203323000,-35928000,122906000,-104622000,-187804000,55114000,-299158000,-107822000,-163791000,-210197000,-99413000,-337866000,-407283000,-61718000,-59246000
83,Cash Provided by Operating Activities,-17718862,-156680879,-91251612,-201110000,-27527000,225928000,-93250000,-139525000,-193935000,103594000,-26531000,-114361000,-138385000,-18400000,-248970000,-240664000,207802000,128621000
84,CAPEX,-40264,-66047,-817006,-181000,-606000,-134000,-244000,-189000,-87000,-311000,-190000,-187000,-252000,-274000,-475000,-595000,-137000,-106000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,531458,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2500,-84093,-659996,215000,-6000,-360000,350000,-25000,- -,-6271000,-6364000,3469000,869000,4636000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-42764,447365,-1477002,34000,-612000,-494000,106000,-214000,-87000,-6582000,-6554000,3282000,617000,4362000,-475000,-595000,-137000,-106000
90,Debt Repayment,- -,- -,-85000000,-153300000,-169967000,-185170000,- -,-27313000,-74228000,-39743000,-161439000,-164803000,-368576000,-258930000,-490994000,-719773000,-827405000,-1787043000
91,Common Stock Issued,23864955,- -,143008733,131413000,934000,- -,68727000,30000,79647000,92376000,5936000,100092000,92827000,66935000,144391000,132536000,77180000,10829000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3699000,- -,- -,- -,- -,-9207000,-7315000,-2685000,-4955000,-5118000,-1837000,-2816000
93,Dividends Paid,- -,-245048,-14238352,-30009000,-41868000,-31519000,-26889000,-36843000,-45678000,-64252000,-77076000,-84992000,-90534000,-100885000,-112721000,-132053000,-152422000,-175501000
94,Other Financing Activites,2575000,163162680,50000000,244424000,248426000,98841000,37191000,161325000,352801000,-19000,224412000,138069000,429214000,387868000,664586000,1034806000,819445000,1724659000
95,Cash Used/Provided by Financing Activities,26439955,162917632,93770381,192528000,37525000,-117848000,75330000,97199000,312542000,-11638000,-8167000,-20841000,55616000,92303000,200307000,310398000,-85039000,-229872000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26439955,6684118,1041767,-8548000,9386000,107586000,-17814000,-42540000,118520000,85374000,-41252000,-131920000,-82152000,78265000,-49138000,69139000,122626000,-101357000
98,Cash at the End of Period,8678329,15362447,16404214,7856000,17242000,124828000,107014000,64474000,182994000,268368000,227116000,95196000,13044000,91309000,45857000,114996000,237622000,136265000
99,Cash at the Beginning of Period,- -,8678329,15362447,16404000,7856000,17242000,124828000,107014000,64474000,182994000,268368000,227116000,95196000,13044000,94995000,45857000,114996000,237622000
100,Free Cash Flow,-17759126,-156746926,-92068618,-201291000,-28133000,225794000,-93494000,-139714000,-194022000,103283000,-26721000,-114548000,-138637000,-18674000,-249445000,-241259000,207665000,128515000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1280784/000119312506047261/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312507051057/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312508054268/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312509055279/0001193125-09-055279-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312510055525/0001193125-10-055525-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312511081409/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000119312512106898/0001193125-12-106898-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312513084470/0001193125-13-084470-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000119312514072989/d674917d10k.htm,https://www.sec.gov/Archives/edgar/data/1280784/000156459015001201/htgc-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1280784/000156459016013376/0001564590-16-013376-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459017002220/0001564590-17-002220-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459018002885/0001564590-18-002885-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459019003680/0001564590-19-003680-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459020005567/0001564590-20-005567-index.html,https://www.sec.gov/Archives/edgar/data/1280784/000156459021007594/0001564590-21-007594-index.htm,https://www.sec.gov/Archives/edgar/data/1280784/000095017022001628/0000950170-22-001628-index.htm
102,false,,,,,,,,,,,,,,,,,,
