,https://roic.ai/company/CNET,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,- -,-27838,-18000,-497000,-930000,-9373000,-6084000,-9919000,-5733000,891000,-4627000,-2576000,1062000,-3047000,-2158000,-3472000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-895000,-1115000,- -,-741000,-756000,-870000,-9000
91,Common Stock Issued,- -,10000,151750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10263000,4787000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-912000,-657000,-5000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,3000,1981000,7844000,145000,2139000,-380000,807000,-362000,984000,753000,- -,-15000,435000,- -
95,Cash Used/Provided by Financing Activities,- -,10000,154750,1981000,7544000,-767000,1482000,-385000,807000,-1257000,-131000,753000,- -,9492000,4352000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,57000,7000,231000,310000,64000,129000,3000,-319000,-259000,175000,-266000,-22000,- -
97,Net Change In Cash,- -,- -,17442,2362000,11238000,1673000,-4895000,-5212000,-2041000,1595000,466000,-2468000,-83000,790000,-2139000,- -
98,Cash at the End of Period,- -,71,17513,2679000,13917000,15590000,10695000,5483000,3442000,5037000,5503000,3035000,2952000,3742000,1603000,- -
99,Cash at the Beginning of Period,- -,- -,71,317000,2679000,13917000,15590000,10695000,5483000,3442000,5037000,5503000,3035000,2952000,3742000,- -
100,Free Cash Flow,- -,-9929,-137308,324000,3687000,10521000,-2789000,4714000,2677000,1678000,1496000,-2680000,-1324000,-9569000,-6433000,326000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1376321/000112178108000168/0001121781-08-000168-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376321/000114420410017155/0001144204-10-017155-index.html,https://www.sec.gov/Archives/edgar/data/1376321/000114420411019249/v216752_10k.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184312001253/f10k_041012.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184313001354/f10k_041513.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184314002841/f10k_061614.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184315001980/f10k_041515.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184316009166/f10k_041216p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184317001878/0001171843-17-001878-index.html,https://www.sec.gov/Archives/edgar/data/1376321/000117184318002741/f10k_040218p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184319002416/f10k_040819p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184320004001/f10k_051420p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184321002452/0001171843-21-002452-index.htm
102,false,,,,,,,,,,,,,,,,
