,https://roic.ai/company/DAO,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,460652000,26723000,83791000,330509000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,25372000,109730000,73070000
61,Total Liabilities,1119850000,1761050000,1785437000,3477356000,3364468000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,41000,58000,72000,74000,- -
64,Retained Earnings,-798019000,-1281191000,-1920081000,-3674034000,- -
65,Other Comprehensive Income/Loss,- -,788000,-12741000,-44108000,- -
66,Other Total Stockholders Equity,83061000,138024000,2232841000,2309963000,- -
67,Total Stockholders Equity,-714917000,-1142321000,300091000,-1408105000,-807067000
68,Total Liabilities And Stockholders Equity,404933000,618729000,2085528000,2069251000,2557401000
69,Minority Interest,-243080000,888000,936000,997000,76666000
70,Total Liabilities & Equity,161853000,619617000,2086464000,2070248000,2634067000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-133577000,-208910000,-601503000,-1752789000,- -
74,Depreciation and Amortization,3330000,6398000,10578000,16105000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,5290000,6176000,25074000,41578000,- -
77,Change in Working Capital,68056000,123251000,190928000,1348891000,- -
78,Accounts Receivable,-20106000,-15516000,-122010000,-80057000,- -
79,Inventory,-1542000,-22290000,-52555000,-72275000,- -
80,Accounts Payable,8841000,14611000,28117000,78629000,- -
81,Other Working Capital,55492000,83005000,279269000,983684000,- -
82,Other Non-Cash Items,-30237000,-27245000,2653000,24653000,- -
83,Cash Provided by Operating Activities,-87138000,-100330000,-372270000,-321562000,- -
84,CAPEX,-10656000,-13964000,-18176000,-36854000,- -
85,Acquisitions Net,- -,- -,-2000000,-46888000,- -
86,Purchases of Investments,-250000,-748671000,-1738270000,-1703663000,- -
87,Sales/Maturities of Investments,- -,386383000,672387000,2547451000,- -
88,Other Investing Activites,45000,1976000,2025000,925000,- -
89,Cash Used for Investing Activites,-10836000,-374000000,-1084005000,760971000,- -
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,41000,1512026000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,107765000,475076000,75643000,26559000,- -
95,Cash Used/Provided by Financing Activities,107765000,475117000,1587669000,26559000,- -
96,Effect of Forex Changes on Cash,- -,1120000,196000,-30097000,- -
97,Net Change In Cash,9791000,1907000,131590000,435871000,- -
98,Cash at the End of Period,39831000,41738000,173328000,609199000,- -
99,Cash at the Beginning of Period,30040000,39831000,41738000,173328000,- -
100,Free Cash Flow,-97794000,-114294000,-390446000,-358416000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
