,https://roic.ai/company/SPCE,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,693567088,704757773,605546000,803990000,1068834000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,693567088,704757773,605546000,803990000,1068834000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1706946/000114420418008162/0001144204-18-008162-index.html,https://www.sec.gov/Archives/edgar/data/1706946/000114420419014644/0001144204-19-014644-index.html,https://www.sec.gov/Archives/edgar/data/1706946/000162828020002471/0001628280-20-002471-index.html,https://www.sec.gov/Archives/edgar/data/1706946/000170694621000022/0001706946-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1706946/000170694622000035/0001706946-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,10965012,-210935000,-273035000,-352899000
74,Depreciation and Amortization,- -,- -,6999000,9781000,11518000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2535000,30324000,61805000
77,Change in Working Capital,-2124700,-1343909,420900703,192080000,14152000
78,Accounts Receivable,- -,- -,819000,-106000,- -
79,Inventory,- -,- -,-3528000,1371000,815000
80,Accounts Payable,230153000,- -,- -,-1010000,- -
81,Other Working Capital,1269206,-74703,420826000,612906000,7652000
82,Other Non-Cash Items,1472000,-10767758,-423055703,-192309000,34661000
83,Cash Provided by Operating Activities,-652700,-1146655,-203556000,-233159000,-230763000
84,CAPEX,- -,- -,-19411000,-17201000,-4635000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-382884000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-684000000,- -,-19411000,-17201000,-4635000
89,Cash Used for Investing Activites,-690000000,- -,-19411000,-17201000,-387519000
90,Debt Repayment,- -,-126378,-104000,-433000,-450000
91,Common Stock Issued,- -,- -,182429000,460200000,500000000
92,Common Stock Repurchased,692025000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-675920,1038813,451995000,-23173000,-10193000
95,Cash Used/Provided by Financing Activities,691349080,912435,634320000,436594000,489357000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,696380,-234220,411353000,186234000,-128925000
98,Cash at the End of Period,696380,462162,492721000,678955000,550030000
99,Cash at the Beginning of Period,- -,696382,81368000,492721000,678955000
100,Free Cash Flow,-652700,-1146655,-222967000,-250360000,-235398000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1706946/000114420418008162/0001144204-18-008162-index.html,https://www.sec.gov/Archives/edgar/data/1706946/000114420419014644/0001144204-19-014644-index.html,https://www.sec.gov/Archives/edgar/data/1706946/000162828020002471/0001628280-20-002471-index.html,https://www.sec.gov/Archives/edgar/data/1706946/000170694621000022/0001706946-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1706946/000170694622000035/0001706946-22-000035-index.htm
102,false,,,,,
