,https://roic.ai/company/VERO,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1409269/000156459018004378/0001564590-18-004378-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459019008643/0001564590-19-008643-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459020014222/0001564590-20-014222-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459021016142/0001564590-21-016142-index.htm,https://www.sec.gov/Archives/edgar/data/1409269/000143774922007293/0001437749-22-007293-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-22971000,-21846000,-17842000,-28726000,-42295000,-82818000,-22141000
74,Depreciation and Amortization,860000,654000,574000,813000,2040000,4804000,4854000
75,Deferred Income Tax,- -,- -,- -,- -,-1132000,-438000,-165000
76,Stock Based Compensation,429000,466000,465000,667000,2158000,2138000,2068000
77,Change in Working Capital,-3067000,-15540000,12797000,2426000,-12841000,-7721000,-7110000
78,Accounts Receivable,3501000,-987000,-1383000,-4478000,-21093000,93000,-869000
79,Inventory,-3369000,2892000,-19000,-2761000,6430000,-1020000,1456000
80,Accounts Payable,-1929000,709000,246000,1802000,-5968000,-2979000,- -
81,Other Working Capital,20429000,4889000,17686000,20112000,22000,-1895000,75779000
82,Other Non-Cash Items,631000,20102000,-15250000,-3879000,12475000,55385000,2723000
83,Cash Provided by Operating Activities,-24118000,-16164000,-19256000,-28699000,-39595000,-28650000,-19771000
84,CAPEX,-456000,-1173000,-229000,-1006000,-1123000,-291000,-512000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2101000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1851000,- -,- -,- -,- -
88,Other Investing Activites,- -,2000,- -,- -,7507000,- -,-40000
89,Cash Used for Investing Activites,-456000,-1171000,1622000,-1006000,6384000,-2392000,-552000
90,Debt Repayment,-15000000,- -,-8000000,-13300000,-24500000,-43649000,116000
91,Common Stock Issued,- -,- -,22114000,15560000,- -,49165000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-293000
94,Other Financing Activites,23887000,12114000,15252000,19976000,66702000,44157000,16996000
95,Cash Used/Provided by Financing Activities,8887000,12114000,29366000,22236000,42202000,49673000,16819000
96,Effect of Forex Changes on Cash,14000,- -,-93000,29000,- -,- -,- -
97,Net Change In Cash,-15673000,-5221000,11639000,-7440000,8991000,18631000,-3504000
98,Cash at the End of Period,17227000,11906000,23645000,16205000,15749000,34380000,30876000
99,Cash at the Beginning of Period,32900000,17127000,12006000,23645000,6758000,15749000,34380000
100,Free Cash Flow,-24574000,-17337000,-19485000,-29705000,-40718000,-28941000,-20283000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1409269/000156459018004378/0001564590-18-004378-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459019008643/0001564590-19-008643-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459020014222/0001564590-20-014222-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459021016142/0001564590-21-016142-index.htm,https://www.sec.gov/Archives/edgar/data/1409269/000143774922007293/0001437749-22-007293-index.htm
102,false,,,,,,,
