,https://roic.ai/company/DMRC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,1616000,2734000,2418000,2318000,2562000,2660000,2512000,4218000,3660000,3023000,2923000,3124000,3226000,3172000,3002000,2989000
52,Other Current Liabilities,1155000,199000,1365000,1407000,1519000,952000,- -,- -,- -,- -,- -,- -,- -,2272000,- -,4727000
53,Total Current Liabilities,2771000,3397000,3783000,3725000,4081000,3612000,3655000,5778000,5039000,4680000,4446000,5038000,4318000,5444000,9776000,7716000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118000,1780000
55,Deferred Revenue,- -,- -,- -,- -,- -,464000,673000,496000,- -,- -,- -,- -,854000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,294000,215000,257000,99000,525000,- -,- -,- -,203000,226000,956000,985000,- -,2494000,2295000,- -
58,Total Non-Current Liabilities,294000,215000,257000,99000,525000,464000,673000,496000,203000,226000,956000,985000,854000,2494000,3413000,1780000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2494000,2295000,1780000
61,Total Liabilities,3065000,3612000,4040000,3824000,4606000,4076000,4328000,6274000,5242000,4906000,5402000,6023000,5172000,7938000,13189000,9496000
62,Preferred Stock,- -,- -,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
63,Common Stock,- -,- -,7000,7000,7000,7000,7000,7000,8000,9000,11000,12000,12000,12000,17000,17000
64,Retained Earnings,- -,- -,76000,-2681000,1493000,7149000,13077000,9368000,-8106000,-26040000,-47712000,-73508000,-105875000,-138715000,-171252000,-206011000
65,Other Comprehensive Income/Loss,- -,-3949000,-192000,-750000,-1315000,-1928000,-1936000,-2631000,-3451000,-4498000,-5432000,-6493000,-7892000,-9141000,-10007000,- -
66,Other Total Stockholders Equity,34593000,38788000,48460000,50033000,50924000,36439000,41805000,44129000,63673000,81937000,126417000,162286000,170320000,197244000,265031000,261324000
67,Total Stockholders Equity,34593000,34839000,48401000,46659000,51159000,41717000,53003000,50923000,52174000,51458000,73334000,82347000,56615000,49450000,83839000,55380000
68,Total Liabilities And Stockholders Equity,37658000,38451000,52441000,50483000,55765000,45793000,57331000,57197000,57416000,56364000,78736000,88370000,61787000,57388000,97028000,64876000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37658000,38451000,52441000,50483000,55765000,45793000,57331000,57197000,57416000,56364000,78736000,88370000,61787000,57388000,97028000,64876000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438231/000104746909001962/0001047469-09-001962-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312510038844/0001193125-10-038844-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312511054776/d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312512078765/0001193125-12-078765-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312513071702/0001193125-13-071702-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312514062441/d643515d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312515056195/d843140d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312516478031/0001193125-16-478031-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459017002248/0001564590-17-002248-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459018002871/0001564590-18-002871-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459019003876/0001564590-19-003876-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459020007343/0001564590-20-007343-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459021009019/0001564590-21-009019-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459022008846/0001564590-22-008846-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2687000,55000,1491000,-2757000,4174000,5656000,8272000,-507000,-15820000,-17934000,-21672000,-25771000,-32506000,-32840000,-32537000,-34759000
74,Depreciation and Amortization,616000,612000,766000,589000,644000,737000,985000,1989000,2314000,2433000,2457000,2426000,2143000,2207000,2772000,2541000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1769000,3404000,-1570000,2085000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,790000,- -,1445000,2444000,3068000,4216000,5256000,4502000,5403000,5077000,5553000,6757000,7298000,8214000,9115000,11936000
77,Change in Working Capital,-473000,403000,7644000,2404000,-7977000,-8667000,6987000,-2466000,9060000,-2830000,20851000,12814000,-25949000,-7476000,36206000,-1452000
78,Accounts Receivable,- -,- -,-44000,269000,89000,-21000,-187000,-1667000,1316000,-64000,-462000,-1326000,2516000,-133000,114000,-2647000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,33052000,33455000,41099000,43503000,35526000,26859000,33846000,31380000,40440000,37610000,58461000,71275000,45326000,37850000,74056000,-10000
82,Other Non-Cash Items,-13000,-45000,-7443000,-1901000,10523000,10061000,-9303000,1525000,-9775000,3514000,-21053000,-13837000,27804000,7483000,-35902000,-4382000
83,Cash Provided by Operating Activities,-1767000,1025000,3903000,779000,10432000,10234000,15601000,3473000,-6733000,-9740000,-13864000,-17611000,-21210000,-22412000,-20346000,-26116000
84,CAPEX,-536000,-367000,-1323000,-1302000,-1695000,-1371000,-1740000,-2742000,-2589000,-2113000,-2627000,-3007000,-2039000,-1714000,-1632000,-1572000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-5784000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-136207000,-154343000,-255736000,-51726000,-130678000,-67144000,-146444000,-54590000,-79971000,-113105000,-53914000,-38387000,-24021000,-51310000,-75379000,-52523000
87,Sales/Maturities of Investments,- -,150775000,232320000,43708000,122176000,74689000,144214000,55627000,78174000,110029000,41052000,60360000,34558000,42084000,43155000,82076000
88,Other Investing Activites,136946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-612000,-2606000
89,Cash Used for Investing Activites,203000,-3935000,-24739000,-9320000,-10197000,6174000,-9754000,-1705000,-4386000,-5189000,-15489000,18966000,8498000,-10940000,-33856000,25981000
90,Debt Repayment,- -,- -,-6000,-39000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,242000,2187000,23862000,273000,3045000,1651000,1660000,- -,15989000,12896000,39700000,29677000,- -,19615000,38603000,- -
92,Common Stock Repurchased,- -,- -,- -,-1737000,-5824000,-22046000,-4760000,-1822000,-2392000,-2443000,-2537000,-3030000,-2089000,-3506000,-3760000,-5772000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-2344000,-3202000,-1654000,- -,- -,- -,- -,- -,248000,- -
94,Other Financing Activites,3152000,-3205000,-13237000,- -,- -,1066000,3044000,201000,1487000,1514000,668000,1183000,1256000,1178000,27594000,- -
95,Cash Used/Provided by Financing Activities,3394000,-1018000,10619000,-1503000,-2779000,-19329000,-2400000,-4823000,13430000,11967000,37831000,27830000,-833000,17287000,62685000,-5772000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1830000,-3928000,-10217000,-10044000,-2544000,-2921000,3447000,-3055000,2311000,-2962000,8478000,29185000,-13545000,-16065000,8483000,-5907000
98,Cash at the End of Period,33073000,29145000,18928000,8884000,6340000,3419000,6866000,3811000,6122000,3160000,11638000,40823000,27278000,11213000,19696000,13789000
99,Cash at the Beginning of Period,31243000,33073000,29145000,18928000,8884000,6340000,3419000,6866000,3811000,6122000,3160000,11638000,40823000,27278000,11213000,19696000
100,Free Cash Flow,-2303000,658000,2580000,-523000,8737000,8863000,13861000,731000,-9322000,-11853000,-16491000,-20618000,-23249000,-24126000,-21978000,-27688000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438231/000104746909001962/0001047469-09-001962-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312510038844/0001193125-10-038844-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312511054776/d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312512078765/0001193125-12-078765-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312513071702/0001193125-13-071702-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312514062441/d643515d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312515056195/d843140d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312516478031/0001193125-16-478031-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459017002248/0001564590-17-002248-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459018002871/0001564590-18-002871-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459019003876/0001564590-19-003876-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459020007343/0001564590-20-007343-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459021009019/0001564590-21-009019-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459022008846/0001564590-22-008846-index.htm
102,false,,,,,,,,,,,,,,,,
