,https://roic.ai/company/RTNTF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,3.02,4.40,4.49,2.26,2.76,7.30,3.03,-1.62,1.98,3.53,-0.47,2.57,4.90,7.93,4.91,6.04,12.94
26,EPS Diluted,3.01,4.38,4.47,2.25,2.75,7.26,3.01,-1.62,1.97,3.51,-0.47,2.55,4.87,7.88,4.88,6.00,12.94
27,Weighted Average Shares Outstanding,1729554666,1690629860,1630277392,1627361201,1763600000,1960848734,1923100000,1849100000,1847300000,1848400000,1824700000,1797300000,1786700000,1719300000,1630100000,1617400000,1630100000
28,Weighted Average Shares Outstanding Diluted,1735133466,1697476569,1637250891,1634715073,1769600000,1972459378,1935548173,1849100000,1857577293,1858485194,1824700000,1808460635,1799548162,1731700000,1642100000,1628600000,1630100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2379000000,736000000,1645000000,1181000000,4233000000,9948000000,9670000000,7082000000,10216000000,12423000000,9366000000,8201000000,10550000000,10773000000,8027000000,8664000000,12807000000
32,Short-Term Investments,536000000,567000000,946000000,264000000,694000000,521000000,585000000,238000000,289000000,157000000,104000000,335000000,1055000000,2604000000,2612000000,2677000000,2481000000
33,Cash and Short-Term Investments,2915000000,1303000000,2591000000,1445000000,4927000000,10469000000,10255000000,7320000000,10505000000,12580000000,9470000000,8536000000,11605000000,13377000000,10639000000,11341000000,15288000000
34,Net Receivables,2518000000,3017000000,6729000000,5807000000,4948000000,6124000000,6336000000,5409000000,4693000000,3620000000,2304000000,3292000000,3293000000,3070000000,2924000000,3441000000,3117000000
35,Inventory,2048000000,2540000000,5382000000,5607000000,4889000000,4756000000,5307000000,6136000000,5737000000,4350000000,3168000000,2937000000,3472000000,3447000000,3463000000,3917000000,5436000000
36,Other Current Assets,- -,15000000,7141000000,5576000000,4950000000,110000000,- -,1328000000,1347000000,575000000,612000000,321000000,802000000,1008000000,277000000,2156000000,591000000
37,Total Current Assets,7481000000,6875000000,21843000000,18435000000,19714000000,21459000000,21898000000,20193000000,22282000000,21125000000,15554000000,15086000000,19172000000,20902000000,17303000000,20855000000,24432000000
38,PP&E,17620000000,22207000000,45647000000,41753000000,45803000000,56024000000,64967000000,75131000000,70827000000,68693000000,61057000000,58855000000,62093000000,56361000000,57372000000,62882000000,65290000000
39,Goodwill,1020000000,841000000,15497000000,14296000000,14268000000,15296000000,8187000000,2774000000,1349000000,1228000000,892000000,951000000,1037000000,912000000,922000000,946000000,879000000
40,Intangible Assets,220000000,384000000,7910000000,6285000000,5730000000,5700000000,7955000000,6628000000,5421000000,5880000000,3336000000,3279000000,3119000000,2779000000,2637000000,2755000000,2469000000
41,Intangible Assets,1240000000,1225000000,23407000000,20581000000,19998000000,20996000000,16142000000,9402000000,6770000000,7108000000,4228000000,4230000000,4156000000,3691000000,3559000000,3701000000,3348000000
42,Investments,1829000000,2235000000,7038000000,5053000000,6735000000,6503000000,9833000000,5982000000,4453000000,5197000000,5200000000,5294000000,4719000000,4607000000,4259000000,4061000000,3822000000
43,Tax Assets,55000000,225000000,585000000,1367000000,2231000000,1863000000,1875000000,3358000000,3555000000,3540000000,3309000000,3728000000,3395000000,3137000000,3102000000,3385000000,3375000000
44,Other Non-Current Assets,1578000000,1727000000,2871000000,2427000000,2755000000,5557000000,4830000000,3507000000,3138000000,2164000000,2216000000,2070000000,2191000000,2251000000,2207000000,2506000000,2629000000
45,Total Non-Current Assets,22322000000,27619000000,79548000000,71181000000,77522000000,90943000000,97647000000,97380000000,88743000000,86702000000,76010000000,74177000000,76554000000,70047000000,70499000000,76535000000,78464000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29803000000,34494000000,101391000000,89616000000,97236000000,112402000000,119545000000,117573000000,111025000000,107827000000,91564000000,89263000000,95726000000,90949000000,87802000000,97390000000,102896000000
48,Accounts Payable,2190000000,2693000000,6667000000,7197000000,5759000000,6576000000,9381000000,3214000000,3095000000,2592000000,2567000000,2787000000,3255000000,3180000000,2855000000,3124000000,3410000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720000000,351000000,1136000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,197000000,246000000,234000000,200000000,344000000,404000000
52,Other Current Liabilities,2596000000,3087000000,13000000000,14903000000,3770000000,5219000000,5585000000,11020000000,12276000000,9988000000,7587000000,6416000000,7848000000,7451000000,7350000000,7788000000,7677000000
53,Total Current Liabilities,4786000000,5780000000,19667000000,22100000000,9529000000,11795000000,14966000000,14234000000,15371000000,12580000000,10157000000,9400000000,11349000000,10865000000,11125000000,11607000000,12627000000
54,Long-Term Debt,2783000000,2007000000,38614000000,29724000000,22155000000,13277000000,20357000000,24422000000,24505000000,22362000000,20765000000,16889000000,14575000000,12401000000,12086000000,12302000000,12395000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,234000000,246000000,176000000,143000000,133000000,205000000
56,Deferred Tax Liabilities,2197000000,2339000000,6486000000,4054000000,4304000000,5175000000,6210000000,4736000000,4140000000,3574000000,3286000000,3121000000,3628000000,3673000000,3220000000,3239000000,3503000000
57,Other Non-Current Liabilities,4298000000,4983000000,10300000000,11277000000,15323000000,16881000000,18804000000,16160000000,13507000000,14717000000,13130000000,13889000000,14813000000,14011000000,15986000000,18206000000,17576000000
58,Total Non-Current Liabilities,9278000000,9329000000,55400000000,45055000000,41782000000,35333000000,45371000000,45318000000,42152000000,40653000000,37279000000,34133000000,33262000000,30261000000,31435000000,33880000000,33679000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,53000000,46000000,54000000,52000000,45000000,53000000,44000000,1309000000,1178000000,1363000000
61,Total Liabilities,14064000000,15109000000,75067000000,67155000000,51311000000,47128000000,60337000000,59552000000,57523000000,53233000000,47436000000,43533000000,44611000000,41126000000,42560000000,45487000000,46306000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1191000000,1271000000,1391000000,1121000000,5170000000,5847000000,5816000000,5945000000,5141000000,4765000000,4174000000,4139000000,4360000000,3688000000,3655000000,3988000000,3777000000
64,Retained Earnings,11893000000,14401000000,19033000000,17134000000,20477000000,32585000000,27784000000,21827000000,23605000000,26110000000,19736000000,21631000000,23761000000,27025000000,23387000000,26792000000,33337000000
65,Other Comprehensive Income/Loss,-15110000000,-15801000000,-18413000000,-18868000000,-24342000000,-27767000000,-31184000000,-39080000000,-44938000000,-46576000000,-45512000000,-48982000000,-53796000000,-47933000000,-55978000000,- -,9998000000
66,Other Total Stockholders Equity,16974000000,18361000000,22761000000,21251000000,42526000000,47668000000,50123000000,58173000000,62078000000,61986000000,58951000000,62502000000,70386000000,60906000000,69468000000,16274000000,4320000000
67,Total Stockholders Equity,14948000000,18232000000,24772000000,20638000000,43831000000,58333000000,52539000000,46865000000,45886000000,46285000000,37349000000,39290000000,44711000000,43686000000,40532000000,47054000000,51432000000
68,Total Liabilities And Stockholders Equity,29012000000,33341000000,99839000000,87793000000,95142000000,105461000000,112876000000,106417000000,103409000000,99518000000,84785000000,82823000000,89322000000,84812000000,83092000000,92541000000,97738000000
69,Minority Interest,791000000,1153000000,1552000000,1823000000,2094000000,6941000000,6669000000,11156000000,7616000000,8309000000,6779000000,6440000000,6404000000,6137000000,4710000000,4849000000,5158000000
70,Total Liabilities & Equity,29803000000,34494000000,101391000000,89616000000,97236000000,112402000000,119545000000,117573000000,111025000000,107827000000,91564000000,89263000000,95726000000,90949000000,87802000000,97390000000,102896000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,5215000000,7438000000,7312000000,3676000000,4872000000,14324000000,5826000000,-2990000000,3665000000,6527000000,-866000000,4617000000,8762000000,13638000000,8010000000,9769000000,21094000000
74,Depreciation and Amortization,1334000000,1469000000,2115000000,3475000000,3427000000,3437000000,3817000000,4441000000,4791000000,4860000000,4645000000,4794000000,4375000000,4015000000,4384000000,4279000000,4697000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,429000000,2426000000,3053000000,993000000,1567000000,3965000000,4242000000,4147000000,4991000000,8258000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-441000000,-635000000,38000000,389000000,1313000000,-825000000,187000000,295000000,557000000,1519000000,1499000000,-273000000,-199000000,-532000000,- -,-285000000,-1079000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,465000000,84000000,962000000,1404000000,-794000000,-138000000,- -,- -,- -,- -
79,Inventory,-249000000,-454000000,130000000,-1178000000,653000000,-492000000,-1000000000,-432000000,-330000000,937000000,526000000,292000000,-482000000,-587000000,28000000,-281000000,-1397000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,262000000,803000000,-380000000,-431000000,229000000,421000000,- -,- -,- -,- -
81,Other Working Capital,35000000,97000000,-82000000,-42000000,322000000,387000000,-160000000,-65000000,282000000,103000000,-295000000,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,609000000,-469000000,-974000000,7343000000,-400000000,1341000000,10200000000,7193000000,3639000000,-1673000000,3112000000,-2240000000,-3019000000,-9542000000,-1629000000,-2879000000,-7625000000
83,Cash Provided by Operating Activities,6717000000,7803000000,8491000000,14883000000,9212000000,18277000000,20030000000,9368000000,15078000000,14286000000,9383000000,8465000000,13884000000,11821000000,14912000000,15875000000,25345000000
84,CAPEX,- -,- -,- -,-8574000000,-5388000000,-4591000000,-12335000000,-17458000000,-13001000000,-8162000000,-4685000000,-3012000000,-4482000000,-5430000000,-5488000000,-6189000000,-7384000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000
86,Purchases of Investments,- -,- -,-273000000,-288000000,-44000000,-145000000,-146000000,-50000000,-75000000,-24000000,-49000000,-789000000,-723000000,-1572000000,- -,-5000000,-45000000
87,Sales/Maturities of Investments,- -,- -,49000000,171000000,253000000,227000000,104000000,693000000,224000000,172000000,65000000,582000000,40000000,19000000,- -,63000000,114000000
88,Other Investing Activites,-2257000000,-4089000000,-42518000000,2510000000,1822000000,2798000000,-4461000000,-1359000000,1906000000,1511000000,69000000,1115000000,2792000000,8304000000,18000000,-6614000000,146000000
89,Cash Used for Investing Activites,-2257000000,-4089000000,-42742000000,-6181000000,-3357000000,-1711000000,-16838000000,-18174000000,-10946000000,-6503000000,-4600000000,-2104000000,-2373000000,1321000000,- -,-6556000000,-7159000000
90,Debt Repayment,-893000000,-1102000000,-1034000000,-12677000000,-22220000000,-11307000000,-496000000,-681000000,-1832000000,-3476000000,-3518000000,-9361000000,-2795000000,-2300000000,-518000000,-1045000000,-2065000000
91,Common Stock Issued,100000000,31000000,13000000,23000000,14877000000,92000000,472000000,2945000000,159000000,1291000000,103000000,101000000,170000000,85000000,101000000,- -,- -
92,Common Stock Repurchased,-877000000,-2370000000,-1624000000,- -,- -,- -,-5504000000,-1471000000,- -,- -,-2028000000,- -,-2083000000,-5386000000,-1552000000,-208000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1754000000,-2236000000,-3038000000,-3322000000,-3710000000,-4076000000,-2725000000,-4250000000,-5356000000,-10334000000,-6132000000,-15357000000
94,Other Financing Activites,-741000000,-1948000000,37742000000,3546000000,4880000000,2359000000,4338000000,8570000000,4061000000,459000000,1849000000,4494000000,-183000000,6000000,84000000,255000000,1560000000
95,Cash Used/Provided by Financing Activities,-2411000000,-5389000000,35097000000,-9108000000,-2463000000,-10610000000,-3426000000,6325000000,-934000000,-5436000000,-7670000000,-7491000000,-9141000000,-12951000000,-12219000000,-7130000000,-15862000000
96,Effect of Forex Changes on Cash,-8000000,30000000,-27000000,-101000000,-284000000,-139000000,-71000000,49000000,-261000000,-156000000,-159000000,-35000000,-12000000,151000000,-54000000,165000000,100000000
97,Net Change In Cash,2041000000,-1645000000,819000000,-507000000,3108000000,5817000000,-305000000,-2432000000,2937000000,2191000000,-3046000000,-1165000000,2358000000,342000000,-2862000000,2354000000,2424000000
98,Cash at the End of Period,2367000000,722000000,1541000000,1034000000,4142000000,9959000000,9654000000,7222000000,10209000000,12400000000,9354000000,8189000000,10547000000,10889000000,8027000000,10381000000,12805000000
99,Cash at the Beginning of Period,326000000,2367000000,722000000,1541000000,1034000000,4142000000,9959000000,9654000000,7272000000,10209000000,12400000000,9354000000,8189000000,10547000000,10889000000,8027000000,10381000000
100,Free Cash Flow,6717000000,7803000000,8491000000,6309000000,3824000000,13686000000,7695000000,-8090000000,2077000000,6124000000,4698000000,5453000000,9402000000,6391000000,9424000000,9686000000,17961000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,
