,https://roic.ai/company/NIO,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,581296000,7505954000,3133847000,862839000,38425541000,15333719000
32,Short-Term Investments,- -,- -,5154703000,111000000,3950747000,37057554000
33,Cash and Short-Term Investments,581296000,7505954000,8288550000,973839000,42376288000,52391273000
34,Net Receivables,182871000,505998000,2002143000,2819963000,2585928000,4349139000
35,Inventory,- -,89464000,1465239000,889528000,1081553000,2056352000
36,Other Current Assets,110860000,208589000,413700000,244678000,163048000,4844551000
37,Total Current Assets,875027000,8310005000,12169632000,4928008000,46206817000,63641315000
38,PP&E,849608000,1961895000,5012498000,7703390000,6457481000,10387890000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,6345000,4457000,217132000,210337000,204581000,199121000
41,Intangible Assets,6345000,4457000,217132000,210337000,204581000,199121000
42,Investments,- -,47125000,148303000,115325000,300121000,3059383000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,39498000,144552000,1294987000,1624969000,1472929000,5595892000
45,Total Non-Current Assets,895451000,2158029000,6672920000,9654021000,8435112000,19242286000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1770478000,10468034000,18842552000,14582029000,54641929000,82883601000
48,Accounts Payable,- -,234011000,2869953000,3111699000,6368253000,12638991000
49,Short-Term Debt,19582000,83815000,2068852000,1857137000,2510939000,8042523000
50,Tax Payable,20405000,30055000,51317000,43986000,181658000,627794000
51,Deferred Revenue,- -,68439000,342017000,486268000,1004337000,- -
52,Other Current Liabilities,706983000,1232249000,3312564000,4043754000,4092711000,8516638000
53,Total Current Liabilities,726565000,1618514000,8593386000,9498858000,13976240000,29198152000
54,Long-Term Debt,37500000,642401000,1168012000,8841960000,7008647000,12056369000
55,Deferred Revenue,19644000,30416000,545420000,636582000,1004197000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,25199000
57,Other Non-Current Liabilities,4903129000,19768483000,1714589000,1882228000,5481889000,3540458000
58,Total Non-Current Liabilities,4960273000,20441300000,3428021000,11360770000,13494733000,15622026000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2336243000,1650747000,3061754000
61,Total Liabilities,5686838000,22059814000,12021407000,20859628000,27470973000,44820178000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,52000,60000,1809000,1827000,2679000,2892000
64,Retained Earnings,-4076945000,-11711948000,-35039810000,-46326321000,-51648410000,-55634140000
65,Other Comprehensive Income/Loss,110452000,-13922000,-34708000,-203048000,-65452000,-276300000
66,Other Total Stockholders Equity,61664000,122721000,41909750000,40227856000,78880014000,90617472000
67,Total Stockholders Equity,-3904777000,-11603089000,6837041000,-6299686000,27168831000,34709924000
68,Total Liabilities And Stockholders Equity,1782061000,10456725000,18858448000,14559942000,54639804000,79530102000
69,Minority Interest,-11583000,11309000,-15896000,22087000,2125000,3353499000
70,Total Liabilities & Equity,1770478000,10468034000,18842552000,14582029000,54641929000,82883601000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1736541/000114420419017601/0001144204-19-017601-index.htm,https://www.sec.gov/Archives/edgar/data/1736541/000110465920061585/0001104659-20-061585-index.htm,https://www.sec.gov/Archives/edgar/data/1736541/000110465921046834/0001104659-21-046834-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-2536316000,-4984734000,-9597274000,-11286511000,-5299120000,- -
74,Depreciation and Amortization,46087000,167858000,474223000,1520973000,1545721000,- -
75,Deferred Income Tax,- -,- -,- -,- -,9654000,- -
76,Stock Based Compensation,76684000,90296000,679468000,333495000,187094000,- -
77,Change in Working Capital,256862000,130729000,505654000,436837000,4829873000,- -
78,Accounts Receivable,- -,- -,-756508000,-681556000,237928000,- -
79,Inventory,- -,-89464000,-1375862000,569163000,-197828000,- -
80,Accounts Payable,- -,- -,2827144000,116527000,3256552000,- -
81,Other Working Capital,40913000,11931000,-173325000,79362000,917352000,- -
82,Other Non-Cash Items,-44881000,21132000,26161000,273500000,677672000,- -
83,Cash Provided by Operating Activities,-2201564000,-4574719000,-7911768000,-8721706000,1950894000,- -
84,CAPEX,-654455000,-1113893000,-2643964000,-1706787000,-1127686000,- -
85,Acquisitions Net,- -,-79878000,-110900000,45153000,-250826000,- -
86,Purchases of Investments,-2346261000,-1337413000,-8090703000,-2202762000,-7594110000,- -
87,Sales/Maturities of Investments,3118559000,1340911000,2936000000,7246465000,3738490000,- -
88,Other Investing Activites,- -,- -,-31276000,- -,163072000,- -
89,Cash Used for Investing Activites,117843000,-1190273000,-7940843000,3382069000,-5071060000,- -
90,Debt Repayment,- -,-325013000,-120205000,-2654874000,-1293141000,- -
91,Common Stock Issued,- -,- -,7531037000,- -,34607139000,- -
92,Common Stock Repurchased,-8408000,- -,-7490000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2301112000,13192347000,4199750000,5749827000,8043437000,- -
95,Cash Used/Provided by Financing Activities,2292704000,12867334000,11603092000,3094953000,41357435000,- -
96,Effect of Forex Changes on Cash,40539000,-168120000,-56947000,10166000,-682040000,- -
97,Net Change In Cash,249522000,6934222000,-4306466000,-2234518000,37555229000,- -
98,Cash at the End of Period,596631000,7530853000,3224387000,989869000,38545098000,- -
99,Cash at the Beginning of Period,347109000,596631000,7530853000,3224387000,989869000,- -
100,Free Cash Flow,-2856019000,-5688612000,-10555732000,-10428493000,823208000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1736541/000114420419017601/0001144204-19-017601-index.htm,https://www.sec.gov/Archives/edgar/data/1736541/000110465920061585/0001104659-20-061585-index.htm,https://www.sec.gov/Archives/edgar/data/1736541/000110465921046834/0001104659-21-046834-index.htm,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
