,https://roic.ai/company/SEII,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11962171,5717211,10527946,15400208,8101014,5900182,11185372,8827447,-11425502,-1393222,-12420106,-42102318,-2556543,-6788645,-3897513
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4899,0.1352,0.1969,0.1936,0.1458,0.1032,0.1551,0.1162,-0.2305,-0.0802,-0.9185,-4.4281,-86.2095,-130.7394,-16.3929
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1649430,2234948,2918773,4325876,2340471,1701602,2999795,4561030,1344720,- -,408287,- -,- -,- -,-9558
23,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,-950,-1100,-1979,10312741,3482263,7609173,11074332,5760543,4198580,8185577,4266417,-12770222,-11679154,-12906769,-41117288,-27087097,-6719447,-3887955
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,0.4223,0.0824,0.1423,0.1392,0.1036,0.0734,0.1135,0.0562,-0.2576,-0.6726,-0.9545,-4.3245,-913.4074,-129.4068,-16.3527
25,EPS,- -,- -,- -,- -,-0.01,-0.01,-0.01,-0.01,-0.03,-0.68,-0.78,-1.41,1680.00,60.00,740.00,1240.00,588.00,330.00,510.00,230.00,-648.00,-490.50,-352.00,-357.50,-0.14,-0.06,-0.04
26,EPS Diluted,- -,- -,- -,- -,-0.01,-0.01,-0.01,-0.01,-0.03,-0.68,-0.78,-1.41,1620.00,60.00,480.00,880.00,460.00,316.00,510.00,230.00,-648.00,-490.50,-352.00,-357.50,-0.14,-0.06,-0.04
27,Weighted Average Shares Outstanding,- -,270000,270000,250000,70000,70000,70000,70000,70000,1402,1402,1402,6113,6666,7618,8939,9810,12691,16053,18576,19703,23798,36658,115073,188332818,107723188,107723188
28,Weighted Average Shares Outstanding Diluted,- -,270000,270000,250000,70000,70000,70000,70000,70000,1402,1402,1402,6451,10603,11410,12698,12504,13245,16053,18576,19703,23798,36658,115073,188332818,107723188,107723188
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819926/000114420409017970/0001144204-09-017970-index.html,https://www.sec.gov/Archives/edgar/data/819926/000114420410017562/0001144204-10-017562-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390012001379/0001213900-12-001379-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390014001839/0001213900-14-001839-index.htm,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390016012046/0001213900-16-012046-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390018004297/0001213900-18-004297-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390019006530/0001213900-19-006530-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390020018468/0001213900-20-018468-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390021021884/0001213900-21-021884-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390022016536/0001213900-22-016536-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,5025434,328614,2278638,947177,1152607,1445728,1114873,7835791,18790370,1481498,1019437,781740,83667,1805417,66273
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4532296,1989823,3624660
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,5025434,328614,2278638,947177,1152607,1445728,1114873,7835791,18790370,1481498,1019437,781740,4615963,3795240,3690933
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2158412,5225496,6375914,8258390,7141378,10166652,15938581,20995652,16995240,18894436,12504443,7269327,305,38814,141183
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1929796,1892090,2232264,3371128,4276090,5897555,4733558,4241022,1827084,2394179,4553559,6414305,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316760,139539,1042885,3130024,2156463,1563462,2199112,1017723,1860030,3822013,4848904,6751637,1019883,132644,307299
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,10430402,7585739,11929701,15706719,14726538,19073397,23986124,34090188,39472724,26592126,22926343,21217009,5636151,3966698,4139415
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6525986,25939596,36863501,54742993,64042079,59436100,70595138,69628597,51753964,29878675,33181119,21563420,620075,487336,395825
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27421,27353,27353,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502634,3806422,3729427,3767159,3820536,3756342,3786051,3672420,3382071,5283695,5394296,3535092,1081054,129414,31504
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502634,3806422,3729427,3767159,3820536,3756342,3786051,3672420,3382071,5283695,5394296,3562513,1108407,156767,31504
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8610759,9053859,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,551890,1222216,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11037411,- -,- -,- -,- -,7118555,4751206,422540,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18066031,29746018,40592928,58510152,67862615,70862887,80354611,73723557,55136035,43773129,47629274,25125933,1728482,644103,427329
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,28496433,37331757,52522629,74216871,82589153,89936284,104340735,107813745,94608759,70365255,70555617,46342942,7364633,4610801,4566744
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,7100,9079,1845769,2485137,3404521,7660768,4997109,5474479,4961555,4322275,3489815,864870,2798590,4254598,516341,1264706,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4081672,1021272,2040111,1814937,2915729,2467971,3796806,3583938,3728412,2707061,3167118,2966162,5514755,7041889,1113830
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666712,1043798,1413327,592202,1028609,1749952,1031689,529271,126786,63483,60065,6802,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1166942,1851987,1455740,495461,433050,427446,2454375,1073797,- -,107,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317686,900065,1743721,2175337,1363799,2015433,2649768,2091268,6890350,1053842,966454,2366050,2652247,3400595,11151598
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,7100,9079,7245127,4406474,7188353,11651042,10443579,11809870,12863869,10492942,14541627,5053219,9386537,10660607,8683343,11707297,12265428
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381235,132756,- -,- -,- -,- -,- -,244910,4981361,4940420,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4822244
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381235,132756,- -,- -,- -,- -,- -,244910,4981361,4940420,4822244
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625982,384169,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,7100,9079,7245127,4406474,7188353,11651042,10824814,11942626,12863869,10492942,14541627,5053219,9386537,10905517,13664704,16647717,17087672
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14028,15419,16205,10996,- -,- -,- -,- -,- -,- -,- -,- -,532,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,168,168,168,37385,44896,16402,18751,2102,2894,3503,3860,3944,1415,2528,7449,199418,172883,239278
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8262,-9362,-11341,16074270,13639641,19848017,29264152,34618341,38401734,46322329,50039267,37007776,26531498,13624729,-27492559,-66300687,-73020134,-76908089
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400006,3034227,3121682,5029471,7578749,10601902,13618726,13759819,9252079,3229581,7276421,5010206,42597,-13246,-15826
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2097,2097,- -,- -,16192491,22332756,28237250,29554151,28987128,31532308,33517857,33803333,35549542,40241172,58452131,60718803,61700634,65050852
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5997,-7097,-9076,21251306,32925283,45334276,62565829,71764339,77993658,91476866,97320803,80067132,65312036,61144850,35977227,-5339869,-11159331,-11633785
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,28496433,37331757,52522629,74216871,82589153,89936284,104340735,107813745,94608759,70365255,70531387,46882744,8324835,5488386,5453887
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24230,-539802,-960202,-877585,-887143
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,28496433,37331757,52522629,74216871,82589153,89936284,104340735,107813745,94608759,70365255,70555617,46342942,7364633,4610801,4566744
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819926/000114420409017970/0001144204-09-017970-index.html,https://www.sec.gov/Archives/edgar/data/819926/000114420410017562/0001144204-10-017562-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390012001379/0001213900-12-001379-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390014001839/0001213900-14-001839-index.htm,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390016012046/0001213900-16-012046-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390018004297/0001213900-18-004297-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390019006530/0001213900-19-006530-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390020018468/0001213900-20-018468-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390021021884/0001213900-21-021884-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390022016536/0001213900-22-016536-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,-950,-1100,-1979,10312741,3482263,7609173,11074332,5760543,4198580,8185577,4266417,-12770222,-11679154,-12906769,-41117288,-27087097,-6719447,-3897513
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989847,733858,1895312,3279866,5442675,6612931,6799877,8565997,8223881,5742285,4275122,5129441,299874,337683,233710
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113420,188483,546963,355856,167714,423112,375989,285560,927206,1586643,1621118,933,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5997,-1100,-1979,3198212,-6010,1562083,-685671,227282,2980568,3858728,12474991,1333851,-3392190,-7999101,-2983404,-13603594,-4693407,-385414
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2384061,-1397241,-2913257,694014,-2887716,-4126440,-5668901,1477142,-5906749,-924212,2547860,91228,-38509,-102369
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38432,164596,-416511,-1036591,-761072,-1549740,1303519,470509,1317739,-874055,-2209520,-3132915,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490230,912852,4040484,-3425206,438945,-1809914,-872178,-624196,-958163,1849047,1700787,217615,748366,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5997,-7097,-9076,3185275,3179265,4741348,4055677,4282959,7263527,11122255,23597246,24931097,21538907,13539806,10556402,-3047192,-7740599,-8126013
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,6947,2200,3958,-5482583,905193,-1959228,451410,-1337937,-3325021,-7798753,-13525380,14658212,1453322,14634314,34892714,34085016,9530985,2544676
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9018217,5228724,9295823,14666900,10448419,10634772,11468541,12158014,11731282,-6948531,-409791,-2457419,-6304868,-1544186,-1504541
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10566,-13813297,-12662466,-19406064,-11115640,-10744247,-14633745,-11058530,-12458,-3617846,-5199833,-74832,-99941,- -,-47722
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2167532,2130556,2341,- -,8252,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10339525,- -,- -,- -,- -,- -,- -,- -,- -,-9001279,- -,- -,-4532296,-11482148,-22237565
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948722,35908,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12803705,-1143491
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55813,- -,- -,- -,- -,- -,3991405,- -,-2408369,1146959,- -,- -,2898,22284711
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9401369,-13721576,-12662466,-19406064,-11115640,-10744247,-14633745,-7067125,-12458,-10451593,-1922318,-72491,-4632237,1332707,-1144067
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102979,- -,-2100238,-4018811,-3885818,-5238098,-4102097,-4149577,-3898547,-1634906,-2379621,- -,-58824,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1393883,- -,380000,125000,- -,2388589,1623691,- -,753400,860000,256410,905100,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12515
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4943466,2331198,5316025,5090238,4725320,4292146,5653824,4102097,4310414,3755551,2578517,4137811,9339931,2021018,985235
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4943466,3622102,5316025,3370000,831509,406328,2804315,1623691,160837,610404,1803611,2014600,10245031,1962194,972720
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43730,173930,642,37703,41142,-3732,30034,6338,-925082,-519152,66437,82095,-73776,-28965,-63256
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4604044,-4696820,1950024,-1331461,205430,293121,-330855,6720918,10954579,-17308872,-462061,-433215,-799795,1721750,-1739144
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,5025434,328614,2278638,947177,1152607,1445728,1114873,7835791,18790370,1481498,1019437,859213,83667,1805417,66273
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3,3,3,421390,5025434,328614,2278638,947177,1152607,1445728,1114873,7835791,18790370,1481498,1292428,883462,83667,1805417
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9007651,-8584573,-3366643,-4739164,-667221,-109475,-3165204,1099484,11718824,-10566377,-5609624,-2532251,-6404809,-1544186,-1552263
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819926/000114420409017970/0001144204-09-017970-index.html,https://www.sec.gov/Archives/edgar/data/819926/000114420410017562/0001144204-10-017562-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390012001379/0001213900-12-001379-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390014001839/0001213900-14-001839-index.htm,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390016012046/0001213900-16-012046-index.html,- -,https://www.sec.gov/Archives/edgar/data/819926/000121390018004297/0001213900-18-004297-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390019006530/0001213900-19-006530-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390020018468/0001213900-20-018468-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390021021884/0001213900-21-021884-index.htm,https://www.sec.gov/Archives/edgar/data/819926/000121390022016536/0001213900-22-016536-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
