,https://roic.ai/company/DOYU,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,516823810,539601552,5562204889,8091990270,5279902398,4456406000
32,Short-Term Investments,- -,- -,- -,- -,2230229000,2076355000
33,Cash and Short-Term Investments,516823810,539601552,5562204889,8091990270,7510131398,6532761000
34,Net Receivables,117133698,232155391,382449175,397227193,419878548,228548000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,41958353,91096619,172354980,112432954,103747146,467787000
37,Total Current Assets,675915861,862853562,6117009044,8601650417,8033757092,7229096000
38,PP&E,49292323,50270125,50427610,38909465,99932742,97420000
39,Goodwill,- -,- -,13567679,30972888,12932564,12637000
40,Intangible Assets,11324271,16653672,131013892,198056841,141671881,161540000
41,Intangible Assets,11324271,16653672,144581571,229029729,154604445,174177000
42,Investments,29246021,96129014,134252190,225533885,600658570,591425000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,13137789,5707803,48581307,8546843,19004481,64785000
45,Total Non-Current Assets,103000404,168760614,377842678,502019922,874200238,927807000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,778916265,1031614176,6494851722,9103670339,8907957330,8156903000
48,Accounts Payable,335976134,452067470,800370211,890038953,986073111,824128000
49,Short-Term Debt,- -,- -,- -,- -,36280773,30417000
50,Tax Payable,12128532,13506824,23032710,13767363,18974895,- -
51,Deferred Revenue,20567644,51410083,121779847,213117018,252924194,242610000
52,Other Current Liabilities,167356520,368443962,1941762512,691080146,607565749,751836000
53,Total Current Liabilities,523900298,871921515,2863912570,1794236117,1882843827,1848991000
54,Long-Term Debt,- -,- -,- -,- -,16951948,31278000
55,Deferred Revenue,- -,- -,- -,46070000,30778568,18045000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2129383560,2629383560,6644822639,348,- -,- -
58,Total Non-Current Liabilities,2129383560,2629383560,6644822639,46070348,47730516,49323000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,53232721,61695000
61,Total Liabilities,2653283858,3501305075,9508735209,1840306465,1930574343,1898314000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,5148,22144,22630,23000
64,Retained Earnings,-1899293320,-2512191264,-3388471092,-3348717860,-2863219263,-3368132000
65,Other Comprehensive Income/Loss,- -,- -,325593213,434893990,10911853,-114335000
66,Other Total Stockholders Equity,- -,- -,48989244,10155710730,9791301028,9816288000
67,Total Stockholders Equity,-1874367593,-2469690899,-3013883487,7241909004,6939016248,6333844000
68,Total Liabilities And Stockholders Equity,778916265,1031614176,6494851722,9082215469,8869590591,8232158000
69,Minority Interest,- -,- -,- -,21454870,38366739,-75255000
70,Total Liabilities & Equity,778916265,1031614176,6494851722,9103670339,8907957330,8156903000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-782891758,-612897944,-876279828,39753232,485498597,- -
74,Depreciation and Amortization,7063681,26042713,45545358,90121814,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,24925727,17574638,35404887,290781764,16059123,- -
77,Change in Working Capital,31150446,183583058,358535831,395026257,29749327,- -
78,Accounts Receivable,-20361250,-95289748,5192716,-69456813,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3312717,127138065,348302741,86444383,- -,- -
81,Other Working Capital,16963643,30842439,70369764,137407519,- -,- -
82,Other Non-Cash Items,5637062,4661126,99207346,-2507047,-423338719,- -
83,Cash Provided by Operating Activities,-714114842,-381036409,-337586406,813176020,107968328,- -
84,CAPEX,-46842366,-32042326,-115989719,-121950677,- -,- -
85,Acquisitions Net,- -,- -,-57971520,-10012762,-425088709,- -
86,Purchases of Investments,-909500000,-1760012000,-2862500000,-4424100000,-1370229000,- -
87,Sales/Maturities of Investments,870000000,1700000000,2770000000,4309500000,- -,- -
88,Other Investing Activites,-2143081,-8157493,-81652590,-105644707,- -,- -
89,Cash Used for Investing Activites,-86285614,-92006705,-264950385,-246303031,-1795317709,- -
90,Debt Repayment,-271875000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,5207,3422497233,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-115273325,-579824528,- -
93,Dividends Paid,-4459672,- -,- -,- -,- -,- -
94,Other Financing Activites,1574504000,500000000,5280080993,-1410892078,- -,- -
95,Cash Used/Provided by Financing Activities,1298169328,500000000,5280086200,1896331830,-579824528,- -
96,Effect of Forex Changes on Cash,1468436,-4179144,345053928,109483281,-424004077,- -
97,Net Change In Cash,499237308,22777742,5022603337,2572688100,-2691177986,- -
98,Cash at the End of Period,516823810,539601552,5562204889,8134892989,4449399546,- -
99,Cash at the Beginning of Period,17586502,516823810,539601552,5562204889,7140577532,- -
100,Free Cash Flow,-760957208,-413078735,-453576125,691225343,107968328,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
