,https://roic.ai/company/FDBL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1414043/000121465909000780/0001214659-09-000780-index.html,https://www.sec.gov/Archives/edgar/data/1414043/000121465910000703/0001214659-10-000703-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1414043/000119983513000148/0001199835-13-000148-index.html,https://www.sec.gov/Archives/edgar/data/1414043/000147124214000165/0001471242-14-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983515000136/0001199835-15-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983516000746/0001199835-16-000746-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495417003389/0001654954-17-003389-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495418004044/0001654954-18-004044-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495419004533/0001654954-19-004533-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983520000159/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983521000226/0001199835-21-000226-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16055,- -,- -,- -,118066,120433,18006,- -,15880,119804,- -,25646,11282,52702
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16055,- -,- -,- -,118066,120433,18006,- -,15880,119804,- -,25646,11282,52702
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,14137,3848,1009,- -,- -,30218,12500
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,25000,25000,- -,96863,202752,6963,6863,- -,30000,83399
37,Total Current Assets,16055,- -,- -,- -,143066,145433,18006,111000,222480,127776,6863,25646,71500,148601
38,PP&E,- -,5833,3500,- -,60000,1206011,1206011,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,35000,35000,35000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,35000,35000,35000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,399682,13123,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,5833,3500,- -,60000,1605693,1219134,- -,35000,35000,35000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16055,5833,3500,- -,203066,1751126,1237140,111000,257480,162776,41863,25646,71500,148601
48,Accounts Payable,- -,200,6706,7491,21457,60862,296539,683516,1183169,1554350,2718832,3863577,1945346,2447706
49,Short-Term Debt,- -,- -,- -,- -,- -,129184,655199,381857,493742,2171923,4807189,6399966,121910,204957
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,17836,6323,6323,- -,- -,- -,- -
52,Other Current Liabilities,- -,4232,4878,10078,647,6479,129193,945,- -,- -,- -,- -,13974549,2784300
53,Total Current Liabilities,- -,4432,11584,17569,22104,196525,1080931,1084154,1683234,3732596,7526021,10263543,16041805,5436963
54,Long-Term Debt,- -,- -,- -,- -,- -,982159,971818,- -,74263,218964,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,982159,971818,- -,74263,218964,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,4432,11584,17569,22104,1178684,2052749,1084154,1757497,3951560,7526021,10263543,16041805,148601
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,2,2,2,2,555333,468,30
63,Common Stock,480,515,515,515,4974,5250,21342,881,21898,106803,501031,- -,852,988375
64,Retained Earnings,-24395,-56549,-66034,-75519,-1030196,-4437953,-7307575,-4310032,-7465001,-13500287,-19138469,-22260473,-32443883,- -
65,Other Comprehensive Income/Loss,- -,-1167,-3500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,39970,58602,60935,57435,1206184,5005145,6470624,3335995,5943084,9604698,11153278,12022576,16472258,-6276767
67,Total Stockholders Equity,16055,1401,-8084,-17569,180962,572442,-815609,-973154,-1500017,-3788784,-7484158,-10237897,-15970305,-5288362
68,Total Liabilities And Stockholders Equity,- -,5833,3500,- -,203066,1751126,1237140,111000,257480,162776,41863,25646,71500,-5139761
69,Minority Interest,16055,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5288362
70,Total Liabilities & Equity,16055,5833,3500,- -,203066,1751126,1237140,111000,257480,162776,41863,25646,71500,148601
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1414043/000121465909000780/0001214659-09-000780-index.html,https://www.sec.gov/Archives/edgar/data/1414043/000121465910000703/0001214659-10-000703-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1414043/000119983513000148/0001199835-13-000148-index.html,https://www.sec.gov/Archives/edgar/data/1414043/000147124214000165/0001471242-14-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983515000136/0001199835-15-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983516000746/0001199835-16-000746-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495417003389/0001654954-17-003389-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495418004044/0001654954-18-004044-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495419004533/0001654954-19-004533-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983520000159/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983521000226/0001199835-21-000226-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-20000,-30000,-10000,-10000,-950000,-3410000,-2870000,-3681670,-3077020,-6113240,-5638180,-3122000,-10183410,-4125363
74,Depreciation and Amortization,- -,1167,2333,2333,- -,- -,- -,- -,- -,- -,- -,- -,- -,52218
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,107772,2133251,352338,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,400,-20487,-7152,-5985,138531,-172054,-1011833,89771,-487600,-2144066,-3914338,-2718739,-5732408,10681943
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-14137,10289,2839,1009,- -,-135,-12365
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,200,6506,785,21519,36655,230595,620934,562414,633944,758028,1151607,1074348,725067
81,Other Working Capital,16055,-4432,-11584,-17569,120962,-51092,-1062925,-973154,-1460754,-3604820,-7519158,-10237897,-15970305,-5288362
82,Other Non-Cash Items,-4395,20244,14819,13652,-113549,465069,2922546,2152638,2285275,5439788,8417943,5455419,15426954,-7100878
83,Cash Provided by Operating Activities,-23995,-29076,- -,- -,-817246,-983734,-606949,-1439261,-1279345,-2817518,-1134575,-385320,-488864,-492080
84,CAPEX,- -,-7000,- -,- -,-110124,-85000,-25000,- -,-35000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,966,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-575000,-175000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-35000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-7000,- -,- -,-110124,-85000,-25000,966,-35000,-575000,-175000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-63562,-122978,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,40050,17500,- -,- -,1045436,993538,- -,- -,- -,- -,- -,- -,133500,552050
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,141125,652500,1437350,1331170,3496442,1189771,410966,341000,-18550
95,Cash Used/Provided by Financing Activities,40050,17500,- -,- -,1045436,1071101,529522,1437350,1331170,3496442,1189771,410966,474500,533500
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,2367,-102427,- -,16825,103924,- -,- -,-14364,41420
98,Cash at the End of Period,16055,- -,- -,- -,118066,120433,18006,-945,15880,119804,- -,25646,11282,52702
99,Cash at the Beginning of Period,- -,18576,- -,- -,- -,118066,120433,- -,-945,15880,119804,- -,25646,11282
100,Free Cash Flow,-23995,-36076,- -,- -,-927370,-1068734,-631949,-1439261,-1314345,-2817518,-1134575,-385320,-488864,-492080
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1414043/000121465909000780/0001214659-09-000780-index.html,https://www.sec.gov/Archives/edgar/data/1414043/000121465910000703/0001214659-10-000703-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1414043/000119983513000148/0001199835-13-000148-index.html,https://www.sec.gov/Archives/edgar/data/1414043/000147124214000165/0001471242-14-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983515000136/0001199835-15-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983516000746/0001199835-16-000746-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495417003389/0001654954-17-003389-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495418004044/0001654954-18-004044-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000165495419004533/0001654954-19-004533-index.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983520000159/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1414043/000119983521000226/0001199835-21-000226-index.htm
102,false,,,,,,,,,,,,,,
