,https://roic.ai/company/LEAT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456189/000106299320001476/0001062993-20-001476-index.htm,https://www.sec.gov/Archives/edgar/data/1456189/000106299321002958/0001062993-21-002958-index.htm,https://www.sec.gov/Archives/edgar/data/1456189/000106299322007237/0001062993-22-007237-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1084806,667671,835012,724707,1054750,1103003,1518157,1709900,2072864,2967042,5022436
32,Short-Term Investments,310329,311263,58130,58153,58172,58196,58221,58232,58239,58257,- -
33,Cash and Short-Term Investments,1395135,978934,893142,782860,1112922,1161199,1576378,1768132,2131103,3025299,5022436
34,Net Receivables,2993681,3532811,3139572,4264597,2901699,2301407,2550827,2049331,2956012,7176793,12660936
35,Inventory,3679223,3770932,3259274,3403854,4241140,4578125,5034310,4815215,8655176,9670036,21081481
36,Other Current Assets,1052470,1089823,1346752,1447409,1393804,1416530,1412566,1720519,1576543,2914288,5847329
37,Total Current Assets,9120509,9372500,8638740,9898720,9649565,9457261,10574081,10353197,15318834,22786416,44612182
38,PP&E,1372521,1127707,891728,995537,1313325,1190688,2113855,2317490,2843017,3338208,4521299
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,89960,81323,61273,69133,76364,40466,- -,- -,- -
41,Intangible Assets,116230,111358,89960,81323,61273,69133,76364,40466,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58262
43,Tax Assets,- -,- -,- -,- -,- -,108300,- -,- -,- -,78700,- -
44,Other Non-Current Assets,33509,44495,349469,227980,106493,24892,26081,25380,26642,33699,-24923
45,Total Non-Current Assets,1522260,1283560,1331157,1304840,1481091,1393013,2216300,2383336,2869659,3450607,4554638
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10642769,10656060,9969897,11203560,11130656,10850274,12790381,12736533,18188493,26237023,49166820
48,Accounts Payable,2171456,2000554,2076809,2980885,2560980,3021618,4433665,2779182,5425681,8008925,- -
49,Short-Term Debt,617010,837721,833735,626129,658639,542532,518130,582128,1067239,885425,318621
50,Tax Payable,148000,115000,- -,331000,384950,- -,- -,70258,592661,1654200,2738818
51,Deferred Revenue,265,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,148000,115000,- -,331000,384950,- -,- -,70258,592661,1654200,18414784
53,Total Current Liabilities,2936731,2953275,2910544,3938014,3604569,3564150,4951795,3431568,7085581,10548550,18733405
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1074592
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,38000,40680,88468,73000,65400,38100,170900,- -,- -,228600
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,80000,381191,318108,509249
58,Total Non-Current Liabilities,100000,38000,40680,88468,73000,65400,38100,250900,381191,318108,1812441
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,411956,285932,- -
61,Total Liabilities,3036731,2991275,2951224,4026482,3677569,3629550,4989895,3682468,7466772,10866658,20545846
62,Preferred Stock,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,- -
63,Common Stock,130008,130008,130008,130008,130040,130053,130053,130053,130068,130111,130162
64,Retained Earnings,-13453,65190,-309986,108365,683297,228060,465352,1662196,3037924,7461796,- -
65,Other Comprehensive Income/Loss,199618,164235,-111864,-378431,-710032,-610083,-485286,-609303,-529045,-562700,-779268
66,Other Total Stockholders Equity,7286865,7302352,7307515,7314136,7346782,7469694,7687367,7868119,8079774,8338158,29270080
67,Total Stockholders Equity,7606038,7664785,7018673,7177078,7453087,7220724,7800486,9054065,10721721,15370365,28620974
68,Total Liabilities And Stockholders Equity,10642769,10656060,9969897,11203560,11130656,10850274,12790381,12736533,18188493,26237023,49166820
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10642769,10656060,9969897,11203560,11130656,10850274,12790381,12736533,18188493,26237023,49166820
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456189/000106299320001476/0001062993-20-001476-index.htm,https://www.sec.gov/Archives/edgar/data/1456189/000106299321002958/0001062993-21-002958-index.htm,https://www.sec.gov/Archives/edgar/data/1456189/000106299322007237/0001062993-22-007237-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,764499,78643,-375176,418351,574932,-455237,237292,1196844,1375728,4423872,12574437
74,Depreciation and Amortization,398389,420770,334049,304690,371089,409534,476552,695605,760217,832216,- -
75,Deferred Income Tax,-5100,-62000,-60320,49788,-22468,-900,81000,132800,-170900,-78700,- -
76,Stock Based Compensation,- -,15487,5163,6621,1478,157458,217673,180752,196670,242093,- -
77,Change in Working Capital,-629808,235447,-691029,232510,84290,-151885,-270825,1299343,1311624,4004613,13640911
78,Accounts Receivable,-182331,-546917,400095,-1144398,1309341,714305,-186921,372909,-927986,-4214998,- -
79,Inventory,-922027,-91709,380003,-174518,-836208,-342577,-347886,193899,-3866084,-1022324,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,1412047,-1654483,2646499,2599578,- -
81,Other Working Capital,6183778,6419225,5728196,5960706,6044996,5893111,5622286,6921629,8233253,12237866,25878777
82,Other Non-Cash Items,27910,-1126504,1042813,-252498,230358,361222,976917,-2366489,-2627731,-7076860,-23432938
83,Cash Provided by Operating Activities,555890,-438157,255500,759462,1239679,320192,1718609,1138855,845608,2347234,2782410
84,CAPEX,-477683,-213098,-255025,-463105,-813912,-239336,-1361453,-978167,-874104,-1477454,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-7,-18,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-458764,-206320,21410,-456429,-780564,-239360,-1358353,-976870,-863016,-1429552,-1137337
89,Cash Used for Investing Activites,-458764,-206320,21410,-456429,-780564,-239360,-1358353,-976870,-863023,-1451759,-1137337
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-5654,-300000,- -
91,Common Stock Issued,- -,- -,- -,- -,31200,39000,- -,- -,15000,242093,- -
92,Common Stock Repurchased,-81417,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-14420,220711,-3986,-207606,32510,-116107,-24402,63998,300000,69766,595943
95,Cash Used/Provided by Financing Activities,-95837,220711,-3986,-207606,63710,-77107,-24402,63998,309346,11859,595943
96,Effect of Forex Changes on Cash,-151590,6631,-105583,-205732,-192782,44528,79300,-34240,71033,-13156,-185622
97,Net Change In Cash,-150301,-417135,167341,-110305,330043,48253,415154,191743,362964,894178,2055394
98,Cash at the End of Period,1084806,667671,835012,724707,1054750,1103003,1518157,1709900,2072864,2967042,5022436
99,Cash at the Beginning of Period,1235107,1084806,667671,835012,724707,1054750,1103003,1518157,1709900,2072864,2967042
100,Free Cash Flow,78207,-651255,475,296357,425767,80856,357156,160688,-28496,869780,2782410
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456189/000106299320001476/0001062993-20-001476-index.htm,https://www.sec.gov/Archives/edgar/data/1456189/000106299321002958/0001062993-21-002958-index.htm,https://www.sec.gov/Archives/edgar/data/1456189/000106299322007237/0001062993-22-007237-index.htm
102,false,,,,,,,,,,,
