,https://roic.ai/company/ERYP,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,Net Income ratio,-Infinity,-4.5192,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.39,-1.74,-1.51,-2.16,-2.74,-1.87,-2.13,-3.49,-3.65
26,EPS Diluted,-0.39,-1.74,-1.51,-2.16,-2.74,-1.87,-2.13,-3.49,-3.65
27,Weighted Average Shares Outstanding,5539952,4686150,5874794,6957654,7983642,17937559,17937481,17937535,20055062
28,Weighted Average Shares Outstanding Diluted,5539952,4686150,5874794,6957654,7983642,17937559,17937481,17937535,20055062
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7875115,15112523,36988436,45634000,37646000,185525000,134371000,73173000,44446000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,13000,8000
33,Cash and Short-Term Investments,7875115,15112523,36988436,45634000,37646000,185525000,134371000,73186000,44454000
34,Net Receivables,998675,1686999,2122829,5910000,4402000,4539000,9680000,5824000,4334000
35,Inventory,115983,138238,198356,166000,145000,176000,1396000,358000,- -
36,Other Current Assets,148841,101068,216779,219000,340000,1328000,4460000,2215000,844000
37,Total Current Assets,9138614,17038828,39526400,51929000,42533000,191568000,149907000,81583000,49632000
38,PP&E,731430,792947,967474,917000,2244000,3406000,15274000,35639000,29090000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,29593,14277,30951,62000,57000,54000,1613000,603000,589000
41,Intangible Assets,29593,14277,30951,62000,57000,54000,1613000,603000,589000
42,Investments,- -,82908,- -,- -,- -,66000,91000,17000,17000
43,Tax Assets,124576,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,119671,20000,81814,97000,133000,167000,955000,704000,1074000
45,Total Non-Current Assets,1005270,910132,1080239,1076000,2434000,3693000,17933000,36963000,30770000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10143884,17948960,40606639,53005000,44967000,195261000,167840000,118546000,80402000
48,Accounts Payable,1274244,1421436,2084546,3672000,4832000,8076000,16655000,5074000,4706000
49,Short-Term Debt,4627386,281341,333502,557000,50000,825000,777000,1525000,3872000
50,Tax Payable,361257,815617,970629,1241000,1465000,2706000,3148000,3628000,4149000
51,Deferred Revenue,943004,648854,368436,- -,- -,- -,16000,61000,148000
52,Other Current Liabilities,632123,1163005,1471222,1392000,1465000,2705000,3200000,13221000,20621000
53,Total Current Liabilities,7476757,3514636,4257706,5621000,6347000,11606000,20648000,19881000,29347000
54,Long-Term Debt,6398728,730545,436035,151000,2816000,2020000,1243000,12599000,23576000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,124576,- -,- -,- -,3000,3000,- -,- -,- -
57,Other Non-Current Liabilities,170814,117144,88595,100000,163000,212000,346000,507000,940000
58,Total Non-Current Liabilities,6694118,847689,524630,251000,2982000,2235000,1589000,13106000,24516000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,84933,- -,- -,144000,204000,118000,39000,12703000,10804000
61,Total Liabilities,14170875,4362325,4782336,5872000,9329000,13841000,22237000,32987000,53863000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,315355,550602,688276,792000,873000,1794000,1794000,1794000,2006000
64,Retained Earnings,-2172035,-8144721,-8860036,-15013000,-21913000,-33530000,-38224000,-62659000,-73300000
65,Other Comprehensive Income/Loss,-19938026,-21560305,-28430754,-34578000,-48412000,-68589000,-99712000,-135264000,-22872000
66,Other Total Stockholders Equity,17767715,42741059,72426817,95931000,105090000,281745000,281745000,281688000,120705000
67,Total Stockholders Equity,-4026991,13586635,35824303,47132000,35638000,181420000,145603000,85559000,26539000
68,Total Liabilities And Stockholders Equity,10143884,17948960,40606639,53004000,44967000,195261000,167840000,118546000,80402000
69,Minority Interest,- -,- -,- -,1000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10143884,17948960,40606639,53005000,44967000,195261000,167840000,118546000,80402000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-2172035,-8144721,-8860036,-15013000,-21913000,-33530000,-38224000,-62659000,-73300000
74,Depreciation and Amortization,292088,180297,276522,288000,425000,532000,797000,4216000,4991000
75,Deferred Income Tax,- -,-40018,- -,- -,- -,- -,- -,-1000,3000
76,Stock Based Compensation,66266,580621,1235883,2716000,1178000,1769000,2449000,1359000,1179000
77,Change in Working Capital,232479,1491607,1874169,-2616000,2641000,3329000,-407000,13730000,10802000
78,Accounts Receivable,- -,- -,- -,-319000,206000,142000,47000,- -,- -
79,Inventory,- -,- -,- -,32000,21000,-31000,-1219000,1038000,358000
80,Accounts Payable,- -,- -,- -,1588000,1160000,3243000,8579000,- -,- -
81,Other Working Capital,- -,- -,- -,81000,-81000,- -,-1000,- -,- -
82,Other Non-Cash Items,2202604,-541019,-1765070,47000,55000,3198000,-3885000,45000,4605000
83,Cash Provided by Operating Activities,621402,-6473233,-7238532,-14578000,-17614000,-24702000,-39270000,-43310000,-51720000
84,CAPEX,-52502,-427399,-421439,-269000,-1751000,-1689000,-14225000,-20133000,-1141000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2843,-3238,-103,-15000,-40000,-102000,-812000,-119000,-421000
87,Sales/Maturities of Investments,- -,- -,1197,- -,5000,- -,- -,414000,4000
88,Other Investing Activites,37213,133030,-25798,-49000,-25000,-25000,-3000,-16000,81000
89,Cash Used for Investing Activites,-14053,-288598,-420345,-284000,-1786000,-1791000,-15037000,-19838000,-1475000
90,Debt Repayment,-15000,-130000,-281341,-85000,-563000,-452000,-818000,-1716000,-1677000
91,Common Stock Issued,- -,15951564,31381849,23608000,10030000,177576000,- -,- -,118000
92,Common Stock Repurchased,- -,-599573,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5054121,-1222752,-1565717,1000,1926000,421000,- -,1756000,27008000
95,Cash Used/Provided by Financing Activities,5039121,13999239,29534791,23524000,11393000,177545000,-818000,40000,25449000
96,Effect of Forex Changes on Cash,- -,- -,- -,-16000,19000,-3183000,3981000,1910000,-981000
97,Net Change In Cash,5646470,7237408,21875913,8646000,-7988000,147879000,-51143000,-61198000,-28727000
98,Cash at the End of Period,7875115,15112523,36988436,45634000,37646000,185525000,134371000,73173000,44446000
99,Cash at the Beginning of Period,2228645,7875115,15112523,36988000,45634000,37646000,185514000,134371000,73173000
100,Free Cash Flow,568900,-6900632,-7659971,-14847000,-19365000,-26391000,-53495000,-63443000,-52861000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213
