,https://roic.ai/company/MGIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876779/000087677904000030/mse20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000087677905000015/mse20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000087677906000011/magic2005form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/876779/000117891308001273/zk85238.htm,https://www.sec.gov/Archives/edgar/data/876779/000117891309000819/0001178913-09-000819-index.html,https://www.sec.gov/Archives/edgar/data/876779/000117891310001088/zk1008198.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420411015733/v214916_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420412017271/0001144204-12-017271-index.html,https://www.sec.gov/Archives/edgar/data/876779/000114420413023549/v336689_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420414011065/v368765_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420415024117/v404552_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420416096584/v435418_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420417022734/v464254_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000121390018005216/f20f2017_magicsoftware.htm,https://www.sec.gov/Archives/edgar/data/876779/000121390019007404/f20f2018_magicsoftware.htm,https://www.sec.gov/Archives/edgar/data/876779/000121390020012139/f20f2019_magicsoftware.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24785000,13581000,7580000,9116000,8162000,12178000,27309000,24350000,43661000,28711000,37744000,35134000,72515000,62188000,75314000,76076000,87126000,81915000,88127000,88090000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5223000,4749000,4718000,4179000,5279000,17518000,2881000,3411000,890000,854000,11915000,14496000,12508000,14870000,26794000,13596000,1527000,6728000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24785000,13581000,12803000,13865000,12880000,16357000,32588000,41868000,46542000,32122000,38634000,35988000,84430000,76684000,87822000,90946000,113920000,95511000,89654000,94818000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17449000,22308000,20586000,14643000,13255000,30153000,15073000,15873000,21830000,28225000,35063000,33018000,42469000,56486000,67933000,88035000,93591000,105072000,117991000,151961000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,188000,433000,400000,328000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789000,686000,3389000,2761000,1582000,839000,31000,27000,- -,3122000,- -,4167000,1862000,2132000,2601000,2659000,3712000,4467000,3581000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43198000,36763000,37211000,31669000,28045000,47349000,47692000,57768000,68372000,63469000,73697000,73173000,128761000,135302000,158356000,181640000,211223000,205050000,211226000,246779000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8432000,7855000,7540000,6955000,6414000,5758000,5436000,1762000,1827000,2029000,1898000,1773000,2005000,2296000,3065000,3468000,3072000,18605000,30497000,30171000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21624000,15986000,16829000,16735000,24624000,38534000,44344000,55313000,55490000,63308000,91002000,98189000,95006000,117743000,135682000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30575000,31022000,32735000,31961000,10863000,10681000,10656000,10133000,14661000,25848000,29661000,32549000,32543000,33575000,56180000,51011000,41479000,51128000,53404000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30575000,31022000,32735000,31961000,32487000,26667000,27485000,26868000,39285000,64382000,74005000,87862000,88033000,96883000,147182000,149200000,136485000,168871000,189086000,198193000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2043000,1153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1674000,1583000,2823000,3548000,2990000,1858000,2188000,6397000,8091000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2317000,2160000,2799000,3138000,2965000,2524000,- -,- -,2466000,4175000,2638000,2521000,3802000,2542000,4248000,5241000,9647000,9892000,10180000,8811000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41324000,41037000,43074000,42054000,41866000,34949000,34964000,29783000,43578000,70586000,78541000,93830000,95423000,104544000,158043000,160899000,151062000,199556000,236160000,245266000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84522000,77800000,80285000,73723000,69911000,82298000,82656000,87551000,111950000,134055000,152238000,167003000,224184000,239846000,316399000,342539000,362285000,404606000,447386000,492045000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2831000,3249000,2920000,3319000,3491000,2999000,2988000,2662000,2994000,3545000,4722000,4149000,3861000,6331000,8393000,12185000,14036000,10990000,14250000,24711000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3464000,2368000,2223000,4183000,4514000,3621000,147000,43000,9000,4000,12000,1055000,2853000,13000,5645000,9771000,8661000,7079000,- -,18962000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4297000,3935000,4146000,3442000,4132000,2314000,1643000,1569000,1526000,4011000,4160000,3294000,3431000,4092000,3882000,5586000,4857000,8724000,8793000,10771000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9406000,10413000,8070000,7254000,7267000,9672000,9151000,25473000,15028000,18107000,19880000,19504000,15773000,17921000,26768000,31695000,25368000,40090000,61786000,51808000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19998000,19965000,17359000,18198000,19404000,18606000,13929000,29747000,19557000,25667000,28774000,28002000,25918000,28357000,44688000,59237000,52922000,66883000,84829000,106252000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000,288000,94000,165000,233000,132000,33000,10000,2000,9000,12000,2274000,490000,3257000,29756000,27814000,19388000,15540000,13352000,43139000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738000,2204000,4086000,5726000,12494000,11331000,10343000,11069000,17639000,18112000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861000,2166000,2455000,2527000,2499000,2316000,1939000,606000,3526000,2733000,4597000,5392000,5966000,9400000,32820000,30594000,31263000,46417000,62560000,48874000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2275000,2454000,2549000,2692000,2732000,2448000,1972000,616000,3528000,2742000,5347000,9870000,10542000,18383000,75070000,69739000,60994000,73026000,93551000,110125000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14952000,24522000,24913000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22273000,22419000,19908000,20890000,22136000,21054000,15901000,30363000,23085000,28409000,34121000,37872000,36460000,46740000,119758000,128976000,113916000,139909000,178380000,216377000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,788000,805000,827000,829000,834000,838000,845000,846000,794000,808000,811000,826000,1029000,1035000,1036000,1040000,1159000,1161000,1164000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48860000,-45793000,-41703000,-46310000,-51456000,-38848000,-34870000,-44668000,-35293000,-20249000,-7727000,430000,7269000,15679000,19825000,25713000,30522000,28354000,39720000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12390000,-13708000,-15476000,-16278000,-17218000,-16311000,-16018000,-11614000,-11777000,- -,-12996000,-13578000,-5000000,-7000000,-7000000,-20401000,-6000000,-23303000,-11303000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121483000,112620000,115899000,114064000,115484000,115565000,116798000,112624000,135141000,124597000,137698000,140466000,181767000,181294000,182357000,203929000,218275000,241626000,230851000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61021000,53924000,59547000,52305000,47644000,61244000,66755000,57188000,88865000,105156000,117786000,128144000,185065000,191008000,196218000,210281000,243956000,247838000,260432000,265248000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83294000,76343000,79455000,73195000,69780000,82298000,82656000,87551000,111950000,133565000,151907000,166016000,221525000,237748000,315976000,339257000,357872000,387747000,438812000,481625000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228000,1457000,830000,528000,131000,- -,- -,- -,- -,490000,331000,987000,2659000,2098000,423000,3282000,4413000,16859000,8574000,10420000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84522000,77800000,80285000,73723000,69911000,82298000,82656000,87551000,111950000,134055000,152238000,167003000,224184000,239846000,316399000,342539000,362285000,404606000,447386000,492045000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/876779/000087677904000030/mse20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000087677905000015/mse20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000087677906000011/magic2005form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/876779/000117891308001273/zk85238.htm,https://www.sec.gov/Archives/edgar/data/876779/000117891309000819/0001178913-09-000819-index.html,https://www.sec.gov/Archives/edgar/data/876779/000117891310001088/zk1008198.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420411015733/v214916_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420412017271/0001144204-12-017271-index.html,https://www.sec.gov/Archives/edgar/data/876779/000114420413023549/v336689_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420414011065/v368765_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420415024117/v404552_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420416096584/v435418_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000114420417022734/v464254_20f.htm,https://www.sec.gov/Archives/edgar/data/876779/000121390018005216/f20f2017_magicsoftware.htm,https://www.sec.gov/Archives/edgar/data/876779/000121390019007404/f20f2018_magicsoftware.htm,https://www.sec.gov/Archives/edgar/data/876779/000121390020012139/f20f2019_magicsoftware.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,1300000,2500000,-1400000,-400000,1400000,-10500000,-6300000,10907000,920000,-42786000,-5663000,3067000,4090000,-4607000,-5006000,12608000,4508000,6176000,9375000,15044000,16183000,15880000,15520000,16198000,11907000,15442000,19883000,20266000,25186000,29332000
74,Depreciation and Amortization,100000,400000,700000,1300000,1200000,1900000,2600000,2800000,3516000,6416000,8102000,4502000,4739000,4596000,5206000,5519000,3855000,3615000,4617000,4549000,5040000,7444000,8380000,8660000,9885000,11608000,13611000,12564000,14025000,13939000,14672000
75,Deferred Income Tax,100000,- -,200000,- -,- -,-200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,130000,300000,633000,515000,325000,1557000,234000,152000,78000,194000,74000,- -,956000
77,Change in Working Capital,-100000,-1100000,-3100000,4000000,-400000,-1900000,7100000,1400000,-4284000,-16532000,6643000,-956000,-4173000,-3573000,4731000,3335000,3793000,-525000,-1018000,2087000,-5704000,-1391000,-3291000,-8651000,-7826000,-770000,-6219000,-13673000,6134000,8310000,-10135000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000,747000,241000,-7158000,156000,76000,-9401000,-10425000,-2611000,-17525000,-15731000,16144000,-540000,-24925000
79,Inventory,- -,-800000,- -,300000,-100000,-300000,300000,200000,28000,-228000,1000,339000,20000,-181000,-20000,72000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000,-363000,- -,446000,780000,-700000,-342000,1866000,1426000,3604000,2203000,-5273000,1899000,8686000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1056000,-85000,-57000,-48000,-1078000,1395000,929000,-1138000,3267000,-1947000,1041000,-2586000,-1141000
82,Other Non-Cash Items,100000,100000,100000,- -,100000,300000,1700000,500000,215000,1853000,22692000,-6000,693000,-157000,267000,-17000,-11491000,-169000,-2371000,-132000,225000,197000,986000,1108000,1127000,5058000,2596000,5082000,5449000,4861000,5668000
83,Cash Provided by Operating Activities,1200000,700000,400000,3900000,500000,1500000,1000000,-1600000,10354000,-7343000,-5349000,-2123000,4326000,4956000,5597000,3831000,8765000,7673000,7534000,14397000,15238000,22948000,22280000,18194000,19618000,27955000,25508000,24050000,45948000,52296000,40493000
84,CAPEX,-200000,-800000,-2500000,-2900000,-1300000,-1800000,-1200000,-800000,-4184000,-2018000,-2112000,-543000,-1338000,-1006000,-1123000,-4567000,-3796000,-737000,-580000,-583000,-5719000,-5479000,-5210000,-5260000,-4956000,-5023000,-5171000,-4529000,-5522000,-6074000,-4632000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000,320000,105000,-10079000,-23504000,-7491000,-16557000,-9363000,-9182000,-31436000,-6890000,-1218000,-22603000,-16534000,-8432000
86,Purchases of Investments,-4000000,-3000000,-200000,- -,- -,-200000,-100000,- -,- -,- -,- -,- -,- -,-5921000,-798000,-2318000,- -,-1032000,-1604000,-2844000,-24153000,-1366000,- -,-11976000,-5153000,-9401000,-5766000,-17807000,-714000,- -,-5390000
87,Sales/Maturities of Investments,- -,2000000,- -,600000,- -,200000,- -,- -,- -,- -,- -,- -,- -,777000,664000,1126000,710000,1766000,1507000,16268000,23531000,3944000,- -,596000,2654000,11110000,4225000,4000000,13399000,13004000,- -
88,Other Investing Activites,-300000,-300000,-800000,-1600000,-1500000,-2300000,-3100000,-2500000,-8424000,-27213000,-7092000,-2223000,-1825000,-5449000,-3891000,574000,525000,10949000,-9804000,-3153000,-5205000,-5003000,-4653000,-4325000,-3842000,-5456000,-2588000,-3666000,-4143000,-3302000,-3193000
89,Cash Used for Investing Activites,-4500000,-2100000,-3500000,-3900000,-2800000,-4100000,-4400000,-3300000,-12608000,-29231000,-9204000,-2766000,-3163000,-11599000,-5148000,-5185000,-2391000,11266000,-10376000,-391000,-29828000,-10426000,-21707000,-26061000,-16632000,-35982000,-12419000,-19554000,-15440000,-9604000,-18454000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3603000,-120000,-740000,- -,- -,-142000,-2905000,-2874000,- -,-8190000,-7071000,-13624000,-9369000,-14462000
91,Common Stock Issued,7800000,200000,1900000,500000,- -,5300000,100000,12200000,4801000,80453000,288000,78000,907000,1249000,82000,281000,247000,- -,- -,- -,- -,- -,- -,54726000,- -,- -,- -,34569000,104000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5424000,- -,-243000,-106000,-102000,-897000,- -,- -,- -,- -,- -,-21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128000,-11845000,- -,-509000,- -,- -,- -,- -,-15974000,- -,-3661000,-7787000,-8681000,-7788000,-7761000,-9359000,-13543000,-14963000,-12503000,-21780000
94,Other Financing Activites,-1000000,- -,-200000,-300000,1500000,-900000,2400000,-2900000,10000,-4342000,-586000,2367000,-1039000,-341000,2089000,391000,-1003000,232000,58000,21629000,-482000,236000,4601000,3178000,-1273000,29951000,3237000,-5529000,-8497000,-17775000,14956000
95,Cash Used/Provided by Financing Activities,6800000,200000,1700000,200000,1500000,4400000,2500000,9300000,4811000,70687000,-298000,2074000,-12083000,806000,765000,672000,-756000,-3371000,-62000,4915000,-503000,-3425000,-3328000,46318000,-11935000,22190000,-14312000,8426000,-36980000,-39647000,-21286000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-100000,- -,-87000,216000,124000,-300000,-284000,-164000,322000,-272000,-375000,-458000,-55000,390000,143000,-64000,145000,-1070000,-1378000,-1037000,1985000,-1872000,1261000,3167000,-790000
97,Net Change In Cash,6800000,200000,1700000,200000,1500000,4400000,2500000,4400000,2470000,34329000,-14727000,-3115000,-11204000,-6001000,1536000,-954000,5243000,15131000,-2959000,19311000,-14950000,9033000,-2610000,37381000,-10327000,13126000,762000,11050000,-5211000,6212000,-37000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,5800000,8298000,42627000,27900000,24785000,13581000,7580000,9116000,8162000,12178000,27309000,24350000,43661000,28711000,37744000,35134000,72515000,62188000,75314000,76076000,87126000,81915000,88127000,88090000
99,Cash at the Beginning of Period,200000,3700000,2500000,1200000,1400000,600000,2400000,1400000,5828000,8298000,42627000,27900000,24785000,13581000,7580000,9116000,6935000,12178000,27309000,24350000,43661000,28711000,37744000,35134000,72515000,62188000,75314000,76076000,87126000,81915000,88127000
