,https://roic.ai/company/GRST,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,33.13,-76.50,- -,-0.90,-0.13,-0.01,-0.01,-0.01,-0.00,-0.01,-0.09,-0.34,-0.05,-0.05,-0.04,-0.02,-0.01,-0.02,-0.07,-0.11,0.00
26,EPS Diluted,33.13,-76.50,- -,-0.90,-0.13,-0.01,-0.01,-0.01,-0.00,-0.01,-0.09,-0.34,-0.05,-0.05,-0.04,-0.02,-0.01,-0.02,-0.07,-0.11,0.00
27,Weighted Average Shares Outstanding,80000,80000,- -,371764,471764,1021764,1821764,8071764,5021764,5021764,5021764,7443626,27234279,33588851,46701090,47317928,48305978,107352184,123852105,136165798,1594016327
28,Weighted Average Shares Outstanding Diluted,80000,80000,- -,371764,471764,1021764,1821764,8071764,5021764,5021764,5021764,7443626,27234279,33588851,46701090,47317928,48305978,148801780,123852105,136165798,2045373732
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792935/000072174813000058/0000721748-13-000058-index.html,https://www.sec.gov/Archives/edgar/data/792935/000072174814000303/0000721748-14-000303-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174815000281/0000721748-15-000281-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174816001202/0000721748-16-001202-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174817000259/0000721748-17-000259-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186818000302/0001721868-18-000302-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186819000210/0001721868-19-000210-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186820000304/0001721868-20-000304-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186821000220/0001721868-21-000220-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30000,10000,- -,- -,454,- -,- -,- -,849,5550,48376,- -,- -,- -,88150,170,4780,340,24670,2980,91
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,690
33,Cash and Short-Term Investments,30000,10000,- -,- -,454,- -,- -,- -,849,5550,48376,- -,- -,- -,88150,170,4780,340,24670,2980,781
34,Net Receivables,2780000,1220000,- -,- -,- -,- -,- -,- -,- -,- -,40907,190000,380000,440000,164830,- -,84870,234940,235300,105840,3
35,Inventory,570000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,20000,10000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,63401,90000,110000,110000,540080,219350,185930,99340,147880,146620,151
37,Total Current Assets,3500000,1630000,- -,- -,454,- -,- -,- -,849,5550,152684,290000,510000,560000,793060,219520,275580,334620,407850,255440,935
38,PP&E,3060000,2740000,- -,- -,- -,- -,- -,- -,- -,- -,342695,640000,620000,540000,256540,- -,- -,9153860,8948350,2950670,2882
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,90000,86200,72250,74480,2779950,3312910,4970,- -
45,Total Non-Current Assets,3080000,3390000,- -,- -,- -,- -,- -,- -,- -,- -,342695,640000,610000,630000,342740,72250,184480,11933810,12261260,2955640,2882
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6580000,5020000,- -,- -,454,- -,- -,- -,849,5550,495379,930000,1120000,1190000,1135800,291770,460060,12268430,12669110,3211080,3817
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022175,834
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825511,2857558,1899645,445179,37383,44160,306374,341782,4575749,5273416,4588078
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270118,1353051,2390775,2806297,2490506,2798824,689240,775392,792915,850277
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215793,107477,143839,181075,- -,- -,- -,- -,- -
52,Other Current Liabilities,440000,540000,- -,6000,14000,18000,22000,48000,134668,179088,298529,1022442,2404562,3717344,3666608,3190205,3330736,6518398,9101971,12280269,-4575047
53,Total Current Liabilities,440000,540000,- -,6000,14000,18000,22000,48000,134668,179088,1124040,3880000,4520000,4270000,3847830,3415440,3637110,6860180,13677720,18575860,13865
54,Long-Term Debt,- -,- -,- -,- -,50500,50500,50500,50500,- -,- -,25000,- -,40000,30000,18460,8790,- -,7183890,6707350,4655770,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,-10,4584
58,Total Non-Current Liabilities,- -,- -,- -,- -,50500,50500,50500,50500,- -,- -,25000,- -,40000,30000,18460,8790,- -,7183890,6707340,4655760,4584
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,440000,540000,- -,6000,64500,68500,72500,98500,134668,179088,1149040,3880000,4560000,4300000,3866290,3424230,3637110,14044070,20385060,23231620,18449
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440000
63,Common Stock,3160000,27080000,- -,13591816,13345316,13350816,13358816,13421316,50218,50218,50218,140000,270000,410000,461320,477390,487390,1232390,1243000,1554840,20271
64,Retained Earnings,2980000,-3140000,- -,- -,- -,- -,- -,-5801382,-5815701,-5855420,-6322688,-8820000,-10300000,-11930000,-19566030,-20721210,-20981910,-22350400,-30529040,-45491890,- -
65,Other Comprehensive Income/Loss,-2330000,-2670000,- -,-5879382,-5690928,-5700882,-5712882,- -,- -,- -,- -,21718,-47726,264135,245187,933826,807563,796453,630411,727976,806719
66,Other Total Stockholders Equity,2320000,- -,- -,- -,-7718434,-7718434,-7718434,-7718434,5631664,5631664,5618809,5712333,6640971,8151172,16129037,16177538,16509901,18545915,20939676,23188530,-16593089
67,Total Stockholders Equity,6130000,4490000,- -,-6000,-64046,-68500,-72500,-98500,-133819,-173538,-653661,-2945949,-3436755,-3104693,-2730486,-3132456,-3177056,-1775642,-7715953,-20020544,-15326099
68,Total Liabilities And Stockholders Equity,6570000,5030000,- -,- -,454,- -,- -,- -,849,5550,495379,934051,1123245,1195307,1135804,291774,460054,12268428,12669107,3211076,-15307650
69,Minority Interest,10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4051,-3245,-5307,-4,-4,6,2,3,4,15311468
70,Total Liabilities & Equity,6580000,5020000,- -,- -,454,- -,- -,- -,849,5550,495379,930000,1120000,1190000,1135800,291770,460060,12268430,12669110,3211080,3817
71,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792935/000072174813000058/0000721748-13-000058-index.html,https://www.sec.gov/Archives/edgar/data/792935/000072174814000303/0000721748-14-000303-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174815000281/0000721748-15-000281-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174816001202/0000721748-16-001202-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174817000259/0000721748-17-000259-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186818000302/0001721868-18-000302-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186819000210/0001721868-19-000210-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186820000304/0001721868-20-000304-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186821000220/0001721868-21-000220-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2650000,-6120000,- -,-333903,-61546,-9954,-12000,-88500,-14289,-39719,-467268,-2500000,-1480000,-1630000,-1900270,-1155180,-260710,-1368490,-8178640,-14962840,3084992
74,Depreciation and Amortization,520000,340000,- -,250000,- -,- -,- -,- -,- -,- -,51229,129766,223984,183262,83701,90862,- -,444959,273646,217018,121276
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,679858,56906,50000,- -,- -,375978,165780
77,Change in Working Capital,1750000,-1970000,- -,-332690,-7546,-4454,-4000,-26000,-85819,-39719,-797818,-2618644,-420000,300000,655230,-141150,-165610,-3164030,-6744310,-5050550,18307490
78,Accounts Receivable,-1430000,1370000,- -,288919,- -,- -,- -,- -,- -,- -,-39704,-147516,-191620,-60875,30819,-4740,- -,-218591,536296,405566,105561
79,Inventory,460000,170000,- -,73584,- -,- -,- -,- -,- -,- -,- -,-819,-4385,3621,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,4000,4000,26000,- -,- -,- -,- -,- -,- -,- -,-115340,-232105,-232628,913995,1398171,301035
81,Other Working Capital,3060000,1090000,- -,- -,-13546,-18000,-22000,-48000,-133819,-173538,-971356,-3590000,-4010000,-3710000,-3054770,-3195920,-3361530,-6525560,-13269870,-18320420,-12930
82,Other Non-Cash Items,-3290000,3740000,- -,- -,66046,8454,8000,52000,75465,12444,975969,3157004,1611480,412516,1053419,255467,372178,-319889,13185760,16524856,-21781508
83,Cash Provided by Operating Activities,1630000,-4010000,- -,-416593,-3046,-5954,-8000,-62500,-24643,-66994,-237888,-1831874,-64536,-734222,571938,-893095,-4142,-4407450,-1463544,-2895538,-101970
84,CAPEX,- -,- -,- -,-250000,- -,- -,- -,- -,- -,- -,-383844,-428122,-200499,-101818,-56998,-27450,- -,-1990502,-1432110,-95254,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,-2960000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,- -,- -,-120000,-690449
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-210000,-10000,- -,2366126,250000,- -,- -,- -,- -,- -,- -,- -,- -,-101818,- -,1662,106801,6497400,- -,4771951,5995
89,Cash Used for Investing Activites,-210000,-10000,- -,2116126,250000,- -,- -,- -,- -,- -,-383844,-428122,-200499,-101818,-56998,-25788,-113199,1546898,-1432110,4556697,-684454
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-19000,-19000,- -,-74593,-818080,- -,-213861,-44963,-384075,-3797453,-820253,-5571768,-478214
91,Common Stock Issued,- -,- -,- -,13491456,3500,5500,8000,62500,19000,- -,- -,84998,137127,9044,382500,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,4470000,- -,- -,-250000,- -,- -,- -,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37818
94,Other Financing Activites,-1390000,-470000,- -,-15245630,- -,- -,- -,- -,65492,90695,664029,2166642,1015432,515135,-540710,187230,632285,6736750,4181017,3620733,1370051
95,Cash Used/Provided by Financing Activities,-1390000,4000000,- -,-1754174,-246500,5500,8000,62500,25492,71695,664029,2177047,334479,524179,-372071,142267,248210,2939297,3360764,-1951035,854019
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529,34573,-69444,311861,71356,688639,-126263,-83185,-440775,268177,19930
97,Net Change In Cash,30000,-20000,- -,-1754174,-246500,5500,8000,62500,25492,4701,42826,2177047,334479,524179,214225,-87978,4605,-4440,24335,-21699,87525
98,Cash at the End of Period,40000,10000,- -,- -,454,- -,- -,- -,849,5550,48376,- -,- -,- -,88152,174,4779,339,24674,2975,90500
99,Cash at the Beginning of Period,10000,30000,- -,54641,- -,454,- -,- -,- -,849,5550,48376,- -,- -,-126073,88152,174,4779,339,24674,2975
100,Free Cash Flow,1630000,-4010000,- -,-666593,-3046,-5954,-8000,-62500,-24643,-66994,-621732,-2259996,-265035,-836040,514940,-920545,-4142,-6397952,-2895654,-2990792,-101970
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792935/000072174813000058/0000721748-13-000058-index.html,https://www.sec.gov/Archives/edgar/data/792935/000072174814000303/0000721748-14-000303-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174815000281/0000721748-15-000281-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174816001202/0000721748-16-001202-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000072174817000259/0000721748-17-000259-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186818000302/0001721868-18-000302-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186819000210/0001721868-19-000210-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186820000304/0001721868-20-000304-index.htm,https://www.sec.gov/Archives/edgar/data/792935/000172186821000220/0001721868-21-000220-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
