,https://roic.ai/company/LDOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-144000000,-21000000,-74000000,-13000000,18000000,-40000000,-73000000,-68000000,-75000000,-104000000,-76000000,-76000000,30000000,-99000000,-166000000,-139000000,- -,-46000000,-185000000
20,Income Before Tax,- -,169000000,352000000,388000000,484000000,603000000,626000000,703000000,799000000,883000000,207000000,658000000,88000000,328000000,318000000,393000000,610000000,- -,866000000,967000000
21,Income Before Tax Ratio,- -,0.0350,0.0632,0.0562,0.0621,0.0727,0.0701,0.0698,0.0737,0.0794,0.0196,0.0589,0.0152,0.0645,0.0452,0.0386,0.0598,- -,0.0781,0.0704
22,Income Tax expense (Gain),- -,-62000000,135000000,125000000,139000000,234000000,240000000,256000000,299000000,314000000,215000000,135000000,4000000,92000000,72000000,29000000,28000000,- -,196000000,208000000
23,Net Income,- -,259000000,351000000,409000000,927000000,391000000,415000000,452000000,497000000,618000000,59000000,525000000,164000000,254000000,244000000,366000000,581000000,- -,667000000,753000000
24,Net Income ratio,- -,0.0537,0.0630,0.0592,0.1190,0.0471,0.0464,0.0449,0.0458,0.0556,0.0056,0.0470,0.0284,0.0499,0.0346,0.0360,0.0570,- -,0.0601,0.0548
25,EPS,- -,2.64,3.80,4.48,21.32,4.44,4.12,4.56,5.00,6.56,0.72,6.16,1.94,3.48,2.39,2.41,3.85,- -,4.66,5.34
26,EPS Diluted,- -,2.56,3.72,4.36,20.60,4.28,4.00,4.48,4.96,6.52,0.72,6.16,1.94,3.43,2.35,2.38,3.80,- -,4.60,5.27
27,Weighted Average Shares Outstanding,- -,98000000,92500000,91250000,43480300,88000000,101000000,98750000,96500000,91000000,84000000,83250000,83000000,73000000,102000000,152000000,151000000,- -,143000000,141000000
28,Weighted Average Shares Outstanding Diluted,- -,101500000,94250000,93750000,45000000,91000000,104250000,101250000,97500000,91500000,84000000,83250000,83000000,74000000,104000000,154000000,153000000,- -,145000000,143000000
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336920/000119312507079805/0001193125-07-079805-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312508067632/d10k.htm,https://www.sec.gov/Archives/edgar/data/1336920/000119312509066772/0001193125-09-066772-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312510073854/0001193125-10-073854-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312511078283/d10k.htm,https://www.sec.gov/Archives/edgar/data/1336920/000119312512133697/0001193125-12-133697-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312513127240/0001193125-13-127240-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692014000007/ldos-1312014x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000014/0001336920-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000008/0001336920-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000004/0001336920-19-000004-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/0001336920-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692022000007/0001336920-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,1035000000,1113000000,1096000000,936000000,861000000,1367000000,1592000000,736000000,430000000,656000000,376000000,390000000,327000000,- -,668000000,727000000
32,Short-Term Investments,- -,- -,- -,- -,1659000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,2694000000,1113000000,1096000000,936000000,861000000,1367000000,1592000000,736000000,430000000,656000000,376000000,390000000,327000000,- -,668000000,727000000
34,Net Receivables,- -,- -,- -,- -,1517000000,1641000000,1886000000,1889000000,2044000000,2095000000,2174000000,1889000000,1088000000,921000000,1670000000,1885000000,1920000000,- -,1758000000,2189000000
35,Inventory,- -,- -,- -,- -,- -,50000000,99000000,141000000,125000000,116000000,168000000,192000000,59000000,216000000,165000000,239000000,- -,- -,- -,274000000
36,Other Current Assets,- -,- -,- -,- -,192000000,141000000,156000000,251000000,163000000,271000000,271000000,262000000,217000000,- -,170000000,160000000,592000000,- -,386000000,429000000
37,Total Current Assets,- -,- -,- -,- -,4403000000,2945000000,3237000000,3217000000,3193000000,3849000000,4205000000,3079000000,1794000000,1793000000,2381000000,2674000000,2839000000,- -,2812000000,3619000000
38,PP&E,- -,- -,- -,- -,356000000,387000000,393000000,357000000,389000000,362000000,348000000,318000000,483000000,142000000,259000000,232000000,237000000,- -,687000000,1282000000
39,Goodwill,- -,- -,- -,- -,655000000,951000000,1077000000,1249000000,1434000000,1678000000,1826000000,2195000000,1704000000,1232000000,4622000000,4974000000,4860000000,- -,4912000000,6744000000
40,Intangible Assets,- -,- -,- -,- -,63000000,109000000,102000000,88000000,106000000,211000000,176000000,190000000,94000000,- -,1589000000,856000000,652000000,- -,530000000,1177000000
41,Intangible Assets,- -,- -,- -,- -,718000000,1060000000,1179000000,1337000000,1540000000,1889000000,2002000000,2385000000,1798000000,1232000000,6211000000,5830000000,5512000000,- -,5442000000,7921000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,- -,26000000,- -,19000000,25000000
43,Tax Assets,- -,- -,- -,- -,66000000,57000000,71000000,86000000,103000000,52000000,37000000,14000000,15000000,8000000,540000000,220000000,170000000,- -,184000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,112000000,109000000,101000000,51000000,70000000,71000000,75000000,79000000,72000000,202000000,-327000000,34000000,-14000000,- -,223000000,414000000
45,Total Non-Current Assets,- -,- -,- -,- -,1252000000,1613000000,1744000000,1831000000,2102000000,2374000000,2462000000,2796000000,2368000000,1584000000,6751000000,6316000000,5931000000,- -,6555000000,9642000000
46,Other Assets,- -,4876000000,5540000000,6010000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4876000000,5540000000,6010000000,5655000000,4558000000,4981000000,5048000000,5295000000,6223000000,6667000000,5875000000,4162000000,3377000000,9132000000,8990000000,8770000000,- -,9367000000,13261000000
48,Accounts Payable,- -,- -,- -,- -,471000000,613000000,646000000,495000000,511000000,464000000,487000000,435000000,218000000,769000000,591000000,557000000,547000000,- -,592000000,692000000
49,Short-Term Debt,- -,- -,- -,- -,47000000,29000000,130000000,17000000,3000000,3000000,553000000,2000000,2000000,2000000,62000000,55000000,72000000,- -,61000000,483000000
50,Tax Payable,- -,- -,- -,- -,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,27000000,3000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,155000000,119000000,- -,132000000,103000000,- -,20000000,17000000,276000000,- -,- -,364000000
52,Other Current Liabilities,- -,- -,- -,- -,973000000,1021000000,1056000000,1171000000,1037000000,1162000000,1985000000,1224000000,686000000,269000000,1343000000,1573000000,1164000000,- -,1680000000,1690000000
53,Total Current Liabilities,- -,- -,- -,- -,1491000000,1663000000,1832000000,1683000000,1706000000,1748000000,3025000000,1793000000,1009000000,1040000000,2016000000,2202000000,2059000000,- -,2333000000,3229000000
54,Long-Term Debt,- -,897000000,1217000000,1206000000,1192000000,1199000000,1098000000,1099000000,1103000000,1849000000,1299000000,1296000000,1331000000,1086000000,3225000000,3056000000,3052000000,- -,2925000000,5182000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,66000000,- -,540000000,220000000,170000000,- -,184000000,239000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,111000000,104000000,150000000,182000000,195000000,135000000,162000000,143000000,161000000,183000000,216000000,142000000,171000000,- -,512000000,267000000
58,Total Non-Current Liabilities,- -,897000000,1217000000,1206000000,1303000000,1303000000,1248000000,1281000000,1298000000,1984000000,1461000000,1464000000,1558000000,1269000000,3981000000,3418000000,3403000000,- -,3621000000,5688000000
59,Other Liabilities,- -,3753000000,4554000000,4865000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,33000000,- -,- -,326000000,589000000
61,Total Liabilities,- -,2856000000,3337000000,3659000000,2794000000,2966000000,3080000000,2964000000,3004000000,3732000000,4486000000,3257000000,2567000000,2309000000,5997000000,5620000000,5462000000,- -,5954000000,8917000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,415000000,6000000,88000000,183000000,239000000,434000000,164000000,510000000,25000000,-277000000,-177000000,-7000000,372000000,- -,896000000,1880000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-32000000,-27000000,-23000000,-49000000,-44000000,-33000000,-11000000,-2000000,-6000000,-8000000,-4000000,33000000,-30000000,- -,-70000000,-12000000
66,Other Total Stockholders Equity,- -,2020000000,2203000000,2351000000,2422000000,1613000000,1836000000,1950000000,2096000000,2064000000,2028000000,2110000000,1576000000,- -,3316000000,3344000000,2966000000,- -,2563000000,- -
67,Total Stockholders Equity,- -,2020000000,2203000000,2351000000,2807000000,1536000000,1901000000,2084000000,2291000000,2491000000,2181000000,2618000000,1595000000,1068000000,3135000000,3370000000,3308000000,- -,3413000000,4291000000
68,Total Liabilities And Stockholders Equity,- -,4876000000,5540000000,6010000000,5601000000,4502000000,4981000000,5048000000,5295000000,6223000000,6667000000,5875000000,4162000000,3377000000,9132000000,8990000000,8770000000,- -,9367000000,13208000000
69,Minority Interest,- -,- -,- -,- -,54000000,56000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000
70,Total Liabilities & Equity,- -,4876000000,5540000000,6010000000,5655000000,4558000000,4981000000,5048000000,5295000000,6223000000,6667000000,5875000000,4162000000,3377000000,9132000000,8990000000,8770000000,- -,9367000000,13261000000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336920/000119312507079805/0001193125-07-079805-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312508067632/d10k.htm,https://www.sec.gov/Archives/edgar/data/1336920/000119312509066772/0001193125-09-066772-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312510073854/0001193125-10-073854-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312511078283/d10k.htm,https://www.sec.gov/Archives/edgar/data/1336920/000119312512133697/0001193125-12-133697-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312513127240/0001193125-13-127240-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692014000007/ldos-1312014x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000014/0001336920-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000008/0001336920-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000004/0001336920-19-000004-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/0001336920-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692022000007/0001336920-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,927000000,391000000,415000000,452000000,497000000,618000000,59000000,525000000,164000000,254000000,244000000,366000000,581000000,- -,667000000,753000000
74,Depreciation and Amortization,- -,- -,- -,- -,70000000,72000000,80000000,89000000,93000000,111000000,114000000,113000000,81000000,44000000,122000000,350000000,257000000,- -,234000000,325000000
75,Deferred Income Tax,- -,- -,- -,- -,-42000000,3000000,-4000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,-26000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,106000000,102000000,84000000,84000000,55000000,31000000,35000000,43000000,44000000,- -,52000000,67000000
77,Change in Working Capital,- -,- -,- -,- -,238000000,-1630000000,123000000,129000000,-47000000,614000000,-921000000,106000000,-501000000,86000000,-388000000,107000000,308000000,- -,-301000000,-91000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,9000000,-46000000,- -,54000000,-28000000,-93000000,-64000000,55000000,-14000000,-101000000,-76000000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-744000000,-88000000,101000000,-25000000,152000000,-46000000,- -,116000000,-212000000
81,Other Working Capital,- -,- -,- -,- -,2912000000,1282000000,1405000000,1534000000,1487000000,2101000000,1180000000,1286000000,785000000,753000000,365000000,472000000,780000000,- -,479000000,15000000
82,Other Non-Cash Items,- -,- -,- -,- -,-598000000,1872000000,-272000000,-132000000,-26000000,-731000000,1374000000,-483000000,396000000,-5000000,433000000,-340000000,-422000000,- -,322000000,3000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,595000000,708000000,342000000,542000000,623000000,714000000,710000000,345000000,195000000,410000000,446000000,526000000,768000000,- -,992000000,1031000000
84,CAPEX,- -,- -,- -,- -,-54000000,-74000000,-61000000,-59000000,-58000000,-74000000,-65000000,-48000000,-53000000,-27000000,-29000000,-81000000,-73000000,- -,-121000000,-104000000
85,Acquisitions Net,- -,- -,- -,- -,-226000000,-378000000,-145000000,-204000000,-258000000,-382000000,-222000000,-483000000,-3000000,25000000,48000000,- -,-81000000,- -,84000000,-622000000
86,Purchases of Investments,- -,- -,- -,- -,-7854000000,-4258000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,7561000000,5917000000,- -,- -,- -,- -,- -,- -,12000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-10000000,29000000,4000000,4000000,11000000,62000000,250000000,54000000,324000000,72000000,6000000,10000000,40000000,- -,102000000,-4000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-583000000,1236000000,-202000000,-259000000,-305000000,-394000000,-37000000,-477000000,280000000,70000000,25000000,-71000000,-114000000,- -,65000000,-730000000
90,Debt Repayment,- -,- -,- -,- -,-46000000,- -,- -,- -,-18000000,-3000000,-3000000,-554000000,-152000000,-62000000,-277000000,-209000000,-59000000,- -,-80000000,-106000000
91,Common Stock Issued,- -,- -,- -,- -,155000000,1343000000,98000000,76000000,- -,38000000,- -,- -,- -,- -,25000000,13000000,14000000,- -,27000000,44000000
92,Common Stock Repurchased,- -,- -,- -,- -,-818000000,-724000000,-309000000,-445000000,-474000000,-601000000,-471000000,-22000000,-319000000,-120000000,-24000000,-31000000,-438000000,- -,-458000000,-270000000
93,Dividends Paid,- -,- -,- -,- -,- -,-2439000000,-2000000,-1000000,- -,- -,- -,-165000000,-477000000,-117000000,-1135000000,-198000000,-198000000,- -,-198000000,-199000000
94,Other Financing Activites,- -,- -,- -,- -,-4000000,-21000000,56000000,-57000000,94000000,753000000,25000000,17000000,168000000,16000000,660000000,-4000000,-26000000,- -,- -,418000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-713000000,-1841000000,-157000000,-427000000,-398000000,187000000,-449000000,-724000000,-780000000,-283000000,-751000000,-429000000,-707000000,- -,-709000000,-113000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-16000000,5000000,-1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,52000000,103000000,-17000000,-160000000,-75000000,506000000,225000000,-856000000,-305000000,197000000,-280000000,26000000,-53000000,- -,348000000,188000000
98,Cash at the End of Period,- -,- -,- -,- -,1035000000,1113000000,1096000000,936000000,861000000,1367000000,1592000000,736000000,430000000,656000000,376000000,422000000,369000000,- -,717000000,875000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,983000000,1010000000,1113000000,1096000000,936000000,861000000,1367000000,1592000000,735000000,459000000,656000000,396000000,422000000,- -,369000000,687000000
100,Free Cash Flow,- -,- -,- -,- -,541000000,634000000,281000000,483000000,565000000,640000000,645000000,297000000,142000000,383000000,417000000,445000000,695000000,- -,871000000,927000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1336920/000119312507079805/0001193125-07-079805-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312508067632/d10k.htm,https://www.sec.gov/Archives/edgar/data/1336920/000119312509066772/0001193125-09-066772-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312510073854/0001193125-10-073854-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312511078283/d10k.htm,https://www.sec.gov/Archives/edgar/data/1336920/000119312512133697/0001193125-12-133697-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000119312513127240/0001193125-13-127240-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692014000007/ldos-1312014x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000014/0001336920-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000008/0001336920-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000004/0001336920-19-000004-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/0001336920-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1336920/000133692022000007/0001336920-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
