,https://roic.ai/company/OESX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1409375/000095013708008926/0000950137-08-008926-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012309014118/0000950123-09-014118-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012310057984/0000950123-10-057984-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012311067537/c65487e10vk.htm,https://www.sec.gov/Archives/edgar/data/1409375/000119312512270902/d360028d10k.htm,https://www.sec.gov/Archives/edgar/data/1409375/000140937513000014/0001409375-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937514000014/0001409375-14-000014-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937515000013/0001409375-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937516000039/0001409375-16-000039-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937517000021/0001409375-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937518000017/0001409375-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000156459019021688/0001564590-19-021688-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000156459020028509/oesx-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/1409375/000156459021031193/0001564590-21-031193-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1565000,929000,4410000,511000,-4190000,1600000,483000,-10399000,-6199000,-32061000,-20126000,-12288000,-13128000,-6674000,12462000,26134000
74,Depreciation and Amortization,- -,- -,- -,941000,1063000,1410000,1841000,3072000,2867000,4236000,4577000,4538000,4313000,4165000,2332000,2011000,1783000,1562000,1480000
75,Deferred Income Tax,- -,- -,- -,-922000,-213000,966000,145000,-1425000,-840000,-755000,4158000,-2123000,- -,- -,- -,- -,- -,- -,-19860000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1577000,1491000,1301000,1267000,1164000,1593000,1499000,1462000,1605000,1102000,825000,618000,753000
77,Change in Working Capital,- -,- -,- -,-2734000,-36863000,-11692000,1205000,-12421000,-9685000,-1684000,3576000,-7487000,-3752000,-12458000,1013000,13722000,-1605000,8579000,-2761000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,6094000,-3205000,-11681000,3740000,2499000,8395000,-1909000,7116000,1687000,419000,-5840000,3616000,-2384000
79,Inventory,- -,- -,- -,491000,-4555000,-7293000,-3443000,-6409000,-3516000,-1371000,3739000,3962000,-2356000,-3249000,1220000,4706000,-4689000,-1319000,-5322000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-56000,4718000,1817000,-6527000,-762000,2475000,713000,-81000,20000,8916000,-79000,-2637000
81,Other Working Capital,- -,- -,- -,104290000,67427000,55735000,56940000,44519000,34834000,33150000,36726000,29239000,25487000,13029000,14042000,27764000,26159000,34738000,31977000
82,Other Non-Cash Items,- -,- -,- -,879000,28850000,3544000,-2040000,4899000,-3980000,7948000,-815000,19579000,17189000,23484000,5435000,-8122000,613000,-2878000,-4017000
83,Cash Provided by Operating Activities,- -,- -,- -,-3401000,-6234000,-1362000,3239000,-8574000,-8737000,11495000,2261000,9901000,-12812000,-3473000,-1903000,-4415000,-5058000,20343000,1729000
84,CAPEX,- -,- -,- -,-927000,-1093000,-5215000,-14261000,-10743000,-5692000,-4551000,-2312000,-453000,-2240000,-407000,-951000,-585000,-449000,-945000,-953000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4992000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2410000,-4474000,- -,-11000,-5000,-5000,-4000,-2000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,5522000,- -,- -,- -,555000,472000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,765000,124000,188000,-259000,-292000,-156000,-200000,-107000,37000,806000,29000,2309000,-73000,-68000,-122000,-44000
89,Cash Used for Investing Activites,- -,- -,- -,-162000,-969000,-7437000,-17873000,-5214000,-5702000,-4532000,-2271000,-4814000,-730000,-372000,1649000,-585000,-449000,-936000,-946000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-854000,-805000,-2077000,-1856000,-3169000,-3229000,-4494000,-66450000,-85905000,-71614000,-55056000,-73381000,-18048000
91,Common Stock Issued,- -,- -,- -,1647000,5953000,80573000,1576000,1989000,504000,174000,63000,1125000,17465000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-29340000,-475000,- -,-740000,-6007000,- -,- -,-2000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,2512000,446000,6253000,1103000,280000,4208000,6910000,488000,209000,3005000,65837000,87924000,68731000,59868000,73996000,7907000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,4159000,6399000,86826000,-27515000,989000,2635000,4488000,-8625000,-1895000,15976000,-615000,2019000,-2883000,4812000,615000,-10141000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,596000,-804000,78027000,-42149000,-12799000,-11804000,11451000,-8635000,3192000,2434000,-4460000,1765000,-7883000,-695000,20022000,-9358000
98,Cash at the End of Period,- -,- -,- -,1089000,285000,78312000,36163000,23364000,11560000,23011000,14376000,17568000,20002000,15542000,17307000,9424000,8729000,28751000,19393000
99,Cash at the Beginning of Period,- -,- -,- -,493000,1089000,285000,78312000,36163000,23364000,11560000,23011000,14376000,17568000,20002000,15542000,17307000,9424000,8729000,28751000
100,Free Cash Flow,- -,- -,- -,-4328000,-7327000,-6577000,-11022000,-19317000,-14429000,6944000,-51000,9448000,-15052000,-3880000,-2854000,-5000000,-5507000,19398000,776000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1409375/000095013708008926/0000950137-08-008926-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012309014118/0000950123-09-014118-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012310057984/0000950123-10-057984-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012311067537/c65487e10vk.htm,https://www.sec.gov/Archives/edgar/data/1409375/000119312512270902/d360028d10k.htm,https://www.sec.gov/Archives/edgar/data/1409375/000140937513000014/0001409375-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937514000014/0001409375-14-000014-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937515000013/0001409375-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937516000039/0001409375-16-000039-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937517000021/0001409375-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937518000017/0001409375-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000156459019021688/0001564590-19-021688-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000156459020028509/oesx-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/1409375/000156459021031193/0001564590-21-031193-index.htm
102,false,,,,,,,,,,,,,,,,,,,
