,https://roic.ai/company/MESO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-1470369,-8298587,-8728131,-10062379,-12285459,-14780895,90606590,-71145314,-61663000,-80958000,-119368000,-4127000,-76815000,-35290000,-89799000,-77940000,-98811000
24,Net Income ratio,-2.9239,-2.9409,-5.1974,-11.0599,-13.7929,-2687.4355,0.7493,-1.8586,-2.1421,-3.1162,-5.0264,-0.0970,-31.8470,-2.0351,-5.3701,-2.4238,-13.2525
25,EPS,-0.10,-0.44,-0.41,-0.44,-0.49,-0.52,2.07,-1.24,-1.04,-1.25,-1.84,-0.06,-0.96,-0.38,-0.91,-0.74,-0.82
26,EPS Diluted,-0.10,-0.44,-0.41,-0.44,-0.49,-0.52,1.97,-1.24,-1.04,-1.25,-1.84,-0.06,-0.96,-0.38,-0.91,-0.74,-0.82
27,Weighted Average Shares Outstanding,14453122,18891545,21504851,23073307,25095288,28399172,43798980,57145515,59147070,64537625,64823885,72891338,79869810,93113456,98897577,105753053,121017759
28,Weighted Average Shares Outstanding Diluted,14453122,18891545,21504851,23073307,25095288,28399172,46013721,57145515,59147070,64537625,64823885,72891338,79869810,93113456,98897577,105753053,121017759
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15093834,7854843,12055040,14094219,16526278,32049327,263227585,206748798,315309000,196394000,144142000,80937000,45761000,37763000,50426000,129328000,136881000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15093834,7854843,12055040,14094219,16526278,32049327,263227585,206748798,315309000,196394000,144142000,80937000,45761000,37763000,50426000,129328000,136881000
34,Net Receivables,200560,87887,509907,123900,305361,1375679,2100945,10668742,12063000,6098000,5172000,4054000,3493000,50116000,3810000,851000,4590000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,31715,96583,28735,85533,88533,93284,165536,318580,4472000,1257000,10139000,3832000,14355000,13192000,8286000,6369000,6756000
37,Total Current Assets,15326109,8039313,12593682,14303652,16920172,33518290,265494066,217736120,331844000,203749000,159453000,88823000,63609000,101071000,62522000,136548000,148227000
38,PP&E,28238,37905,158235,197997,246137,223695,609849,1998430,2757000,4683000,5727000,3063000,1814000,1084000,826000,10271000,12140000
39,Goodwill,- -,- -,- -,- -,- -,- -,109738837,116210963,127687000,140517000,175069000,134453000,134453000,134453000,134453000,134453000,134453000
40,Intangible Assets,705395,805624,818226,526006,482275,438544,365587363,381007608,420147000,547387000,671599000,453370000,451897000,450153000,448673000,-32275000,446093000
41,Intangible Assets,705395,805624,818226,526006,482275,438544,475326200,497218571,547834000,687904000,846668000,587823000,586350000,584606000,583126000,- -,580546000
42,Investments,5406082,7501673,7668095,12761247,9326428,5334241,- -,- -,- -,- -,2995000,1966000,1997000,2321000,2317000,1871000,2080000
43,Tax Assets,- -,- -,- -,- -,- -,- -,21820392,3502429,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1277000,2978000,3082000,2343000,1916000,3361000,3324000,584912000,1724000
45,Total Non-Current Assets,6139715,8345202,8644556,13485250,10054840,5996480,497756441,502719430,551868000,695565000,858472000,595195000,592077000,591372000,589593000,597054000,596490000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21465824,16384515,21238238,27788902,26975012,39514770,763250507,720455550,883712000,899314000,1017925000,684018000,655686000,692443000,652115000,733602000,744717000
48,Accounts Payable,206160,2240470,458371,1428780,1042335,1071532,3038030,11572820,20780000,20723000,36774000,27155000,21805000,18921000,13060000,24972000,19598000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32455000,55965000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,27129937,28209500,16176000,15928000,19537000,- -,- -,- -,- -,23449000,- -
52,Other Current Liabilities,1996908,2179000,240528,143990,142715,523978,627377,4711989,13632000,6024000,6720000,2260000,14865000,5082000,31271000,9267000,18710000
53,Total Current Liabilities,2203068,4419470,698899,1572770,1185050,1595510,30795344,44494309,50588000,42675000,63031000,29415000,36670000,24003000,44331000,90143000,94273000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59397000,67279000,57023000,49530000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,81334137,56361109,56617000,39818000,29303000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,127817393,132911392,146038000,158585000,194514000,62693000,49293000,20079000,11124000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7459460,7840957,203000,86518000,121718000,63749000,52957000,42956000,48329000,- -,19517000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,216610990,197113458,202858000,284921000,345535000,126442000,102250000,122432000,126732000,57023000,69047000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151156000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9836000,11250000
61,Total Liabilities,2203068,4419470,698899,1572770,1185050,1595510,247406334,241607767,253446000,327596000,408566000,155857000,138920000,146435000,171063000,184276000,163320000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,654458000,677087000,737260000,770272000,830425000,889481000,910405000,1051450000,1163153000
64,Retained Earnings,-1470369,-9768956,-18497087,-28559466,-40844925,-55625820,34980770,-36164544,-97827000,-178785000,-298153000,-268087000,-344902000,-380192000,-469991000,-548758000,-647569000
65,Other Comprehensive Income/Loss,-3496,-12749,-39084,-101805,-176126,-271160,-368133,-657947,-1393000,-2337000,-4539000,-5083000,-6685000,-7516000,-7708000,46634000,65813000
66,Other Total Stockholders Equity,20736621,21746750,39075510,54877403,66811013,93816240,481231536,515670274,75028000,75753000,174791000,31059000,37928000,44235000,48346000,- -,- -
67,Total Stockholders Equity,19262756,11965045,20539339,26216132,25789962,37919260,515844173,478847783,630266000,571718000,609359000,528161000,516766000,546008000,481052000,549326000,581397000
68,Total Liabilities And Stockholders Equity,21465824,16384515,21238238,27788902,26975012,39514770,763250507,720455550,883712000,899314000,1017925000,684018000,655686000,692443000,652115000,733602000,744717000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21465824,16384515,21238238,27788902,26975012,39514770,763250507,720455550,883712000,899314000,1017925000,684018000,655686000,692443000,652115000,733602000,744717000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1470369,-8298587,-8728131,-10062379,-12285459,-14780895,90606590,-71145314,-61663000,-80958000,-119368000,-4127000,-76815000,-35290000,-89799000,-77940000,-98811000
74,Depreciation and Amortization,18980,43584,62520,156759,119829,153285,178884,378585,772000,1120000,1955000,2192000,3057000,2650000,2139000,3667000,4264000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86694000,-13400000,-30664000,-8955000,- -,- -
76,Stock Based Compensation,65517,1000876,547850,1345774,1196490,1019254,3300443,12117623,12294000,9419000,8567000,3389000,5276000,6199000,4368000,- -,- -
77,Change in Working Capital,297234,1983763,-1809987,938990,-456676,283510,117039882,-339405,-7180000,-853000,5309000,-144000,-13757000,-8931000,20437000,13290000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,2119000,2640000,252000,-531000,-859000,-6093000,4974000,890000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,10017000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,116098814,-27682896,-18261000,-5412000,1262000,-3159000,1761000,1930000,12469000,- -,- -
82,Other Non-Cash Items,483826,2086501,825072,1418267,2188240,3667184,-102896926,-13128272,1696000,-10589000,-18172000,-2612000,168000,-8976000,14020000,60983000,94547000
83,Cash Provided by Operating Activities,-604812,-3183863,-9102676,-6202589,-9237576,-9657662,108228873,-72116783,-54081000,-81861000,-121709000,-87996000,-95471000,-75012000,-57790000,- -,- -
84,CAPEX,-752613,-153480,-181852,-100956,-170020,-87113,-461549,-2705283,-2838000,-37918000,-2716000,-922000,-311000,-201000,-279000,-2096000,-1647000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4000000,-4000000,-3880548,-6419452,-200000,- -,- -,-1273792,-2204000,-1483000,-939000,-805000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-937228,-36208,645710,1172370,636907,-256335,5176267,8589493,-1614000,-37461000,-2205000,-200000,453000,-952000,-721000,-1177000,- -
89,Cash Used for Investing Activites,-4968962,-4055128,-3381503,-5348038,266887,-343448,4714718,5332418,-5042000,-40809000,-5612000,-1727000,142000,-1153000,-1000000,-3273000,-1647000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-392000,- -,-1625000,- -
91,Common Stock Issued,22662400,- -,17559666,14134500,11941443,26798338,126863724,4882638,174878000,2476000,59999000,68549000,61932000,40566000,30258000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1994792,- -,-805091,-537600,-548290,-1261256,-770314,- -,-5529000,-46000,-586000,-6483000,-1927000,28439000,41350000,138669000,114466000
95,Cash Used/Provided by Financing Activities,20667608,- -,16754575,13596900,11393153,25537082,126093410,4882638,169349000,2430000,59413000,62066000,60005000,68613000,71608000,137044000,114466000
96,Effect of Forex Changes on Cash,- -,- -,-70199,-7094,9595,-12923,-7858743,5422940,-508000,1325000,15656000,-2107000,148000,-446000,-155000,1496000,- -
97,Net Change In Cash,- -,-7238991,4200197,2039179,2432059,15523049,231178258,-56478787,109718000,-118915000,-52252000,-29764000,-35176000,-7998000,12663000,78902000,7553000
98,Cash at the End of Period,15093834,7854843,12055040,14094219,16526278,32049327,263227585,206748798,315309000,196394000,144142000,80937000,45761000,37763000,50426000,- -,136881000
99,Cash at the Beginning of Period,- -,15093834,7854843,12055040,14094219,16526278,32049327,263227585,205591000,315309000,196394000,110701000,80937000,45761000,37763000,- -,129328000
100,Free Cash Flow,-1357425,-3337343,-9284528,-6303545,-9407596,-9744775,107767324,-74822066,-56919000,-119779000,-124425000,-88918000,-95782000,-75213000,-58069000,- -,-108328000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,
