,https://roic.ai/company/TNDM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,3015000,2697000,2441000,2110000,1784000,1457000,1130000,777000,8805000,6636000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25000,- -,642746,691000,499000,107000,10102000,128000,708000,580000,9092000
45,Total Non-Current Assets,4196000,12003591,13225746,15713000,18135000,20300000,31190000,18409000,49969000,79180000,93617000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13977668,39817779,162214928,106464000,125119000,112392000,95346000,206294000,326110000,716415000,905137000
48,Accounts Payable,- -,- -,2352037,1949000,5234000,7513000,5150000,6824000,17745000,17805000,28032000
49,Short-Term Debt,12856791,4203190,- -,- -,- -,- -,- -,- -,6320000,9421000,9279000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1883824,411423,840000,1822000,5208000,2526000,4600000,3869000,6082000,10182000
52,Other Current Liabilities,3800857,10965351,11835772,15305000,19464000,18755000,28409000,54864000,71462000,70544000,84363000
53,Total Current Liabilities,16657648,17052365,14599232,18094000,26520000,31476000,36085000,66288000,99396000,103852000,131856000
54,Long-Term Debt,- -,- -,29396571,29440000,29669000,78960000,76541000,- -,14063000,218898000,305389000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,68614617,128816894,2682148,4358000,5462000,7883000,11868000,8731000,17672000,27360000,34780000
58,Total Non-Current Liabilities,68614617,128816894,32078719,33798000,35131000,86843000,88409000,8731000,31735000,246258000,340169000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,20383000,25335000,33201000
61,Total Liabilities,85272265,145869259,46677951,51892000,61651000,118319000,124494000,75019000,131131000,350110000,472025000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,178,206,22926,24000,30000,31000,10000,57000,59000,62000,64000
64,Retained Earnings,-72729597,-106052146,-169190995,-248715000,-321133000,-404580000,-477613000,-600075000,-624828000,-659210000,-634595000
65,Other Comprehensive Income/Loss,-3147000,-4953000,-7580000,8000,20000,-1000,- -,-13000,122000,220000,-616000
66,Other Total Stockholders Equity,4581829,4953000,292285251,303255000,384551000,398623000,448455000,731306000,819626000,1025233000,- -
67,Total Stockholders Equity,-71294590,-106051940,115537182,54572000,63468000,-5927000,-29148000,131275000,194979000,366305000,433112000
68,Total Liabilities And Stockholders Equity,13977675,39817319,162215133,106464000,125119000,112392000,95346000,206294000,326110000,716415000,905137000
69,Minority Interest,-7,460,-205,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13977668,39817779,162214928,106464000,125119000,112392000,95346000,206294000,326110000,716415000,905137000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438133/000119312514086714/0001193125-14-086714-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000156459015000886/tndm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1438133/000156459016013192/0001564590-16-013192-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459017003680/0001564590-17-003680-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459018004141/0001564590-18-004141-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459019004469/0001564590-19-004469-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000143813320000014/0001438133-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000143813321000015/0001438133-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000143813322000021/0001438133-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-25509824,-33015085,-63138849,-79524000,-72418000,-83447000,-73033000,-122611000,-24753000,-34382000,15566000
74,Depreciation and Amortization,1276532,2032197,3166845,4389000,4829000,5489000,6866000,5821000,6072000,10451000,13845000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2126000,- -
76,Stock Based Compensation,253359,245827,4456432,14995000,13096000,11660000,12628000,23736000,58071000,58431000,60752000
77,Change in Working Capital,960804,17637803,123628127,-61732950,7807000,-19848000,-32545000,93526000,-12349000,-36589000,14372000
78,Accounts Receivable,- -,-2458409,-3161320,-2541000,-6473000,2251000,-10445000,-15848000,-13698000,-38837000,-30980000
79,Inventory,- -,-6260808,-4624106,-1820000,-6084000,-6904000,-5894000,6756000,-30975000,-15361000,-4954000
80,Accounts Payable,-33927,- -,859498,-1225000,3355000,3234000,-1953000,1641000,8910000,1118000,10275000
81,Other Working Capital,-6875980,10761823,134389950,72657000,80464000,60616000,28071000,121597000,8874000,12368000,28010000
82,Other Non-Cash Items,1472343,-20371908,-115869206,60494950,-12078000,24973000,19948000,-8791000,14864000,28884000,6824000
83,Cash Provided by Operating Activities,-21546786,-33471166,-47756651,-61378000,-58764000,-61173000,-66136000,-8319000,41905000,24669000,111359000
84,CAPEX,-1321047,-5529010,-6009772,-4579000,-5838000,-8930000,-5718000,-2986000,-19541000,-32294000,-23511000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-5095331,-67101000,-80191000,-30622000,- -,-123553000,-164572000,-497076000,-733388000
87,Sales/Maturities of Investments,7200000,- -,- -,36210000,88450000,50000000,8500000,35800000,127158000,233314000,570023000
88,Other Investing Activites,- -,-1000000,-2000000,-173000,-74000,- -,- -,- -,- -,-4886000,-9331000
89,Cash Used for Investing Activites,5878953,-5529010,-11105103,-35470000,2421000,10448000,2782000,-90739000,-56955000,-296056000,-186876000
90,Debt Repayment,- -,-603677,-4396323,-30000000,- -,- -,- -,-87711000,- -,- -,- -
91,Common Stock Issued,215309,34678,125105496,3664000,68255000,2321000,40376000,172929000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12963873,48074888,45374988,29975000,- -,49994000,-8000000,31966000,24207000,314438000,51932000
95,Cash Used/Provided by Financing Activities,13179182,47505889,166084161,3639000,68255000,52315000,32376000,117184000,24207000,314438000,51932000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,191000,387000,153000
97,Net Change In Cash,-2488651,8505713,107222407,-93209000,11912000,1590000,-30978000,18126000,9348000,43438000,-23432000
98,Cash at the End of Period,8657017,17162730,124385137,31176000,43088000,44678000,13700000,41826000,51174000,94613000,71181000
99,Cash at the Beginning of Period,11145668,8657017,17162730,124385000,31176000,43088000,44678000,23700000,41826000,51175000,94613000
100,Free Cash Flow,-22867833,-39000176,-53766423,-65957000,-64602000,-70103000,-71854000,-11305000,22364000,-7625000,87848000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438133/000119312514086714/0001193125-14-086714-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000156459015000886/tndm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1438133/000156459016013192/0001564590-16-013192-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459017003680/0001564590-17-003680-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459018004141/0001564590-18-004141-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459019004469/0001564590-19-004469-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000143813320000014/0001438133-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000143813321000015/0001438133-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000143813322000021/0001438133-22-000021-index.htm
102,false,,,,,,,,,,,
