,https://roic.ai/company/GFMH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0173,-0.2951,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2045,-0.0181,Infinity,-1.9096,-2.1980,0.0580
17,Operating Income,3500000,-4041559,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15559,-123738,-145781,-113873,-87303,-273179,35780,21556,-408272,-26085,-30671,2227
18,Operating Income ratio,0.2023,-0.2068,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2045,0.0862,-Infinity,-1.9096,-2.1980,0.0580
19,Total Other Income Expenses (Gains),-3000000,-1499180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4632,-4632,-570,-190,- -,-4796,- -,-26088,11291,- -,- -,- -
20,Income Before Tax,500000,-5540739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20191,-128370,-146351,-114063,-87303,-277975,35780,-4532,-396981,-26085,-30671,2227
21,Income Before Tax Ratio,0.0289,-0.2836,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2045,-0.0181,-Infinity,-1.9096,-2.1980,0.0580
22,Income Tax expense (Gain),-700000,1275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,797,6153,780,820,840,840,1320,2640,- -,- -,- -,- -
23,Net Income,1200000,-6815739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20988,-134523,-147131,-114883,-88143,-278815,34460,-7172,-396981,-26085,-30671,2227
24,Net Income ratio,0.0694,-0.3488,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1969,-0.0287,-Infinity,-1.9096,-2.1980,0.0580
25,EPS,0.03,-0.19,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
26,EPS Diluted,0.03,-0.19,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
27,Weighted Average Shares Outstanding,35619816,35619816,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5219816,32512280,57066658,90273192,92532131,133069779,148119227,170120484,175522838,138964917,138964917,138964917
28,Weighted Average Shares Outstanding Diluted,35619816,35619816,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5219816,32512280,57066658,90273192,92532131,133069779,148119227,170120484,175522838,138964917,138964917,138964917
29,SEC Link,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820771/000149315215006311/0001493152-15-006311-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315216015567/0001493152-16-015567-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315217009422/0001493152-17-009422-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315218011500/0001493152-18-011500-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315219011970/0001493152-19-011970-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315220015555/0001493152-20-015555-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315221018063/0001493152-21-018063-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7100000,3932870,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,483,2927,- -,579,25310,2468,494,822,155,14534
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7100000,3932870,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,483,2927,- -,579,25310,2468,494,822,155,14534
34,Net Receivables,1300000,2357781,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5085,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,23000000,33521701,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19266,32034,- -,299,299,299,299,299,299,299
37,Total Current Assets,31400000,39812352,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,19749,34961,5085,878,25609,2767,793,1121,454,14833
38,PP&E,600000,1025658,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10030,9920,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351607,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7085,- -,- -,- -,351607,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2550,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1100000,289593,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330907,15000,- -,- -,- -,- -
45,Total Non-Current Assets,1700000,1315251,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10030,9920,2550,7085,- -,- -,330907,366607,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33100000,41127603,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10030,9922,22299,42046,5085,878,356516,369374,793,1121,454,14833
48,Accounts Payable,700000,471654,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116,22610,43654,26248,30385,47186,- -,15210,19010,16527,14119
49,Short-Term Debt,- -,42600989,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20887,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,29900000,1382544,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81450,177749,36570,11056,10894,9000,- -,23988,15340,34863,67350,81910
53,Total Current Liabilities,30600000,44455187,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81450,177865,59180,54710,37142,39385,68073,23988,30550,53873,83877,96029
54,Long-Term Debt,- -,112355,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,40000,-2355,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7250,- -,- -,- -,100000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,40000,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7250,- -,- -,- -,100000,- -,- -,- -,- -,- -
59,Other Liabilities,- -,222355,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,30600000,44567542,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81450,177865,66430,54710,37142,39385,168073,23988,30550,53873,83877,96029
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,17896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,652,4452,67343,91265,93362,138965,158214,174626,138966,138966,138966,138966
64,Retained Earnings,-27200000,-34044472,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71792,-206315,-147131,-262014,-350157,-628972,-594512,-601684,-998665,-1024750,-1055421,-1053194
65,Other Comprehensive Income/Loss,-500000,-605106,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14734,-23336,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,30200000,31191743,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14454,57256,35657,158085,224738,451500,624741,772444,829942,833032,833032,833032
67,Total Stockholders Equity,2500000,-3439939,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71420,-167943,-44131,-12664,-32057,-38507,188443,345386,-29757,-52752,-83423,-81196
68,Total Liabilities And Stockholders Equity,33100000,41127603,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10030,9922,22299,42046,5085,878,356516,369374,793,1121,454,14833
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33100000,41127603,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10030,9922,22299,42046,5085,878,356516,369374,793,1121,454,14833
71,SEC Link,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820771/000149315215006311/0001493152-15-006311-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315216015567/0001493152-16-015567-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315217009422/0001493152-17-009422-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315218011500/0001493152-18-011500-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315219011970/0001493152-19-011970-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315220015555/0001493152-20-015555-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315221018063/0001493152-21-018063-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,-6815739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20988,-134523,-147131,-114883,-88143,-278815,34460,-7172,-396981,-26085,-30671,2227
74,Depreciation and Amortization,-200000,-226220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8050,8602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,-700000,1275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,57750,- -,136000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,3900000,-5442835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4561385,-96413,138432,19682,-12308,-6450,-3957,21243,-8536,-22995,-30671,2227
78,Accounts Receivable,-1200000,-1098529,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,200000,-195831,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58494,21044,7344,4137,- -,- -,- -,-1275,-2483,-17408
81,Other Working Capital,800000,-4642835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81450,-177863,-39431,-19749,-32057,-38507,-42464,-21221,-29757,-52752,-83423,-81196
82,Other Non-Cash Items,3700000,7925593,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4547854,89399,-98634,-36920,49545,15373,-204149,-180141,403543,49408,60675,9925
83,Cash Provided by Operating Activities,7900000,-3284201,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593,-107935,-107333,-74371,-50906,-133892,-173646,-166070,-1974,328,-667,14379
84,CAPEX,-600000,-411849,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-593,-8492,- -,-4535,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2550,- -,- -,- -,-15000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,-434907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4535,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-400000,-846756,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-593,-8492,-2550,-4535,- -,- -,-15000,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,103001,88600,39000,136365,192490,164115,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-36203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-600000,988657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103429,7250,-7250,8979,-1894,45887,-20887,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-600000,952454,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116429,110251,81350,47979,134471,213377,143228,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-600000,-3178503,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116429,481,2444,47979,134471,24731,-22842,-1974,328,-667,14379
98,Cash at the End of Period,- -,3932870,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,483,2927,- -,579,25310,2468,494,822,155,14534
99,Cash at the Beginning of Period,100000,7111373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,483,2927,- -,579,25310,2468,494,822,155
100,Free Cash Flow,7300000,-3696050,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116427,-107333,-78906,-50906,-133892,-173646,-166070,-1974,328,-667,14379
101,SEC Link,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820771/000149315215006311/0001493152-15-006311-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315216015567/0001493152-16-015567-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315217009422/0001493152-17-009422-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315218011500/0001493152-18-011500-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315219011970/0001493152-19-011970-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315220015555/0001493152-20-015555-index.htm,https://www.sec.gov/Archives/edgar/data/820771/000149315221018063/0001493152-21-018063-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
