,https://roic.ai/company/FBHS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,353000000,374200000,346100000,381800000,477100000,458900000,502600000,550700000,555300000,571700000,624800000,734900000,885700000
35,Inventory,297700000,333000000,336300000,357200000,471600000,462200000,555600000,531100000,580800000,678900000,718600000,867200000,1193800000
36,Other Current Assets,660900000,699900000,150300000,153000000,137300000,186100000,122000000,111900000,142600000,172600000,166900000,187300000,193500000
37,Total Current Assets,1369400000,1467800000,953500000,1228000000,1327400000,1299100000,1418700000,1445200000,1601700000,1686100000,1898200000,2208500000,2744500000
38,PP&E,590200000,550000000,525800000,509400000,534400000,539800000,627900000,662500000,740000000,813400000,989800000,1087600000,1009500000
39,Goodwill,1363300000,1364900000,1366600000,1387000000,1519900000,1467800000,1755300000,1833800000,1912000000,2080300000,2090200000,2394800000,2465100000
40,Intangible Assets,810600000,798800000,697300000,677700000,752900000,656500000,996700000,1107000000,1162400000,1246800000,1168900000,1420300000,1383800000
41,Intangible Assets,2173900000,2163700000,2063900000,2064700000,2272800000,2124300000,2752000000,2940800000,3074400000,3327100000,3259100000,3815100000,3848900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,57700000,77900000,94700000,71600000,43500000,89700000,80000000,80000000,95300000,138000000,144200000,247500000,333300000
45,Total Non-Current Assets,2821800000,2791600000,2684400000,2645700000,2850700000,2753800000,3459900000,3683300000,3909700000,4278500000,4393100000,5150200000,5191700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4191200000,4259400000,3637900000,3873700000,4178100000,4052900000,4878600000,5128500000,5511400000,5964600000,6291300000,7358700000,7936200000
48,Accounts Payable,235400000,252800000,260700000,287000000,343800000,333800000,344200000,393800000,428800000,459000000,460000000,620500000,764900000
49,Short-Term Debt,1200000,3000000,21300000,28000000,6000000,26300000,800000,- -,- -,525000000,399700000,- -,400000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,43300000,46300000,61400000,57700000,39300000,70800000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,316400000,320700000,315800000,317600000,388900000,339500000,412900000,449000000,478000000,508100000,549600000,724600000,806200000
53,Total Current Liabilities,553000000,576500000,597800000,632600000,738700000,699600000,757900000,842800000,906800000,1492100000,1409300000,1345100000,1971100000
54,Long-Term Debt,23900000,16800000,389300000,297500000,350000000,643700000,1171600000,1431100000,1507600000,1809000000,1784600000,2712700000,2309800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,223600000,245800000,150600000,201700000,163500000,166800000,162600000,157200000,160500000,176000000
57,Other Non-Current Liabilities,3773600000,3721000000,526300000,335300000,190500000,295900000,293600000,328100000,329100000,320900000,512400000,364900000,414500000
58,Total Non-Current Liabilities,3797500000,3737800000,915600000,856400000,786300000,1090200000,1666900000,1922700000,2003500000,2292500000,2454200000,3238100000,2900300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139800000,140500000,- -
61,Total Liabilities,4350500000,4314300000,1513400000,1489000000,1525000000,1789800000,2424800000,2765500000,2910300000,3784600000,3863500000,4583200000,4871400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1600000,1600000,1700000,1700000,1700000,1700000,1700000,1800000,1800000,1800000,- -
64,Retained Earnings,-742600000,-685400000,-77700000,41000000,200800000,279500000,501600000,814600000,1174200000,1448100000,1763000000,2180200000,- -
65,Other Comprehensive Income/Loss,-90100000,-76300000,10600000,30600000,95400000,-6700000,-52500000,-71900000,-39200000,-67000000,-72600000,-55100000,- -
66,Other Total Stockholders Equity,1436900000,1541800000,2186300000,2307900000,2351500000,1985000000,2000100000,1617100000,1462800000,795300000,734400000,648600000,- -
67,Total Stockholders Equity,-162200000,-58400000,2120800000,2381100000,2649400000,2259500000,2450900000,2361500000,2599500000,2178200000,2426600000,2775500000,3064800000
68,Total Liabilities And Stockholders Equity,4188300000,4255900000,3634200000,3870100000,4174400000,4049300000,4875700000,5127000000,5509800000,5962800000,6290100000,7358700000,7936200000
69,Minority Interest,2900000,3500000,3700000,3600000,3700000,3600000,2900000,1500000,1600000,1800000,1200000,- -,- -
70,Total Liabilities & Equity,4191200000,4259400000,3637900000,3873700000,4178100000,4052900000,4878600000,5128500000,5511400000,5964600000,6291300000,7358700000,7936200000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1519751/000119312512072886/0001193125-12-072886-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312513079983/0001193125-13-079983-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312514069698/d643089d10k.htm,https://www.sec.gov/Archives/edgar/data/1519751/000119312515062500/d852986d10k.htm,https://www.sec.gov/Archives/edgar/data/1519751/000119312516478315/0001193125-16-478315-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312517062357/0001193125-17-062357-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312518063999/0001193125-18-063999-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312519049951/0001193125-19-049951-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000156459020006812/0001564590-20-006812-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000156459021008129/0001564590-21-008129-index.htm,https://www.sec.gov/Archives/edgar/data/1519751/000095017022002294/0000950170-22-002294-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-41900000,57200000,-35600000,118700000,229700000,158100000,315000000,413200000,472600000,389600000,431900000,553100000,772400000
74,Depreciation and Amortization,131100000,111600000,111500000,101300000,90400000,98800000,115100000,122700000,130300000,149600000,152700000,163500000,189100000
75,Deferred Income Tax,-23700000,23000000,-62400000,-4000000,-12700000,300000,-13600000,-25800000,-18700000,2800000,-7500000,-14600000,1700000
76,Stock Based Compensation,7800000,11700000,15700000,26900000,26100000,29700000,27600000,32000000,43000000,36100000,30500000,47600000,- -
77,Change in Working Capital,176100000,74900000,-535600000,239700000,-6700000,10800000,61300000,-58400000,92500000,-500900000,294900000,7800000,-377400000
78,Accounts Receivable,43300000,-20800000,26900000,-33500000,-58500000,-39900000,-6900000,-39100000,1000000,9800000,-50700000,-85700000,- -
79,Inventory,45100000,-34400000,-4600000,-18700000,-89700000,14500000,-69800000,52400000,-24800000,-55000000,-38300000,-91800000,- -
80,Accounts Payable,12600000,16300000,6700000,22100000,39800000,-9500000,-16000000,57600000,24000000,21000000,8700000,142900000,- -
81,Other Working Capital,816400000,891300000,355700000,595400000,588700000,599500000,660800000,602400000,694900000,194000000,488900000,- -,- -
82,Other Non-Cash Items,19900000,-139500000,681800000,-199800000,-29000000,-44000000,-94300000,166800000,-119400000,526800000,-265300000,68300000,102900000
83,Cash Provided by Operating Activities,269300000,138900000,175400000,282800000,297800000,253700000,411100000,650500000,600300000,604000000,637200000,825700000,688700000
84,CAPEX,-43300000,-58300000,-68500000,-75000000,-96700000,-127500000,-128500000,-149300000,-165000000,-150100000,-131800000,-150500000,-214200000
85,Acquisitions Net,- -,- -,-6000000,-19500000,-302000000,-147300000,-652800000,-239700000,-123100000,-465600000,- -,-715200000,5200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28700000,- -,-59400000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-32000000,-55700000,-65000000,-67200000,-94700000,-133800000,-126000000,-145400000,-164600000,-140000000,-127600000,-148900000,-212300000
89,Cash Used for Investing Activites,-32000000,-55700000,-71000000,-86700000,-396700000,-281100000,-778800000,-385100000,-287700000,-634300000,-127600000,-923500000,-207100000
90,Debt Repayment,-5000000,-7100000,-120000000,-156800000,-190000000,-743200000,-1250000000,-806100000,-565000000,-1890000000,-1345000000,-1465000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-8800000,-52100000,-439800000,-51700000,-424500000,-214800000,-694600000,-100000000,-187600000,-447700000
93,Dividends Paid,- -,- -,-548900000,- -,-49900000,-77400000,-89500000,-98200000,-110300000,-115200000,-123000000,-133300000,-143000000
94,Other Financing Activites,-216800000,-74300000,625400000,181300000,296100000,1112900000,1808100000,1078400000,640000000,2693000000,1178300000,1897500000,162100000
95,Cash Used/Provided by Financing Activities,-221800000,-81400000,-43500000,15700000,4100000,-147500000,416900000,-250400000,-250100000,-6800000,-389700000,111600000,-428600000
96,Effect of Forex Changes on Cash,-6800000,1100000,-800000,3400000,200000,-4600000,-14800000,-2000000,9000000,-15200000,4300000,16300000,-1900000
97,Net Change In Cash,8700000,2900000,60100000,215200000,-94600000,-49500000,46600000,13000000,71500000,-52300000,124200000,30100000,51100000
98,Cash at the End of Period,57800000,60700000,120800000,336000000,241400000,191900000,238500000,251500000,323000000,270700000,394900000,425000000,476100000
99,Cash at the Beginning of Period,49100000,57800000,60700000,120800000,336000000,241400000,191900000,238500000,251500000,323000000,270700000,394900000,425000000
100,Free Cash Flow,226000000,80600000,106900000,207800000,201100000,126200000,282600000,501200000,435300000,453900000,505400000,675200000,474500000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1519751/000119312512072886/0001193125-12-072886-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312513079983/0001193125-13-079983-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312514069698/d643089d10k.htm,https://www.sec.gov/Archives/edgar/data/1519751/000119312515062500/d852986d10k.htm,https://www.sec.gov/Archives/edgar/data/1519751/000119312516478315/0001193125-16-478315-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312517062357/0001193125-17-062357-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312518063999/0001193125-18-063999-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312519049951/0001193125-19-049951-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000156459020006812/0001564590-20-006812-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000156459021008129/0001564590-21-008129-index.htm,https://www.sec.gov/Archives/edgar/data/1519751/000095017022002294/0000950170-22-002294-index.htm
102,false,,,,,,,,,,,,,
