,https://roic.ai/company/GAN,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-676000,-187000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,1941000,- -
81,Other Working Capital,- -,- -,3546000,3546000,4113000,8777000,146184000,- -
82,Other Non-Cash Items,99000,488000,-4100000,113000,3779000,-6067000,-133581000,- -
83,Cash Provided by Operating Activities,-2767000,-2295000,-735000,865000,2244000,6253000,-6348000,- -
84,CAPEX,-3460000,-4692000,-4526000,-3520000,-4221000,-2915000,-5919000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,67000,19000,21000,308000,-4136000,-2724000,-4650000,- -
89,Cash Used for Investing Activites,-3393000,-4673000,-4505000,-3212000,-4213000,-2900000,-5919000,- -
90,Debt Repayment,- -,- -,- -,- -,-3640000,-740000,-154000,- -
91,Common Stock Issued,- -,- -,- -,- -,10152000,332000,156887000,- -
92,Common Stock Repurchased,48000,19000,4358000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,2001000,-826000,-127000,-2025000,- -
95,Cash Used/Provided by Financing Activities,48000,19000,4358000,2001000,5686000,-535000,154708000,- -
96,Effect of Forex Changes on Cash,-7000,-48000,282000,-87000,-474000,313000,-66000,- -
97,Net Change In Cash,-6119000,-6997000,-600000,-433000,3243000,3131000,142375000,- -
98,Cash at the End of Period,-3373000,-4251000,2146000,-433000,6967000,10098000,152654000,- -
99,Cash at the Beginning of Period,2746000,2746000,2746000,- -,3724000,6967000,10279000,- -
100,Free Cash Flow,-6227000,-6987000,-5261000,-2655000,-1977000,3338000,-12267000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1799332/000149315221007491/0001493152-21-007491-index.htm,undefined
102,false,,,,,,,,
