,https://roic.ai/company/CROX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,-191000,-3090000,-2037000,-14866000,-5429000,5399000,-4999000,-819000,-2981000,23536000,829000,289000,-388000,-3093000,959000,-16259000,-325061000,-241283000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,31434000,7109000,8550000,11321000,11871000,12503000,11236000,10736000,9773000,13105000,14412000,16361000,38122000
77,Change in Working Capital,- -,330000,11833000,139734000,150720000,-154664000,34760000,62654000,126788000,85137000,-2028000,-11626000,-162671000,-2517000,-8304000,-72224000,-27648000,33098000,-92688000,-44526000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-13251000,-13165000,-23278000,-9475000,-17166000,-15288000,-15604000,2408000,620000,-24623000,-15015000,-47045000,-35063000
79,Inventory,- -,-331000,-859000,-26035000,-54960000,-151590000,18239000,44828000,-27908000,-13328000,-35493000,-5274000,-31251000,-8586000,20371000,23319000,-1987000,-48156000,-13462000,-43063000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-17387000,12689000,30314000,99000,-5740000,-12106000,23260000,-1354000,-2714000,12953000,6032000,23229000,34868000
81,Other Working Capital,- -,-1785000,10048000,149782000,300502000,145838000,180598000,243252000,370040000,455177000,453149000,441523000,278852000,276335000,268031000,195807000,168159000,201257000,108569000,-33504000
82,Other Non-Cash Items,- -,356000,-10071000,-146448000,-208810000,-10709000,191158000,-32971000,-129409000,-100543000,-45993000,7757000,105201000,47893000,20161000,120440000,48059000,-85003000,327810000,57182000
83,Cash Provided by Operating Activities,- -,-439000,777000,10502000,12343000,8938000,72863000,61109000,104274000,142376000,128356000,83464000,-11651000,9698000,39754000,98264000,114162000,89958000,266902000,567165000
84,CAPEX,- -,-321000,-1551000,-11531000,-29044000,-73904000,-66218000,-27027000,-45105000,-41640000,-60836000,-68828000,-57026000,-18488000,-22194000,-13117000,-11979000,-36576000,-42033000,-55916000
85,Acquisitions Net,- -,- -,-5166000,-636000,-15399000,-12391000,-7977000,- -,- -,- -,-5169000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-52600000,-64880000,- -,-1502000,-5654000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,30275000,87205000,- -,- -,7369000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2735000,1753000,759000,-4175000,-12536000,-13946000,-21012000,-29334000,-42001000,-5799000,-5424000,2145000,1869000,340000,271000,-9000
89,Cash Used for Investing Activites,- -,-321000,-6717000,-12167000,-69503000,-62217000,-73436000,-25731000,-42078000,-41664000,-65943000,-69758000,-57992000,-18627000,-18657000,-10972000,-10110000,-36236000,-41762000,-55925000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-23078000,-84625000,-317704000,-90625000,-13160000,-5177000,-5290000,-35640000,-8611000,-662000,-230000000,-235000000,-485000000
91,Common Stock Issued,- -,625000,6025000,- -,96738000,18547000,3283000,- -,- -,10914000,3706000,2280000,1342000,1864000,420000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-12000,-150000,-275000,- -,-25022000,- -,-238000,- -,- -,-25567000,-12789000,-146645000,-86187000,-324000,-50000000,-246855000,-147190000,-170832000,-1020119000
93,Dividends Paid,- -,- -,- -,- -,-171000,- -,- -,- -,- -,- -,- -,- -,-8234000,-11900000,-12000000,-12000000,-21015000,-2985000,- -,- -
94,Other Financing Activites,- -,400000,767000,5800000,-2016000,49675000,15317000,1125000,89870000,315707000,95861000,22508000,182145000,253000,31101000,5241000,119730000,311537000,207794000,1075481000
95,Cash Used/Provided by Financing Activities,- -,1013000,6642000,5525000,94551000,43200000,18600000,-22191000,5245000,8917000,-16625000,-1161000,23431000,-101260000,-16443000,-65370000,-148802000,-68638000,-198038000,-429638000
96,Effect of Forex Changes on Cash,- -,- -,26000,-127000,478000,3758000,-2697000,12491000,799000,2375000,-9027000,10251000,-3420000,-13982000,-430000,2641000,-4775000,-569000,126000,-3950000
97,Net Change In Cash,- -,253000,728000,3733000,37869000,-6321000,15330000,25678000,68240000,112004000,36761000,22796000,-49632000,-124171000,4224000,24563000,-49525000,-15485000,27228000,77652000
98,Cash at the End of Period,- -,326000,1054000,4787000,42656000,36335000,51665000,77343000,145583000,257587000,294348000,317144000,267512000,143341000,147565000,172128000,127530000,112045000,139273000,216925000
99,Cash at the Beginning of Period,- -,73000,326000,1054000,4787000,42656000,36335000,51665000,77343000,145583000,257587000,294348000,317144000,267512000,143341000,147565000,177055000,127530000,112045000,139273000
100,Free Cash Flow,- -,-760000,-774000,-1029000,-16701000,-64966000,6645000,34082000,59169000,100736000,67520000,14636000,-68677000,-8790000,17560000,85147000,102183000,53382000,224869000,511249000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334036/000110465907025001/0001104659-07-025001-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746908002093/0001047469-08-002093-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746909002818/0001047469-09-002818-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746910001357/0001047469-10-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746911001395/0001047469-11-001395-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000119312512075455/0001193125-12-075455-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000119312513072829/0001193125-13-072829-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746914001323/0001047469-14-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746915001519/0001047469-15-001519-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746916010591/0001047469-16-010591-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000162828017002068/0001628280-17-002068-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000162828018002437/0001628280-18-002437-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403619000012/0001334036-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403620000010/0001334036-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403621000035/0001334036-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403622000011/0001334036-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
