,https://roic.ai/company/AMBA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
20,Income Before Tax,12834000,15430000,11165000,20042000,27895000,52036000,85209000,60881000,25729000,-34552000,-41628000,-57303000,-28641000
21,Income Before Tax Ratio,0.1794,0.1629,0.1148,0.1655,0.1770,0.2384,0.2693,0.1962,0.0871,-0.1517,-0.1820,-0.2570,-0.0863
22,Income Tax expense (Gain),-454000,1501000,1344000,1854000,2241000,1465000,8701000,3071000,6877000,-4105000,3164000,2483000,-2230000
23,Net Income,13288000,13929000,9821000,18188000,25654000,50571000,76508000,57810000,18852000,-30447000,-44792000,-59786000,-26411000
24,Net Income ratio,0.1858,0.1470,0.1010,0.1502,0.1628,0.2317,0.2418,0.1863,0.0638,-0.1337,-0.1958,-0.2681,-0.0796
25,EPS,0.65,0.67,0.48,0.64,0.93,1.70,2.42,1.77,0.57,-0.93,-1.35,-1.72,-0.72
26,EPS Diluted,0.61,0.62,0.45,0.60,0.85,1.57,2.27,1.68,0.55,-0.93,-1.35,-1.72,-0.72
27,Weighted Average Shares Outstanding,20306937,20873072,20306937,13511646,27680778,29742653,31633936,32671221,33224803,32713606,33083562,34679717,34679717
28,Weighted Average Shares Outstanding Diluted,21836366,22407525,21836366,15016986,30172563,32278127,33755709,34327724,34583150,32713606,33083562,34679717,34679717
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280263/000119312513141693/0001193125-13-141693-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000119312514131361/0001193125-14-131361-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459015002116/amba-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/1280263/000156459016015290/0001564590-16-015290-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459017005590/0001564590-17-005590-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459018007226/0001564590-18-007226-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459019010114/0001564590-19-010114-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459020013513/0001564590-20-013513-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459021016988/0001564590-21-016988-index.htm,https://www.sec.gov/Archives/edgar/data/1280263/000156459022013224/0001564590-22-013224-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26599000,41896000,58944000,100494000,143394000,170291000,268056000,322872000,346672000,194047000,231403000,241274000,171043000
32,Short-Term Investments,5000000,- -,- -,- -,- -,37703000,39837000,82522000,87919000,164861000,173345000,199434000,- -
33,Cash and Short-Term Investments,31599000,41896000,58944000,100494000,143394000,207994000,307893000,405394000,434591000,358908000,404748000,440708000,171043000
34,Net Receivables,9089000,8829000,9485000,20153000,18837000,40180000,39408000,38596000,31294000,26212000,18487000,24974000,44307000
35,Inventory,1679000,7410000,6786000,8918000,10452000,21693000,18167000,20145000,23383000,18252000,22971000,26081000,45219000
36,Other Current Assets,1757000,1861000,2604000,3583000,4553000,5504000,4177000,4400000,4015000,6217000,4984000,5541000,6179000
37,Total Current Assets,44124000,59996000,77819000,133148000,177236000,275371000,369645000,468535000,493283000,409589000,451190000,497304000,266748000
38,PP&E,1111000,1565000,1686000,2536000,3018000,3075000,3448000,4988000,6449000,6728000,5614000,15189000,21261000
39,Goodwill,- -,- -,- -,- -,- -,- -,26601000,26601000,26601000,26601000,26601000,26601000,303625000
40,Intangible Assets,1650000,810000,270000,- -,- -,- -,4178000,4149000,14417000,10936000,17826000,18703000,46302000
41,Intangible Assets,1650000,810000,270000,- -,- -,- -,30779000,30750000,41018000,37537000,44427000,45304000,349927000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,555000,235000,426000,938000,1134000,3936000,4626000,5774000,3642000,10587000,10400000,10914000,15340000
44,Other Non-Current Assets,328000,1527000,1538000,1981000,1919000,1902000,2117000,2224000,2257000,2412000,15645000,4569000,4269000
45,Total Non-Current Assets,3644000,4137000,3920000,5455000,6071000,8913000,40970000,43736000,53366000,57264000,76086000,75976000,390797000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47768000,64133000,81739000,138603000,183307000,284284000,410615000,512271000,546649000,466853000,527276000,573280000,657545000
48,Accounts Payable,5150000,6725000,6481000,6674000,8321000,21036000,14175000,19955000,19815000,12801000,14910000,21124000,31170000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2181000,2911000,3391000
50,Tax Payable,256000,411000,530000,286000,545000,748000,787000,568000,936000,993000,691000,962000,1245000
51,Deferred Revenue,9813000,9662000,8002000,3451000,4831000,4907000,10077000,7425000,307000,529000,701000,844000,1414000
52,Other Current Liabilities,9013000,7845000,8461000,14705000,12250000,19539000,24565000,27016000,33114000,25693000,35661000,49088000,53309000
53,Total Current Liabilities,23976000,24232000,22944000,24830000,25402000,45482000,48817000,54396000,53236000,39023000,53453000,73967000,89284000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7525000,8322000
55,Deferred Revenue,1344000,959000,200000,- -,- -,198000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1423000,1333000,1293000,1293000,1288000,1288000,15340000
57,Other Non-Current Liabilities,39881000,40046000,52146000,1441000,1544000,1393000,10919000,1908000,9933000,7048000,24463000,15524000,-2577000
58,Total Non-Current Liabilities,41225000,41005000,52346000,1441000,1544000,1591000,12342000,3241000,11226000,8341000,25751000,24337000,21085000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10156000,10436000,11713000
61,Total Liabilities,65201000,65237000,75290000,26271000,26946000,47073000,61159000,57637000,64462000,47364000,79204000,98304000,110369000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,3000,12000,13000,14000,15000,15000,15000,15000,15000,16000,17000
64,Retained Earnings,-21529000,-7600000,2221000,20409000,46063000,96634000,173142000,242413000,261265000,230861000,186069000,126283000,99872000
65,Other Comprehensive Income/Loss,-2956000,-3444000,-3635000,-4190000,-5226000,-1000,-7000,-70000,-279000,97000,768000,1219000,- -
66,Other Total Stockholders Equity,7049000,9937000,7860000,96101000,115511000,140564000,176306000,212276000,221186000,188516000,261220000,347458000,447287000
67,Total Stockholders Equity,-17433000,-1104000,6449000,112332000,156361000,237211000,349456000,454634000,482187000,419489000,448072000,474976000,547176000
68,Total Liabilities And Stockholders Equity,47768000,64133000,81739000,138603000,183307000,284284000,410615000,512271000,546649000,466853000,527276000,573280000,657545000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,47768000,64133000,81739000,138603000,183307000,284284000,410615000,512271000,546649000,466853000,527276000,573280000,657545000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280263/000119312513141693/0001193125-13-141693-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000119312514131361/0001193125-14-131361-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459015002116/amba-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/1280263/000156459016015290/0001564590-16-015290-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459017005590/0001564590-17-005590-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459018007226/0001564590-18-007226-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459019010114/0001564590-19-010114-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459020013513/0001564590-20-013513-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459021016988/0001564590-21-016988-index.htm,https://www.sec.gov/Archives/edgar/data/1280263/000156459022013224/0001564590-22-013224-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,13288000,13929000,9821000,18188000,25654000,50571000,76508000,57810000,18852000,-30447000,-44792000,-59786000,-26411000
74,Depreciation and Amortization,1298000,1603000,1136000,1007000,1096000,1335000,1606000,1585000,4770000,7221000,11631000,11967000,14007000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6945000,187000,-514000,-4426000
76,Stock Based Compensation,1090000,1856000,3616000,4999000,8535000,15692000,31094000,48832000,56861000,60812000,66871000,70134000,87801000
77,Change in Working Capital,-489000,15616000,19111000,53443000,43516000,78055000,90939000,93311000,25908000,-69481000,27171000,25600000,-245873000
78,Accounts Receivable,-4242000,260000,-656000,-10668000,1316000,-21343000,1262000,812000,7302000,5082000,7725000,-6487000,-18600000
79,Inventory,-1180000,-5731000,624000,-2132000,-1534000,-11241000,3627000,-1978000,-3238000,5131000,-4719000,-3110000,-18944000
80,Accounts Payable,639000,1575000,-244000,193000,1270000,12715000,-6880000,5780000,-140000,-7014000,2109000,6214000,9822000
81,Other Working Capital,20148000,35764000,54875000,108318000,151834000,229889000,320828000,414139000,440047000,370566000,397737000,423337000,177464000
82,Other Non-Cash Items,2000,-19979000,-20998000,-67123000,-44451000,-93395000,-76586000,-88224000,-20988000,63312000,-21654000,-16601000,213697000
83,Cash Provided by Operating Activities,15189000,13025000,12686000,10514000,34350000,52258000,123561000,113314000,85403000,24472000,39414000,30800000,38795000
84,CAPEX,-1297000,-1726000,-1312000,-1528000,-1701000,-1361000,-2085000,-2701000,-3687000,-2940000,-1821000,-4942000,- -
85,Acquisitions Net,- -,- -,102000,- -,- -,-290000,-29905000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5000000,-972000,- -,- -,- -,-59807000,-52786000,-115546000,-74863000,-207841000,-225913000,-219677000,-118726000
87,Sales/Maturities of Investments,- -,5000000,- -,- -,- -,21397000,49980000,72513000,68950000,131639000,219158000,193295000,315892000
88,Other Investing Activites,578000,-243000,-274000,514000,13000,- -,- -,- -,- -,- -,- -,-2990000,-316717000
89,Cash Used for Investing Activites,-5719000,2059000,-1484000,-1014000,-1688000,-40061000,-34796000,-45734000,-9600000,-79142000,-8576000,-31324000,-119551000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1869000
91,Common Stock Issued,- -,- -,- -,30440000,- -,- -,- -,- -,- -,- -,- -,- -,15292000
92,Common Stock Repurchased,- -,- -,-7228000,- -,- -,- -,- -,-20183000,-54788000,-99904000,- -,-1000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,567000,213000,13074000,1610000,10238000,14700000,9000000,7419000,2785000,1951000,6516000,11396000,-6636000
95,Cash Used/Provided by Financing Activities,567000,213000,5846000,32050000,10238000,14700000,9000000,-12764000,-52003000,-97953000,6516000,10396000,10525000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10037000,15297000,17048000,41550000,42900000,26897000,97765000,54816000,23800000,-152623000,37354000,9872000,-70231000
98,Cash at the End of Period,26599000,41896000,58944000,100494000,143394000,170291000,268056000,322872000,346672000,194058000,231412000,241284000,171053000
99,Cash at the Beginning of Period,16562000,26599000,41896000,58944000,100494000,143394000,170291000,268056000,322872000,346681000,194058000,231412000,241284000
100,Free Cash Flow,13892000,11299000,11374000,8986000,32649000,50897000,121476000,110613000,81716000,21532000,37593000,25858000,38795000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280263/000119312513141693/0001193125-13-141693-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000119312514131361/0001193125-14-131361-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459015002116/amba-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/1280263/000156459016015290/0001564590-16-015290-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459017005590/0001564590-17-005590-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459018007226/0001564590-18-007226-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459019010114/0001564590-19-010114-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459020013513/0001564590-20-013513-index.html,https://www.sec.gov/Archives/edgar/data/1280263/000156459021016988/0001564590-21-016988-index.htm,https://www.sec.gov/Archives/edgar/data/1280263/000156459022013224/0001564590-22-013224-index.htm
102,false,,,,,,,,,,,,,
