,https://roic.ai/company/LEDS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0805,-0.3885,0.3123,-0.3460,-1.2407,-2.3747,-1.7118,-0.9415,-2.0321,-0.4697,-0.4902,-0.6210,-0.3439,-0.8275
19,Total Other Income Expenses (Gains),373000,795000,-74000,-3683000,-13597000,-1968000,179000,-19000,-699000,224000,693000,100000,1540000,1061000
20,Income Before Tax,-814000,-3693000,11095000,-15413000,-49949000,-44635000,-24610000,-13317000,-21304000,-4104000,-2981000,-3565000,-547000,-2857000
21,Income Before Tax Ratio,-0.0552,-0.3197,0.3102,-0.4546,-1.7048,-2.4843,-1.6995,-0.9429,-2.1010,-0.4454,-0.3977,-0.6040,-0.0901,-0.6034
22,Income Tax expense (Gain),- -,- -,267000,725000,- -,3000,- -,1000,- -,- -,- -,- -,- -,- -
23,Net Income,-814000,-3693000,10828000,-16104000,-49457000,-43724000,-24475000,-13274000,-21275000,-4091000,-2981000,-3565000,-544000,-2851000
24,Net Income ratio,-0.0552,-0.3197,0.3028,-0.4750,-1.6880,-2.4336,-1.6901,-0.9398,-2.0981,-0.4440,-0.3977,-0.6040,-0.0897,-0.6021
25,EPS,-1.09,-4.95,15.58,-8.80,-18.00,-15.80,-8.70,-4.60,-7.25,-1.16,-0.84,-1.00,-0.15,-0.68
26,EPS Diluted,-1.09,-4.95,13.51,-8.80,-18.00,-15.80,-8.70,-4.60,-7.25,-1.16,-0.84,-1.00,-0.15,-0.68
27,Weighted Average Shares Outstanding,745500,745500,695000,2188700,2741400,2763000,2814100,2871000,2934000,3544000,3550000,3580000,3921000,4180000
28,Weighted Average Shares Outstanding Diluted,798800,798800,801200,2188700,2741400,2763000,2814100,2871000,2934000,3544000,3550000,3580000,3921000,4180000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333822/000104746911009728/0001047469-11-009728-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000104746912011226/a2212048z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000104746913010878/0001047469-13-010878-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000104746914009863/a2222485z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000104746915009225/a2225930z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000155837016010197/0001558370-16-010197-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459017024319/0001564590-17-024319-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459018030063/0001564590-18-030063-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459019043920/0001564590-19-043920-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459020054257/0001564590-20-054257-index.htm,https://www.sec.gov/Archives/edgar/data/1333822/000156459021058603/0001564590-21-058603-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11120000,13715000,13520000,83619000,47228000,36272000,12649000,4808000,6030000,3582000,3421000,1363000,2832000,4833000
32,Short-Term Investments,- -,- -,- -,- -,8831000,- -,- -,- -,- -,- -,- -,- -,952000,- -
33,Cash and Short-Term Investments,11120000,13715000,13520000,83619000,56059000,36272000,12649000,4808000,6030000,3582000,3421000,1363000,3784000,4833000
34,Net Receivables,3628000,2959000,7693000,5480000,4916000,2272000,2171000,2049000,900000,1111000,282000,703000,1331000,865000
35,Inventory,6253000,7561000,11362000,16217000,13016000,10500000,9212000,5924000,4067000,2946000,1818000,2083000,2476000,3937000
36,Other Current Assets,191000,410000,2269000,1542000,1130000,1080000,1909000,891000,640000,405000,340000,479000,-86000,419000
37,Total Current Assets,21192000,24645000,34844000,106858000,75121000,50124000,25941000,13672000,11637000,8044000,5861000,4628000,7505000,10054000
38,PP&E,21151000,24678000,31929000,51804000,46642000,30473000,27063000,20779000,8813000,8275000,7213000,5878000,5848000,6879000
39,Goodwill,- -,- -,- -,1106000,1072000,59000,59000,54000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,105000,144000,380000,1853000,1552000,1379000,1586000,1353000,44000,104000,98000,93000,89000,126000
41,Intangible Assets,105000,144000,380000,2959000,2624000,1438000,1645000,1407000,44000,104000,98000,93000,89000,126000
42,Investments,714000,714000,15961000,15579000,1821000,2275000,2204000,2014000,1368000,992000,914000,894000,952000,1011000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,578000,620000,792000,1126000,1326000,1395000,764000,648000,373000,255000,164000,169000,186000,169000
45,Total Non-Current Assets,22548000,26156000,49062000,71468000,52413000,35581000,31676000,24848000,10598000,9626000,8389000,7034000,7075000,8185000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,43740000,50801000,83906000,178326000,127534000,85705000,57617000,38520000,22235000,17670000,14250000,11662000,14580000,18239000
48,Accounts Payable,1007000,1135000,2814000,4464000,5768000,3534000,2675000,1650000,1326000,1145000,894000,680000,536000,753000
49,Short-Term Debt,792000,420000,1752000,1953000,2552000,2294000,1934000,1068000,314000,335000,335000,398000,4847000,5207000
50,Tax Payable,- -,- -,- -,351000,286000,288000,286000,263000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,614000,742000,280000,1125000,239000,995000,3971000,3699000,500000,648000,293000
52,Other Current Liabilities,2449000,2254000,4355000,6798000,4278000,6596000,3735000,3358000,2266000,2011000,2306000,2342000,2966000,3254000
53,Total Current Liabilities,4248000,3809000,8921000,13829000,13340000,12704000,9469000,6315000,4901000,7462000,7234000,3920000,8997000,9507000
54,Long-Term Debt,- -,2995000,3786000,6105000,4953000,6169000,4256000,2839000,2595000,2391000,2013000,5954000,2909000,4106000
55,Deferred Revenue,- -,- -,- -,441000,390000,339000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3097000,- -,- -,- -,106000,- -
58,Total Non-Current Liabilities,- -,2995000,3786000,6546000,5343000,6508000,4256000,2839000,5692000,2391000,2013000,5954000,3015000,4106000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,1635000
61,Total Liabilities,4248000,6804000,12707000,20375000,18683000,19212000,13725000,9154000,10593000,9853000,9247000,9874000,12012000,13613000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-6005000,-9698000,1130000,-14974000,-64431000,-108155000,-132630000,-145904000,-167179000,-171270000,-174251000,-177816000,-178360000,-181211000
65,Other Comprehensive Income/Loss,483000,-1275000,-441000,6982000,5179000,5557000,5583000,3083000,3398000,3701000,3727000,3753000,3647000,3543000
66,Other Total Stockholders Equity,52425000,64802000,86796000,165925000,168282000,168648000,170522000,172270000,175821000,175087000,175254000,175604000,176928000,- -
67,Total Stockholders Equity,39492000,43997000,71199000,156378000,107818000,66516000,43906000,29296000,11603000,7817000,5003000,1741000,2522000,4587000
68,Total Liabilities And Stockholders Equity,43740000,50801000,83906000,176753000,126501000,85728000,57631000,38450000,22196000,17670000,14250000,11615000,14534000,18200000
69,Minority Interest,- -,- -,- -,1573000,1033000,-23000,-14000,70000,39000,- -,- -,47000,46000,39000
70,Total Liabilities & Equity,43740000,50801000,83906000,178326000,127534000,85705000,57617000,38520000,22235000,17670000,14250000,11662000,14580000,18239000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333822/000104746911009728/0001047469-11-009728-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000104746912011226/a2212048z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000104746913010878/0001047469-13-010878-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000104746914009863/a2222485z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000104746915009225/a2225930z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000155837016010197/0001558370-16-010197-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459017024319/0001564590-17-024319-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459018030063/0001564590-18-030063-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459019043920/0001564590-19-043920-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459020054257/0001564590-20-054257-index.htm,https://www.sec.gov/Archives/edgar/data/1333822/000156459021058603/0001564590-21-058603-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-814000,-3693000,10828000,-16104000,-49457000,-43724000,-24475000,-13274000,-21275000,-4091000,-2981000,-3565000,-544000,-2851000
74,Depreciation and Amortization,4093000,4552000,4695000,6663000,8677000,8317000,6614000,4969000,5526000,1096000,998000,1093000,843000,897000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,8000,16000,247000,1785000,2616000,2020000,1945000,1289000,382000,25000,141000,149000,101000,186000
77,Change in Working Capital,-943000,3892000,5087000,67106000,-31248000,-24361000,-20948000,-9115000,-621000,-6154000,-1955000,2081000,-2200000,-1026000
78,Accounts Receivable,-1967000,-27000,-4872000,1992000,-773000,1650000,49000,-165000,1042000,-202000,801000,-427000,15000,158000
79,Inventory,-566000,-1554000,-3423000,-8132000,-445000,-579000,-1002000,1430000,380000,-205000,393000,-987000,-988000,-1974000
80,Accounts Payable,706000,221000,1501000,-595000,421000,292000,-1134000,-624000,-85000,-191000,-84000,-185000,-139000,175000
81,Other Working Capital,16944000,20836000,25923000,93029000,61781000,37420000,16472000,7357000,6736000,582000,-1373000,708000,-1492000,- -
82,Other Non-Cash Items,55000,-5221000,-12320000,-61500000,53641000,43287000,21166000,11606000,12549000,7015000,2620000,-3304000,799000,1057000
83,Cash Provided by Operating Activities,2399000,-454000,8537000,-2050000,-15771000,-14461000,-15698000,-4525000,-3439000,-2109000,-1177000,-3546000,-1001000,-1737000
84,CAPEX,-2525000,-8795000,-10042000,-21732000,-11937000,-3145000,-2991000,-1623000,-875000,-175000,-345000,-130000,-271000,-132000
85,Acquisitions Net,- -,- -,-922000,-1330000,- -,-638000,-2069000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-414000,- -,-15530000,-993000,-8831000,-2873000,-206000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,450000,- -,- -,- -,- -,8831000,114000,- -,- -,59000,54000,- -,140000,- -
88,Other Investing Activites,-393000,-101000,-146000,415000,235000,5000,-351000,483000,340000,147000,1504000,-2498000,649000,277000
89,Cash Used for Investing Activites,-2882000,-8896000,-26405000,-23640000,-20533000,2180000,-5503000,-1140000,-535000,31000,1213000,-2628000,518000,159000
90,Debt Repayment,-1296000,-1740000,-1629000,-4811000,-1848000,-3076000,-2646000,-1808000,-1065000,-323000,-331000,-2330000,-283000,-173000
91,Common Stock Issued,- -,- -,- -,92702000,- -,- -,- -,- -,2885000,- -,- -,- -,700000,4302000
92,Common Stock Repurchased,- -,-64000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11117000,14380000,18960000,6730000,1667000,4100000,182000,- -,3500000,-46000,- -,6384000,1998000,-139000
95,Cash Used/Provided by Financing Activities,9821000,12576000,17331000,94621000,-181000,1024000,-2464000,-1808000,5320000,-369000,-331000,4054000,2415000,3990000
96,Effect of Forex Changes on Cash,-178000,-631000,342000,1168000,94000,301000,42000,-368000,-124000,-1000,134000,79000,-330000,-396000
97,Net Change In Cash,9160000,2595000,-195000,70099000,-36391000,-10956000,-23623000,-7841000,1222000,-2448000,-161000,-2041000,1541000,2016000
98,Cash at the End of Period,11120000,13715000,13520000,83619000,47228000,36272000,12649000,4808000,6030000,3582000,3421000,1471000,3012000,5028000
99,Cash at the Beginning of Period,1960000,11120000,13715000,13520000,83619000,47228000,36272000,12649000,4808000,6030000,3582000,3512000,1471000,3012000
100,Free Cash Flow,-126000,-9249000,-1505000,-23782000,-27708000,-17606000,-18689000,-6148000,-4314000,-2284000,-1522000,-3676000,-1292000,-1869000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333822/000104746911009728/0001047469-11-009728-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000104746912011226/a2212048z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000104746913010878/0001047469-13-010878-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000104746914009863/a2222485z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000104746915009225/a2225930z10-k.htm,https://www.sec.gov/Archives/edgar/data/1333822/000155837016010197/0001558370-16-010197-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459017024319/0001564590-17-024319-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459018030063/0001564590-18-030063-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459019043920/0001564590-19-043920-index.html,https://www.sec.gov/Archives/edgar/data/1333822/000156459020054257/0001564590-20-054257-index.htm,https://www.sec.gov/Archives/edgar/data/1333822/000156459021058603/0001564590-21-058603-index.htm
102,false,,,,,,,,,,,,,,
