,https://roic.ai/company/TLCC,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,10000,28279000,24504000,33336000,27302000,29298000,16300000,17345,17371
38,PP&E,- -,2680000,3712000,3528000,3169000,1117000,72000,65,5620
39,Goodwill,- -,- -,24098000,24098000,17797000,17797000,8818000,8818,- -
40,Intangible Assets,- -,7564000,32411000,30197000,23063000,21308000,4363000,3253,576
41,Intangible Assets,- -,7564000,56509000,54295000,40860000,39105000,13181000,12071,576
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,959000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,986000,1475000,708000,1762000,1720000,834000,- -,1301
45,Total Non-Current Assets,- -,11230000,61696000,59490000,45791000,41942000,14087000,12136,7497
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,39509000,86200000,92826000,73093000,71240000,30387000,29481,24868
48,Accounts Payable,10000,12900000,16753000,7866000,10146000,8081000,6313000,4712,6047
49,Short-Term Debt,- -,13653000,16564000,11631000,68093000,70539000,91127000,97589000,98447
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2769000,38403000,17889000,17127000,20183000,20707000,-97461680,32266
53,Total Current Liabilities,10000,29322000,71720000,37386000,95366000,98803000,118147000,132032,136760
54,Long-Term Debt,10000,12772000,12861000,50988000,3383000,15000000,- -,96847,- -
55,Deferred Revenue,- -,2052000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,959000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1890000,1727000,1565000,1324000,- -,- -,5197
58,Total Non-Current Liabilities,10000,14824000,14751000,53674000,4948000,16324000,- -,96847,5197
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,5334000,- -
61,Total Liabilities,10000,44146000,86471000,91060000,100314000,115127000,118147000,5068,5197
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,220000,382000,388000,388000,390000,390000,393,394
64,Retained Earnings,-10000,-187378000,-223788000,-224472000,-253963000,-274372000,-318873000,- -,-348202
65,Other Comprehensive Income/Loss,- -,-83000,- -,-18476000,-20588000,-9825000,-52000,- -,- -
66,Other Total Stockholders Equity,- -,- -,223135000,244326000,246942000,239920000,230775000,-102149393,230719
67,Total Stockholders Equity,-7213,-4637000,-271000,1766000,-27221000,-43887000,-87760000,-102149000,-117089
68,Total Liabilities And Stockholders Equity,2787,39509000,86200000,92826000,73093000,71240000,30387000,-102143932,-111892
69,Minority Interest,7213,- -,- -,- -,- -,- -,- -,102173413,136760
70,Total Liabilities & Equity,10000,39509000,86200000,92826000,73093000,71240000,30387000,29481,24868
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590695/000114420416094348/0001144204-16-094348-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000143774917005794/0001437749-17-005794-index.html,https://www.sec.gov/Archives/edgar/data/1590695/000143774918006187/0001437749-18-006187-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000143774919008342/0001437749-19-008342-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1590695/000143774921009108/0001437749-21-009108-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000175392622000353/0001753926-22-000353-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-10000,-21130000,-36410000,-684000,-29491000,-20409000,-44501000,-14,-15
74,Depreciation and Amortization,- -,1425000,1480000,3008000,3170000,2575000,1713000,1934000,1
75,Deferred Income Tax,- -,- -,- -,959000,-959000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,978000,1244000,504000,48000,- -,- -,- -
77,Change in Working Capital,5711000,-1043000,-46173000,43166000,-64014000,-1441000,-32342000,101732313,-4702
78,Accounts Receivable,850000,1625000,-219000,594000,1088000,-3909000,-508000,1701000,-1
79,Inventory,4851000,-3471000,8209000,-3699000,-9000,9205000,2529000,-231000,-1
80,Accounts Payable,-305000,4566000,3960000,-8888000,2280000,2788000,-1768000,-1601000,1
81,Other Working Capital,- -,-1043000,-47216000,-4050000,-68064000,-69505000,-101847000,-114687,-119389
82,Other Non-Cash Items,-1804000,6013000,78166000,-73023000,84287000,12663000,66719000,-108736299,4718
83,Cash Provided by Operating Activities,3897000,-14735000,-1959000,-25330000,-6503000,-6564000,-8411000,-5070000,3
84,CAPEX,-948000,-611000,-2022000,-120000,-152000,-56000,-20000,-20000,-0
85,Acquisitions Net,- -,- -,-45692000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3000,4000,1358000,- -,- -,1296000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-607000,-46356000,-120000,-152000,1240000,-20000,-20000,- -
90,Debt Repayment,- -,-5564000,-5148000,-3442000,-3359000,-13799000,-952000,-2310000,-1
91,Common Stock Issued,- -,40000,40497000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-8000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-11764000,21011000,13769000,32749000,6267000,24000000,3426000,7554000,1
95,Cash Used/Provided by Financing Activities,-11764000,15479000,49118000,29307000,2908000,10201000,2474000,5244000,1
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-11764000,137000,803000,3857000,-3747000,4877000,-5957000,154000,-423996
98,Cash at the End of Period,300000,437000,1240000,5097000,1350000,6227000,270000,424000,4
99,Cash at the Beginning of Period,- -,300000,437000,1240000,5097000,1350000,6227000,270000,424000
100,Free Cash Flow,- -,-15346000,-3981000,-25450000,-6655000,-6620000,-8431000,-5090000,2
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590695/000114420416094348/0001144204-16-094348-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000143774917005794/0001437749-17-005794-index.html,https://www.sec.gov/Archives/edgar/data/1590695/000143774918006187/0001437749-18-006187-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000143774919008342/0001437749-19-008342-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1590695/000143774921009108/0001437749-21-009108-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000175392622000353/0001753926-22-000353-index.htm
102,false,,,,,,,,,
