,https://roic.ai/company/CTRE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0055,-0.0056,-0.1384,0.1356,0.2824,0.1973,0.3728,0.2915,0.4603,0.3785
22,Income Tax expense (Gain),122000,123000,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,110000,-395000,-8143000,10034000,29353000,25874000,57923000,46359000,80867000,71982000
24,Net Income ratio,0.0026,-0.0081,-0.1384,0.1356,0.2824,0.1973,0.3728,0.2915,0.4603,0.3785
25,EPS,0.00,-0.02,-0.36,0.26,0.52,0.35,0.73,0.49,0.85,0.74
26,EPS Diluted,0.00,-0.02,-0.36,0.26,0.52,0.35,0.72,0.49,0.85,0.74
27,Weighted Average Shares Outstanding,22245868,22245868,22788000,37380000,56030000,72647000,79386000,93088000,95200000,96017000
28,Weighted Average Shares Outstanding Diluted,22245868,22245868,22788000,37380000,56030000,72647000,79392000,93098000,95207000,96092000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590717/000119312515044220/0001193125-15-044220-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828016011018/0001628280-16-011018-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828017000941/0001628280-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828018002343/0001628280-18-002343-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828019001311/0001628280-19-001311-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828020001900/0001628280-20-001900-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828021001797/0001628280-21-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828022002842/0001628280-22-002842-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,895000,25320000,11467000,7500000,6909000,36792000,20327000,18919000,19895000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,895000,25320000,11467000,7500000,6909000,36792000,20327000,18919000,19895000
34,Net Receivables,- -,20000,2291000,2342000,5896000,5254000,11387000,2571000,1823000,2418000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,888000,809000,2083000,1369000,895000,8668000,45440000,17676000,12347000
37,Total Current Assets,- -,1803000,28420000,15892000,14765000,13058000,56847000,68338000,38418000,34660000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1914000,2382000,2382000,1650000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1914000,2382000,2382000,1650000,2352000,1257000
42,Investments,- -,- -,7532000,8477000,13872000,17949000,18045000,33300000,- -,- -
43,Tax Assets,- -,859000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,427804000,446620000,648797000,894807000,1151597000,1214488000,1415573000,1462789000,1604931000
45,Total Non-Current Assets,- -,428663000,454152000,657274000,910593000,1171928000,1234915000,1450523000,1465141000,1606188000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,430466000,482572000,673166000,925358000,1184986000,1291762000,1518861000,1503559000,1640848000
48,Accounts Payable,- -,- -,- -,9269000,12137000,17413000,15967000,14962000,19572000,25408000
49,Short-Term Debt,- -,- -,- -,45000000,95000000,165000000,95000000,60000000,50000000,80000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,5783000,10905000,7704000,11075000,14044000,17783000,21684000,24251000,26285000
53,Total Current Liabilities,- -,5783000,10905000,61973000,118212000,196457000,128750000,96646000,93823000,131693000
54,Long-Term Debt,- -,259307000,358205000,348905000,354716000,393912000,394765000,494624000,495594000,593398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,859000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1828000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,261994000,358205000,348905000,354716000,393912000,394765000,494624000,495594000,593398000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,267777000,369110000,410878000,472928000,590369000,523515000,591270000,589417000,725091000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,164517000,313000,477000,648000,755000,859000,951000,952000,963000
64,Retained Earnings,- -,- -,-132892000,-148406000,-159693000,-189375000,-198190000,-236350000,-251212000,-282045000
65,Other Comprehensive Income/Loss,- -,-1828000,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,246041000,410217000,611475000,783237000,965578000,1162990000,1164402000,1196839000
67,Total Stockholders Equity,- -,162689000,113462000,262288000,452430000,594617000,768247000,927591000,914142000,915757000
68,Total Liabilities And Stockholders Equity,- -,430466000,482572000,673166000,925358000,1184986000,1291762000,1518861000,1503559000,1640848000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,430466000,482572000,673166000,925358000,1184986000,1291762000,1518861000,1503559000,1640848000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1590717/000119312515044220/0001193125-15-044220-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828016011018/0001628280-16-011018-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828017000941/0001628280-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828018002343/0001628280-18-002343-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828019001311/0001628280-19-001311-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828020001900/0001628280-20-001900-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828021001797/0001628280-21-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828022002842/0001628280-22-002842-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,110000,-395000,-8143000,10034000,29353000,25874000,57923000,46359000,80867000,71982000
74,Depreciation and Amortization,21103000,23418000,23000000,24133000,31980000,39176000,45783000,51866000,52819000,55394000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,154000,1522000,1546000,2416000,3848000,4104000,3790000,10832000
77,Change in Working Capital,1970000,-3980000,21495000,-63596000,-57366000,-79952000,111496000,43595000,-27097000,5894000
78,Accounts Receivable,-4000,5000,-2271000,-51000,-3404000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-3980000,17515000,-46081000,-103447000,-183399000,-71903000,-28308000,-55405000,- -
82,Other Non-Cash Items,953000,7589000,-14600000,68161000,58918000,101286000,-119693000,-19629000,35356000,12769000
83,Cash Provided by Operating Activities,24136000,26632000,21906000,40254000,64431000,88800000,99357000,126295000,145735000,156871000
84,CAPEX,-49505000,-54733000,-45596000,-232899000,-279286000,-290168000,-107648000,-322044000,- -,-6013000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-7500000,- -,-4656000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,7500000,- -,2204000,- -,- -
88,Other Investing Activites,- -,- -,-500000,-1750000,-700000,-19891000,-7421000,3833000,47430000,-186620000
89,Cash Used for Investing Activites,-49505000,-54733000,-53596000,-234649000,-284642000,-302559000,-115069000,-316007000,-41582000,-192633000
90,Debt Repayment,-16825000,-7207000,-222480000,-38183000,-300022000,-435639000,-135000000,-378000000,-75000000,-490000000
91,Common Stock Issued,- -,- -,- -,162963000,200402000,170323000,179882000,195924000,- -,22946000
92,Common Stock Repurchased,- -,- -,- -,-145000,-515000,-866000,-1288000,-2524000,-2400000,-1331000
93,Dividends Paid,- -,- -,-33001000,-21790000,-37269000,-52587000,-62999000,-80619000,-93161000,-100782000
94,Other Financing Activites,41833000,35468000,311596000,77697000,353648000,531937000,65000000,438466000,65000000,605905000
95,Cash Used/Provided by Financing Activities,25008000,28261000,56115000,180542000,216244000,213168000,45595000,173247000,-105561000,36738000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-361000,160000,24425000,-13853000,-3967000,-591000,29883000,-16465000,-1408000,976000
98,Cash at the End of Period,735000,895000,25320000,11467000,7500000,6909000,36792000,20327000,18919000,19895000
99,Cash at the Beginning of Period,1096000,735000,895000,25320000,11467000,7500000,6909000,36792000,20327000,18919000
100,Free Cash Flow,24136000,26632000,21906000,40254000,64431000,88800000,99357000,126295000,145735000,150858000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590717/000119312515044220/0001193125-15-044220-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828016011018/0001628280-16-011018-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828017000941/0001628280-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828018002343/0001628280-18-002343-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828019001311/0001628280-19-001311-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828020001900/0001628280-20-001900-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828021001797/0001628280-21-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1590717/000162828022002842/0001628280-22-002842-index.htm
102,false,,,,,,,,,,
