,https://roic.ai/company/PI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,- -,23626000,39920000,43513000,33092000,47186000,89807000,98497000,326613000
62,Preferred Stock,- -,- -,86662000,97963000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,4000,20000,21000,21000,22000,23000,25000
64,Retained Earnings,- -,- -,-186215000,-185315000,-187203000,-204525000,-239756000,-262743000,-314666000,-362484000
65,Other Comprehensive Income/Loss,- -,- -,-9005000,-8968000,-10227000,-13587000,-15014000,-17964000,3000,-39000
66,Other Total Stockholders Equity,- -,- -,118745000,109244000,321433000,337033000,352632000,405924000,423759000,351422000
67,Total Stockholders Equity,- -,- -,10191000,12928000,124023000,118942000,97883000,125239000,109119000,-11076000
68,Total Liabilities And Stockholders Equity,- -,- -,33817000,52848000,167536000,152034000,145069000,215046000,207616000,315537000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,33817000,52848000,167536000,152034000,145069000,215046000,207616000,315537000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1114995/000156459017003329/0001564590-17-003329-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459018005846/0001564590-18-005846-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459019005341/0001564590-19-005341-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459020008171/0001564590-20-008171-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459021006386/0001564590-21-006386-index.htm,https://www.sec.gov/Archives/edgar/data/1114995/000156459022004981/0001564590-22-004981-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,297000,900000,-1673000,-17322000,-35231000,-22987000,-51923000,-51260000
74,Depreciation and Amortization,- -,- -,1366000,1972000,2869000,3950000,4534000,4809000,4504000,4602000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-395000,- -,- -,- -
76,Stock Based Compensation,- -,- -,1175000,1178000,2765000,7428000,11317000,18486000,25675000,40498000
77,Change in Working Capital,- -,- -,5563000,6299000,104877000,-13466000,-11690000,59083000,-13501000,76528000
78,Accounts Receivable,- -,- -,-3611000,-3327000,-4515000,-4822000,3782000,-5273000,-1268000,-10446000
79,Inventory,- -,- -,-799000,-2783000,-15897000,-19349000,2358000,10572000,-2176000,14371000
80,Accounts Payable,- -,- -,1402000,754000,3883000,-2836000,326000,1046000,3491000,2340000
81,Other Working Capital,- -,- -,12169000,18468000,123345000,109879000,98189000,157272000,143771000,220299000
82,Other Non-Cash Items,- -,- -,-9233000,-6893000,-118335000,-16476000,19688000,-54683000,18368000,-63903000
83,Cash Provided by Operating Activities,- -,- -,-832000,3456000,-9497000,-35886000,-11777000,4708000,-16877000,6465000
84,CAPEX,- -,- -,-1017000,-7450000,-3530000,-6552000,-6367000,-2429000,-3074000,-16230000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-67103000,-49125000,-51651000,-72413000,-82735000,-84412000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,77075000,52352000,61743000,49522000,- -
88,Other Investing Activites,- -,- -,200000,- -,- -,- -,- -,- -,- -,82000000
89,Cash Used for Investing Activites,- -,- -,-817000,-7450000,-70633000,21398000,-5666000,-13099000,-36287000,-18642000
90,Debt Repayment,- -,- -,-3292000,-6939000,-66549000,-3919000,-3351000,-28714000,-257000,-2000
91,Common Stock Issued,- -,- -,- -,- -,108096000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,702000,14115000,62098000,4056000,19039000,86473000,10159000,112446000
95,Cash Used/Provided by Financing Activities,- -,- -,-2590000,7176000,103645000,137000,15688000,57759000,9902000,112444000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-4239000,3182000,23515000,-14351000,-1755000,49368000,-43262000,100267000
98,Cash at the End of Period,- -,- -,6939000,10121000,33636000,19285000,17530000,66898000,23636000,123903000
99,Cash at the Beginning of Period,- -,- -,11178000,6939000,10121000,33636000,19285000,17530000,66898000,23636000
100,Free Cash Flow,- -,- -,-1849000,-3994000,-13027000,-42438000,-18144000,2279000,-19951000,-9765000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1114995/000156459017003329/0001564590-17-003329-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459018005846/0001564590-18-005846-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459019005341/0001564590-19-005341-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459020008171/0001564590-20-008171-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459021006386/0001564590-21-006386-index.htm,https://www.sec.gov/Archives/edgar/data/1114995/000156459022004981/0001564590-22-004981-index.htm
102,false,,,,,,,,,,
