,https://roic.ai/company/OGN,2018,2019,2020,2021
70,Total Liabilities & Equity,- -,10548000000,10434000000,10681000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000002/0001821825-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,2153000000,3218000000,2160000000,1351000000
74,Depreciation and Amortization,1673000000,354000000,157000000,195000000
75,Deferred Income Tax,37000000,66000000,6000000,-288000000
76,Stock Based Compensation,56000000,52000000,54000000,59000000
77,Change in Working Capital,-174000000,2605000000,-381000000,702000000
78,Accounts Receivable,250000000,35000000,159000000,-277000000
79,Inventory,44000000,-112000000,-29000000,-138000000
80,Accounts Payable,20000000,-31000000,27000000,663000000
81,Other Working Capital,9000000,2614000000,2233000000,-109000000
82,Other Non-Cash Items,-58000000,-3528000000,191000000,439000000
83,Cash Provided by Operating Activities,3687000000,2767000000,2187000000,2458000000
84,CAPEX,-101000000,-109000000,-278000000,-488000000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-69000000,-102000000,-258000000,-481000000
89,Cash Used for Investing Activites,-69000000,-102000000,-258000000,-481000000
90,Debt Repayment,- -,-44000000,-79000000,-1624000000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-145000000
94,Other Financing Activites,-4164000000,-2577000000,-2096000000,436000000
95,Cash Used/Provided by Financing Activities,-4164000000,-2621000000,-2175000000,-1333000000
96,Effect of Forex Changes on Cash,19000000,31000000,-3000000,23000000
97,Net Change In Cash,-527000000,75000000,-249000000,667000000
98,Cash at the End of Period,244000000,319000000,70000000,737000000
99,Cash at the Beginning of Period,771000000,244000000,319000000,70000000
100,Free Cash Flow,3586000000,2658000000,1909000000,1970000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000002/0001821825-22-000002-index.htm
102,false,,,,
