,https://roic.ai/company/BUD,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,689407343,691006896,767785440,959731800,972528224,975727330,999000000,1585223368,1592000000,1595000000,1600000000,1617000000,1634000000,1638000000,1717000000,1971000000,1975000000,1985064935,1998000000,2007000000
28,Weighted Average Shares Outstanding Diluted,695805555,694206002,772584099,964530459,980525989,980525989,1000000000,1585223368,1611000000,1614000000,1628000000,1650000000,1665000000,1668000000,1755000000,2010000000,2011000000,2024503311,2037000000,2045000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,225610460,560432225,1323066912,726036645,826195410,1930394973,2936000000,3689000000,4511000000,5320000000,7051000000,9839000000,8357000000,6923000000,8579000000,10472000000,7074000000,7238000000,15251000000,12019000000
32,Short-Term Investments,32529880,- -,2711203,207269842,294315617,260982402,270000000,55000000,641000000,103000000,6827000000,123000000,301000000,55000000,5659000000,1304000000,87000000,92000000,396000000,374000000
33,Cash and Short-Term Investments,258140340,560432225,1325778115,933306487,1120511027,2191377375,3206000000,3744000000,5152000000,5423000000,13878000000,9962000000,8658000000,6978000000,14238000000,11776000000,7161000000,7330000000,15647000000,12393000000
34,Net Receivables,1649579735,1900431974,2680023859,2784522273,3393208304,3747065770,5200000000,4689000000,5004000000,4433000000,3367000000,4471000000,4517000000,4673000000,7187000000,7046000000,6503000000,6250000000,5134000000,5077000000
35,Inventory,465911834,579323199,1148194339,1100306759,1342237591,1631504513,2903000000,2354000000,2409000000,2466000000,2461000000,2872000000,2888000000,2759000000,3824000000,4018000000,4111000000,4322000000,4391000000,5284000000
36,Other Current Assets,97589641,40300744,176228175,230957824,431574919,505926779,51000000,66000000,32000000,1000000,924000000,1385000000,2478000000,3884000000,17812000000,1120000000,506000000,10912000000,1347000000,1195000000
37,Total Current Assets,2471221549,3080488143,5330224488,5049093342,6287531840,8075874437,11360000000,10853000000,12597000000,12323000000,20630000000,18690000000,18541000000,18294000000,43061000000,23960000000,18281000000,28814000000,26519000000,23949000000
38,PP&E,3685320629,4208908983,7181975925,7102841373,8316065937,9665096884,19674000000,16461000000,15893000000,16022000000,16461000000,20889000000,20263000000,18952000000,27522000000,27184000000,25910000000,27544000000,26419000000,26677000000
39,Goodwill,3838525872,4715187084,10111430431,13156305149,16240150985,20170003062,49556000000,52125000000,52498000000,51302000000,51766000000,69926000000,70758000000,65061000000,136532000000,140940000000,133311000000,128114000000,120971000000,115796000000
40,Intangible Assets,139563680,287142803,333477931,639575511,1669548232,1822502807,23673000000,23165000000,23359000000,23818000000,24371000000,29338000000,29923000000,29677000000,44569000000,45874000000,44831000000,42452000000,41527000000,40430000000
41,Intangible Assets,3978089552,5002329887,10444908361,13795880660,17909699217,21992505868,73229000000,75290000000,75857000000,75120000000,76137000000,99264000000,100681000000,94738000000,181101000000,186814000000,178142000000,170566000000,162498000000,156226000000
42,Investments,946514581,868984799,379568377,52113560,69949452,282852436,7107000000,7021000000,7538000000,6940000000,7346000000,380000000,228000000,260000000,4406000000,5363000000,6244000000,5971000000,6280000000,6035000000
43,Tax Assets,208820844,212838306,1007211799,1101491158,1131069435,966655489,932000000,949000000,744000000,673000000,807000000,1180000000,1058000000,1181000000,1261000000,1216000000,1457000000,1719000000,2019000000,1969000000
44,Other Non-Current Assets,406098828,458420966,864873658,804206986,925180483,860221325,858000000,1951000000,1713000000,1349000000,1240000000,1263000000,1779000000,1210000000,1030000000,1589000000,2069000000,2034000000,2675000000,2771000000
45,Total Non-Current Assets,9224844434,10751482941,19878538120,22856533738,28351964524,33767332002,101800000000,101672000000,101745000000,100104000000,101991000000,122976000000,124009000000,116341000000,215320000000,222166000000,213822000000,207834000000,199891000000,193678000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11696065983,13831971084,25208762607,27905627080,34639496364,41843206439,113160000000,112525000000,114342000000,112427000000,122621000000,141666000000,142550000000,134635000000,258381000000,246126000000,232103000000,236648000000,226410000000,217627000000
48,Accounts Payable,2035740894,2463382996,4451794816,4101574066,5172300017,6429789902,11495000000,11377000000,12071000000,13337000000,8476000000,9834000000,10913000000,11616000000,14071000000,15240000000,15512000000,15876000000,15898000000,17810000000
49,Short-Term Debt,1513164108,877800587,2947077324,1459179685,1707822460,2213247408,12066000000,2043000000,2933000000,5567000000,5390000000,7852000000,7492000000,5925000000,8802000000,7550000000,4330000000,5477000000,3086000000,1461000000
50,Tax Payable,235054619,153646588,420236417,- -,- -,- -,405000000,526000000,478000000,499000000,2040000000,2794000000,2478000000,2279000000,6672000000,4420000000,3853000000,4054000000,3665000000,3791000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,38000000,53000000,49000000,52000000,30000000,32000000,21000000,27000000,51000000
52,Other Current Liabilities,321101399,263214236,530040126,585093153,878987449,1103707700,863000000,834000000,716000000,740000000,6514000000,7903000000,8750000000,10866000000,17191000000,13391000000,14585000000,13467000000,13341000000,14862000000
53,Total Current Liabilities,3870006401,3604397819,7928912265,6145846905,7759109926,9746745010,24424000000,14254000000,15720000000,19644000000,20408000000,25627000000,27208000000,28456000000,40116000000,36211000000,34459000000,34841000000,32352000000,34184000000
54,Long-Term Debt,1503719949,2770676171,3005368181,5289526359,6791695812,7559741642,48424000000,49028000000,44256000000,34598000000,38951000000,41274000000,43630000000,43541000000,113941000000,108949000000,105584000000,97564000000,95479000000,87369000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,253942936,316108963,425658822,324525352,840713220,682345051,12076000000,12495000000,11909000000,11279000000,11168000000,12841000000,12701000000,11961000000,16678000000,13107000000,13165000000,12824000000,12627000000,12204000000
57,Other Non-Current Liabilities,171044209,163721774,1168528359,1661711930,741728147,2115561258,3805000000,3577000000,3658000000,5862000000,6653000000,6616000000,4754000000,4958000000,6221000000,7639000000,6991000000,6866000000,7601000000,4530000000
58,Total Non-Current Liabilities,1928707095,3250506908,4599555363,7275763641,8374137180,10357647951,64305000000,65100000000,59823000000,51739000000,56772000000,60731000000,61085000000,60460000000,136840000000,129695000000,125740000000,117254000000,115707000000,104103000000
59,Other Liabilities,- -,6501013816,- -,14551527283,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000000,135000000,133000000,126000000,234000000,213000000,204000000,2025000000,2234000000,2277000000
61,Total Liabilities,5798713496,6854904727,12528467628,13421610546,16133247106,20104392961,88729000000,79354000000,75543000000,71383000000,77180000000,86358000000,88293000000,88916000000,176956000000,165906000000,160199000000,152095000000,148059000000,138287000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,349433875,419379620,601886997,556667575,624265861,691093064,- -,- -,- -,1734000000,1734000000,1735000000,1736000000,1736000000,1736000000,1736000000,1736000000,1736000000,1736000000,1736000000
64,Retained Earnings,1092374366,1768195156,2667823446,3195508759,4833111167,7886334145,6482000000,10448000000,13656000000,17820000000,21677000000,31004000000,35174000000,35949000000,28214000000,28394000000,26074000000,31484000000,30870000000,33882000000
65,Other Comprehensive Income/Loss,113329905,292180396,478527275,1147682723,943657696,425736656,- -,- -,- -,- -,157000000,18000000,-4558000000,-13168000000,23769000000,24835000000,19056000000,24882000000,17798000000,15431000000
66,Other Total Stockholders Equity,2884665834,2948251326,7256533998,8237495707,8620939962,12735649613,- -,- -,- -,17938000000,17574000000,17608000000,17620000000,17620000000,17620000000,17620000000,17620000000,17620000000,17620000000,17620000000
67,Total Stockholders Equity,4439803981,5428006498,11004771717,13137354763,15021974686,21738813478,22442000000,30318000000,35259000000,37492000000,41142000000,50365000000,49972000000,42137000000,71339000000,72585000000,64486000000,75722000000,68024000000,68669000000
68,Total Liabilities And Stockholders Equity,10238517477,12282911225,23533239345,26558965309,31155221793,41843206439,111171000000,109672000000,110802000000,108875000000,118322000000,136723000000,138265000000,131053000000,248295000000,238491000000,224685000000,227817000000,216083000000,206956000000
69,Minority Interest,1457548506,1549059859,1675523262,1346661771,3484274571,- -,1989000000,2853000000,3540000000,3552000000,4299000000,4943000000,4285000000,3582000000,10086000000,7635000000,7418000000,8831000000,10327000000,10671000000
70,Total Liabilities & Equity,11696065983,13831971084,25208762607,27905627080,34639496364,41843206439,113160000000,112525000000,114342000000,112427000000,122621000000,141666000000,142550000000,134635000000,258381000000,246126000000,232103000000,236648000000,226410000000,217627000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,490046906,635996121,974677367,1660527531,2805896871,4443990844,1927000000,4613000000,4026000000,5855000000,7243000000,14394000000,9216000000,8273000000,1241000000,7996000000,4368000000,9171000000,1405000000,4670000000
74,Depreciation and Amortization,561402772,681334458,908252901,1051746396,1335638586,1501742313,1912000000,2818000000,2788000000,2783000000,2747000000,2985000000,3353000000,3153000000,3477000000,4276000000,4260000000,4657000000,4829000000,5052000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1717000000,2016000000,2499000000,2594000000,1613000000,1920000000,2839000000,2786000000,1932000000,2350000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,63000000,208000000,156000000,203000000,201000000,240000000,249000000,221000000,231000000,351000000,337000000,340000000,169000000,510000000
77,Change in Working Capital,-159501348,-152387189,16267216,-72248345,-178173131,-135594209,802000000,239000000,226000000,699000000,1099000000,866000000,815000000,1786000000,173000000,219000000,512000000,-5000000,592000000,2459000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,201000000,149000000,-190000000,174000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-31480529,-31484956,-85402885,21319184,1319801,-100602155,-388000000,301000000,-134000000,-157000000,-130000000,-129000000,-354000000,-424000000,-364000000,-213000000,-603000000,-426000000,-427000000,-1232000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,989000000,337000000,550000000,1392000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-548000000,-519000000,-710000000,-621000000,-653000000,-458000000,-449000000,-470000000,-616000000,-488000000,-715000000,- -,- -
82,Other Non-Cash Items,204623440,284624007,-23045223,67510748,374823477,115182177,1454000000,1246000000,2709000000,2946000000,261000000,-6637000000,-1988000000,-1906000000,3375000000,668000000,2347000000,-3553000000,1964000000,-242000000
83,Cash Provided by Operating Activities,1096571770,1449567397,1876152261,2707536331,4338185802,5925321125,6158000000,9124000000,9905000000,12486000000,13268000000,13864000000,14144000000,14121000000,10110000000,15430000000,14663000000,13396000000,10891000000,14799000000
84,CAPEX,-636956043,-857650215,-1165817156,-1398775331,-1821325344,-2305101550,-2652000000,-1713000000,-2344000000,-3376000000,-3264000000,-3869000000,-4395000000,-4749000000,-4979000000,-4741000000,-5086000000,-5174000000,-3781000000,-5640000000
85,Acquisitions Net,-476405343,-482349533,-1209196400,-74617143,-2016655888,338256521,-53044000000,5522000000,-37000000,-25000000,-1522000000,-17496000000,-6857000000,-918000000,-49616000000,11141000000,-185000000,-252000000,10328000000,-444000000
86,Purchases of Investments,-189932527,-78082692,-16267216,-1947152112,-997769536,-1679618587,- -,- -,-604000000,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,166846805,125939826,1565719553,203716644,21116816,- -,- -,877000000,121000000,578000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,26233774,-62969913,78624878,-14212789,69949452,62694097,193000000,583000000,318000000,117000000,-6555000000,11084000000,100000000,737000000,-5482000000,1454000000,1306000000,353000000,-211000000,206000000
89,Cash Used for Investing Activites,-1013673043,-1182574966,-681867476,-3060487262,-4594227191,-3437969294,-55503000000,5269000000,-2546000000,-2731000000,-11341000000,-10281000000,-11152000000,-4930000000,-60077000000,7854000000,-3965000000,-5073000000,6336000000,-5878000000
90,Debt Repayment,-6153394126,-7537498583,-6798340744,-7814665230,-7323575605,-9017743887,-11959000000,-39631000000,-31607000000,-21849000000,-14814000000,-18006000000,-15159000000,-15780000000,-23617000000,-23333000000,-22489000000,-31033000000,-23577000000,-9496000000
91,Common Stock Issued,3148053,8815788,39312439,66326349,108223680,122472189,9764000000,76000000,215000000,155000000,102000000,73000000,83000000,5000000,- -,- -,- -,5575000000,- -,- -
92,Common Stock Repurchased,- -,- -,-100314500,-129099501,-77868257,-874801347,-797000000,- -,- -,- -,- -,- -,- -,-1000000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-149007839,-211578908,-310432708,-672738686,-814317201,-1121203727,-2922000000,-1313000000,-1924000000,-3088000000,-3632000000,-6253000000,-7400000000,-7966000000,-8450000000,-9275000000,-7761000000,-5015000000,-1800000000,-2364000000
94,Other Financing Activites,5952968089,7832197776,6680403427,8473191126,8382055986,9477014595,55793000000,27772000000,26559000000,15786000000,18506000000,24527000000,18621000000,15460000000,82798000000,11604000000,16305000000,21961000000,16902000000,262000000
95,Cash Used/Provided by Financing Activities,-346285822,91936073,-489372085,-76985941,274518603,-1414262178,49879000000,-13096000000,-6757000000,-8996000000,162000000,341000000,-3855000000,-9281000000,50731000000,-21004000000,-13945000000,-8512000000,-8475000000,-11598000000
96,Effect of Forex Changes on Cash,-5246755,-22669169,-5422405,46191565,-39594029,-40824063,-194000000,193000000,234000000,56000000,-350000000,-1142000000,-654000000,-1316000000,721000000,-319000000,-148000000,-141000000,-674000000,-526000000
97,Net Change In Cash,-268633850,336259335,699490294,-383745307,-21116816,1032265590,340000000,1490000000,836000000,815000000,1739000000,2782000000,-1517000000,-1406000000,1485000000,1961000000,-3396000000,209000000,8078000000,-3204000000
98,Cash at the End of Period,97589641,453383373,1187506778,653788301,707413322,1813754793,2171000000,3661000000,4497000000,5312000000,7051000000,9833000000,8316000000,6910000000,8395000000,10356000000,6960000000,7169000000,15247000000,12043000000
99,Cash at the Beginning of Period,366223491,117124038,488016484,1037533607,728530138,781489203,1831000000,2171000000,3661000000,4497000000,5312000000,7051000000,9833000000,8316000000,6910000000,8395000000,10356000000,6960000000,7169000000,15247000000
100,Free Cash Flow,459615728,591917182,710335105,1308761000,2516860457,3620219575,3506000000,7411000000,7561000000,9110000000,10004000000,9995000000,9749000000,9372000000,5131000000,10689000000,9577000000,8222000000,7110000000,9159000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
