,https://roic.ai/company/ALTX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000,44000,31000,20000,18000,17000,17000,17000,18000,30000,51000,17000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,65000,14000,18000,13000,9000,8000,9000,7000,4000,4000,- -,- -,25000,36000,21000,19000,20000,22000,18000,12000,39000,8000,7000
15,EBITDA,102000,401000,6000,-84000,118000,588000,-158000,-15000,46000,165000,2267000,-193000,-299000,-317000,-330000,-316000,-356000,-255000,-286000,-328000,-347000,-111000,-61000,7000,-122000,-75000
16,EBITDA ratio,0.1023,0.2929,0.0074,-0.1850,0.1530,0.4098,-0.2811,-0.0193,0.0574,0.1698,6.6873,-9.1905,-8.7941,-2.4574,-2.2449,-1.9627,-2.3893,-2.1429,-2.8600,-6.8333,-12.3929,-1.8197,-0.9531,0.1250,-3.9355,-1.7045
17,Operating Income,102000,401000,6000,-249000,-8000,570000,-171000,-24000,-13000,99000,-525000,-439000,-423000,- -,- -,- -,- -,-276000,-305000,-383000,-386000,-150000,- -,- -,- -,- -
18,Operating Income ratio,0.1023,0.2929,0.0074,-0.5485,-0.0104,0.3972,-0.3043,-0.0309,-0.0162,0.1019,-1.5487,-20.9048,-12.4412,- -,- -,- -,- -,-2.3193,-3.0500,-7.9792,-13.7857,-2.4590,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,2000,-29000,535000,3000,-1000,9000,2000,2785000,242000,120000,- -,- -,- -,-102000,- -,- -,35000,17000,21000,- -,- -,18000,57000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2260000,-197000,-303000,- -,- -,-341000,-392000,-276000,-305000,-348000,-369000,-129000,-73000,-32000,-130000,-82000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6.6667,-9.3810,-8.9118,- -,- -,-2.1180,-2.6309,-2.3193,-3.0500,-7.2500,-13.1786,-2.1148,-1.1406,-0.5714,-4.1935,-1.8636
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,102000,401000,6000,-149000,104000,570000,-171000,-24000,38000,156000,2260000,-197000,-303000,-317000,-330000,-341000,-290000,-276000,-305000,-348000,-369000,-129000,-73000,-32000,-130000,-82000
24,Net Income ratio,0.1023,0.2929,0.0074,-0.3282,0.1349,0.3972,-0.3043,-0.0309,0.0474,0.1605,6.6667,-9.3810,-8.9118,-2.4574,-2.2449,-2.1180,-1.9463,-2.3193,-3.0500,-7.2500,-13.1786,-2.1148,-1.1406,-0.5714,-4.1935,-1.8636
25,EPS,0.01,0.03,0.00,-0.01,0.01,0.04,-0.01,-0.00,0.00,0.01,0.15,-0.01,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.03,-0.01,-0.01,-0.00,-0.01,-0.01
26,EPS Diluted,0.01,0.03,0.00,-0.01,0.01,0.04,-0.01,-0.00,0.00,0.01,0.15,-0.01,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.03,-0.01,-0.01,-0.00,-0.01,-0.01
27,Weighted Average Shares Outstanding,14022896,14434834,15597688,15733181,15593050,15560493,15274404,15137113,15039919,14881949,14809857,14329207,14080290,13896566,13883547,13619606,13615986,13287382,13221519,12971141,12739991,12658843,12556906,12303021,12184567,12140689
28,Weighted Average Shares Outstanding Diluted,14022896,14434834,15597688,15733181,15593050,15560493,15274404,15137113,15039919,14881949,14809857,14329207,14080290,13896566,13883547,13619606,13615986,13287382,13221519,12971141,12739991,12658843,12556906,12303021,12184567,12140689
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775057/000114036105011499/0001140361-05-011499-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775057/000109690611003119/0001096906-11-003119-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690612003018/0001096906-12-003018-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690613001830/0001096906-13-001830-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690614001682/0001096906-14-001682-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690615001245/0001096906-15-001245-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690616002117/0001096906-16-002117-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690617000796/0001096906-17-000796-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690618000696/0001096906-18-000696-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690619000440/0001096906-19-000440-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690620000548/0001096906-20-000548-index.htm,https://www.sec.gov/Archives/edgar/data/775057/000109690621003058/0001096906-21-003058-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1254000,1675000,1734000,1660000,1757000,2390000,2118000,2097000,2114000,2281000,5140000,4597000,4291000,3964000,3327000,2584000,2852000,2785000,2699000,2605000,2472000,2349000,2274000,2266000,2141000,2037000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1254000,1675000,1734000,1660000,1757000,2390000,2118000,2097000,2114000,2281000,5140000,4597000,4291000,3964000,3327000,2584000,2852000,2785000,2699000,2605000,2472000,2349000,2274000,2266000,2141000,2037000
34,Net Receivables,164000,134000,110000,84000,117000,94000,72000,126000,148000,149000,5000,4000,6000,9000,12000,14000000,13000000,13000000,9000000,7000000,3000000,- -,- -,- -,- -,3000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2000,4000,2000,2000,2000,17000,17000,10000,2000,19000,66000,65000,7000,3000,4000,-13482000,-12972000,-12972000,-8975000,-6977000,-2981000,17000,18000,20000,20000,21000
37,Total Current Assets,1420000,1813000,1846000,1746000,1876000,2501000,2207000,2233000,2264000,2449000,5211000,4666000,4304000,3976000,3343000,3102000,2880000,2813000,2724000,2628000,2491000,2366000,2292000,2286000,2161000,2061000
38,PP&E,308000,215000,154000,91000,83000,71000,58000,53000,52000,48000,3000,5000,6000,3000,270000,245000,209000,188000,169000,149000,127000,109000,97000,58000,168000,138000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,951000,1048000,1155000,1276000,1405000,1450000,886000,893000,- -,- -
44,Other Non-Current Assets,- -,34000,34000,33000,29000,50000,32000,20000,17000,13000,10000,8000,7000,5000,5000,4000,-948000,-1046000,-1153000,-1275000,-1405000,-1450000,-886000,-893000,- -,- -
45,Total Non-Current Assets,308000,249000,188000,124000,112000,121000,90000,73000,69000,61000,13000,13000,13000,8000,275000,249000,212000,190000,171000,150000,127000,109000,97000,58000,168000,138000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1728000,2062000,2034000,1870000,1988000,2622000,2297000,2306000,2333000,2510000,5224000,4679000,4317000,3984000,3618000,3351000,3092000,3003000,2895000,2778000,2618000,2475000,2389000,2344000,2329000,2199000
48,Accounts Payable,38000,24000,14000,16000,21000,10000,4000,7000,5000,16000,21000,7000,23000,19000,23000,26000,12000,2000,7000,18000,7000,4000,11000,10000,9000,2000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,23000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,154000,75000,80000,67000,85000,160000,75000,106000,109000,130000,355000,36000,37000,36000,35000,106000,195000,399000,620000,844000,1080000,1080000,1080000,1081000,1083000,1084000
53,Total Current Liabilities,192000,99000,94000,83000,106000,170000,79000,113000,114000,146000,376000,43000,60000,55000,58000,132000,207000,401000,627000,862000,1087000,1084000,1091000,1091000,1113000,1109000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,195000000,399000000,- -,844000000,1080000000,1080000000,1080000000,1081000000,- -,72000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,951000,1048000,1155000,1276000,1405000,1450000,886000,893000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195000000,-399000000,- -,-844000000,-1080000000,-1080000000,-1080000000,-1081000000,97000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,951000,1048000,1155000,1276000,1405000,1450000,886000,893000,97000,72000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,95000
61,Total Liabilities,192000,99000,94000,83000,106000,170000,79000,113000,114000,146000,376000,43000,60000,55000,58000,132000,207000,401000,627000,862000,1087000,1084000,1091000,1091000,1210000,1181000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,138000,194000,158000,157000,156000,156000,151000,151000,150000,149000,144000,143000,140000,139000,136000,136000,133000,132000,130000,129000,127000,126000,124000,122000,122000,121000
64,Retained Earnings,-12548000,-12147000,-12141000,-12290000,-12186000,-11616000,-11787000,-11811000,-11773000,-11617000,-9357000,-9554000,-9857000,-10174000,-10504000,-10845000,-11135000,-11411000,-11716000,-12064000,-12433000,-12562000,-12635000,-12667000,-12797000,-12879000
65,Other Comprehensive Income/Loss,-2134000,-2004000,-2054000,-2119000,-2120000,-1090000,-1065000,-359000,-359000,-359000,-155000,-159000,-123000,-82000,-98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283000,- -
66,Other Total Stockholders Equity,16080000,15920000,15977000,16039000,16032000,15002000,14919000,14212000,14201000,14191000,14216000,14206000,14097000,14046000,14026000,13928000,13887000,13881000,13854000,13851000,13837000,13827000,13809000,13798000,14077000,13776000
67,Total Stockholders Equity,1536000,1963000,1940000,1787000,1882000,2452000,2218000,2193000,2219000,2364000,4848000,4636000,4257000,3929000,3560000,3219000,2885000,2602000,2268000,1916000,1531000,1391000,1298000,1253000,1119000,1018000
68,Total Liabilities And Stockholders Equity,1728000,2062000,2034000,1870000,1988000,2622000,2297000,2306000,2333000,2510000,5224000,4679000,4317000,3984000,3618000,3351000,3092000,3003000,2895000,2778000,2618000,2475000,2389000,2344000,2329000,2199000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1728000,2062000,2034000,1870000,1988000,2622000,2297000,2306000,2333000,2510000,5224000,4679000,4317000,3984000,3618000,3351000,3092000,3003000,2895000,2778000,2618000,2475000,2389000,2344000,2329000,2199000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775057/000114036105011499/0001140361-05-011499-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775057/000109690611003119/0001096906-11-003119-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690612003018/0001096906-12-003018-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690613001830/0001096906-13-001830-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690614001682/0001096906-14-001682-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690615001245/0001096906-15-001245-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690616002117/0001096906-16-002117-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690617000796/0001096906-17-000796-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690618000696/0001096906-18-000696-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690619000440/0001096906-19-000440-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690620000548/0001096906-20-000548-index.htm,https://www.sec.gov/Archives/edgar/data/775057/000109690621003058/0001096906-21-003058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,102000,401000,6000,-149000,104000,570000,-171000,-24000,38000,156000,2260000,-197000,-303000,-317000,-330000,-341000,-290000,-276000,-305000,-348000,-369000,-129000,-73000,-32000,-130000,-82000
74,Depreciation and Amortization,- -,- -,- -,65000,14000,18000,13000,9000,8000,9000,7000,4000,4000,- -,- -,25000,36000,21000,19000,20000,22000,18000,12000,39000,8000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51000,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,25000,486000,38000,-89000,107000,561000,-203000,-8000,30000,153000,2532000,-212000,-379000,-323000,-636000,-315000,-297000,-261000,-315000,-331000,-362000,-122000,-81000,-6000,-147000,-10000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-3000,-2000,1000,- -,4000,2000,4000,3000,- -,- -,- -,-3000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,4000,3000,-14000,-10000,5000,11000,-11000,-3000,7000,-1000,-1000,-7000
81,Other Working Capital,1228000,1714000,1752000,1663000,1770000,2331000,2128000,2120000,2150000,2303000,4835000,4623000,4244000,3921000,3285000,2970000,2673000,2412000,2097000,1766000,1404000,1282000,1201000,1195000,1048000,- -
82,Other Non-Cash Items,57000,-788000,36000,105000,-113000,-1036000,227000,7000,-40000,-135000,-4706000,-168000,453000,324000,658000,388000,363000,456000,544000,569000,592000,121000,87000,4000,148000,7000
83,Cash Provided by Operating Activities,184000,99000,80000,-68000,112000,113000,-134000,-16000,36000,183000,42000,-522000,-225000,-316000,-308000,-243000,-188000,-60000,-57000,-90000,-117000,-112000,-55000,5000,-121000,-85000
84,CAPEX,- -,-14000,-4000,-2000,-6000,-6000,- -,-4000,-7000,-5000,- -,-6000,-5000,- -,-290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7000,340000,12000,- -,- -,526000,- -,- -,- -,- -,2593000,- -,- -,- -,- -,-500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7000,340000,8000,-2000,-6000,520000,- -,-4000,-7000,-5000,2593000,-6000,-5000,- -,-290000,-500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-26000,-18000,-29000,-4000,-9000,- -,-138000,-1000,-12000,-11000,-135000,-15000,-76000,-11000,-39000,- -,-44000,-7000,-29000,-4000,-16000,-11000,-20000,-13000,-4000,-19000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-26000,-18000,-29000,-4000,-9000,- -,-138000,-1000,-12000,-11000,224000,-15000,-76000,-11000,-39000,- -,-44000,-7000,-29000,-4000,-16000,-11000,-20000,-13000,-4000,-19000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,151000,421000,59000,-74000,97000,633000,-272000,-21000,17000,167000,2859000,-543000,-306000,-327000,-637000,-743000,268000,-67000,-86000,-94000,-133000,-123000,-75000,-8000,-125000,-104000
98,Cash at the End of Period,1254000,1675000,1734000,1660000,1757000,2390000,2118000,2097000,2114000,2281000,5140000,4597000,4291000,3964000,3327000,2584000,2852000,2785000,2699000,2605000,2472000,2349000,2274000,2266000,2141000,2037000
99,Cash at the Beginning of Period,1103000,1254000,1675000,1734000,1660000,1757000,2390000,2118000,2097000,2114000,2281000,5140000,4597000,4291000,3964000,3327000,2584000,2852000,2785000,2699000,2605000,2472000,2349000,2274000,2266000,2141000
100,Free Cash Flow,184000,85000,76000,-70000,106000,107000,-134000,-20000,29000,178000,42000,-528000,-230000,-316000,-598000,-243000,-188000,-60000,-57000,-90000,-117000,-112000,-55000,5000,-121000,-85000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775057/000114036105011499/0001140361-05-011499-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775057/000109690611003119/0001096906-11-003119-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690612003018/0001096906-12-003018-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690613001830/0001096906-13-001830-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690614001682/0001096906-14-001682-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690615001245/0001096906-15-001245-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690616002117/0001096906-16-002117-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690617000796/0001096906-17-000796-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690618000696/0001096906-18-000696-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690619000440/0001096906-19-000440-index.html,https://www.sec.gov/Archives/edgar/data/775057/000109690620000548/0001096906-20-000548-index.htm,https://www.sec.gov/Archives/edgar/data/775057/000109690621003058/0001096906-21-003058-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
