,https://roic.ai/company/ESTC,2017,2018,2019,2020,2021
32,Short-Term Investments,15000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,74640000,50941000,298000000,297081000,400814000
34,Net Receivables,30089000,53233000,81274000,128690000,160415000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,15842000,28054000,50367000,54468000,75985000
37,Total Current Assets,120571000,132228000,429641000,480239000,637214000
38,PP&E,4580000,4536000,5448000,40543000,34345000
39,Goodwill,12057000,19182000,19846000,197877000,198851000
40,Intangible Assets,2721000,8297000,6723000,50455000,36286000
41,Intangible Assets,14778000,27479000,26569000,248332000,235137000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,1194000,3946000,1748000,3164000,3697000
44,Other Non-Current Assets,3224000,14824000,22332000,31633000,62779000
45,Total Non-Current Assets,23776000,50785000,56097000,323672000,335958000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,144347000,183013000,485738000,803911000,973172000
48,Accounts Payable,1799000,2176000,4450000,11485000,7248000
49,Short-Term Debt,- -,- -,- -,7639000,8528000
50,Tax Payable,3294000,4893000,4385000,7230000,10089000
51,Deferred Revenue,49394000,95929000,158243000,231681000,352805000
52,Other Current Liabilities,12479000,27007000,40887000,70619000,81434000
53,Total Current Liabilities,63672000,125112000,203580000,321424000,450015000
54,Long-Term Debt,- -,- -,- -,- -,19649000
55,Deferred Revenue,4758000,6632000,12423000,28021000,44895000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,204455000,204798000,6723000,40819000,7782000
58,Total Non-Current Liabilities,209213000,211430000,19146000,68840000,72326000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,35466000,28177000
61,Total Liabilities,272885000,336542000,222726000,390264000,522341000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,31000,33000,754000,856000,948000
64,Retained Earnings,-162047000,-214774000,-317077000,-484251000,-613318000
65,Other Comprehensive Income/Loss,-1892000,-961000,-1431000,-1377000,-8105000
66,Other Total Stockholders Equity,35370000,62173000,580766000,898419000,1071306000
67,Total Stockholders Equity,-128538000,-153529000,263012000,413647000,450831000
68,Total Liabilities And Stockholders Equity,144347000,183013000,485738000,803911000,973172000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,144347000,183013000,485738000,803911000,973172000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1707753/000156459019024066/0001564590-19-024066-index.html,https://www.sec.gov/Archives/edgar/data/1707753/000162828020009982/0001628280-20-009982-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/0001707753-21-000026-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-51968000,-52727000,-102303000,-167174000,-129434000
74,Depreciation and Amortization,3150000,5066000,5695000,12859000,17237000
75,Deferred Income Tax,663000,- -,3621000,-1539000,33000
76,Stock Based Compensation,18886000,12742000,39942000,60007000,93680000
77,Change in Working Capital,4715000,-49783000,218945000,-67246000,28384000
78,Accounts Receivable,-11128000,-21606000,-29804000,-46753000,-24037000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-241000,-23000,2226000,5968000,-4775000
81,Other Working Capital,56899000,7116000,226061000,158815000,187199000
82,Other Non-Cash Items,8447000,63883000,-189837000,132529000,12645000
83,Cash Provided by Operating Activities,-16107000,-20819000,-23937000,-30564000,22545000
84,CAPEX,-843000,-2968000,-3447000,-5063000,-4229000
85,Acquisitions Net,-4488000,-3702000,-1986000,-24373000,- -
86,Purchases of Investments,-15000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,15000000,- -,- -,- -
88,Other Investing Activites,- -,- -,-2850000,249000,2394000
89,Cash Used for Investing Activites,-20331000,8330000,-8283000,-29187000,-1518000
90,Debt Repayment,-106000,-132000,-106000,-90000,- -
91,Common Stock Issued,- -,- -,269514000,- -,- -
92,Common Stock Repurchased,-25000,-344000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,59892000,3903000,12380000,58629000,77258000
95,Cash Used/Provided by Financing Activities,59761000,3427000,281788000,58539000,77258000
96,Effect of Forex Changes on Cash,-635000,781000,-897000,321000,6034000
97,Net Change In Cash,22688000,-8281000,248671000,-891000,104319000
98,Cash at the End of Period,59890000,51609000,300280000,299389000,403708000
99,Cash at the Beginning of Period,37202000,59890000,51609000,300280000,299389000
100,Free Cash Flow,-16950000,-23787000,-27384000,-35627000,18316000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1707753/000156459019024066/0001564590-19-024066-index.html,https://www.sec.gov/Archives/edgar/data/1707753/000162828020009982/0001628280-20-009982-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/0001707753-21-000026-index.htm
102,false,,,,,
