,https://roic.ai/company/INTG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-5100000,-7100000,-7200000,-5800000,-8200000,-5100000,-4900000,-6700000,-7400000,10749246,10652918,10648932,12538000,11961000,11073000,12985000,13915000,15197000,15452000,10871000,11172000,35655000,51638000,9124000,8719000,8188000,6290000,6526000,6891000,7802000,7868000,8126000,8107000,7281000,7742000,7748000
11,COGS and Expenses,-5100000,-7100000,-7200000,-5800000,-8200000,-5100000,-4900000,-6700000,-7400000,10749246,10652918,10648932,12538000,11961000,11073000,12985000,13915000,15197000,15452000,10871000,11172000,35655000,51638000,42792000,41799000,44931000,47640000,53690000,56678000,63055000,61904000,56009000,55789000,59557000,53126000,33528000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000,425000,1540000,1251000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4483000,7440000,7486000,7944000,7866000,7876000,10113000,11894000,10842000,10764000,10954000,10938000,10318000,10247000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,300000,1400000,1600000,1800000,1674842,1594990,1652500,1938000,2226000,1994000,2415000,2493000,2724000,2826000,3459000,2362000,6849000,6708000,6777000,6905000,6311000,4471000,4577000,4723000,4943000,5146000,5389000,4776000,4777000,4715000,4412000
15,EBITDA,900000,-1100000,-1300000,-1100000,2900000,-800000,2800000,800000,2500000,1729262,2500822,4960562,3026000,-516000,35182000,212000,-6805000,7490000,9412000,-2337000,-2208000,1816000,8885000,15433000,10129000,26802000,8529000,11491000,6577000,22526000,4912000,15021000,22867000,16871000,8458000,28671000
16,EBITDA ratio,0.1286,-0.1528,-0.1625,-0.1429,0.1973,-0.1013,0.2828,0.0851,0.2119,0.1572,0.2246,0.4291,0.2548,-0.0404,2.9772,0.0161,-0.5316,0.5294,0.6842,-0.1802,-0.1838,0.0403,0.1811,0.3384,0.2259,0.5338,0.1496,0.1852,0.0977,0.3097,0.0674,0.2177,0.3195,0.2257,0.1458,1.0005
17,Operating Income,12100000,14300000,15200000,13500000,22900000,13000000,14800000,16100000,19200000,250687,483410,1540925,-662000,803000,744000,166000,9162000,-1049000,-1695000,-1723000,-2158000,-6953000,-2587000,2816000,3036000,5283000,9359000,8349000,2658000,9682000,5598000,12996000,21565000,15196000,4891000,-4870000
18,Operating Income ratio,1.7286,1.9861,1.9000,1.7532,1.5578,1.6456,1.4949,1.7128,1.6271,0.0228,0.0434,0.1333,-0.0557,0.0629,0.0630,0.0126,0.7158,-0.0741,-0.1232,-0.1329,-0.1796,-0.1545,-0.0527,0.0617,0.0677,0.1052,0.1642,0.1346,0.0395,0.1331,0.0768,0.1883,0.3013,0.2033,0.0843,-0.1699
19,Total Other Income Expenses (Gains),-11200000,- -,- -,-14600000,-20000000,-14100000,-13400000,-16900000,- -,-1226703,422422,1767137,2531000,-3298000,35306000,-922000,-21535000,6617000,10102000,-10971000,-3482000,662000,-3483000,-2403000,-9432000,6860000,-12412000,-7971000,-12973000,-4878000,-18805000,-14151000,-12696000,-12683000,-12774000,19018000
20,Income Before Tax,900000,- -,- -,-1100000,2900000,-1100000,1400000,-800000,- -,-976016,905832,3308062,1869000,-2495000,36050000,-756000,-12373000,5568000,8407000,-12694000,-5640000,-6291000,-6070000,413000,-6396000,12143000,-3053000,378000,-10315000,4804000,-13207000,-1155000,8869000,2513000,-7883000,14148000
21,Income Before Tax Ratio,0.1286,- -,- -,-0.1429,0.1973,-0.1392,0.1414,-0.0851,- -,-0.0887,0.0813,0.2862,0.1574,-0.1955,3.0507,-0.0575,-0.9666,0.3936,0.6111,-0.9790,-0.4695,-0.1398,-0.1237,0.0091,-0.1427,0.2418,-0.0536,0.0061,-0.1533,0.0660,-0.1812,-0.0167,0.1239,0.0336,-0.1359,0.4937
22,Income Tax expense (Gain),400000,- -,- -,400000,100000,-100000,400000,100000,- -,-436879,358828,1438847,934000,-1005000,15934000,308000,-5094000,2199000,3515000,-2668000,-2647000,-1441000,-2005000,827000,-1713000,3796000,-1481000,-247000,-3567000,2747000,-3940000,521000,3056000,-301000,-2794000,3603000
23,Net Income,500000,-1100000,-1300000,-1500000,2800000,-1000000,1000000,-900000,700000,491299,547004,1869215,154000,-1737000,17254000,-2511000,-4204000,2567000,3071000,-3128000,-1923000,-3592000,-301000,389000,-2549000,8751000,-2327000,-715000,-4692000,2942000,-7136000,-1653000,4081000,1457000,-3781000,10409000
24,Net Income ratio,0.0714,-0.1528,-0.1625,-0.1948,0.1905,-0.1266,0.1010,-0.0957,0.0593,0.0447,0.0491,0.1617,0.0130,-0.1361,1.4601,-0.1909,-0.3284,0.1814,0.2232,-0.2412,-0.1601,-0.0798,-0.0061,0.0085,-0.0569,0.1743,-0.0408,-0.0115,-0.0697,0.0404,-0.0979,-0.0240,0.0570,0.0195,-0.0652,0.3632
25,EPS,0.14,-0.27,-0.33,-0.45,0.89,-0.33,0.33,-0.31,0.23,0.17,0.19,0.58,0.05,-0.55,5.83,-0.87,-1.51,0.95,1.22,-1.27,-0.81,-1.53,-0.13,0.16,-1.07,3.63,-0.97,-0.30,-1.98,1.23,-2.99,-0.70,1.73,0.63,-1.64,4.68
26,EPS Diluted,0.14,-0.27,-0.33,-0.45,0.89,-0.33,0.33,-0.31,0.23,0.17,0.19,0.58,0.05,-0.55,5.42,-0.87,-1.51,0.86,1.08,-1.27,-0.81,-1.53,-0.13,0.16,-1.07,3.49,-0.97,-0.30,-1.98,1.21,-2.99,-0.70,1.53,0.55,-1.64,4.06
27,Weighted Average Shares Outstanding,3569644,4122939,3977603,3356531,3156317,3059695,3059695,2870905,3086692,2981961,2849252,3235167,3203104,3138445,2956983,2883097,2788975,2710646,2518124,2453544,2385008,2353695,2350591,2361882,2383602,2411242,2389659,2354990,2368861,2384521,2384098,2371765,2354489,2328156,2300059,2222919
28,Weighted Average Shares Outstanding Diluted,3569644,4122939,3977603,3356531,3156317,3059695,3059695,2870905,3086692,2981961,3101897,3235167,3203104,3138445,3181533,2883097,2788975,2998646,2836124,2821044,2754008,2724945,2350591,2372665,2383602,2506888,2389659,2407128,2368861,2432741,2384098,2371765,2672489,2658551,2623254,2560514
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69422/000121430506000015/0001214305-06-000015-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69422/000121430510000016/0001214305-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420411054229/0001144204-11-054229-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420412052239/0001144204-12-052239-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420413051363/0001144204-13-051363-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420414058304/0001144204-14-058304-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420415053888/0001144204-15-053888-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420416125824/v449390_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000114420417052400/v475706_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000114420418047626/0001144204-18-047626-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420419043033/tv527966_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000149315220017491/0001493152-20-017491-index.htm,https://www.sec.gov/Archives/edgar/data/69422/000149315221022978/0001493152-21-022978-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,63291,933936,1810807,5313000,514000,660000,878000,1883000,1859000,777000,868000,583000,2158000,1906000,1024000,1140000,1364000,2100000,1453000,4705000,8529000,5404000,2871000,8053000,11837000,14163000,6808000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,18300000,23600000,32700000,50600000,98549000,43832000,6437000,54989000,66610000,24033000,33530000,23057000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35792000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19063291,19233936,25410807,38013000,51114000,99209000,44710000,8320000,56848000,67387000,24901000,34113000,25215000,1906000,1024000,1140000,1364000,2100000,1453000,4705000,8529000,5404000,2871000,8053000,11837000,14163000,42600000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,259977,269059,391459,367000,- -,194000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1957000,3025000,7852000,3250000,1489000,3536000,852000,504000,340000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918000,653000,256000,248000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19143000,- -,- -,- -,12242000,15518000,6286000,2148000,1977000,3029000,21265000,3649000,4519000,8004000,9948000,14042000,14796000,9136000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86530000,- -,- -,- -,14148000,16542000,7426000,3512000,4077000,7357000,29648000,20286000,13421000,12364000,21537000,26731000,29463000,52076000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,24789707,25051749,28400016,30463000,27534000,41917000,61337000,63942000,62970000,89587000,85866000,78916000,77159000,120482000,115472000,68377000,109413000,105729000,83884000,85872000,90727000,94503000,94727000,96424000,97723000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63863000,77937000,33555000,39176000,72656000,13504000,6567000,14363000,36723000,24642000,15280000,15837000,15082000,1029000,1211000,813000,612000,278000,41000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3985000,4107000,- -,1468000,4383000,2140000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77937000,- -,- -,- -,- -,3761000,41961000,4718000,5373000,38165000,34103000,17324000,23172000,20800000,12906000,4345000,96093000,86089000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90142000,- -,- -,- -,133986000,125800000,124701000,150854000,135744000,137329000,135812000,123133000,122689000,120845000,110143000,104148000,100754000,88270000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,46843002,47881926,59518465,83022000,99977000,144170000,120683000,84310000,135595000,- -,127305000,122884000,159843000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,46843002,47881926,59518465,83022000,99977000,144170000,120683000,84310000,135595000,176672000,127305000,122884000,159843000,148134000,142342000,132127000,154366000,139821000,144686000,165460000,143419000,136110000,133209000,131680000,130879000,130217000,140346000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1911979,3163446,2535367,2974000,5423000,2126000,4597000,4248000,4423000,4470000,3512000,3405000,12397000,10462000,11219000,10473000,11347000,11747000,12470000,19244000,18883000,18500000,15780000,13245000,15064000,11627000,10101000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6256000,4258000,4258000,4975000,1811000,3688000,2786000,2072000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7888021,4436554,8964633,28426000,45077000,79974000,40603000,12152000,51077000,65930000,25032000,27637000,12145000,2633000,6945000,3933000,9454000,2460000,2762000,19088000,345000,1493000,3012000,1887000,1629000,1576000,7917000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,7600000,11500000,31400000,50500000,82100000,45200000,16400000,55500000,70400000,34800000,35300000,28800000,18070000,19975000,18094000,23587000,16279000,15232000,38332000,19228000,19993000,18792000,15132000,16693000,13203000,18018000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,29922435,31187391,34355613,39044000,36875000,41656000,58532000,55929000,82605000,116156000,92002000,89149000,131364000,119228000,118488000,116282000,117616000,114975000,118520000,192642000,188138000,189201000,186025000,182980000,179904000,189869000,187145000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1666592,931952,4106303,3046000,3495000,9950000,5985000,1529000,5471000,7334000,6300000,3887000,2490000,2086000,2839000,1135000,5987000,4981000,4617000,943000,3000,- -,- -,245000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1689027,-919343,-4061916,-3090000,-3470000,-9906000,-6017000,-1558000,-21976000,-33890000,-17902000,-14736000,-8254000,- -,- -,- -,674000,- -,2565000,175000,22000,163000,3710000,3290000,2711000,1392000,6419000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,31200000,34400000,39000000,36900000,41700000,58500000,55900000,66100000,89600000,80400000,78300000,125600000,121314000,121327000,117417000,124277000,119956000,125702000,193760000,188163000,189364000,189735000,186515000,182615000,191261000,193564000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,59806092,- -,68814525,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1355000,1486000,1098000,664000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,40306092,38756068,45914525,59888000,77497000,113074000,90658000,62776000,112820000,150405000,108540000,107973000,154386000,139384000,141302000,135511000,147864000,136235000,140934000,232092000,207391000,209357000,208527000,201647000,199308000,204464000,211582000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,14783,14948,14948,14000,21000,21000,21000,21000,21000,21000,21000,21000,21000,32000,32000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-469349,77655,1946870,300000,-1444000,15810000,13299000,9095000,11662000,14733000,11273000,9350000,5758000,5457000,638000,4190000,12941000,10614000,9899000,-39401000,-36459000,-43645000,-45298000,-41217000,-39760000,-43541000,-36394000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10571176,-12166166,-13240975,-15200000,-16076000,-13387000,-15817000,-15978000,-18681000,-21444000,-19235000,-19867000,-22555000,-24381000,-22856000,-24309000,-67838000,-71674000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17562652,21199421,24883097,38020000,39979000,28652000,32522000,28396000,20977000,23331000,20082000,19739000,22233000,24021000,22251000,23854000,66910000,69334000,-2099000,-1726000,-1384000,-1719000,-2280000,-2746000,-4005000,-8369000,-15198000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6536910,9125858,13603940,23134000,22480000,31096000,30025000,21534000,13979000,16641000,12141000,9243000,5457000,5129000,65000,3768000,12046000,8307000,7833000,-41094000,-37810000,-45331000,-47545000,-43930000,-43732000,-51877000,-51559000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,46843002,47881926,59518465,83022000,99977000,144170000,120683000,84310000,126799000,167046000,120681000,117216000,159843000,144513000,141367000,139279000,159910000,144542000,148767000,190998000,169581000,164026000,160982000,157717000,155576000,152587000,160023000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8796000,9626000,6624000,5668000,- -,3621000,975000,-7152000,-5544000,-4721000,-4081000,-25538000,-26162000,-27916000,-27773000,-26037000,-24697000,-22370000,-19677000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,46843002,47881926,59518465,83022000,99977000,144170000,120683000,84310000,135595000,176672000,127305000,122884000,159843000,148134000,142342000,132127000,154366000,139821000,144686000,165460000,143419000,136110000,133209000,131680000,130879000,130217000,140346000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69422/000121430506000015/0001214305-06-000015-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69422/000121430510000016/0001214305-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420411054229/0001144204-11-054229-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420412052239/0001144204-12-052239-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420413051363/0001144204-13-051363-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420414058304/0001144204-14-058304-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420415053888/0001144204-15-053888-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420416125824/v449390_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000114420417052400/v475706_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000114420418047626/0001144204-18-047626-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420419043033/tv527966_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000149315220017491/0001493152-20-017491-index.htm,https://www.sec.gov/Archives/edgar/data/69422/000149315221022978/0001493152-21-022978-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-1000000,1000000,-900000,700000,491299,547004,1869215,154000,-1737000,17254000,-2511000,-4204000,2567000,3071000,-3128000,-1923000,-3592000,-301000,389000,-2549000,8751000,-2327000,-715000,-4692000,2942000,-7136000,-1653000,4081000,1457000,-3781000,10409000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,300000,1400000,1600000,1800000,1674842,1594990,1652500,1938000,2226000,1994000,2415000,2493000,2724000,2826000,3459000,2362000,6849000,6708000,6777000,6905000,6311000,4471000,4577000,4723000,4943000,5146000,5389000,4776000,4777000,4715000,4412000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,- -,-300000,-1000000,- -,- -,- -,- -,- -,6455000,-3965000,-4456000,3942000,1863000,-1516000,-2413000,-1397000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000,4352000,-1713000,-2915000,2243000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000,72000,115000,350000,329000,412000,564000,752000,479000,268000,184000,76000,142000,14000
77,Change in Working Capital,- -,- -,- -,- -,- -,400000,- -,- -,- -,-10400000,2800000,-3900000,-19900000,-19100000,-31600000,36900000,28800000,-39100000,71630000,-50930000,-500000,6500000,24878000,489000,-7235000,-9407000,7873000,4327000,-809000,9742000,-7630000,144000,12833000,3633000,6222000,17798000
78,Accounts Receivable,- -,- -,- -,- -,- -,300000,-500000,-700000,-400000,400000,100000,-200000,100000,-2000000,2373000,37282000,25579000,-3188000,-2068000,60000,639000,9371000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-100000,-300000,2500000,1000000,200000,800000,-600000,800000,400000,26340000,-35327000,-21825000,19917000,2171000,-16677000,4699000,-6274000,- -,- -,- -,- -,- -,723000,6774000,-361000,-383000,-2720000,-2535000,1819000,-3437000,-1526000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10400000,-7600000,-11500000,-31400000,-50500000,-82100000,-45200000,-16400000,-55500000,16130000,-34800000,-35300000,-28800000,-3922000,-3433000,-10668000,-20075000,-12202000,-7875000,-8684000,1058000,-6572000,-6428000,6405000,10038000,16260000,34058000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1200000,-2000000,2100000,600000,10709163,-1642858,3817253,18256000,18468000,6386000,-30998000,-27744000,23468000,-78271000,56042000,2793000,-5101000,-30892000,-695000,8448000,-3040000,-5123000,-4023000,3498000,-18541000,18113000,2268000,-14778000,6039000,-7837000,-55135000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,800000,400000,2500000,2100000,2475304,3299136,3438968,448000,-143000,489000,1841000,-5111000,-6399000,1119000,3927000,319000,3259000,465000,7032000,5684000,2965000,5223000,4578000,3284000,-162000,8972000,6294000,11448000,14269000,-3454000,-20259000
84,CAPEX,- -,- -,- -,- -,- -,-600000,-900000,-900000,-800000,-5498416,-1857032,-6026827,-4022000,-3503000,-22454000,-21850000,-7595000,-1731000,-29998000,-4387000,-2917000,-3275000,- -,- -,- -,-7005000,-3111000,-3486000,-3696000,-5083000,-4064000,-328000,-212000,-1397000,-1292000,-1068000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231000,-78000,-133000,-233000,-119000,-4000,-273000,-223000,-2139000
86,Purchases of Investments,- -,- -,- -,- -,- -,-600000,-1000000,-2000000,- -,-4600000,-5800000,-4100000,- -,-94416000,- -,- -,- -,-38275000,-10314000,-47621000,-978000,-316000,-4042000,-2771000,-3198000,-255000,-345000,- -,-477000,-150000,- -,-360000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,3500000,700000,2200000,- -,6100000,2000000,1006000,69107000,- -,- -,13862000,- -,- -,11273000,- -,- -,7739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000,103000,115000,118000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-600000,-5100000,-5500000,13530,45487,883658,7073000,8972000,20813000,4390000,3263000,38390000,9570000,45925000,8497000,-1397000,2086000,38000,-43000,4784000,4282000,-5827000,-4033000,11905000,-6745000,-1203000,-944000,-2230000,-2340000,10214000
