,https://roic.ai/company/CQP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,-4719000,-10277000,-12516000,-17141000,327920000,280797000,144626000,63540000,-32686000,-874000,3042000,250436000,1156000000,1979000000,2040000000,2125000000,2557000000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-1.1427,0.7868,0.7033,0.5096,0.2404,-0.1219,-0.0033,0.0113,0.2276,0.2686,0.3080,0.2983,0.3446,0.2710
19,Total Other Income Expenses (Gains),- -,343000,-68099000,- -,4906000,5276000,-173229000,-175645000,-213676000,-225431000,-409162000,-321933000,-421631000,-666000000,-705000000,-865000000,-942000000,-927000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,107568000,-31019000,-150136000,-258117000,-410036000,-318891000,-171195000,490000000,1274000000,1175000000,1183000000,1630000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.2694,-0.1093,-0.5680,-0.9624,-1.5260,-1.1810,-0.1556,0.1138,0.1983,0.1718,0.1918,0.1728
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4654000,-4263000,-60772000,-48952000,-78344000,186912000,107568000,-81155000,-150136000,-239967000,-410036000,-318891000,-171195000,490000000,1274000000,1175000000,1183000000,1630000000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-5.2229,0.4485,0.2694,-0.2860,-0.5680,-0.8948,-1.5260,-1.1810,-0.1556,0.1138,0.1983,0.1718,0.1918,0.1728
25,EPS,-0.03,-0.03,-0.38,-0.23,-0.48,1.13,0.65,-0.49,0.27,-0.03,-0.89,-0.43,-0.20,-1.32,2.51,2.25,2.32,3.00
26,EPS Diluted,-0.03,-0.03,-0.38,-0.23,-0.48,1.13,0.65,-0.49,0.27,-0.03,-0.89,-0.43,-0.20,-1.32,2.51,2.25,2.32,3.00
27,Weighted Average Shares Outstanding,161800000,161800000,161800000,161800000,161800000,161800000,161800000,163294000,168854000,189619000,192463000,337800000,337800000,484000000,348600000,522222222,509913793,484000000
28,Weighted Average Shares Outstanding Diluted,161800000,161800000,161800000,161800000,161800000,161800000,161800000,163294000,212157000,330119000,337796000,337800000,337800000,484000000,348600000,522222222,509913793,484000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1383650/000119312508039309/0001193125-08-039309-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000119312509040204/0001193125-09-040204-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000000357010000007/0000003570-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365011000005/0001383650-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365012000012/0001383650-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365013000017/0001383650-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365014000013/0001383650-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365015000009/0001383650-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365016000087/0001383650-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365017000011/0001383650-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365018000005/0001383650-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365019000005/0001383650-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365020000006/0001383650-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365021000005/0001383650-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365022000005/0001383650-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5000,7000,13000,7000,117542000,53349000,81415000,419292000,351032000,248830000,146221000,- -,- -,- -,1781000000,1210000000,876000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5000,7000,13000,7000,117542000,53349000,81415000,419292000,351032000,248830000,146221000,- -,- -,- -,1781000000,1210000000,876000000
34,Net Receivables,- -,5000,5226000,5584000,4704000,13981000,5633000,1545000,2049000,- -,310000,2013000,189532000,354000000,462000000,402000000,502000000,813000000
35,Inventory,- -,- -,- -,- -,- -,2840000,1212000,4842000,7045000,10430000,4293000,16667000,97431000,95000000,99000000,116000000,107000000,176000000
36,Other Current Assets,- -,18038000,356091000,193320000,241392000,18568000,18459000,21708000,104158000,251666000,233087000,328574000,671297000,1690000000,1795000000,408000000,316000000,347000000
37,Total Current Assets,- -,18048000,361324000,198917000,246103000,152931000,78653000,109510000,532544000,613128000,486520000,493475000,958260000,2139000000,2356000000,2707000000,2135000000,2212000000
38,PP&E,- -,270737000,651676000,1127289000,1517507000,1588557000,1550465000,1514416000,2704895000,6383939000,8978356000,11931602000,14158187000,15139000000,15390000000,16462000000,16822000000,16928000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27416000,24000000,20000000,6000000,6000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27416000,24000000,20000000,6000000,6000000,- -
42,Investments,- -,- -,- -,64000000,41457000,1021000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20354000,845114000,514772000,173768000,116964000,114374000,113374000,510839000,1519716000,922639000,571250000,398477000,251000000,208000000,209000000,182000000,218000000
45,Total Non-Current Assets,- -,291091000,1496790000,1706061000,1732732000,1706542000,1664839000,1627790000,3215734000,7903655000,9900995000,12502852000,14584080000,15414000000,15618000000,16677000000,17010000000,17146000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,309139000,1858114000,1904978000,1978835000,1859473000,1743492000,1737300000,3748278000,8516783000,10387515000,12996327000,15542340000,17553000000,17974000000,19384000000,19145000000,19358000000
48,Accounts Payable,- -,- -,981000,63000,651000,345000,1072000,1234000,74882000,10146000,8598000,16407000,27162000,12000000,15000000,40000000,12000000,21000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1676197000,223500000,- -,- -,6000000,7000000,8000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,65242000,89963000,27265000,27317000,27236000,26593000,26655000,27386000,73348000,112000000,117000000,156000000,138000000,156000000
52,Other Current Liabilities,- -,44838000,37322000,53357000,41110000,25276000,23797000,23267000,53292000,229148000,179503000,345845000,531701000,705000000,936000000,764000000,726000000,1160000000
53,Total Current Liabilities,- -,44838000,38303000,53420000,107003000,115584000,52134000,51818000,155410000,265887000,214756000,2065835000,855711000,829000000,1068000000,966000000,883000000,1345000000
54,Long-Term Debt,- -,- -,2032000000,2032645000,2180706000,2183029000,2187724000,2192418000,2167113000,6576273000,8991333000,10178681000,14209229000,16046000000,16066000000,17579000000,17670000000,17266000000
55,Deferred Revenue,- -,- -,- -,- -,42471000,40860000,39313000,37766000,36220000,17500000,13500000,9500000,5500000,1000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,112605000,41149000,46430000,340000,327000,329000,317000,26727000,17379000,37197000,29380000,28846000,38000000,40000000,124000000,53000000,29000000
58,Total Non-Current Liabilities,- -,112605000,2073149000,2079075000,2223517000,2224216000,2227366000,2230501000,2230060000,6611152000,9042030000,10217561000,14243575000,16085000000,16106000000,17703000000,17723000000,17295000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,97000000,97000000
61,Total Liabilities,- -,157443000,2111452000,2132495000,2330520000,2339800000,2279500000,2282319000,2385470000,6877039000,9256786000,12283396000,15099286000,16914000000,17174000000,18669000000,18606000000,18640000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,1814000,-253338000,-268000,-8476000,-41213000,-83417000,-126384000,-27240000,- -,-352750000,-417224000,-565992000,-897000000,-1309000000,-1828000000,- -,- -
66,Other Total Stockholders Equity,- -,151709000,- -,- -,- -,- -,- -,- -,1389808000,1933879000,1483479000,1130155000,1009046000,1536000000,2109000000,2543000000,- -,- -
67,Total Stockholders Equity,- -,151696000,-253338000,-227517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,309139000,1858114000,1904978000,1978520000,1859473000,1743492000,1737300000,3748278000,8516783000,10387515000,12996327000,15542340000,17553000000,17974000000,19384000000,19145000000,18640000000
69,Minority Interest,- -,- -,- -,- -,315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,718000000
70,Total Liabilities & Equity,- -,309139000,1858114000,1904978000,1978835000,1859473000,1743492000,1737300000,3748278000,8516783000,10387515000,12996327000,15542340000,17553000000,17974000000,19384000000,19145000000,19358000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1383650/000119312508039309/0001193125-08-039309-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000119312509040204/0001193125-09-040204-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000000357010000007/0000003570-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365011000005/0001383650-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365012000012/0001383650-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365013000017/0001383650-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365014000013/0001383650-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365015000009/0001383650-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365016000087/0001383650-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365017000011/0001383650-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365018000005/0001383650-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365019000005/0001383650-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365020000006/0001383650-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365021000005/0001383650-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365022000005/0001383650-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-4263000,-60772000,-48952000,-78344000,186912000,107568000,-81155000,-150136000,-239967000,-410036000,-318891000,-171195000,490000000,1274000000,1175000000,1183000000,1630000000
74,Depreciation and Amortization,- -,13000,745000,3828000,7994000,32742000,42299000,42943000,- -,- -,- -,65704000,155621000,339000000,424000000,527000000,551000000,557000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,10931000,349811000,-177524000,-6397000,-101753000,-10828000,31173000,319442000,-29893000,-75477000,-1844124000,1674909000,1207451000,-22000000,453000000,-489000000,-5000000
78,Accounts Receivable,- -,- -,- -,- -,3079000,-1641000,- -,1237000,-1196000,-1083000,-796000,1507000,-188154000,-163000000,-75000000,25000000,-101000000,-237000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-14969000,-51000,-30863000,-18325000,-25037000,-58030000,13000000,-5000000,-16000000,8000000,-68000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2384000,3949000,-996000,166710000,210000000,183000000,-126000000,- -,321000000
81,Other Working Capital,- -,-26790000,323021000,145497000,139100000,37347000,26519000,57692000,377134000,347241000,271764000,-1572360000,102549000,1310000000,1288000000,1741000000,1252000000,-23000000
82,Other Non-Cash Items,- -,-362000,-317696000,222008000,75591000,116410000,-34902000,21288000,-195520000,305524000,497441000,2103059000,-1659584000,-1059451000,198000000,-608000000,506000000,109000000
83,Cash Provided by Operating Activities,- -,6319000,-27912000,-640000,-1156000,234311000,104137000,14249000,-26214000,35664000,11928000,5748000,-249000,977000000,1874000000,1547000000,1751000000,2291000000
84,CAPEX,- -,-237160000,-387724000,-430405000,-417229000,-97519000,-4955000,-7137000,-1118457000,-3120643000,-2645553000,-2912080000,-2315081000,-1290000000,-804000000,-1331000000,-972000000,-648000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313892000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-8871000,-1150066000,-63923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,460037000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-306000,-6618000,-40485000,416669000,189665000,-121000,-1054000,1114002000,3105735000,-15101000,-9051000,-2353399000,-1290000000,-804000000,-1332000000,-972000000,-648000000
89,Cash Used for Investing Activites,- -,-246337000,-1544408000,-74776000,-560000,92146000,-5076000,-8191000,-4455000,-328800000,-15101000,-9051000,-2353399000,-1290000000,-804000000,-1332000000,-972000000,-648000000
90,Debt Repayment,- -,- -,- -,- -,-4837000,-2490000,- -,- -,-550000000,-100000000,-177000000,- -,-5250500000,-2173000000,-1090000000,-730000000,-2000000000,-3600000000
91,Common Stock Issued,- -,- -,- -,98442000,- -,- -,- -,- -,2137364000,375897000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-45824000,-280675000,-163249000,-48149000,-57821000,-91386000,-98979000,-99018000,-99025000,-294000000,-1113000000,-1260000000,-1359000000,-1451000000
94,Other Financing Activites,- -,218201000,1572322000,-23020000,52371000,74243000,-5000,70157000,-1160997000,40365000,176950000,-288000,7873689000,3764000000,1085000000,2196000000,1925000000,3075000000
95,Cash Used/Provided by Financing Activities,- -,218201000,1572322000,75422000,1710000,-208922000,-163254000,22008000,368546000,224876000,-99029000,-99306000,2524164000,1297000000,-1118000000,206000000,-1434000000,-1976000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-21817000,2000,6000,-6000,117535000,-64193000,28066000,337877000,-68260000,-102202000,-102609000,170516000,984000000,-48000000,421000000,-655000000,-333000000
98,Cash at the End of Period,- -,5000,7000,13000,7000,117542000,53349000,81415000,419292000,351032000,248830000,146221000,604944000,1589000000,1541000000,1962000000,1307000000,974000000
99,Cash at the Beginning of Period,- -,21822000,5000,7000,13000,7000,117542000,53349000,81415000,419292000,351032000,248830000,434428000,605000000,1589000000,1541000000,1962000000,1307000000
100,Free Cash Flow,- -,-230841000,-415636000,-431045000,-418385000,136792000,99182000,7112000,-1144671000,-3084979000,-2633625000,-2906332000,-2315330000,-313000000,1070000000,216000000,779000000,1643000000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1383650/000119312508039309/0001193125-08-039309-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000119312509040204/0001193125-09-040204-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000000357010000007/0000003570-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365011000005/0001383650-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365012000012/0001383650-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365013000017/0001383650-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365014000013/0001383650-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365015000009/0001383650-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365016000087/0001383650-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365017000011/0001383650-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365018000005/0001383650-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365019000005/0001383650-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365020000006/0001383650-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365021000005/0001383650-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365022000005/0001383650-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,
