,https://roic.ai/company/PALI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,38891,130719,136287,143600,569014,664731,205651,763067,409800,1249344,646195,402273,363288,510900,2351552,1879000
37,Total Current Assets,1845932,7534456,5039566,2453374,9830247,3016744,7652757,17619119,28161782,13520646,20904716,12448799,6508393,5646881,12880796,12374000
38,PP&E,32515,136920,163930,196755,200084,292193,230397,230971,301265,343200,269557,172886,90311,268072,10776,112000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,18239,111406,212265,301560,500154,701846,807357,1137701,1233172,1103467,990153,883462,763543,668936,- -,- -
41,Intangible Assets,18239,111406,212265,301560,500154,701846,807357,1137701,1233172,1103467,990153,883462,763543,668936,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,35940,43271,52972,55716,60875,75394,59568,425745,147856,80951,439902,379309,322203,- -,- -,26000
45,Total Non-Current Assets,86694,291597,429167,554031,761113,1069433,1097322,1794417,1682293,1527618,1699612,1435657,1176057,937008,10776,138000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1932626,7826053,5468733,3007405,10591360,4086177,8750079,19413536,29844075,15048264,22604328,13884456,7684450,6583889,12891572,12512000
48,Accounts Payable,351962,1016699,- -,- -,- -,- -,1199662,1196190,2504978,1455826,2343936,875065,832564,824406,649345,1323000
49,Short-Term Debt,7816,- -,- -,- -,- -,- -,- -,2763121,730012,4634742,3705787,- -,- -,264665,- -,199000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1265488,1560822,2737010,2426359,556641,1976821,773705,424466,1283701,639504,218602,135686,2556585,974000
53,Total Current Liabilities,359778,1016699,1265488,1560822,2737010,2426359,1756303,5936132,4008695,6515034,7333424,1514569,1051166,1224757,3205930,2496000
54,Long-Term Debt,20579,- -,- -,- -,- -,- -,- -,4934210,8056470,3391808,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,6462039,- -,- -,21143,124995,59574,174144,3940126,3854758,583734,233139,- -,2651000
58,Total Non-Current Liabilities,20579,- -,- -,6462039,- -,- -,21143,5059205,8116044,3565952,3940126,3854758,583734,233139,- -,2651000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75298,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,380357,1016699,1265488,8022861,2737010,2426359,1777446,10995337,12124739,10080986,11273550,5369327,1634900,1457896,3281228,5147000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,260116,314106,337513,357438,468975,486821,681893,778860,877897,920057,110329,151600,182051,38665,172957,143000
64,Retained Earnings,-38592725,-45655997,-57486795,-67566831,-85954131,-98472658,-108594175,-128426037,-151054781,-171958682,-193033293,-208699276,-213623893,-221975544,- -,-94642000
65,Other Comprehensive Income/Loss,-1178841,-40080,-89779,-145333,-218325,-322628,-423644,-346134,-483232,-628551,-724771,-821925,-902260,-950417,-734,- -
66,Other Total Stockholders Equity,41063719,52191325,61442306,62339270,93557831,99968283,115308559,136411510,168379452,176634454,204978513,217884730,220393652,228013289,9595693,101864000
67,Total Stockholders Equity,1552269,6809354,4203245,-5015456,7854350,1659818,6972633,8418199,17719336,4967278,11330778,8515129,6049550,5125993,9767916,7365000
68,Total Liabilities And Stockholders Equity,1932626,7826053,5468733,3007405,10591360,4086177,8750079,19413536,29844075,15048264,22604328,13884456,7684450,6583889,13049144,12512000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157572,- -
70,Total Liabilities & Equity,1932626,7826053,5468733,3007405,10591360,4086177,8750079,19413536,29844075,15048264,22604328,13884456,7684450,6583889,12891572,12512000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1357459/000114420407016577/0001144204-07-016577-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420408017800/0001144204-08-017800-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420409017905/0001144204-09-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420410017210/0001144204-10-017210-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420411015138/0001144204-11-015138-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420412018248/0001144204-12-018248-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420413015444/0001144204-13-015444-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420414014279/0001144204-14-014279-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420415016085/0001144204-15-016085-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420416087765/0001144204-16-087765-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184317001704/0001171843-17-001704-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184318002404/0001171843-18-002404-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184319001917/0001171843-19-001917-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184320002061/0001171843-20-002061-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184321001965/0001171843-21-001965-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000095017022004093/0000950170-22-004093-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-3147487,-6174121,-11830798,-10364363,-18387300,-12518527,-10121517,-19831862,-22628744,-20903901,-21074611,-15665983,-4924617,-8351651,-16266820,-26616000
74,Depreciation and Amortization,51923,32056,65761,88664,130752,187050,211143,244725,348630,345460,337508,289208,185803,143859,92272,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,4632847,4556916,5240882,3333099,1610845,2331401,4320073,2951367,3445539,1769964,634082,880789,584991,- -
77,Change in Working Capital,-599292,5031603,-2743679,-2881526,6200685,-6502852,5306069,5786533,12470100,-17147475,6565680,-2637062,-5477003,-1035103,5252742,203134
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,231042,-6667,- -,- -,26825,-302311,18745,272993,-95215,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-116750,- -,- -,- -,- -,- -,- -,-105043,- -
81,Other Working Capital,1486154,6517757,3774078,892552,7093237,590385,5896454,11682987,24153087,7005612,13571292,10934230,5457227,4422124,9674866,9878000
82,Other Non-Cash Items,359929,-2890906,3015830,3455489,-3166263,7404534,-5484240,877586,-6216747,15822883,-4890224,2827711,1889316,1106426,1311686,11639866
83,Cash Provided by Operating Activities,-3334927,-4001368,-6860039,-5144820,-9981244,-8096696,-8477700,-10591617,-11706688,-18931666,-15616108,-13416162,-7692419,-7255680,-9025129,-14773000
84,CAPEX,-59212,-229627,-193630,-210784,-332675,-480850,-254858,-537050,-556348,-243584,-161114,-94046,-1714,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-25007478,-7517453,-5000000,-5000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10000000,15007478,7517453,5000000,5000000,- -,- -,- -
88,Other Investing Activites,- -,- -,-116921,-122406,-256353,-284438,-215638,-411688,-348455,-67312,-63026,-82645,- -,- -,- -,-54000
89,Cash Used for Investing Activites,-59212,-229627,-193630,-210784,-332675,-480850,-254858,-537050,-15563826,7246441,2356339,-94046,4998286,- -,- -,-54000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-65090,-183291,-2104646,-1271218,-4693717,-4092101,-363345,-377893,- -,- -
91,Common Stock Issued,4800000,9856036,4553211,2762099,17265378,1668326,13889408,13156664,21262722,6005459,28118962,8736016,1828000,6552842,11150318,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-125201,-28345,- -,- -,- -,- -,- -,7551329,3786349,-847054,313483,346863,349578,414556,3315598,24609000
95,Cash Used/Provided by Financing Activities,4674799,9827691,4553211,2762099,17265378,1668326,13824318,20524702,22944425,3887187,23738728,4990778,1814233,6589505,14465916,24609000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,6244,-983,-4409,-543,-579,-7930,-6018,-1185,- -
97,Net Change In Cash,1280660,5596696,-2500458,-2593505,6951459,-6909220,5091760,9402279,-4327072,-7802447,10478416,-8520009,-887830,-672193,5439602,- -
98,Cash at the End of Period,1807041,7403737,4903279,2309774,9261233,2352013,7443773,16846052,12518980,4716533,15194949,6674940,5787110,5114917,10554519,- -
99,Cash at the Beginning of Period,526381,1807041,7403737,4903279,2309774,9261233,2352013,7443773,16846052,12518980,4716533,15194949,6674940,5787110,5114917,10554519
100,Free Cash Flow,-3394139,-4230995,-7053669,-5355604,-10313919,-8577546,-8732558,-11128667,-12263036,-19175250,-15777222,-13510208,-7694133,-7255680,-9025129,-14773000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1357459/000114420407016577/0001144204-07-016577-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420408017800/0001144204-08-017800-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420409017905/0001144204-09-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420410017210/0001144204-10-017210-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420411015138/0001144204-11-015138-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420412018248/0001144204-12-018248-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420413015444/0001144204-13-015444-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420414014279/0001144204-14-014279-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420415016085/0001144204-15-016085-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420416087765/0001144204-16-087765-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184317001704/0001171843-17-001704-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184318002404/0001171843-18-002404-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184319001917/0001171843-19-001917-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184320002061/0001171843-20-002061-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184321001965/0001171843-21-001965-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000095017022004093/0000950170-22-004093-index.htm
102,false,,,,,,,,,,,,,,,,
