,https://roic.ai/company/ISCO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,81664,135729,163055,205948,289092,494000,474000,464000,458000,472000,331000,326000,308000,285000,253000,262000
15,EBITDA,-8296,-5730000,-4792463,-5358668,-7469465,-12416829,-8676000,-9356000,-10013000,-12018000,-2152000,-742000,-5684000,-1775000,-3903000,-2565000,-1659000
16,EBITDA ratio,-Infinity,-Infinity,-119.8116,-10.7173,-6.6692,-7.9088,-1.9152,-2.0473,-1.6281,-1.7127,-0.2850,-0.1036,-0.7623,-0.1601,-0.4121,-Infinity,-Infinity
17,Operating Income,-8296,-5715721,-6073622,-5533129,-7198929,-10462044,-11355000,-9813000,-7546000,-8680000,-4564000,-4851000,-4942000,-3474000,-5728000,-2818000,-1921000
18,Operating Income ratio,-Infinity,-Infinity,-151.8406,-11.0663,-6.4276,-6.6637,-2.5066,-2.1473,-1.2270,-1.2370,-0.6044,-0.6770,-0.6628,-0.3133,-0.6047,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-864279,3622,-1036871,-571071,-2257956,2185000,-17000,-2934000,-3798000,1929000,3772000,-1127000,1343000,1463000,94000,1022000
20,Income Before Tax,- -,-6580000,-6070000,-6570000,-7770000,-12720000,-9170000,-9830000,-10480000,-12478000,-2635000,-1079000,-6069000,-2131000,-4265000,-2724000,-899000
21,Income Before Tax Ratio,- -,-Infinity,-151.7500,-13.1400,-6.9375,-8.1019,-2.0243,-2.1510,-1.7041,-1.7783,-0.3490,-0.1506,-0.8140,-0.1922,-0.4503,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8296,-6580000,-6070000,-6570000,-7770000,-12720000,-9170000,-9830000,-10480000,-12478000,-2635000,-1079000,-6069000,-2131000,-4265000,-2724000,-899000
24,Net Income ratio,-Infinity,-Infinity,-151.7500,-13.1400,-6.9375,-8.1019,-2.0243,-2.1510,-1.7041,-1.7783,-0.3490,-0.1506,-0.8140,-0.1922,-0.4503,-Infinity,-Infinity
25,EPS,-2.49,-42.00,-25.50,-33.00,-39.00,-25.50,-18.00,-19.50,-13.50,-9.00,-1.33,-0.34,-1.46,-0.33,-0.57,-0.36,-0.12
26,EPS Diluted,-2.49,-42.00,-25.50,-33.00,-39.00,-25.50,-18.00,-19.50,-13.50,-9.00,-2.26,-0.34,-1.46,-0.33,-0.57,-0.36,-0.12
27,Weighted Average Shares Outstanding,3333,154252,235759,242404,309473,458433,515492,572935,820627,1285364,1984000,3190000,4158000,6388000,7513000,7539000,7539000
28,Weighted Average Shares Outstanding Diluted,3333,154252,235759,242404,309473,458433,515492,572935,820627,1285364,2038000,3190000,4158000,6388000,7513000,7539000,7539000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1355790/000101968708001153/0001019687-08-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000101968709001101/0001019687-09-001101-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312510064413/0001193125-10-064413-index.html,- -,https://www.sec.gov/Archives/edgar/data/1355790/000119312512119981/0001193125-12-119981-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312513125364/0001193125-13-125364-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312514102696/0001193125-14-102696-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459015002078/0001564590-15-002078-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459016015688/0001564590-16-015688-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000156459017005854/0001564590-17-005854-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000156459018007802/0001564590-18-007802-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459019011540/0001564590-19-011540-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459020027718/0001564590-20-027718-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459021016653/0001564590-21-016653-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459022012221/0001564590-22-012221-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4700000,170000,380000,730000,5780000,1340000,650000,2240000,1111000,532000,110000,304000,1075000,484000,689000,171000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4700000,170000,380000,730000,5780000,1340000,650000,2240000,1111000,532000,110000,304000,1075000,484000,689000,171000
34,Net Receivables,- -,- -,10000,80000,130000,740000,140000,270000,310000,453000,539000,574000,465000,651000,1515000,403000,844000
35,Inventory,- -,20000,180000,420000,630000,860000,1270000,1200000,1370000,1517000,1348000,1390000,1307000,1501000,1246000,917000,1184000
36,Other Current Assets,- -,- -,110000,80000,250000,220000,270000,460000,710000,535000,572000,418000,779000,543000,207000,174000,135000
37,Total Current Assets,- -,4720000,470000,960000,1740000,7600000,3020000,2580000,4630000,3616000,2991000,2492000,2855000,3770000,3452000,2183000,2334000
38,PP&E,- -,140000,480000,630000,1210000,1300000,1420000,1130000,830000,714000,375000,396000,321000,469000,1385000,534000,1252000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,670000,630000,640000,740000,990000,1280000,1630000,2250000,2795000,3223000,3484000,2922000,2674000,1335000,1262000,949000
41,Intangible Assets,- -,670000,630000,640000,740000,990000,1280000,1630000,2250000,2795000,3223000,3484000,2922000,2674000,1335000,1262000,949000
42,Investments,- -,- -,- -,- -,22383,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20000,20000,10000,-12383,40000,20000,30000,30000,54000,549000,673000,766000,883000,448000,- -,411000
45,Total Non-Current Assets,- -,830000,1130000,1280000,1960000,2330000,2720000,2790000,3110000,3563000,4147000,4553000,4009000,4026000,3168000,1796000,2612000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5550000,1600000,2240000,3700000,9930000,5740000,5370000,7740000,7179000,7138000,7045000,6864000,7796000,6620000,3979000,4946000
48,Accounts Payable,- -,320000,490000,470000,370000,580000,890000,970000,530000,670000,1092000,841000,830000,458000,654000,360000,508000
49,Short-Term Debt,- -,25000,- -,690994,250000,250000,250000,- -,- -,- -,- -,- -,- -,2045000,367000,487000,179000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,189000,233000,3000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,7296,505000,900000,649006,2200000,3710000,781000,987000,6487000,6188000,4452000,2760000,3970000,2574000,892000,636000,3597000
53,Total Current Liabilities,7296,850000,1390000,1810000,2820000,4540000,2110000,2190000,7020000,6858000,5544000,3601000,4800000,5077000,1913000,1483000,4284000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2370000,- -,950000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,2040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,925000,3837000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,2040000,- -,- -,- -,- -,- -,- -,- -,- -,182000,3295000,3837000,950000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1085000,1191000,- -
61,Total Liabilities,7296,850000,1390000,1810000,4860000,4540000,2110000,2190000,7020000,6858000,5544000,3601000,4800000,5259000,5208000,5320000,5234000
62,Preferred Stock,- -,- -,- -,3550,3000,2800,3000,2000,- -,5000,5000,5000,5000,5000,5000,5000,- -
63,Common Stock,500,30000,40000,40000,60000,70000,80000,90000,150000,239000,3000,4000,6000,7000,8000,8000,8000
64,Retained Earnings,-8296,-9880000,-15950000,-24100000,-36570000,-50850000,-60460000,-71790000,-82270000,-94749000,-97384000,-98463000,-104532000,-106663000,-106391000,- -,-110014000
65,Other Comprehensive Income/Loss,- -,-70000,-160000,-270000,-380000,-600000,-940000,-1340000,-1530000,- -,- -,- -,- -,-1534000,-2742000,- -,- -
66,Other Total Stockholders Equity,500,14616762,16282400,24759755,35734505,59272941,64940000,71280000,79427000,94826000,98970000,101898000,106585000,110722000,106232000,-4346000,105418000
67,Total Stockholders Equity,-7296,4696762,212400,433305,-1152495,7895741,3623000,-1758000,-4223000,321000,1594000,3444000,2064000,2537000,-2888000,-4333000,-4588000
68,Total Liabilities And Stockholders Equity,- -,5546762,1602400,2243305,3707505,12435741,5733000,432000,2797000,7179000,7138000,7045000,6864000,7796000,2320000,987000,646000
69,Minority Interest,- -,3238,-2400,-3305,-7505,-2505741,7000,4938000,4943000,- -,- -,- -,- -,- -,4300000,2992000,4300000
70,Total Liabilities & Equity,- -,5550000,1600000,2240000,3700000,9930000,5740000,5370000,7740000,7179000,7138000,7045000,6864000,7796000,6620000,3979000,4946000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1355790/000101968708001153/0001019687-08-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000101968709001101/0001019687-09-001101-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312510064413/0001193125-10-064413-index.html,- -,https://www.sec.gov/Archives/edgar/data/1355790/000119312512119981/0001193125-12-119981-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312513125364/0001193125-13-125364-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312514102696/0001193125-14-102696-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459015002078/0001564590-15-002078-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459016015688/0001564590-16-015688-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000156459017005854/0001564590-17-005854-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000156459018007802/0001564590-18-007802-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459019011540/0001564590-19-011540-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459020027718/0001564590-20-027718-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459021016653/0001564590-21-016653-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459022012221/0001564590-22-012221-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-8296,-6580000,-6070000,-6570000,-7770000,-12720000,-9170000,-9830000,-10480000,-12478000,-2635000,-1079000,-6069000,-2131000,-4265000,-2724000,-899000
74,Depreciation and Amortization,- -,81664,135729,163055,205948,289092,494000,474000,464000,458000,472000,331000,326000,308000,285000,253000,262000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,734867,797099,2068347,3843000,59000,1933000,1729000,597000,972000,1384000,1681000,2087000,1279000,644000
77,Change in Working Capital,- -,3877296,-4790000,70000,-230000,4140000,-2150000,-520000,-2780000,-852000,689000,1444000,-836000,638000,2846000,-839000,-2650000
78,Accounts Receivable,- -,- -,- -,-71709,-49090,-607518,599000,-133000,-55000,-147000,-86000,-27000,109000,-186000,-864000,1112000,-441000
79,Inventory,- -,- -,-155491,-241707,-213966,-239774,-473000,109000,-260000,-215000,-217000,-157000,-129000,-287000,123000,316000,-268000
80,Accounts Payable,- -,- -,- -,-28392,-95984,213774,302000,192000,-437000,138000,422000,-251000,-11000,-92000,196000,-294000,148000
81,Other Working Capital,-7296,3870000,-920000,-850000,-1080000,3060000,910000,390000,-2390000,-3242000,-2553000,-1109000,-1945000,-1307000,1539000,700000,-1950000
82,Other Non-Cash Items,- -,499308,5470649,851752,1768659,-833673,19000,3128000,5225000,4728000,-3243000,-5865000,3053000,-1578000,-2350000,1690000,1346000
83,Cash Provided by Operating Activities,-8296,-2121732,-5253622,-4750326,-5228294,-7056234,-6964000,-6689000,-5638000,-6415000,-4120000,-4197000,-2142000,-1082000,-1397000,-341000,-1297000
84,CAPEX,- -,-68746,-437853,-318196,-889889,-624118,-941000,-793000,-896000,-988000,-738000,-944000,-864000,-661000,-494000,-108000,-23000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-63843,-158872,-324558,-376000,-589000,-729000,-697000,-703000,-712000,-752000,-476000,-330000,-80000,-22000
89,Cash Used for Investing Activites,- -,-68746,-437853,-318196,-889889,-624118,-941000,-786000,-896000,-987000,-738000,-943000,-864000,-661000,-494000,-108000,-45000
90,Debt Repayment,- -,- -,- -,-625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,13066949,1373000,- -,1494231,10190550,3358000,2084000,6538000,3649000,- -,- -,500000,500000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-331041,-321616,-430000,-237000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8296,-6213082,-212875,5910000,5300000,2866616,532000,4945000,1585000,2621000,4279000,4718000,2700000,2014000,1300000,654000,824000
95,Cash Used/Provided by Financing Activities,8296,6853867,1160125,5285000,6463190,12735550,3460000,6792000,8123000,6270000,4279000,4718000,3200000,2514000,1300000,654000,824000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8296,4663389,-4531350,216478,345007,5055198,-4445000,-683000,1589000,-1132000,-579000,-422000,194000,771000,-591000,205000,-518000
98,Cash at the End of Period,- -,4696694,165344,381822,726829,5782027,1337000,654000,2243000,1111000,532000,110000,304000,1075000,484000,689000,171000
99,Cash at the Beginning of Period,- -,33305,4696694,165344,381822,726829,5782000,1337000,654000,2243000,1111000,532000,110000,304000,1075000,484000,689000
100,Free Cash Flow,-8296,-2190478,-5691475,-5068522,-6118183,-7680352,-7905000,-7482000,-6534000,-7403000,-4858000,-5141000,-3006000,-1743000,-1891000,-449000,-1320000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1355790/000101968708001153/0001019687-08-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000101968709001101/0001019687-09-001101-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312510064413/0001193125-10-064413-index.html,- -,https://www.sec.gov/Archives/edgar/data/1355790/000119312512119981/0001193125-12-119981-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312513125364/0001193125-13-125364-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000119312514102696/0001193125-14-102696-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459015002078/0001564590-15-002078-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459016015688/0001564590-16-015688-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000156459017005854/0001564590-17-005854-index.html,https://www.sec.gov/Archives/edgar/data/1355790/000156459018007802/0001564590-18-007802-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459019011540/0001564590-19-011540-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459020027718/0001564590-20-027718-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459021016653/0001564590-21-016653-index.htm,https://www.sec.gov/Archives/edgar/data/1355790/000156459022012221/0001564590-22-012221-index.htm
102,false,,,,,,,,,,,,,,,,,
