,https://roic.ai/company/MMND,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-2.4578,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2360,-0.1488,0.0174,0.2060
17,Operating Income,-2879789,- -,- -,-183000,-258000,-2356561,-859220,-590071,-15109,-51698,-235133,-60651,-24588,-18,-102080,-1899000,-10000,-62000,1250228,-622877,48938,-15405
18,Operating Income ratio,-2.6356,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2391,-0.1575,0.0135,-0.0040
19,Total Other Income Expenses (Gains),- -,- -,- -,-22000,-21000,-397397,-36097,410711,-187,-2627,-35707,-30451,- -,- -,-188,- -,- -,- -,-56829,5328,-12787,782145
20,Income Before Tax,- -,- -,- -,-205000,-279000,-2753958,-895317,-179360,-15296,-54325,-270840,-91102,-24588,-18,-102268,-1899000,-10000,-62000,1193399,-617549,36151,766740
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2282,-0.1562,0.0099,0.2003
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278474,136396,-105022,-528
23,Net Income,-2912581,- -,- -,-205000,-279000,-2753958,-895317,-179360,-15296,-54325,-270840,-91102,-24588,-18,-102268,-1899000,-10000,-62000,914925,-753945,141173,767268
24,Net Income ratio,-2.6656,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1750,-0.1907,0.0388,0.2005
25,EPS,-33477.94,- -,- -,-32.33,-44.00,-434.31,-141.19,-28.29,-0.37,-0.17,-0.84,-0.10,-0.01,-0.00,-0.03,-0.57,-0.00,-0.01,0.03,-0.02,0.00,0.02
26,EPS Diluted,-33477.94,- -,- -,-32.33,-44.00,-434.31,-141.19,-28.29,-0.37,-0.17,-0.84,-0.10,-0.01,-0.00,-0.03,-0.57,-0.00,-0.01,0.03,-0.02,0.00,0.02
27,Weighted Average Shares Outstanding,87,- -,- -,6341,6341,6341,6341,6341,41600,156817,323483,935098,2750000,2750000,3013539,3327157,4186094,4301700,32139225,33870520,33870520,34338506
28,Weighted Average Shares Outstanding Diluted,87,- -,- -,6341,6341,6341,6341,6341,41600,156817,323483,935098,2750000,2750000,3013539,3327157,4186094,4301700,32139225,33870520,33870520,34338506
29,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088638/000117347309000007/0001173473-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/1088638/000117347310000018/0001173473-10-000018-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088638/000107878212001031/0001078782-12-001031-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000009/0001556244-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000021/0001556244-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000009/0001556244-18-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088638/000143774920000642/0001437749-20-000642-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000143774921003526/0001437749-21-003526-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000143774922003274/0001437749-22-003274-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,94995,- -,- -,30000,7000,- -,25,- -,- -,3565,6578,209948,70,- -,6390,- -,- -,- -,861371,742173,807262,1075188
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,94995,- -,- -,30000,7000,- -,25,- -,- -,3565,6578,209948,70,- -,6390,- -,- -,- -,861371,742173,807262,1075188
34,Net Receivables,113896,- -,- -,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1146312,466626,747472,1338660
35,Inventory,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,22324,- -,- -,-30000,23000,- -,8825,- -,- -,161018,- -,- -,- -,- -,24128,- -,- -,- -,30200,186087,331153,31266
37,Total Current Assets,236215,- -,- -,25000,30000,- -,8850,- -,- -,164583,6578,209948,70,- -,30518,- -,- -,- -,2037883,1394886,1885887,2445114
38,PP&E,247314,- -,- -,- -,- -,- -,13711,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92685,78940,65828,321592
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,433034,- -,- -,120000,361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,433034,- -,- -,120000,361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11781,- -,- -,- -,20000,7825,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,5000,5000,- -,- -,- -,- -
45,Total Non-Current Assets,692129,- -,- -,120000,381000,7825,13711,- -,- -,- -,- -,- -,- -,- -,- -,5000,5000,5000,92685,78940,65828,321592
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,928344,- -,- -,145000,411000,7825,22561,- -,- -,164583,6578,209948,70,- -,30518,5000,5000,5000,2130568,1473826,1951715,2766706
48,Accounts Payable,484753,- -,- -,88000,3000,44251,55938,34040,49149,35373,35541,40540,50182,50129,46517,- -,- -,- -,123862,- -,123216,257994
49,Short-Term Debt,417293,- -,- -,295000,175000,584704,362000,54813,55000,86684,303391,- -,- -,- -,- -,- -,- -,- -,- -,- -,102499,108281
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,4000,2000,109363,169820,82450,59326
52,Other Current Liabilities,208190,- -,- -,389000,141000,169702,250412,- -,- -,196000,75000,209977,15045,15045,1660,33000,41000,57000,109724,270332,269452,168174
53,Total Current Liabilities,1110236,- -,- -,772000,319000,798657,668350,88853,104149,318057,413932,250517,65227,65174,48177,35000,45000,59000,342949,440152,577617,593775
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153816
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,201448,- -,- -,- -,- -,- -,- -,-1,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,201448,- -,- -,- -,- -,- -,- -,-1,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153816
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563965,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364714,262097
61,Total Liabilities,1311684,- -,- -,772000,319000,798657,668350,88852,104149,318056,413932,250517,65227,65174,48177,35000,45000,59000,342949,440152,1141582,747591
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100,100,100,100,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,194315,- -,- -,4000,15000,53615,67407,149873,107,323,323,2750,2750,2750,3179,4000,4000,4000,33871,33871,33871,34506
64,Retained Earnings,-4801099,- -,- -,-7331000,-7610000,-10365016,-11260333,-11439693,-11454989,-11509314,-11780155,-11867041,-11891629,-11891646,-11993914,-13893000,-13903000,-13965000,1753748,999803,1140976,1908244
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141787,- -,- -
66,Other Total Stockholders Equity,4223444,- -,- -,6700000,7687000,9520569,10547137,11200968,11350733,11355518,11372378,11823622,11823622,11823622,11973076,13859000,13859000,13907000,- -,141787,- -,76365
67,Total Stockholders Equity,-383340,- -,- -,-627000,92000,-790832,-645789,-88852,-104149,-153473,-407354,-40569,-65157,-65174,-17659,-30000,-40000,-54000,1787619,1033674,1174847,2019115
68,Total Liabilities And Stockholders Equity,928344,- -,- -,145000,411000,7825,22561,- -,- -,164583,6578,209948,70,- -,30518,5000,5000,5000,2130568,1473826,2316429,2766706
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-364714,- -
70,Total Liabilities & Equity,928344,- -,- -,145000,411000,7825,22561,- -,- -,164583,6578,209948,70,- -,30518,5000,5000,5000,2130568,1473826,1951715,2766706
71,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088638/000117347309000007/0001173473-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/1088638/000117347310000018/0001173473-10-000018-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088638/000107878212001031/0001078782-12-001031-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000009/0001556244-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000021/0001556244-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000009/0001556244-18-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088638/000143774920000642/0001437749-20-000642-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000143774921003526/0001437749-21-003526-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000143774922003274/0001437749-22-003274-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2912581,- -,- -,-205000,-279000,-2753958,-895317,-179360,-15296,-54325,-270840,-91102,-24588,-18,-102268,-1899000,-10000,-62000,914925,-753945,141173,767268
74,Depreciation and Amortization,227064,- -,- -,- -,- -,- -,979,1469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29062,29190,27053,21722
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433000,- -,48000,- -,- -,- -,77000
77,Change in Working Capital,-752352,- -,- -,127021,458000,-509657,139157,570647,-15296,-49325,-253880,366785,-24588,-17,47515,-17341,-10000,-14000,1753934,-740200,353536,-280925
78,Accounts Receivable,93503,- -,- -,- -,- -,- -,- -,- -,- -,209948,- -,- -,- -,- -,- -,- -,- -,- -,-241067,401566,-332822,-513711
79,Inventory,8056,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,15109,- -,60168,5900,9642,-52,30428,-15000,8000,-34000,-10156,6533,92820,34778
81,Other Working Capital,-874021,- -,- -,-747000,-289000,-798657,-659500,-88853,-104149,-153474,-407354,-40569,-65157,-65174,-17659,-35000,-45000,-59000,1694934,954734,1308270,-24402
82,Other Non-Cash Items,3496323,- -,- -,-127021,-517000,2604059,719897,-393781,30592,100882,510873,-282290,34230,-35,-75255,1415341,18000,-20000,-2026154,1354613,-743823,-780288
83,Cash Provided by Operating Activities,58454,- -,- -,-205000,-338000,-659556,-35284,-1025,- -,-2768,-13847,-6607,-14946,-70,-130008,-68000,-2000,-48000,671767,-110342,-222061,-195223
84,CAPEX,-146752,- -,- -,- -,- -,- -,-14691,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23935,-15445,-14600,-15389
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,6787,- -,- -,205000,-261000,-937337,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-139965,- -,- -,205000,-261000,-937337,-14691,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23935,-15445,-14600,-15389
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212290,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,625000,1245000,- -,155096,- -,5000,- -,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -
94,Other Financing Activites,63278,- -,- -,- -,-19000,345259,50000,-155096,- -,1333,16860,209977,-194932,- -,136398,2000,2000,48000,-20075,6589,301750,478538
95,Cash Used/Provided by Financing Activities,63278,- -,- -,- -,606000,1590259,50000,- -,- -,6333,16860,209977,-194932,- -,136398,62000,2000,48000,-332365,6589,301750,478538
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-18269,- -,- -,- -,606000,1590259,50000,- -,- -,6333,3013,203370,-209878,- -,136398,62000,2000,48000,315467,-119198,65089,267926
98,Cash at the End of Period,94959,- -,- -,- -,7000,- -,25,- -,- -,3565,6578,209948,70,- -,6390,- -,- -,- -,861371,742173,807262,1075188
99,Cash at the Beginning of Period,113228,- -,- -,- -,- -,6634,- -,1025,- -,- -,3565,6578,209948,70,- -,6000,- -,- -,545904,861371,742173,807262
100,Free Cash Flow,-88298,- -,- -,-205000,-338000,-659556,-49975,-1025,- -,-2768,-13847,-6607,-14946,-70,-130008,-68000,-2000,-48000,647832,-125787,-236661,-210612
101,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088638/000117347309000007/0001173473-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/1088638/000117347310000018/0001173473-10-000018-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088638/000107878212001031/0001078782-12-001031-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000009/0001556244-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000021/0001556244-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000155624418000009/0001556244-18-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088638/000143774920000642/0001437749-20-000642-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000143774921003526/0001437749-21-003526-index.htm,https://www.sec.gov/Archives/edgar/data/1088638/000143774922003274/0001437749-22-003274-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
