,https://roic.ai/company/TROX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530804/000119312513084882/0001193125-13-084882-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000119312514072945/d646601d10k.htm,https://www.sec.gov/Archives/edgar/data/1530804/000156761915000183/s000750x1_10k.htm,https://www.sec.gov/Archives/edgar/data/1530804/000114036116054747/0001140361-16-054747-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036117008936/0001140361-17-008936-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036118011324/0001140361-18-011324-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036119004061/0001140361-19-004061-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000153080420000011/0001530804-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000153080421000005/0001530804-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1530804/000153080422000003/0001530804-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,23800000,69000000,76600000,21000000,- -,143300000,141700000,154000000,716000000,1478000000,1279000000,229000000,248000000,1116000000,1034000000,302000000,619000000,228000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,23800000,69000000,76600000,21000000,- -,143300000,141700000,154000000,716000000,1478000000,1279000000,229000000,248000000,1116000000,1034000000,302000000,619000000,228000000
34,Net Receivables,- -,- -,- -,234900000,334000000,339500000,294800000,- -,216300000,246500000,277800000,391000000,308000000,277000000,391000000,421000000,344000000,319000000,488000000,544000000,637000000
35,Inventory,- -,- -,- -,285100000,312300000,319200000,350000000,- -,194800000,198400000,311200000,914000000,759000000,770000000,630000000,532000000,473000000,479000000,1131000000,1137000000,1048000000
36,Other Current Assets,- -,- -,- -,55700000,64100000,58800000,27300000,- -,143300000,149100000,26000000,152000000,108000000,55000000,51000000,52000000,706000000,712000000,152000000,229000000,136000000
37,Total Current Assets,- -,- -,- -,599500000,779400000,794100000,693100000,- -,697700000,735700000,769000000,2173000000,2653000000,2381000000,1301000000,1253000000,2639000000,2544000000,2073000000,2529000000,2049000000
38,PP&E,948900000,944900000,961600000,883000000,839700000,864600000,848900000,- -,313600000,315500000,554500000,2862000000,2474000000,2285000000,3447000000,3438000000,2000000000,1800000000,2715000000,2643000000,2542000000
39,Goodwill,- -,- -,- -,- -,- -,64100000,12700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,65100000,60400000,- -,- -,- -,- -,- -,313300000,326000000,300000000,272000000,244000000,223000000,198000000,176000000,208000000,201000000,217000000
41,Intangible Assets,- -,- -,- -,65100000,60400000,64100000,12700000,- -,- -,- -,313300000,326000000,300000000,272000000,244000000,223000000,198000000,176000000,208000000,201000000,217000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,16800000,14800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,4000000,9400000,9000000,91000000,192000000,9000000,- -,- -,- -,37000000,110000000,1020000000,985000000
44,Other Non-Current Assets,- -,- -,- -,48300000,78800000,100600000,168700000,- -,85700000,22500000,11600000,59000000,80000000,118000000,80000000,36000000,27000000,85000000,162000000,175000000,194000000
45,Total Non-Current Assets,- -,- -,- -,996400000,978900000,1029300000,1030300000,- -,420100000,362200000,888400000,3338000000,3046000000,2684000000,3771000000,3697000000,2225000000,2098000000,3195000000,4039000000,3938000000
46,Other Assets,1628100000,1733600000,1809100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1628100000,1733600000,1809100000,1595900000,1758300000,1823400000,1723400000,- -,1117800000,1097900000,1657400000,5511000000,5699000000,5065000000,5072000000,4950000000,4864000000,4642000000,5268000000,6568000000,5987000000
48,Accounts Payable,- -,- -,- -,196000000,195300000,208200000,234900000,- -,108000000,134700000,126900000,189000000,164000000,160000000,159000000,181000000,165000000,133000000,342000000,356000000,438000000
49,Short-Term Debt,- -,- -,- -,- -,2000000,14700000,9200000,- -,1700000,4300000,5900000,40000000,18000000,18000000,166000000,166000000,17000000,22000000,76000000,97000000,44000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,10900000,11600000,32800000,82000000,72000000,69000000,54000000,11000000,10000000,10000000,7000000,18000000,30000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,163300000,177700000,189000000,204100000,- -,99300000,113300000,148100000,238000000,181000000,188000000,223000000,175000000,166000000,145000000,284000000,352000000,340000000
53,Total Current Liabilities,- -,- -,- -,359300000,375000000,411900000,448200000,- -,209000000,252300000,280900000,467000000,363000000,366000000,548000000,522000000,348000000,300000000,702000000,805000000,822000000
54,Long-Term Debt,- -,- -,- -,- -,548000000,534100000,475600000,- -,423300000,420700000,421400000,1605000000,2395000000,2375000000,2955000000,2888000000,3130000000,3139000000,2988000000,3304000000,2613000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,101200000,79000000,33600000,57200000,- -,- -,- -,19100000,222000000,204000000,204000000,143000000,152000000,171000000,163000000,184000000,176000000,157000000
57,Other Non-Current Liabilities,- -,- -,- -,245500000,267300000,406500000,312800000,- -,1098700000,1054900000,183700000,335000000,300000000,332000000,316000000,227000000,200000000,178000000,478000000,412000000,353000000
58,Total Non-Current Liabilities,- -,- -,- -,346700000,894300000,974200000,845600000,- -,1522000000,1475600000,624200000,2162000000,2899000000,2911000000,3414000000,3267000000,3501000000,3480000000,3650000000,3892000000,3123000000
59,Other Liabilities,556700000,671200000,797900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,80000000,81000000
61,Total Liabilities,556700000,671200000,797900000,706000000,1269300000,1386100000,1293800000,- -,1731000000,1727900000,905100000,2629000000,3262000000,3277000000,3962000000,3789000000,3849000000,3780000000,4352000000,4697000000,3945000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,400000,400000,400000,- -,400000,400000,100000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000
64,Retained Earnings,- -,- -,- -,- -,-2900000,-12800000,-136800000,- -,-1134000000,-1128200000,241500000,1314000000,1073000000,529000000,93000000,-13000000,-327000000,-357000000,-493000000,434000000,663000000
65,Other Comprehensive Income/Loss,- -,- -,- -,889900000,30000000,-31900000,78200000,- -,31900000,8800000,-57000000,-95000000,-284000000,-396000000,-596000000,-495000000,-403000000,-540000000,-606000000,-610000000,-738000000
66,Other Total Stockholders Equity,1071400000,1062400000,1011200000,2079300000,461500000,481600000,487800000,- -,488500000,489000000,567700000,1429000000,1448000000,1476000000,1500000000,1524000000,1558000000,1579000000,1846000000,1873000000,- -
67,Total Stockholders Equity,1071400000,1062400000,1011200000,889900000,489000000,437300000,429600000,- -,-613200000,-630000000,752300000,2649000000,2238000000,1610000000,998000000,1017000000,829000000,683000000,748000000,1698000000,1994000000
68,Total Liabilities And Stockholders Equity,1628100000,1733600000,1809100000,1595900000,1758300000,1823400000,1723400000,- -,1117800000,1097900000,1657400000,5278000000,5500000000,4887000000,4960000000,4806000000,4678000000,4463000000,5100000000,6395000000,5939000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000000,199000000,178000000,112000000,144000000,186000000,179000000,168000000,173000000,48000000
70,Total Liabilities & Equity,1628100000,1733600000,1809100000,1595900000,1758300000,1823400000,1723400000,- -,1117800000,1097900000,1657400000,5511000000,5699000000,5065000000,5072000000,4950000000,4864000000,4642000000,5268000000,6568000000,5987000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530804/000119312513084882/0001193125-13-084882-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000119312514072945/d646601d10k.htm,https://www.sec.gov/Archives/edgar/data/1530804/000156761915000183/s000750x1_10k.htm,https://www.sec.gov/Archives/edgar/data/1530804/000114036116054747/0001140361-16-054747-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036117008936/0001140361-17-008936-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036118011324/0001140361-18-011324-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036119004061/0001140361-19-004061-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000153080420000011/0001530804-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000153080421000005/0001530804-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1530804/000153080422000003/0001530804-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-107400000,- -,-92700000,-127600000,18800000,-200000,-106400000,-334900000,-38500000,5800000,- -,1134000000,-126000000,-427000000,-318000000,-59000000,-285000000,-7000000,-109000000,969000000,286000000
74,Depreciation and Amortization,119900000,- -,- -,104600000,103100000,103000000,112300000,75700000,- -,50100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,- -
75,Deferred Income Tax,- -,- -,- -,-38200000,-31900000,-5500000,24800000,-9100000,-1900000,-5100000,- -,-162000000,33000000,237000000,- -,-9000000,2000000,-21000000,-9000000,-899000000,15000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,500000,200000,500000,- -,31000000,17000000,22000000,22000000,25000000,31000000,21000000,32000000,30000000,31000000
77,Change in Working Capital,- -,- -,- -,240200000,164200000,-22200000,-137300000,243800000,-5300000,4700000,- -,1217900000,584000000,-275000000,-1262000000,-22000000,1560000000,-47000000,-873000000,353000000,-18000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,57700000,-22500000,-11900000,- -,83000000,58000000,23000000,20000000,-27000000,-50000000,-11000000,78000000,-49000000,-108000000
79,Inventory,- -,- -,- -,59900000,-42700000,-1500000,-20700000,29700000,55400000,-6600000,- -,-222000000,75000000,-101000000,157000000,111000000,60000000,-47000000,-59000000,-21000000,53000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000000,-11000000,22000000,-12000000,8000000,1000000,-51000000,67000000,- -,53000000
81,Other Working Capital,- -,- -,- -,240200000,404400000,382200000,244900000,488700000,483400000,488100000,- -,1706000000,2290000000,2015000000,753000000,731000000,2291000000,2244000000,1371000000,1724000000,-69000000
82,Other Non-Cash Items,-12500000,- -,92700000,11800000,-192700000,36500000,201900000,-8800000,-9000000,20900000,- -,-2102900000,-171000000,584000000,1774000000,276000000,-1035000000,224000000,1400000000,-402000000,426000000
83,Cash Provided by Operating Activities,- -,- -,- -,190800000,61500000,111600000,95300000,-32800000,-54500000,76900000,- -,118000000,337000000,141000000,216000000,211000000,273000000,170000000,441000000,355000000,740000000
84,CAPEX,-153300000,- -,-99400000,-92500000,-87600000,-79500000,-70900000,-34300000,-24000000,-45000000,- -,-166000000,-172000000,-187000000,-191000000,-119000000,-91000000,-117000000,-198000000,-195000000,-272000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,- -,- -,-1650000000,- -,1325000000,6000000,-974000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1100000,170900000,4500000,1700000,-8400000,-22800000,-45000000,- -,-166000000,-171000000,-187000000,-190000000,-117000000,-742000000,-180000000,-211000000,-229000000,-269000000
89,Cash Used for Investing Activites,- -,- -,- -,-91400000,83300000,-75000000,-69200000,-8400000,-22800000,-45000000,- -,-52000000,-171000000,-187000000,-1840000000,-117000000,583000000,-174000000,-1185000000,-229000000,-269000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-31800000,-272800000,-425000000,- -,-585000000,-189000000,-20000000,-18000000,-31000000,-2492000000,-606000000,-387000000,-246000000,-3212000000
91,Common Stock Issued,- -,- -,- -,- -,226000000,- -,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-341000000,- -,- -,- -,- -,-12000000,- -,-288000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-761800000,-6200000,-8300000,-4200000,- -,- -,- -,-61000000,-115000000,-116000000,-117000000,-46000000,-23000000,-23000000,-27000000,-40000000,-65000000
94,Other Financing Activites,- -,- -,- -,-131100000,432500000,-13400000,-65200000,104800000,444400000,392800000,- -,1477000000,918000000,4000000,738000000,- -,2551000000,583000000,64000000,500000000,2400000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-131100000,-103300000,-19600000,-71900000,68800000,171600000,-32200000,- -,490000000,614000000,-132000000,603000000,-77000000,24000000,-46000000,-638000000,214000000,-877000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-3800000,3700000,-9400000,-9800000,1200000,-800000,-1300000,- -,6000000,-18000000,-21000000,-26000000,2000000,13000000,-23000000,-2000000,-3000000,-10000000
97,Net Change In Cash,- -,- -,- -,-35500000,45200000,7600000,-55600000,28800000,93500000,-1600000,- -,562000000,762000000,-199000000,-1047000000,19000000,868000000,-73000000,-1385000000,337000000,-416000000
98,Cash at the End of Period,- -,- -,- -,23800000,69000000,76600000,21000000,49800000,143300000,141700000,- -,716000000,1478000000,1279000000,229000000,248000000,1116000000,1696000000,311000000,648000000,232000000
99,Cash at the Beginning of Period,- -,- -,- -,59300000,23800000,69000000,76600000,21000000,49800000,143300000,- -,154000000,716000000,1478000000,1276000000,229000000,248000000,1769000000,1696000000,311000000,648000000
100,Free Cash Flow,- -,- -,- -,98300000,-26100000,32100000,24400000,-67100000,-78500000,31900000,- -,-48000000,165000000,-46000000,25000000,92000000,182000000,53000000,243000000,160000000,468000000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1530804/000119312513084882/0001193125-13-084882-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000119312514072945/d646601d10k.htm,https://www.sec.gov/Archives/edgar/data/1530804/000156761915000183/s000750x1_10k.htm,https://www.sec.gov/Archives/edgar/data/1530804/000114036116054747/0001140361-16-054747-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036117008936/0001140361-17-008936-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036118011324/0001140361-18-011324-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000114036119004061/0001140361-19-004061-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000153080420000011/0001530804-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1530804/000153080421000005/0001530804-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1530804/000153080422000003/0001530804-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
