,https://roic.ai/company/DTRC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,-2788,- -,- -,- -,- -,-41336,-231,-8000,-16538,- -,- -,- -,-4689266
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-50000,- -,- -,- -,- -,-25000,- -,- -,- -,- -,-12500,12500,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-50000,- -,- -,-2788,- -,-25000,- -,- -,-41336,-231,-20500,-4038,- -,- -,- -,-4689266
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-28147,- -,-1426,- -,-3119,- -,- -,-4692,-21855,- -,-5083,-363728
91,Common Stock Issued,- -,- -,- -,- -,2500000,- -,- -,- -,- -,- -,250000,790000,- -,15000,105000,100000,305000,100000,19635000
92,Common Stock Repurchased,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4357246
94,Other Financing Activites,- -,- -,22500,204577,206631,-65738,263147,-135000,104871,165000,-2166,- -,-3210,116026,60000,1527,25064,350000,2461000
95,Cash Used/Provided by Financing Activities,10000,10000,22500,204577,2706631,-65738,263147,-163147,104871,163574,247834,786881,-3210,131026,160308,79672,330064,444917,17375026
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-16838,16325,-24715,- -,- -,-575,-876,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-20000,10000,-11973,34080,136306,223554,-392140,71746,-29732,-42714,- -,388208,-453974,13196,53638,-49208,132609,-6165,10246515
98,Cash at the End of Period,132590,10000,492,34572,170878,394432,2292,73721,43989,1275,68121,456329,2355,15551,69189,19981,152590,146425,10392940
99,Cash at the Beginning of Period,152590,- -,12465,492,34572,170878,394432,1975,73721,43989,- -,68121,456329,2355,15551,69189,19981,152590,146425
100,Free Cash Flow,-30000,- -,-34473,-120497,-2553487,272967,-1090587,-215636,-109603,-205713,-178837,-398673,-450764,-105330,-119170,-128880,-197455,-451082,-7128511
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1182737/000106299308003192/0001062993-08-003192-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1182737/000107878213001282/0001078782-13-001282-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878214001177/0001078782-14-001177-index.html,- -,https://www.sec.gov/Archives/edgar/data/1182737/000107878216003042/0001078782-16-003042-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878217000940/0001078782-17-000940-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878218000665/0001078782-18-000665-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878219000546/0001078782-19-000546-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878220000497/0001078782-20-000497-index.htm,https://www.sec.gov/Archives/edgar/data/1182737/000107878221000608/0001078782-21-000608-index.htm
102,false,,,,,,,,,,,,,,,,,,,
