,https://roic.ai/company/CLPS,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,195080,173560,447790,2118700,2444950
40,Intangible Assets,- -,305464,260059,427769,24085365,1050499
41,Intangible Assets,- -,500544,433619,875559,- -,3495449
42,Investments,45141,- -,293714,914006,680131,1014784
43,Tax Assets,74479,298953,512097,338221,- -,607773
44,Other Non-Current Assets,114248,123783,319372,222507,3710913,896145
45,Total Non-Current Assets,560688,1196627,1892699,2916884,4843516,6614942
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,10471529,13521923,30944911,32662984,45352358,82728442
48,Accounts Payable,58593,239165,1454770,196832,489043,559450
49,Short-Term Debt,- -,- -,2553989,2184996,2161239,7536839
50,Tax Payable,428615,640864,605205,552480,987855,1149203
51,Deferred Revenue,49612,208371,325916,124192,1175236,326912
52,Other Current Liabilities,6155740,7763089,8454880,8760366,12528824,14610486
53,Total Current Liabilities,6263945,8210625,12789555,11266386,16354342,23033687
54,Long-Term Debt,- -,- -,- -,- -,22554,9644
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,155033
57,Other Non-Current Liabilities,60,- -,- -,- -,- -,1799383
58,Total Non-Current Liabilities,60,- -,- -,- -,22554,1964060
59,Other Liabilities,- -,- -,- -,- -,403210,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,6264005,8210625,12789555,11266386,16734998,24997747
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1129,1129,1359,1391,1593,2029
64,Retained Earnings,-2984943,-2521285,-524618,-4509729,123668,2726165
65,Other Comprehensive Income/Loss,66361,233401,716790,1020152,1441146,5444158
66,Other Total Stockholders Equity,7120943,7120943,17285543,24276622,25782237,48516695
67,Total Stockholders Equity,4203490,4834188,17479074,20788436,27348644,56689047
68,Total Liabilities And Stockholders Equity,10467495,13044813,30268629,32054822,44083642,81686794
69,Minority Interest,4034,477110,676282,608162,1268716,1041648
70,Total Liabilities & Equity,10471529,13521923,30944911,32662984,45352358,82728442
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724542/000121390018012977/0001213900-18-012977-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,1826112,2047445,2434460,-3269780,2938239,6816572
74,Depreciation and Amortization,54105,143626,206169,403700,593173,677241
75,Deferred Income Tax,-96713,-221114,-208051,100109,172740,-413609
76,Stock Based Compensation,- -,- -,- -,7016089,4004080,5128696
77,Change in Working Capital,2714682,-1605988,-7593171,-3732421,-1509160,-15306169
78,Accounts Receivable,1053207,-2410155,-9753685,-3055040,-6603589,-16712597
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,27152,52574,592477,-842910,146362,363697
81,Other Working Capital,51194,159045,114022,-96379,154967,1225816
82,Other Non-Cash Items,-35918,260375,387983,-116590,-267948,487496
83,Cash Provided by Operating Activities,4462268,624344,-4772610,401107,5931124,-2609773
84,CAPEX,-327768,-62518,-231226,-499554,-231556,-1078910
85,Acquisitions Net,- -,-82761,-107654,-466304,-1556910,-496315
86,Purchases of Investments,-46580,- -,-153792,-2896502,-143299,-3706557
87,Sales/Maturities of Investments,- -,44061,- -,- -,2104994,- -
88,Other Investing Activites,- -,- -,- -,- -,-63855,-344210
89,Cash Used for Investing Activites,-374348,-101218,-492672,-3862360,173229,-5619471
90,Debt Repayment,- -,- -,-3060456,-3918427,-3896240,-8270611
91,Common Stock Issued,- -,- -,11022111,1472592,- -,14682877
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5279093,-736436,-612988,- -,- -,- -
94,Other Financing Activites,4900256,-96316,2754573,2912617,4021602,12928322
95,Cash Used/Provided by Financing Activities,-378837,-832752,10103240,466782,125362,19340588
96,Effect of Forex Changes on Cash,-227771,-153002,90360,-147080,-178930,975918
97,Net Change In Cash,3481312,-462628,4928318,-3141551,6050785,12087262
98,Cash at the End of Period,5277196,4814568,9742886,6601335,12652120,24739382
99,Cash at the Beginning of Period,1795884,5277196,4814568,9742886,6601335,12652120
100,Free Cash Flow,4134500,561826,-5003836,-98447,5699568,-3688683
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724542/000121390018012977/0001213900-18-012977-index.html,- -,- -,- -
102,false,,,,,,
