,https://roic.ai/company/SU,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,658886064,656961221,642838231,708935335,790019089,939016034,1250893495,1271052632,1401909722,1643671266,1736708055,2280453258,3077418524,3513318934,4357483428,6086905871,5030000000,5926000000,9370000000,11998000000,12492000000,9848000000,10495000000,10827000000,10002000000,10443000000,10441000000,11850000000,12972000000,11556000000,12848000000
11,COGS and Expenses,1377859949,1425937699,1327773365,1366951887,1553995091,1655063725,1809864188,1755108360,2060185185,2702459508,3150270615,3578847970,4584567822,6435085193,8541690894,11952469711,14724000000,25992000000,25760000000,32100000000,31951000000,33399000000,32680000000,34393000000,29092000000,26437000000,27163000000,31721000000,36106000000,30194000000,32489000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241000000,28000000,444000000,389000000,141000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,917000000,437000000,390000000,102000000,238000000,566000000,561000000,672000000,743000000,526000000,1119000000,1259000000,1314000000,1265000000
14,Depreciation and Amortization,180956783,189955499,173947577,178987235,189937278,204056462,234024303,263931889,318287037,364427115,359758039,585457979,601571557,717542597,719851145,695479963,- -,- -,2306000000,3813000000,3952000000,6450000000,4892000000,6140000000,7500000000,6117000000,5601000000,5738000000,10572000000,9526000000,5850000000
15,EBITDA,309914491,-138970121,288985967,364988076,435914917,524188023,573981415,560835914,652488426,983803240,872333652,1729619138,2406286229,2354211663,2707291545,4501397950,3345000000,4049000000,4032000000,9333000000,11123000000,11729000000,11834000000,11291000000,6145000000,6935000000,12043000000,11840000000,14364000000,4743000000,12685000000
16,EBITDA ratio,0.1982,-0.0905,0.1901,0.2232,0.2297,0.2496,0.2672,0.2712,0.2738,0.2907,0.2183,0.3527,0.3816,0.2731,0.2442,0.2844,0.1868,0.1347,0.1537,0.2572,0.2795,0.3070,0.2989,0.2833,0.2104,0.2587,0.3757,0.3072,0.3746,0.1923,0.3242
17,Operating Income,186156691,110108073,192216045,268060036,344014181,444840345,338098643,312848296,322627315,682363527,845272206,1325149512,1720984155,2186225102,2544481917,3876980429,3179000000,4069000000,475000000,4187000000,7839000000,4809000000,6913000000,5469000000,116000000,370000000,4888000000,6821000000,2238000000,-5532000000,6643000000
18,Operating Income ratio,0.1190,0.0717,0.1265,0.1639,0.1813,0.2118,0.1574,0.1513,0.1354,0.2016,0.2116,0.2702,0.2729,0.2536,0.2295,0.2449,0.1776,0.1354,0.0181,0.1154,0.1970,0.1259,0.1746,0.1372,0.0040,0.0138,0.1525,0.1770,0.0584,-0.2243,0.1698
19,Total Other Income Expenses (Gains),-57198983,-439033693,-77177655,-82059195,-98036542,-124708784,1858469,-15944271,11574074,-62987402,-332696593,-180988354,82442355,-550755940,-557041517,-71062442,166000000,-937000000,814000000,60000000,-770000000,232000000,-537000000,-879000000,-2143000000,-284000000,1028000000,-1838000000,295000000,-565000000,-1073000000
20,Income Before Tax,128957708,-328925620,115038390,186000841,245977639,320131561,339957112,296904025,334201389,619376125,512575613,1144161158,1803426510,1635469162,1987440400,3805917987,3345000000,3132000000,1289000000,4247000000,7069000000,5041000000,6376000000,4590000000,-2027000000,86000000,5916000000,4983000000,2533000000,-6097000000,5570000000
21,Income Before Tax Ratio,0.0825,-0.2141,0.0757,0.1138,0.1296,0.1525,0.1583,0.1436,0.1403,0.1830,0.1283,0.2333,0.2860,0.1897,0.1793,0.2404,0.1868,0.1042,0.0491,0.1170,0.1777,0.1319,0.1610,0.1151,-0.0694,0.0032,0.1846,0.1293,0.0661,-0.2472,0.1423
22,Income Tax expense (Gain),51999076,-100953592,39978819,64945995,95036815,133068384,116940672,108978328,134548611,242951410,124164279,382436261,720082442,536357091,741946738,835274930,513000000,995000000,143000000,1559000000,2765000000,2258000000,2465000000,1891000000,-32000000,-359000000,1458000000,1690000000,-366000000,-1778000000,1451000000
23,Net Income,76958632,-227972028,75059571,121054846,150940824,187063177,223016440,187925697,199652778,376424715,388411334,761724898,1084632230,1100311975,1245493662,2970643057,2832000000,2137000000,1146000000,3571000000,4304000000,2783000000,3911000000,2699000000,-1995000000,434000000,4458000000,3293000000,2899000000,-4319000000,4119000000
24,Net Income ratio,0.0492,-0.1484,0.0494,0.0740,0.0795,0.0891,0.1038,0.0909,0.0838,0.1112,0.0972,0.1553,0.1720,0.1276,0.1123,0.1877,0.1582,0.0711,0.0437,0.0984,0.1082,0.0728,0.0988,0.0677,-0.0683,0.0162,0.1391,0.0854,0.0756,-0.1751,0.1053
25,EPS,0.09,-0.26,0.09,0.14,0.17,0.22,0.26,0.21,0.20,0.40,-0.26,0.82,1.22,1.20,1.36,3.23,3.07,2.29,0.96,2.29,2.74,1.80,2.61,1.84,-1.38,0.27,2.68,2.03,1.86,-2.83,2.70
26,EPS Diluted,0.09,-0.26,0.09,0.14,0.17,0.22,0.26,0.21,0.20,0.39,-0.26,0.81,1.13,1.18,1.33,3.16,3.01,2.26,0.95,2.27,2.67,1.79,2.60,1.84,-1.38,0.27,2.68,2.02,1.86,-2.83,2.70
27,Weighted Average Shares Outstanding,859105068,860304268,872177214,863074619,868024751,866514624,865814271,889841834,884230504,888429909,888000000,896000000,900000000,911927046,912449569,918282243,922475570,932000000,1193750000,1562000000,1571000000,1545000000,1501000000,1462000000,1446000000,1610000000,1661000000,1623000000,1559000000,1526000000,1526000000
28,Weighted Average Shares Outstanding Diluted,859105068,860304268,872177214,863074619,868024751,866514624,865814271,889841834,889756945,894088698,956000000,946000000,960000000,927383436,932954054,940076917,940863787,945000000,1206315789,1574000000,1582000000,1549000000,1502000000,1465000000,1447000000,1612000000,1665000000,1629000000,1561000000,1526000000,1526000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/311337/999999999702020156/9999999997-02-020156-index.html,- -,https://www.sec.gov/Archives/edgar/data/311337/000104746904011799/a2132989zex-1.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/311337/000104746908002205/a2183122z40-f.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746909002147/0001047469-09-002147-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746910001825/0001047469-10-001825-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746911001722/a2202290zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746912001967/0001047469-12-001967-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746913002093/0001047469-13-002093-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746914001603/a2218559zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746915001316/a2223197zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746916010455/0001047469-16-010455-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746917001150/0001047469-17-001150-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746918001219/0001047469-18-001219-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746919000800/0001047469-19-000800-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746920001091/0001047469-20-001091-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1964410,- -,- -,36049937,2045269,959298,13009292,26000000,5000000,21000000,1000000,15738118,387736700,87592993,165135481,520736253,569000000,660000000,505000000,1077000000,3803000000,4393000000,5202000000,5495000000,4049000000,3016000000,2672000000,2221000000,1960000000,1885000000,2205000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1964410,- -,- -,36049937,2045269,959298,13009292,26000000,5000000,21000000,1000000,15738118,387736700,87592993,165135481,520736253,569000000,660000000,505000000,1077000000,3803000000,4393000000,5202000000,5495000000,4049000000,3016000000,2672000000,2221000000,1960000000,1885000000,2205000000
34,Net Receivables,214005084,228989193,200953137,217000982,245977638,292037824,267047891,200000000,291000000,407000000,334000000,402895814,504959423,627549796,1138504477,1049627213,1511000000,1647000000,4523000000,6197000000,6116000000,6043000000,5548000000,4955000000,3289000000,3558000000,3437000000,3320000000,4185000000,3884000000,4662000000
35,Inventory,162006009,144055944,153958168,163978118,162939733,147046732,158970693,175000000,161000000,192000000,258000000,265974189,370990596,423566115,523316665,589468779,608000000,909000000,2971000000,3141000000,4205000000,3743000000,3944000000,3466000000,3090000000,3240000000,3468000000,3159000000,3761000000,3617000000,4110000000
36,Other Current Assets,- -,- -,132380,-1,- -,-137043,1,- -,- -,45000000,29000000,37771482,28339560,56395488,89545296,142124885,130000000,21000000,332000000,98000000,- -,- -,- -,- -,- -,1205000000,- -,- -,- -,- -,- -
37,Total Current Assets,377975503,373045137,355043685,417029036,410962640,439906811,439027877,401000000,457000000,665000000,622000000,722379603,1292026279,1195104392,1916501919,2301957130,2818000000,3237000000,8331000000,10513000000,14124000000,14179000000,14694000000,13916000000,10428000000,11019000000,9577000000,8700000000,9906000000,9386000000,10977000000
38,PP&E,1597989369,1342021615,1411967170,1559966335,1855058631,2208989996,2817012152,3504000000,4528000000,5883000000,7141000000,7640856154,8724719825,10289176866,12965461100,16189422181,20945000000,28316000000,57485000000,55290000000,57143000000,58742000000,60042000000,62048000000,62832000000,73297000000,75545000000,76564000000,75068000000,70416000000,67772000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3201000000,3201000000,2926000000,2924000000,2900000000,2900000000,2900000000,2900000000,- -,2892000000,2892000000,2892000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000000,- -,213000000,204000000,192000000,183000000,179000000,175000000,- -,169000000,166000000,436000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3434000000,3201000000,3139000000,3128000000,3092000000,3083000000,3079000000,3075000000,3061000000,3061000000,3058000000,3328000000,3523000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,- -,228000000,247000000,325000000,447000000,211000000,191000000,224000000,237000000,289000000,323000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,756000000,839000000,1080000000,1180000000,135347812,123663532,- -,- -,- -,- -,- -,193000000,56000000,60000000,80000000,65000000,26000000,35000000,63000000,100000000,128000000,209000000,209000000,160000000
44,Other Non-Current Assets,262075341,231913540,256023299,224014588,173984183,175140469,201000714,-557000000,-648000000,-795000000,-849000000,184135977,285971918,319174466,468659147,290074557,404000000,975000000,155000000,1109000000,83000000,73000000,97000000,151000000,942000000,1057000000,987000000,889000000,905000000,954000000,1307000000
45,Total Non-Current Assets,1860064710,1573935155,1667990469,1783980923,2029042814,2384130465,3018012866,3703000000,4719000000,6168000000,7472000000,7960339943,9134355275,10608351332,13434120247,16479496738,21349000000,29291000000,61415000000,59656000000,60653000000,62270000000,63621000000,65755000000,67099000000,77683000000,79917000000,80879000000,79529000000,75230000000,72762000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2238040213,1946980292,2023034154,2201009959,2440005454,2824037276,3457040743,4104000000,5176000000,6833000000,8094000000,8682719546,10426381554,11803455724,15350622166,18781453868,24167000000,32528000000,69746000000,70169000000,74777000000,76449000000,78315000000,79671000000,77527000000,88702000000,89494000000,89579000000,89435000000,84616000000,83739000000
48,Accounts Payable,211000693,240050858,240005295,152054987,198936460,222968343,178984989,125000000,277000000,424000000,351000000,716084356,972562154,1305495560,1830445401,2110904007,2775000000,3229000000,6529000000,6942000000,7755000000,6469000000,7090000000,5704000000,5306000000,5588000000,6203000000,5647000000,6555000000,4684000000,6503000000
49,Short-Term Debt,18950774,25937699,30050304,36049937,41041723,30012334,42030021,17027864,33275463,64487103,30245145,- -,30915883,29997600,48842889,6989748,6000000,11000000,27000000,520000000,775000000,1087000000,1255000000,840000000,817000000,1327000000,2207000000,3460000000,2465000000,5251000000,1825000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,178000000,1274000000,966000000,969000000,1170000000,1263000000,1058000000,244000000,224000000,425000000,535000000,886000000,87000000,1292000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,67945459,76033058,69896744,231869827,241068995,255036316,291922803,227972136,399724537,348512897,391754855,80264401,72137060,73194145,55820444,39608575,316000000,289000000,1292000000,1064000000,1780000000,2026000000,2261000000,1810000000,1013000000,1202000000,1147000000,1202000000,1517000000,614000000,2071000000
53,Total Current Liabilities,297896926,342021615,339952343,419974751,481047178,508016993,512937813,370000000,710000000,837000000,773000000,796348757,1075615097,1408687305,1935108734,2157502330,3097000000,3529000000,7848000000,8526000000,10310000000,9582000000,10606000000,8354000000,7136000000,8117000000,9557000000,10309000000,10537000000,10549000000,10399000000
54,Long-Term Debt,134042061,171010807,191024623,190068733,253067903,394956832,766976412,1298000000,1306000000,2192000000,3113000000,2686496695,2447507407,2217422606,3007326433,2384669152,3811000000,7875000000,13855000000,11669000000,10004000000,9938000000,10203000000,12489000000,14486000000,16103000000,13372000000,13890000000,15505000000,16448000000,16529000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,- -,- -,77000000,72000000,66000000,60000000,55000000,49000000,46000000,40000000,35000000,- -
56,Deferred Tax Liabilities,391033048,285950413,314005825,343947258,380965367,491023708,610007148,- -,- -,- -,- -,1515580737,2183434239,2531797456,3273636469,4071528425,4212000000,4615000000,8870000000,8615000000,9719000000,10463000000,10784000000,10543000000,9954000000,11243000000,11533000000,12045000000,10176000000,8967000000,9241000000
57,Other Non-Current Liabilities,189045529,211951685,208101667,211951185,197982001,183088941,166118656,917000000,1018000000,1332000000,1431000000,226628895,293700889,748740101,1004767997,1216216216,1434000000,1986000000,4968000000,4638000000,6144000000,7166000000,5470000000,6616000000,6852000000,8554000000,9600000000,9284000000,11135000000,12860000000,10956000000
58,Total Non-Current Liabilities,714120638,668912905,713132115,745967176,832015271,1069069481,1543102216,2215000000,2324000000,3524000000,4544000000,4428706327,4924642535,5497960163,7285730899,7672413793,9457000000,14476000000,27787000000,24922000000,25867000000,27644000000,26529000000,29714000000,31352000000,35955000000,34554000000,35265000000,36856000000,38310000000,36726000000
59,Other Liabilities,- -,- -,1426264231,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894000000,- -,1033000000,1211000000,1134000000,- -,1222000000,2931000000,2908000000,2850000000
61,Total Liabilities,1012017564,1010934520,1053084459,1165941927,1313062449,1577086474,2056040029,2585000000,3034000000,4361000000,5317000000,5225055083,6000257632,6906647468,9220839633,9829916123,12554000000,18005000000,35635000000,33448000000,36177000000,37226000000,37135000000,38068000000,38488000000,44072000000,44111000000,45574000000,47393000000,48859000000,47125000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522505508,476619863,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,518000000,524000000,537000000,555000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19945000000,19395000000,19311000000,19466000000,26942000000,26606000000,25910000000,25167000000,- -,- -
64,Retained Earnings,721053848,435982200,469949696,533034086,622034361,738933808,888062902,1001000000,1104000000,1421000000,1708000000,2357570035,3363390442,4269258459,5428538202,8129077353,10791000000,13025000000,13765000000,16712000000,17945000000,18909000000,21072000000,21179000000,17675000000,16093000000,17401000000,16479000000,15410000000,- -,- -
65,Other Comprehensive Income/Loss,-6471227178,-1344055944,-1357956050,-1419974751,-1434960458,-1501027820,-1653037884,-1820000000,- -,-1819000000,-2031000000,-2312000000,-19322427,-22798176,-31399000,-71062442,-253000000,194000000,-233000000,-684000000,-193000000,-210000000,115000000,504000000,1265000000,1007000000,809000000,1076000000,899000000,- -,- -
66,Other Total Stockholders Equity,6976195978,1844119516,1857956050,1922008697,1939869102,2009044814,2165975697,1820000000,514000000,2333000000,2545000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,598000000,609000000,633000000,588000000,567000000,540000000,566000000,- -,- -
67,Total Stockholders Equity,1226022648,936045772,969949696,1035068032,1126943005,1246950802,1401000715,1519000000,2142000000,2472000000,2777000000,3457664463,4426123921,4896808255,6129782533,8951537745,11613000000,14523000000,34111000000,36721000000,38600000000,39223000000,41180000000,41603000000,39039000000,44630000000,45383000000,44005000000,42042000000,35757000000,36614000000
68,Total Liabilities And Stockholders Equity,2238040212,1946980292,2023034155,2201009959,2440005454,2824037276,3457040744,4104000000,5176000000,6833000000,8094000000,8682719546,10426381553,11803455723,15350622166,18781453868,24167000000,32528000000,69746000000,70169000000,74777000000,76449000000,78315000000,79671000000,77527000000,88702000000,89494000000,89579000000,89435000000,84616000000,83739000000
69,Minority Interest,1,- -,-1,- -,- -,- -,-1,- -,- -,- -,- -,- -,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2238040213,1946980292,2023034154,2201009959,2440005454,2824037276,3457040743,4104000000,5176000000,6833000000,8094000000,8682719546,10426381554,11803455724,15350622166,18781453868,24167000000,32528000000,69746000000,70169000000,74777000000,76449000000,78315000000,79671000000,77527000000,88702000000,89494000000,89579000000,89435000000,84616000000,83739000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/311337/999999999702020156/9999999997-02-020156-index.html,- -,https://www.sec.gov/Archives/edgar/data/311337/000104746904011799/a2132989zex-1.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/311337/000104746908002205/a2183122z40-f.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746909002147/0001047469-09-002147-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746910001825/0001047469-10-001825-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746911001722/a2202290zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746912001967/0001047469-12-001967-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746913002093/0001047469-13-002093-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746914001603/a2218559zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746915001316/a2223197zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746916010455/0001047469-16-010455-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746917001150/0001047469-17-001150-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746918001219/0001047469-18-001219-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746919000800/0001047469-19-000800-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746920001091/0001047469-20-001091-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,76958632,-227972028,75059571,121054846,150940824,187063177,223016440,187925697,199652778,376424715,388411334,761724898,1084632230,1100311975,1245493662,2970643057,2832000000,2137000000,1146000000,3571000000,4304000000,2783000000,3911000000,2699000000,-1995000000,434000000,4458000000,3293000000,2899000000,-4319000000,4119000000
74,Depreciation and Amortization,180956783,189955499,173947577,178987235,189937278,204056462,234024303,263931889,318287037,364427115,359758039,585457979,601571557,717542597,719851145,695479963,- -,- -,2306000000,3813000000,3952000000,6450000000,4892000000,6140000000,7500000000,6117000000,5601000000,5738000000,10572000000,9526000000,5850000000
75,Deferred Income Tax,47030275,-106039415,- -,- -,- -,- -,111937098,128018576,- -,- -,120980579,308467107,699471854,- -,- -,815470643,- -,- -,-725000000,555000000,1644000000,743000000,382000000,-224000000,-924000000,-512000000,249000000,440000000,-1918000000,-1119000000,56000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000000,114000000,-102000000,214000000,214000000,106000000,18000000,142000000,31000000,-117000000,44000000,-238000000,205000000
77,Change in Working Capital,44950312,39033694,- -,48113340,16907554,8085515,6004289,-66873065,247395833,-50989802,-19102197,15738118,136545150,179985601,-54657518,30288910,88000000,-1000000,-224000000,-1230000000,242000000,-899000000,688000000,-122000000,78000000,-308000000,-173000000,408000000,-397000000,-1201000000,1507000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365000000,-134000000,123000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-9959321,954459,16033987,-12008578,-15944272,14467593,-31493701,-65265839,-7869059,-19322427,-51595872,-62798000,-66402610,-19000000,103000000,-585000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,1,- -,-1,1,- -,-1,-1,- -,- -,5152647,- -,- -,- -,246000000,-110000000,-44000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-1848856,315066751,-12046597,30859869,41178075,74825269,6004289,-1,72337963,217456508,-38204393,-215612213,-304006183,203983681,510524480,52423112,973000000,2326000000,-190000000,-1337000000,-52000000,-445000000,13000000,337000000,2207000000,-193000000,-1200000000,818000000,-779000000,26000000,27000000
83,Cash Provided by Operating Activities,348047146,210044501,236960551,379015290,398963731,474030423,580986419,513003096,837673611,907318536,811843362,1455775889,2218214608,2201823854,2421211769,4564305685,3893000000,4462000000,2575000000,5486000000,9988000000,8846000000,10100000000,8936000000,6884000000,5680000000,8966000000,10580000000,10421000000,2675000000,11764000000
84,CAPEX,-232031431,-213986014,- -,- -,- -,- -,-847033595,-936068111,-1349826389,-1997600480,-1677809615,-876613157,-122375370,-1845452364,- -,-3612534949,- -,- -,-4246000000,-5833000000,-6850000000,-6959000000,-6777000000,-6961000000,-6667000000,-6582000000,-6551000000,-5406000000,-5558000000,-3926000000,-4555000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248000000,- -,-842000000,- -,-591000000,-121000000,-360000000,-905000000,-308000000,-1230000000,- -,- -,- -
86,Purchases of Investments,-29003929,-1017165,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,37092675,19961857,-203997882,-292046570,-431006272,-538988625,-37026448,-928793,59317130,389922016,-1591850,15738118,-1579286359,21598272,-3186417025,123485555,-5362000000,-7590000000,-4889000000,-3112000000,-3756000000,-6645000000,-5942000000,-6742000000,-6411000000,-6602000000,-4711000000,-5467000000,-5088000000,-4524000000,-3949000000
89,Cash Used for Investing Activites,-223942685,-195041322,-203997882,-292046570,-431006272,-538988625,-884060043,-936996904,-1290509259,-1607678464,-1679401465,-860875039,-1701661729,-1823854092,-3186417025,-3489049394,-5362000000,-7590000000,-4671000000,-3112000000,-4598000000,-6645000000,-6533000000,-6863000000,-6771000000,-7507000000,-5019000000,-6697000000,-5088000000,-4524000000,-3977000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-1257000000,-504000000,- -,-312000000,-533000000,-258000000,-1693000000,-3283000000,-186000000,- -,-335000000,-2776000000
