,https://roic.ai/company/RELV,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15,EBITDA,1700000,5100000,4900000,1700000,1400000,3300000,4000000,3800000,-1049000,622545,1797726,5241547,8469688,10460384,14229911,14296666,9358462,6632170,5352096,4276131,2919212,3201581,2466711,1038442,-345690,474658,857468,-899343,654647
16,EBITDA ratio,0.1164,0.1579,0.1124,0.0528,0.0484,0.0811,0.0855,0.0732,-0.0154,0.0102,0.0340,0.0833,0.1101,0.1079,0.1253,0.1217,0.0843,0.0675,0.0627,0.0543,0.0395,0.0466,0.0362,0.0181,-0.0067,0.0104,0.0205,-0.0249,0.0187
17,Operating Income,1500000,4700000,5600000,1000000,600000,2500000,3500000,2900000,-1734000,-218590,1029860,4276951,7376482,8986304,12473229,12103698,7294911,5668755,3806596,2907287,1745098,1711880,1502245,95730,-1274411,-811979,-183403,-1864491,-559458
18,Operating Income ratio,0.1027,0.1455,0.1284,0.0311,0.0208,0.0614,0.0748,0.0559,-0.0255,-0.0036,0.0195,0.0680,0.0958,0.0927,0.1098,0.1030,0.0657,0.0577,0.0446,0.0369,0.0236,0.0249,0.0220,0.0017,-0.0246,-0.0178,-0.0044,-0.0516,-0.0160
19,Total Other Income Expenses (Gains),- -,-300000,-500000,100000,200000,- -,-100000,-400000,-436000,-930838,-502420,-242144,-77042,21385,26187,899405,947204,-274804,178685,-82131,-73941,436089,-70655,-119161,-188256,195924,31491,59150,583101
20,Income Before Tax,1500000,4400000,5100000,1100000,800000,2500000,3400000,2500000,-2170000,-1149428,527440,4034807,7299440,9007689,12499416,13003103,8242115,5393951,3985281,2825156,1671157,2147969,1431590,-23431,-1462667,-616055,-151912,-1805341,23643
21,Income Before Tax Ratio,0.1027,0.1362,0.1170,0.0342,0.0277,0.0614,0.0726,0.0482,-0.0319,-0.0188,0.0100,0.0641,0.0948,0.0929,0.1101,0.1107,0.0742,0.0549,0.0467,0.0359,0.0226,0.0313,0.0210,-0.0004,-0.0283,-0.0135,-0.0036,-0.0500,0.0007
22,Income Tax expense (Gain),100000,1100000,2000000,200000,200000,1000000,1400000,900000,-770000,-251000,219000,1542000,2902000,3621000,4978000,5105000,3201000,2513000,1470000,1142000,623000,789000,655000,-748000,-238000,9000,545000,98000,468000
23,Net Income,1300000,3300000,1700000,900000,600000,1500000,2000000,1600000,-1400000,-898428,308440,2492807,4397440,5386689,7521416,7898103,5041115,2880951,2515281,1683156,1048157,1358969,776590,724569,-1224667,-625055,-696912,-1903341,-444357
24,Net Income ratio,0.0890,0.1022,0.0390,0.0280,0.0208,0.0369,0.0427,0.0308,-0.0206,-0.0147,0.0058,0.0396,0.0571,0.0555,0.0662,0.0672,0.0454,0.0293,0.0295,0.0214,0.0142,0.0198,0.0114,0.0126,-0.0237,-0.0137,-0.0167,-0.0527,-0.0127
25,EPS,0.68,1.06,0.55,0.31,0.21,0.64,0.99,0.75,-0.71,-0.42,0.14,1.23,2.03,2.38,3.29,3.36,2.17,1.33,1.40,0.98,0.56,0.77,0.42,0.42,-0.70,-0.34,-0.38,-1.03,-0.25
26,EPS Diluted,0.68,1.06,0.51,0.31,0.21,0.64,0.94,0.75,-0.71,-0.42,0.14,1.06,1.82,2.17,3.22,3.29,2.17,1.33,1.40,0.98,0.56,0.77,0.42,0.42,-0.70,-0.34,-0.38,-1.03,-0.25
27,Weighted Average Shares Outstanding,1900015,3431465,1857676,1808569,1787141,1723212,2024658,2125891,1984165,2122178,2185699,2023380,2138426,2237426,2269283,2352140,2299140,2173283,1841998,1768855,1775569,1785712,1802712,1809426,1838569,1845000,1845000,1845000,1746000
28,Weighted Average Shares Outstanding Diluted,1900015,3431465,1857676,1808569,1787141,1723212,2125891,2125891,1984165,2122178,2185699,2342861,2386569,2448140,2341140,2389569,2328997,2174712,1841998,1768998,1775569,1807712,1830855,1830141,1838569,1845000,1845000,1845000,1746000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768710/000076871098000001/0000768710-98-000001-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/768710/000106036901000029/0001060369-01-000029-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768710/000095013706003136/0000950137-06-003136-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420407012843/0001144204-07-012843-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420408015249/0001144204-08-015249-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420409013740/0001144204-09-013740-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420410013129/0001144204-10-013129-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420411015607/0001144204-11-015607-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420412016733/0001144204-12-016733-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420413017393/0001144204-13-017393-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420414017487/0001144204-14-017487-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420415017935/0001144204-15-017935-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420416089980/0001144204-16-089980-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420417016959/0001144204-17-016959-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000143774918005793/0001437749-18-005793-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000143774919005992/0001437749-19-005992-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000143774920006287/0001437749-20-006287-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,2100000,2400000,2800000,1532000,1198682,1258821,3437966,7902508,10151503,5653594,9332810,11694699,4460637,5760913,6331038,7174213,5801042,6656798,4989392,3262263,3606817,3272788,1989974,1630779
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7864000,398592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,2100000,2400000,2800000,1532000,1198682,1258821,3437966,7902508,10151503,5653594,17196810,12093291,4460637,5760913,6331038,7174213,5801042,6656798,4989392,3262263,3606817,3272788,1989974,1630779
34,Net Receivables,- -,- -,- -,- -,- -,1100000,900000,800000,958000,2626232,598235,792898,824733,943212,928383,1171721,1378669,865358,428311,409583,474406,367065,278482,644315,746079,363238,194809,574693,287849
35,Inventory,- -,- -,- -,- -,- -,2800000,2600000,3900000,4705000,4529791,4141666,3457145,4670319,5896782,5584456,4778221,6179238,6221954,5084404,5650790,4723773,5262916,5214690,5177465,5172722,4487830,4555485,2954947,2701688
36,Other Current Assets,- -,- -,- -,- -,- -,600000,800000,900000,1302000,1069040,515550,744431,1024103,2627118,1692568,1698426,1436602,2047665,955544,853915,1039989,1059669,1006099,722038,618645,474183,372602,2566392,1245202
37,Total Current Assets,- -,- -,- -,- -,- -,6600000,6700000,8400000,8497000,9423745,6514272,8432440,14421663,19618615,13859001,24845178,21087800,13595614,12229172,13245326,13412381,12490692,13156069,11533210,9799709,8932068,8395684,8086006,5865518
38,PP&E,- -,- -,- -,- -,- -,4800000,9200000,10700000,10802000,10121679,9675196,9444369,9413871,9968149,10140441,9434546,9199185,8912157,8364685,7944412,7421947,7111772,6735419,6925970,6419127,5854302,5677239,4698550,4795280
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,500000,460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1991497,1785987,1597644,1443635,3195903,2925775,2655647,2400234,2174248,1948263,1722277
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,500000,460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1991497,1785987,1597644,1443635,3195903,2925775,2655647,2400234,2174248,1948263,1722277
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,686000,623000,487000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,100000,700000,1013000,849691,749009,569177,845382,1409903,1981981,3002496,3319786,1385008,1569079,1867976,1987213,4212442,4511360,4776855,4763549,4792123,4828825,1621046,2418921
45,Total Non-Current Assets,- -,- -,- -,- -,- -,4800000,9300000,11900000,12275000,10971370,10424205,10013546,10259253,11378052,12122422,12437042,12518971,10297165,11925261,11598375,11006804,12767849,14442682,15314600,14461323,13533659,12680312,8267859,9441478
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,11400000,16000000,20300000,20772000,20395115,16938477,18445986,24680916,30996667,25981423,37282220,33606771,23892779,24154433,24843701,24419185,25258541,27598751,26847810,24261032,22465727,21075996,16353865,15306996
48,Accounts Payable,- -,- -,- -,- -,- -,3500000,3300000,5200000,5883000,6864415,4640615,5358082,2778898,7826073,8158770,8615256,8464257,2948467,6242289,5820291,2492973,2924111,2968814,2026198,1859716,2352692,1667495,2105814,1565198
49,Short-Term Debt,- -,- -,- -,- -,- -,300000,400000,800000,2416000,2426640,1400337,423990,421063,325895,916244,- -,- -,569375,519192,566873,584873,629631,581004,697423,781505,389096,3045421,- -,500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337234,322261
52,Other Current Liabilities,- -,- -,- -,- -,- -,100000,- -,200000,8000,- -,6153,257441,3965407,- -,820246,- -,110000,3832357,- -,- -,3032603,3060889,3099527,3160859,2078036,1881613,1545139,1472342,1601698
53,Total Current Liabilities,- -,- -,- -,- -,- -,3900000,3700000,6200000,8307000,9291055,6047105,6039513,7165368,8151968,9895260,8615256,8574257,7350199,6761481,6387164,6110449,6614631,6649345,5884480,4719257,4623401,6258055,3915390,3989157
54,Long-Term Debt,- -,- -,- -,- -,- -,1500000,5100000,5600000,5296000,5045688,4641384,4057042,3700138,3357691,2211065,- -,- -,- -,4719542,4150770,3566175,2401312,3781607,3547267,3159575,2518341,- -,- -,500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84435,77000,289000,89000,42000,- -,70000,- -,- -,- -,289000,127000,- -,94000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-100000,- -,200000,350000,412610,423138,467350,666032,1007255,1221270,891113,1227313,364990,406544,375244,256710,371728,910327,418785,405705,409813,453354,445611,-283804
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1400000,5100000,5800000,5646000,5458298,5064522,4608827,4443170,4653946,3521335,933113,1227313,434990,5126086,4526014,3822885,3062040,4818934,3966052,3659280,2928154,453354,445611,216196
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340351
61,Total Liabilities,- -,- -,- -,- -,- -,5300000,8800000,12000000,13953000,14749353,11111627,10648340,11608538,12805914,13416595,9548369,9801570,7785189,11887567,10913178,9933334,9676671,11468279,9850532,8378537,7551555,6711409,4361001,4205353
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,975000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,9082000,9655,9655,12007,15144,16324,15614,16731,15877,14425,14425,14425,14425,14512,14520,14673,14773,2110,2110,2110,2110
64,Retained Earnings,- -,- -,- -,- -,- -,-2500000,-1700000,-400000,-1889000,-2787725,-2479285,-8960782,-5878869,-3719711,-9252413,-5336866,-8869332,-12938430,-11279526,-10091167,-9540595,-8557178,-8159164,-7434595,-8659262,-9284317,-10040229,-12311138,-12755495
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-2200000,-2700000,-3500000,-4560000,-5548026,-6276781,-7040275,-7801038,-8626048,-8915325,-9121172,-9312759,-9376414,-10264692,-11036244,-11385406,-11343033,-11805877,-12019802,-12347091,-12746363,-13378021,-9722009,-10086560
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,10800000,11600000,12200000,4186000,13971858,14573261,23786696,25762141,30520188,30716952,42175158,41971415,38408009,33796659,35043509,35397427,35467569,36080993,36437002,36874075,36942742,37780727,34023901,33941588
67,Total Stockholders Equity,- -,- -,- -,- -,- -,6100000,7200000,8300000,6819000,5645762,5826850,7797646,13072378,18190753,12564828,27733851,23805201,16107590,12266866,13930523,14485851,15581870,16130472,16997278,15882495,14914172,14364587,11992864,11101643
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,11400000,16000000,20300000,20772000,20395115,16938477,18445986,24680916,30996667,25981423,37282220,33606771,23892779,24154433,24843701,24419185,25258541,27598751,26847810,24261032,22465727,21075996,16353865,15306996
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,11400000,16000000,20300000,20772000,20395115,16938477,18445986,24680916,30996667,25981423,37282220,33606771,23892779,24154433,24843701,24419185,25258541,27598751,26847810,24261032,22465727,21075996,16353865,15306996
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/768710/000076871098000001/0000768710-98-000001-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/768710/000106036901000029/0001060369-01-000029-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768710/000095013706003136/0000950137-06-003136-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420407012843/0001144204-07-012843-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420408015249/0001144204-08-015249-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420409013740/0001144204-09-013740-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420410013129/0001144204-10-013129-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420411015607/0001144204-11-015607-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420412016733/0001144204-12-016733-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420413017393/0001144204-13-017393-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420414017487/0001144204-14-017487-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420415017935/0001144204-15-017935-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420416089980/0001144204-16-089980-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000114420417016959/0001144204-17-016959-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000143774918005793/0001437749-18-005793-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000143774919005992/0001437749-19-005992-index.htm,https://www.sec.gov/Archives/edgar/data/768710/000143774920006287/0001437749-20-006287-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,3300000,1700000,900000,600000,1500000,2000000,1600000,-1400000,-898428,308440,2492807,4397440,5386689,7521416,7898103,5041115,2880951,2515281,1683156,1048157,1358969,776590,724569,-1224667,-625055,-696912,-1903341,-444357
74,Depreciation and Amortization,200000,300000,500000,500000,500000,600000,600000,800000,1121000,1132801,743078,866397,935292,1209577,1417166,1243407,1114974,1200892,1192948,1244990,1109088,954110,952660,961731,1003096,984031,900126,810442,583824
75,Deferred Income Tax,- -,-100000,- -,- -,- -,- -,- -,- -,-61000,57098,66171,-71896,-132189,220332,-366000,-189000,-40000,140430,52000,-67000,-78000,95977,-137000,-615000,92000,-3000,508000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120632,170618,169413,227465,166745,46370,63064,60342,33776,23627,21224
77,Change in Working Capital,300000,200000,-1500000,-800000,-300000,-100000,-100000,-200000,-1340000,-308284,790583,1512710,-403957,-2096074,2226139,36152,-1389253,-1672312,1308426,-859516,389347,263076,705077,-1554461,-742251,1374327,-751742,-87720,-359069
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115334,84248,-117064,156865,-39282,104671,-377466,-644823
79,Inventory,-1200000,-900000,-1800000,700000,300000,-200000,- -,-1300000,-740000,85966,358768,649592,-1188179,-1210461,327447,896792,-1286334,-231833,1237953,-471532,899821,-468297,-3500,-76392,-138490,537665,15472,-26036,843881
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508761,-913885,-603020,- -,-1030062,366437,-783880
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49677,-430737,640411,-288027,-31818,46165,-20561,-71748,-18159,10776,-19936,-32102,-1783,- -
82,Other Non-Cash Items,100000,100000,1800000,100000,- -,100000,- -,-100000,406000,428668,28241,-55165,562378,2646818,1705110,-29545,36449,1196565,317394,55408,154368,-431459,126188,45067,9203,-265373,-150043,-12932,-744213
83,Cash Provided by Operating Activities,1900000,3800000,2500000,700000,800000,2100000,2500000,2100000,-1274000,411855,1936513,4744853,5358964,7367342,12503831,8959117,4763285,3746526,5506681,2227656,2792373,2468138,2590260,-391724,-799555,1525272,-156795,-1169924,-942591
84,CAPEX,-700000,-1500000,-1800000,-400000,-1300000,-800000,-5100000,-1800000,-1082000,-440224,-300121,-668488,-983269,-1870632,-1710523,-572748,-841193,-929874,-537617,-886095,-693572,-524984,-1532580,-909403,-250284,-173903,-499409,-181343,-98773
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1521111,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8864000,1919703,488633,- -,- -,- -,78954,91219,96845,102818,109160,115892,- -
88,Other Investing Activites,- -,100000,- -,- -,- -,100000,100000,100000,7000,140031,7361,28295,79414,119609,148506,-8766883,-1393745,28445,-712141,-226218,-265665,-260757,-1467112,-251064,7281,912,13143,3074715,162457
89,Cash Used for Investing Activites,-700000,-1400000,-1800000,-400000,-1300000,-700000,-5000000,-1700000,-1075000,-300193,-292760,-640193,-903855,-1751023,-1562017,-9339631,6629062,-502837,-761125,-844763,-679835,-2785741,-1770738,-1069248,-146158,-70173,-377106,3009264,63684
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7901442,-521091,-566595,-709785,-630246,-633257,-3982561,-1017367,-363736,-3045421,- -
91,Common Stock Issued,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,390,135260,1970011,340355,306880,12132817,83497,6969,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,-700000,-1000000,-500000,-500000,-900000,-300000,- -,-136000,- -,-115558,-626050,-1724913,-2268980,-10690375,-3602531,-7677124,-8788357,-5014115,547,-120378,-71093,-5364,- -,- -,-2211,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-100000,-100000,-200000,-300000,-200000,-96000,- -,- -,- -,-56762,-1042332,-1188288,-1675582,-1600621,-1514016,-856377,-495344,-497585,-375552,-378576,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-200000,-300000,-100000,500000,200000,3600000,400000,1195000,-237323,-1421382,-1543374,-311443,-438866,-3655514,-3024162,- -,2272,10120000,- -,- -,- -,1163668,500000,3249501,- -,500000,- -,500000
95,Cash Used/Provided by Financing Activities,-200000,-800000,-1200000,-700000,-100000,-900000,3000000,200000,963000,-237323,-1536550,-2034164,-123107,-3409823,-15227297,3830542,-9194248,-10293132,-3651934,-1015888,-1184558,-1156430,149482,-133257,-733060,-1019578,136264,-3045421,500000
96,Effect of Forex Changes on Cash,- -,-100000,100000,100000,-100000,100000,-200000,-100000,100000,-207357,-47064,108649,206022,42499,-212426,229188,163790,-184619,206654,203120,-84805,100862,-113248,-73177,-48356,-90967,63608,-76733,19712
97,Net Change In Cash,-200000,-800000,-1200000,-700000,-100000,-900000,3000000,200000,-1285000,-333018,60139,2179145,4538024,2248995,-4497909,3679216,2361889,-7234062,1300276,570125,843175,-1373171,855756,-1667406,-1727129,344554,-334029,-1282814,-359195
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,1532000,1198682,1258821,3437966,7902508,10151503,5653594,9332810,11694699,4460637,5760913,6331038,7174213,5801042,6656798,4989392,3262263,3606817,3272788,1989974,1630779
99,Cash at the Beginning of Period,100000,1100000,2700000,2300000,2200000,1500000,2100000,2400000,2817000,1531700,1198682,1258821,3364484,7902508,10151503,5653594,9332810,11694699,4460637,5760913,6331038,7174213,5801042,6656798,4989392,3262263,3606817,3272788,1989974
100,Free Cash Flow,1200000,2300000,700000,300000,-500000,1300000,-2600000,300000,-2356000,-28369,1636392,4076365,4375695,5496710,10793308,8386369,3922092,2816652,4969064,1341561,2098801,1943154,1057680,-1301127,-1049839,1351369,-656204,-1351267,-1041364
