,https://roic.ai/company/PED,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,14139,219692,571104,236936,13941688,93366,38458,139426,135439,147591,131692,437040,954000,5144000,5080000,3754000,6519000,11068000,11433000,7380000
15,EBITDA,-58633,-5978117,-4914118,-2430174,-20105868,-9757048,7162409,-1431704,-1286659,-2944118,-10895071,-16117018,-19061000,-2268000,-580000,-19818000,67825000,790000,-21255000,6081000
16,EBITDA ratio,-0.5863,-6.7516,-3.3812,-2.0960,-6.1988,-23.3161,16.5792,-4.3266,-11.7564,-6.5934,-21.6536,-21.6727,-3.9611,-0.4258,-0.1462,-6.5731,14.9956,0.0609,-2.6374,Infinity
17,Operating Income,58030,-6606458,-5474074,-2818262,-17182700,-5300034,-2213255,-1571375,-1464731,-3089430,11072390,-16780228,-22172000,-9648000,-5660000,-23572000,-9004000,-10227000,-33822000,-1867000
18,Operating Income ratio,0.5803,-7.4612,-3.7665,-2.4307,-5.2976,-12.6653,-5.1231,-4.7487,-13.3835,-6.9188,22.0060,-22.5645,-4.6076,-1.8115,-1.4264,-7.8182,-1.9907,-0.7884,-4.1968,-Infinity
19,Total Other Income Expenses (Gains),-130802,408232,-11237,467660,-17604925,232434,18677,-54364,-450161,-1055924,-23085401,-1365235,-10401000,-11672000,-13959000,-12798000,62611000,-875000,1132000,568000
20,Income Before Tax,-72772,- -,- -,- -,- -,- -,- -,- -,- -,-4145354,-12013011,-18145463,-32573000,-21320000,-19619000,-36370000,53607000,-11102000,-32690000,-1299000
21,Income Before Tax Ratio,-0.7277,- -,- -,- -,- -,- -,- -,- -,- -,-9.2836,-23.8755,-24.4003,-6.7691,-4.0030,-4.9443,-12.0630,11.8521,-0.8558,-4.0563,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-72772,-7356045,-5590275,-2862231,-38072526,-9874172,7011000,-1677915,-1519958,-4149040,-12013011,-18145463,-29874000,-21316000,-19619000,-36370000,53607000,-11102000,-32690000,-1299000
24,Net Income ratio,-0.7277,-8.3078,-3.8465,-2.4686,-11.7381,-23.5960,16.2287,-5.0706,-13.8881,-9.2918,-23.8755,-24.4003,-6.2082,-4.0023,-4.9443,-12.0630,11.8521,-0.8558,-4.0563,-Infinity
25,EPS,-7.86,-1108.75,-604.77,-268.79,-2486.28,-537.57,403.18,-100.80,-100.80,-201.59,-19.50,-10.70,-10.60,-5.10,-4.00,-6.22,4.80,-0.22,-0.45,-0.02
26,EPS Diluted,-7.86,-1108.75,-604.77,-268.79,-2486.28,-537.57,335.98,-100.80,-100.80,-201.59,-19.50,-10.70,-10.60,-5.10,-4.00,-6.22,4.74,-0.22,-0.45,-0.02
27,Weighted Average Shares Outstanding,9256,6601,9350,11155,15335,18358,17151,18312,18921,21149,620501,1699647,2824409,4153380,4886025,5847387,11168490,51214986,72209553,79963237
28,Weighted Average Shares Outstanding Diluted,9256,6601,9350,11155,15335,18358,19970,18312,18921,21149,620501,1699647,2824409,4153380,4886025,5847387,11313246,51214986,72209553,79963237
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141197/000135448813002228/0001354488-13-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000158069514000375/0001580695-14-000375-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000135448815001497/0001354488-15-001497-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1141197/000165495417002551/0001654954-17-002551-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495418003379/0001654954-18-003379-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495419003852/0001654954-19-003852-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495420003503/0001654954-20-003503-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495421003087/0001654954-21-003087-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495422003008/0001654954-22-003008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11920,1373627,266917,835978,1534603,48833,731631,261164,373470,19428,2478250,6613470,6675000,1138000,659000,917000,3463000,22415000,8027000,25930000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11920,1373627,266917,835978,1534603,48833,731631,261164,373470,19428,2478250,6613470,6675000,1138000,659000,917000,3463000,22415000,8027000,25930000
34,Net Receivables,- -,164106,183726,156437,177737,46292,773732,1498281,1459466,16507,212123,236453,660000,633000,464000,301000,842000,4602000,660000,1782000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,44076,231413,2686010,57409,53254,37485,36203,30472,133900,124310,2289000,3142000,173000,176000,2520000,73000,66000,326000
37,Total Current Assets,11920,1537733,494719,1223828,4398350,152534,1558617,1796930,1869139,66407,2824273,6974233,9624000,4913000,1296000,1394000,6825000,27090000,8753000,28038000
38,PP&E,19934,439367,447401,977269,42208020,1083645,1191263,1101959,1592832,1816023,3433953,8802639,22055000,58767000,57395000,34922000,60462000,92208000,67268000,173000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,4829189,4475833,1142143,1058571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,4829189,4475833,1142143,1058571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102434,4100,4000,4000,4000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1313,340000,- -,- -,4264801,- -,2933333,1440000,165626,- -,3062390,10019633,10057000,969000,85000,85000,238000,3598000,3543000,70010000
45,Total Non-Current Assets,21247,5608556,4923234,2119412,47531392,1083645,4124596,2541959,1758458,1816023,8598777,18826372,32116000,59740000,57484000,35007000,60700000,95806000,70811000,70183000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33167,7146289,5417953,3343240,51929742,1236179,5683213,4338889,3627597,1882430,11423050,25800605,41740000,64653000,58780000,36401000,67525000,122896000,79564000,98221000
48,Accounts Payable,- -,320687,738442,622396,729549,1384929,24085,73846,29575,84196,1054355,2520293,8650000,3380000,103000,101000,4509000,12099000,212000,2626000
49,Short-Term Debt,55000,- -,- -,- -,- -,2642500,- -,3794,260372,1272731,2170065,9759539,7383000,1347000,888000,588000,- -,- -,393000,114000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,732150,254726,131425,6780,10517,9459,1890,- -,- -,- -,- -,657000,475000,517000,557000,- -,- -,- -,- -
52,Other Current Liabilities,37814,2491978,2050760,1114028,45318184,4424889,225312,461569,702570,1106262,1485182,2558486,3651000,2365000,1802000,2126000,4341000,3121000,1373000,2441000
53,Total Current Liabilities,92814,3544815,3043928,1867849,46054513,8462835,258856,541099,992517,2463189,4709602,14838318,20341000,7567000,3310000,3372000,8850000,15220000,1978000,5181000
54,Long-Term Debt,5000,- -,149378,1500000,- -,125000,1120000,1135588,1120000,- -,- -,- -,22733000,41860000,55914000,66497000,38294000,- -,277000,81000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,129045,81878,6781,4692750,- -,- -,- -,10862,1164160,1309298,75447,89000,189000,1512000,3672000,3409000,2174000,1673000,1476000
58,Total Non-Current Liabilities,5000,129045,231256,1506781,4692750,125000,1120000,1135588,1130862,1164160,1309298,75447,22822000,42049000,57426000,70169000,41703000,2174000,1950000,1557000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,397000,300000,- -
61,Total Liabilities,97814,3673860,3275184,3374630,50747263,8587835,1378856,1676687,2123379,3627349,6018900,14913765,43163000,49616000,60736000,73541000,50553000,17394000,3928000,6738000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,6000,6000,6000,6000,20371,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,323825,29586,33444,42060,67610,52027,60432,61820,67909,71426,21551,26121,33000,45000,55000,7000,16000,71000,72000,84000
64,Retained Earnings,-407639,-18300519,-23890794,-29928859,-68001384,-77875556,-70864556,-72542471,-74062429,-78211469,-12776688,-30922151,-60796000,-82112000,-101731000,-138101000,-84494000,-95596000,-128286000,-129585000
65,Other Comprehensive Income/Loss,- -,-65714,-130467,-22416,-651572,-35488,-68282,-190327,-366736,- -,-30920,-4824846,-10237000,- -,-11074000,-33644000,-21045000,-31759000,- -,- -
66,Other Total Stockholders Equity,- -,21809076,26130586,29877825,69767825,70507361,75170763,75327180,75859474,76389124,18169836,46607716,69632000,- -,110794000,134598000,122495000,232786000,203850000,220984000
67,Total Stockholders Equity,-64647,3472429,2142769,-31390,1182479,-7351656,4304357,2662202,1504218,-1744919,5404150,10886840,-1368000,15096000,-1956000,-37140000,16972000,105502000,75636000,91483000
68,Total Liabilities And Stockholders Equity,33167,7146289,5417953,3343240,51929742,1236179,5683213,4338889,3627597,1882430,11423050,25800605,41795000,64712000,58780000,36401000,67525000,122896000,79564000,98221000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000,-59000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33167,7146289,5417953,3343240,51929742,1236179,5683213,4338889,3627597,1882430,11423050,25800605,41740000,64653000,58780000,36401000,67525000,122896000,79564000,98221000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141197/000135448813002228/0001354488-13-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000158069514000375/0001580695-14-000375-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000135448815001497/0001354488-15-001497-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1141197/000165495417002551/0001654954-17-002551-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495418003379/0001654954-18-003379-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495419003852/0001654954-19-003852-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495420003503/0001654954-20-003503-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495421003087/0001654954-21-003087-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495422003008/0001654954-22-003008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-72772,-7356045,-5590275,-2862231,-38072526,-9874172,7011000,-1677915,-1519958,-4149040,-12013011,-18145463,-29874000,-21316000,-19619000,-36370000,53607000,-11102000,-32690000,-1299000
74,Depreciation and Amortization,14139,219692,571104,236936,13941688,93366,38458,139426,135439,- -,131692,437040,954000,5144000,5080000,3754000,6519000,11068000,11433000,7380000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,377119,15762,9140,643303,621420,3198240,4306000,3602000,1476000,655000,862000,1557000,2824000,2452000
77,Change in Working Capital,4187,-1926188,-542127,1905188,-41012142,33345862,9610062,-43930,-379209,-3273404,511453,-5978756,-2852915,8063000,640000,36000,-47000,13895000,-5095000,16082000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,1298166,48784,-26812,68586,90192,86623,216000,1955000,962000,163000,-541000,-3760000,3942000,-1122000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1360845,49761,-5346,54621,289041,1876939,123000,-4050000,-3277000,-2000,408000,5414000,-3199000,-356000
81,Other Working Capital,-80894,-2007082,-2549209,-644021,-41656163,-8310301,1299761,1255831,876622,-2396782,-1885329,-7864085,-10717000,-2654000,-2014000,-1978000,-2025000,11870000,6775000,22857000
82,Other Non-Cash Items,- -,5446879,3445576,153432,61496938,-25683222,-16441221,1302320,2647115,6317609,7944103,18226055,22599915,-3112000,6449000,31689000,-62435000,-13749000,23540000,-18645000
83,Cash Provided by Operating Activities,-54446,-3615662,-2115722,-566675,-3646042,-2118166,595418,-264337,892527,-461532,-2804343,-2262884,-4867000,-7619000,-5974000,-236000,-1494000,1669000,12000,5970000
84,CAPEX,-2876,-459493,-3705,-970298,-1155389,-41649,-147345,-88031,-700000,-1890489,-1501358,-5540610,-28571000,- -,- -,- -,-22963000,-1201000,- -,-35000
85,Acquisitions Net,- -,- -,- -,- -,-47351400,- -,- -,- -,- -,- -,545386,-9928519,1615000,500000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000,- -,- -,- -,- -,-10000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,342181,1615000,500000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-420000,12500,255734,-26631,124131,- -,5000,45000,15100,-3786064,-5070565,9350000,-735000,-75000,- -,-155000,-38525000,-14770000,-2726000
89,Cash Used for Investing Activites,-2876,-879493,8795,-714564,-48533420,82482,-147345,-83031,-655000,-1875389,-3742036,-20197513,-16077000,265000,-75000,- -,-23118000,-39736000,-14770000,-2761000
90,Debt Repayment,-5000,- -,- -,- -,- -,- -,-649375,-183099,-125221,-1662469,-200000,- -,-2930000,-963000,-651000,-37000,-7795000,- -,-370000,- -
91,Common Stock Issued,54150,6930965,715217,855300,15649047,90000,- -,- -,- -,- -,- -,18674592,8363000,2780000,- -,531000,- -,43000000,- -,14694000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-16,-1000900,- -,- -,- -,- -,- -,- -,- -,-74000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000,-1062318,285000,995000,37259040,459930,1885000,60000,- -,2209034,9048158,7921025,15573000,- -,6295000,- -,37269000,15000000,740000,- -
95,Cash Used/Provided by Financing Activities,59150,5868647,1000217,1850300,52908087,549914,234725,-123099,-125221,546565,8848158,26595617,21006000,1817000,5570000,494000,29474000,58000000,370000,14694000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1828,1373492,-1106710,569061,728625,-1485770,682798,-470467,112306,-354042,2301779,4135220,62000,-5537000,-479000,258000,4862000,19933000,-14388000,17903000
98,Cash at the End of Period,11920,1373627,266917,835978,1564603,48833,731631,261164,373470,19428,2478250,6613470,6675000,1138000,659000,917000,5779000,25712000,11324000,29227000
99,Cash at the Beginning of Period,10092,135,1373627,266917,835978,1534603,48833,731631,261164,373470,176471,2478250,6613000,6675000,1138000,659000,917000,5779000,25712000,11324000
100,Free Cash Flow,-57322,-4075155,-2119427,-1536973,-4801431,-2159815,448073,-352368,192527,-2352021,-4305701,-7803494,-33438000,-7619000,-5974000,-236000,-24457000,468000,12000,5935000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141197/000135448813002228/0001354488-13-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000158069514000375/0001580695-14-000375-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000135448815001497/0001354488-15-001497-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1141197/000165495417002551/0001654954-17-002551-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495418003379/0001654954-18-003379-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495419003852/0001654954-19-003852-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495420003503/0001654954-20-003503-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495421003087/0001654954-21-003087-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495422003008/0001654954-22-003008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
