,https://roic.ai/company/CVSI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,41023,500,5925220,664593,4009205,5384013,6328746,6786000,23540000,19413000,14523000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,700,700,1558,3341,4544,5762,9051,9000,10000,10000,11000
64,Retained Earnings,-98605,-144216,-2444412,-3756363,-15989491,-30130789,-35027928,-25027000,-41637000,-63921000,-79475000
65,Other Comprehensive Income/Loss,- -,- -,-13754,-125854,-315952,-489433,-399056,-883000,-1555000,- -,- -
66,Other Total Stockholders Equity,59800,143447,10763416,24954191,39586863,43822609,51799392,56017000,72329000,75123000,83007000
67,Total Stockholders Equity,-38105,-69,8306808,21075315,23285964,13208149,16381459,30116000,29147000,11212000,3543000
68,Total Liabilities And Stockholders Equity,2918,431,14232028,21739908,27295169,18592162,22710205,36902000,52687000,30625000,18066000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2918,431,14232028,21739908,27295169,18592162,22710205,36902000,52687000,30625000,18066000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1510964/000101054912000391/0001010549-12-000391-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1510964/000101968715001189/0001019687-15-001189-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1510964/000168316817000725/0001683168-17-000725-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000168316818000816/0001683168-18-000816-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096419000007/0001510964-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096420000026/0001510964-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096421000012/0001510964-21-000012-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-90180,-45611,-2300196,-1311951,-12233128,-14141298,-4897139,10001000,-16610000,-22284000,-15554000
74,Depreciation and Amortization,- -,- -,767254,933600,1012335,1052567,182795,519000,716000,872000,1153000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-481500,-10000,-644000,5965000,-94000
76,Stock Based Compensation,- -,- -,5650,7915833,5719791,2732908,3419799,2925000,15120000,3881000,3210000
77,Change in Working Capital,10548,38036,7633786,8507958,-2002838,-12466266,2926113,16475316,-1903000,-16644000,-2802000
78,Accounts Receivable,- -,- -,-1744064,1205952,-588145,70429,-1241033,-1882000,927000,918000,-989000
79,Inventory,- -,- -,-2127845,-9192929,-2467669,1309074,1042813,-60000,-1669000,1703000,216000
80,Accounts Payable,20223,-20223,24622,190859,113021,-355328,1780167,1308000,- -,- -,- -
81,Other Working Capital,-38105,-69,7633717,16141675,14138837,1672571,4598684,21074000,19171000,2527000,-275000
82,Other Non-Cash Items,- -,-56509,-10985728,-22757439,3295573,20768349,2464936,-17351316,1094000,20910000,6602000
83,Cash Provided by Operating Activities,-79632,-64084,-4879234,-6711999,-4208267,-2053740,3615004,12559000,-2227000,-7300000,-7485000
84,CAPEX,- -,- -,-226594,-449211,-113527,-17207,-2000395,-1244000,-1147000,-1057000,-35000
85,Acquisitions Net,- -,- -,-1649225,- -,-250000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-750000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,750000,-935173,-1379233,869885,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1875819,-1384384,-1742760,852678,-2000395,-1244000,-1147000,-1057000,-35000
90,Debt Repayment,-100,- -,-100200,-92369,-39079,-786362,-630533,-1686000,-474000,- -,-808000
91,Common Stock Issued,29400,- -,2906423,8247500,2520000,- -,- -,- -,- -,193000,4407000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20800,63347,6192069,- -,1686150,2526430,750000,514000,521000,3081000,771000
95,Cash Used/Provided by Financing Activities,50100,63347,8998292,8155131,4167071,1740068,119467,-1172000,47000,3274000,4370000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-29532,-737,2243239,58748,-1783956,539006,1734076,10143000,-3327000,-5083000,-3150000
98,Cash at the End of Period,1168,431,2243670,2302418,518462,1057468,2791544,12935000,9608000,4525000,1375000
99,Cash at the Beginning of Period,30700,1168,431,2243670,2302418,518462,1057468,2792000,12935000,9608000,4525000
100,Free Cash Flow,-79632,-64084,-5105828,-7161210,-4321794,-2070947,1614609,11315000,-3374000,-8357000,-7520000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1510964/000101054912000391/0001010549-12-000391-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1510964/000101968715001189/0001019687-15-001189-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1510964/000168316817000725/0001683168-17-000725-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000168316818000816/0001683168-18-000816-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096419000007/0001510964-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096420000026/0001510964-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096421000012/0001510964-21-000012-index.htm,- -
102,false,,,,,,,,,,,
