,https://roic.ai/company/MYRG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,900000,4400000,5700000,5700000,6100000,700000,1000000,3800000,1400000,7458000,- -,- -,- -,- -,- -,28900000,26200000,34547000,42076000,37576000,62623000,34013000,19825000,76454000,77636000,39797000,23846000,5343000,7507000,12397000,22668000,82092000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900000,4400000,5700000,5700000,6100000,700000,1000000,3800000,1400000,7458000,- -,- -,- -,- -,- -,28900000,26200000,34547000,42076000,37576000,62623000,34013000,19825000,76454000,77636000,39797000,23846000,5343000,7507000,12397000,22668000,82092000
34,Net Receivables,14100000,16200000,16700000,17700000,14100000,51100000,53500000,90300000,85200000,92157000,- -,- -,- -,- -,- -,103200000,85200000,134779000,128982000,142510000,117738000,137917000,241437000,226662000,217080000,255628000,325543000,365880000,459280000,613976000,585134000,620734000
35,Inventory,- -,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36700000,27600000,- -,- -,- -,- -,4003000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4800000,1900000,3800000,100000,2200000,21100000,16100000,5900000,6400000,12204000,- -,- -,- -,- -,- -,14900000,16300000,17561000,14352000,13494000,43562000,60018000,17138000,20833000,18785000,7942000,8202000,8513000,8847000,12811000,28882000,45564000
37,Total Current Assets,19800000,22500000,28000000,23500000,22400000,72900000,70600000,100000000,93000000,111819000,- -,- -,- -,- -,- -,183700000,155300000,186887000,185410000,193580000,223923000,235951000,278400000,323949000,313501000,303367000,357591000,379736000,475634000,639184000,636684000,748390000
38,PP&E,4400000,8400000,12500000,13200000,14700000,23100000,22200000,17000000,16100000,15817000,- -,- -,- -,- -,- -,17600000,39500000,57609000,75873000,88032000,96591000,117178000,128911000,142931000,148654000,160678000,154891000,148084000,161892000,208302000,207405000,217063000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32100000,46600000,46599000,46599000,46599000,46599000,46599000,46599000,46599000,46599000,47124000,46781000,46994000,56588000,66060000,66065000,66065000
40,Intangible Assets,- -,- -,- -,600000,400000,2700000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,8100000,13000000,12208000,11874000,11539000,11204000,10869000,10534000,10199000,9865000,11362000,11566000,10852000,33266000,54940000,51365000,49054000
41,Intangible Assets,- -,- -,- -,600000,400000,2700000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,40200000,59600000,58807000,58473000,58138000,57803000,57468000,57133000,56798000,56464000,58486000,58347000,57846000,89854000,121000000,117430000,115119000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000,1324000,4722000,3040000,3978000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,14300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,1600000,1400000,2300000,2100000,3100000,3200000,400000,1100000,2070000,- -,- -,- -,- -,- -,-7200000,-12200000,2488000,2307000,1899000,1831000,1971000,1904000,1744000,1467000,2394000,2666000,17954000,20051000,34663000,31300000,36542000
45,Total Non-Current Assets,4900000,10000000,13900000,16100000,17200000,28900000,27900000,17400000,17200000,17887000,- -,- -,- -,- -,- -,59900000,101200000,118904000,136653000,148069000,156225000,176617000,187948000,201473000,206585000,221558000,215904000,224052000,273121000,368687000,359175000,372702000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24700000,32500000,41900000,39600000,39600000,101800000,98500000,117400000,110200000,129706000,- -,- -,- -,- -,- -,243600000,256500000,305791000,322063000,341649000,380148000,412568000,466348000,525422000,520086000,524925000,573495000,603788000,748755000,1007871000,995859000,1121092000
48,Accounts Payable,3500000,2700000,5900000,2700000,3100000,13900000,17700000,19700000,14100000,16220000,- -,- -,- -,- -,- -,34700000,25200000,66714000,62885000,65543000,41309000,98869000,84481000,79605000,62247000,73300000,99942000,110383000,139480000,192107000,162580000,200744000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,3681000,8737000,11311000,8804000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18130000,6626000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32589000,52952000,38121000,40614000,42321000,28919000,58534000,105486000,158396000,167931000
52,Other Current Liabilities,6500000,10800000,11200000,12200000,10700000,43500000,38800000,57700000,48700000,61786000,- -,- -,- -,- -,- -,94400000,88500000,68047000,60452000,55222000,97523000,67928000,71823000,71822000,71220000,65823000,86051000,49262000,82110000,90484000,111113000,121120000
53,Total Current Liabilities,10000000,13500000,17100000,14900000,13800000,57400000,56500000,77400000,62800000,78006000,- -,- -,- -,- -,- -,129100000,113700000,134761000,123337000,120765000,138832000,176797000,188893000,204379000,171588000,179737000,228314000,188564000,283805000,396814000,443400000,498599000
54,Long-Term Debt,1400000,1300000,1500000,800000,300000,14600000,9000000,7800000,6600000,- -,- -,- -,- -,- -,- -,- -,- -,30000000,30000000,30000000,30000000,- -,- -,- -,- -,- -,59070000,78960000,86111000,157087000,40769000,16694000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,300000,900000,1300000,2900000,3000000,700000,1100000,1620000,- -,- -,- -,- -,- -,- -,- -,8662000,12429000,15870000,17971000,19354000,21530000,23719000,24729000,14382000,18565000,13452000,17398000,20945000,18339000,24620000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,15100000,1432000,938000,899000,636000,679000,1235000,1233000,1216000,926000,4372000,35773000,36977000,68550000,64059000,62077000
58,Total Non-Current Liabilities,1400000,1300000,1800000,1700000,1600000,17500000,12000000,8500000,7700000,- -,- -,- -,- -,- -,- -,9500000,15100000,40094000,43367000,46769000,48607000,20033000,22765000,24952000,25945000,15308000,82007000,128185000,140486000,246582000,123167000,103391000
59,Other Liabilities,3500000,4300000,4800000,4400000,3800000,35300000,24400000,17400000,15800000,2004000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4918000,3715000,2633000,24562000,22660000,20995000
61,Total Liabilities,12100000,16500000,20100000,17600000,16000000,75200000,68900000,86300000,70900000,80010000,- -,- -,- -,- -,- -,138600000,128800000,174855000,166704000,167534000,187439000,196830000,211658000,229331000,197533000,195045000,310321000,316749000,424291000,643396000,566567000,601990000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,- -,- -,- -,- -,- -,200000,200000,342000,197000,198000,200000,203000,206000,210000,206000,198000,162000,163000,165000,166000,167000,168000
64,Retained Earnings,4600000,8400000,13700000,14800000,16500000,19300000,22100000,27200000,34300000,42002000,- -,- -,- -,- -,- -,-27300000,900000,-9630000,14003000,31238000,47360000,65658000,99920000,134679000,171223000,168224000,123345000,143241000,174736000,212219000,270480000,355007000
65,Other Comprehensive Income/Loss,-30600000,-32800000,-33900000,-34100000,-35900000,-38500000,-36400000,-38000000,-40600000,-42330000,- -,- -,- -,- -,- -,-18200000,-1000000,-10791000,-21158000,-33566000,-46878000,-64345000,-88042000,-115679000,-147956000,-181575000,-209466000,-231391000,-253495000,-272865000,23000,173000
66,Other Total Stockholders Equity,38600000,40400000,42000000,41300000,43000000,45800000,43900000,41900000,45600000,49960000,- -,- -,- -,- -,- -,150300000,127700000,151015000,162317000,176245000,192027000,214222000,242606000,276881000,299080000,343033000,349133000,375026000,401578000,424951000,158618000,163754000
67,Total Stockholders Equity,12600000,16000000,21800000,22000000,23600000,26600000,29600000,31100000,39300000,49696000,- -,- -,- -,- -,- -,105000000,127800000,130936000,155359000,174115000,192709000,215738000,254690000,296091000,322553000,329880000,263174000,287039000,322984000,364471000,429288000,519102000
68,Total Liabilities And Stockholders Equity,24700000,32500000,41900000,39600000,39600000,101800000,98500000,117400000,110200000,129706000,- -,- -,- -,- -,- -,243600000,256600000,305791000,322063000,341649000,380148000,412568000,466348000,525422000,520086000,524925000,573495000,603788000,747275000,1007867000,995855000,1121092000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1480000,4000,4000,- -
70,Total Liabilities & Equity,24700000,32500000,41900000,39600000,39600000,101800000,98500000,117400000,110200000,129706000,- -,- -,- -,- -,- -,243600000,256500000,305791000,322063000,341649000,380148000,412568000,466348000,525422000,520086000,524925000,573495000,603788000,748755000,1007871000,995859000,1121092000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700923/000104746909002567/0001047469-09-002567-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746910002207/0001047469-10-002207-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746911001844/0001047469-11-001844-index.htm,https://www.sec.gov/Archives/edgar/data/700923/000104746912002223/0001047469-12-002223-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746913002282/0001047469-13-002282-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746914001830/0001047469-14-001830-index.htm,https://www.sec.gov/Archives/edgar/data/700923/000114420415015357/v396871_10k.htm,https://www.sec.gov/Archives/edgar/data/700923/000114420416085692/0001144204-16-085692-index.html,https://www.sec.gov/Archives/edgar/data/700923/000114420417013721/0001144204-17-013721-index.html,https://www.sec.gov/Archives/edgar/data/700923/000114420418013353/0001144204-18-013353-index.html,https://www.sec.gov/Archives/edgar/data/700923/000114420419012547/0001144204-19-012547-index.html,https://www.sec.gov/Archives/edgar/data/700923/000110465920029253/0001104659-20-029253-index.html,https://www.sec.gov/Archives/edgar/data/700923/000070092321000007/0000700923-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/700923/000070092322000007/0000700923-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3500000,4200000,3600000,1600000,2100000,3400000,3500000,6600000,7900000,8560000,- -,- -,- -,- -,-5560000,-9470000,10950000,-3202000,23633000,17235000,16122000,18298000,34262000,34759000,36544000,27302000,21431000,21154000,31087000,37690000,58759000,85010000
74,Depreciation and Amortization,-800000,-1700000,-2300000,-2900000,-3200000,-6200000,-6100000,-5600000,-4600000,-4668000,- -,- -,- -,- -,5100000,21500000,6040000,10668000,11146000,13525000,16290000,19511000,25156000,29195000,33423000,38029000,39122000,38576000,39913000,44516000,46453000,46205000
75,Deferred Income Tax,- -,- -,900000,100000,800000,500000,100000,-100000,-500000,-2431000,- -,- -,- -,- -,-900000,-2860000,-2410000,-6026000,3256000,3876000,1743000,-1326000,2687000,381000,3655000,1558000,4205000,-5091000,3649000,3602000,-2641000,6281000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918000,923000,1603000,2130000,2923000,3519000,4671000,4837000,4674000,4376000,3165000,4403000,5688000,7496000
77,Change in Working Capital,2300000,-800000,1900000,-2300000,- -,6900000,-1400000,8500000,7600000,3613000,- -,- -,- -,- -,20787000,-13000000,10526000,9947000,10742000,12276000,-25937000,30353000,30063000,22343000,-18283000,5647000,61895000,657000,50541000,-49086000,51650000,-6554000
78,Accounts Receivable,-3600000,1400000,-500000,2300000,1200000,-3600000,-2400000,-18600000,5100000,-5207000,- -,- -,- -,- -,- -,- -,16500000,- -,7552000,-11523000,-6520000,-19739000,-40330000,-6227000,15706000,-17765000,-27485000,-46190000,-15871000,-39710000,2903000,10659000
79,Inventory,- -,- -,-1800000,2300000,400000,- -,- -,- -,- -,-1580000,- -,- -,- -,- -,- -,- -,9100000,- -,- -,- -,- -,-4003000,4003000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1900000,-1200000,3200000,-3200000,300000,-4700000,3800000,100000,-5600000,2085000,- -,- -,- -,- -,- -,- -,9500000,- -,-6033000,6746000,-1718000,35062000,11067000,-5289000,-17303000,6742000,17322000,8149000,19953000,22492000,-43079000,34348000
81,Other Working Capital,9800000,9000000,10900000,8600000,8600000,15500000,14100000,22600000,30200000,33813000,- -,- -,- -,- -,54600000,41600000,52126000,62073000,72815000,85091000,59154000,89507000,119570000,141913000,123630000,129277000,191172000,191829000,242370000,193284000,244934000,9573000
82,Other Non-Cash Items,-5200000,8900000,3200000,9200000,6900000,-400000,18000000,-5600000,-3100000,4160000,- -,- -,- -,- -,-13767000,25240000,-3176000,5306000,-10916000,-23924000,35016000,-38572000,-65092000,4865000,-5034000,-34373000,-76837000,-68870000,-43566000,23774000,15258000,-1210000
83,Cash Provided by Operating Activities,-200000,10600000,7300000,5700000,6600000,4200000,14100000,3800000,7300000,9234000,- -,- -,- -,- -,5660000,21410000,21930000,16693000,38779000,23911000,44837000,30394000,29999000,95062000,54976000,43000000,54490000,-9198000,84789000,64899000,175167000,137228000
84,CAPEX,-1300000,-2400000,-5200000,-3300000,-4400000,-5000000,-5100000,-4300000,-4500000,-4340000,- -,- -,- -,- -,-4130000,-5300000,-13810000,-26085000,-27955000,-29680000,-21895000,-42342000,-37249000,-42725000,-39045000,-46599000,-25371000,-30843000,-50704000,-57828000,-44355000,-52361000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13087000,-12056000,- -,-47082000,-79720000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,-2000000,200000,200000,- -,-11100000,2300000,300000,1500000,1585000,- -,- -,- -,- -,1880000,4520000,510000,63000,1896000,748000,1278000,1306000,1204000,1151000,320000,2758000,3299000,4342000,4583000,4051000,3429000,3062000
89,Cash Used for Investing Activites,-1100000,-4400000,-5000000,-3100000,-4400000,-16100000,-2800000,-4000000,-3000000,-2755000,- -,- -,- -,- -,-2250000,-780000,-13300000,-26022000,-26059000,-28932000,-20617000,-41036000,-36045000,-41574000,-38725000,-56928000,-34128000,-26501000,-93203000,-133497000,-40926000,-49299000
90,Debt Repayment,-400000,-1800000,-1300000,-1900000,-1300000,-12300000,-10600000,- -,-6600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2298000,-44000,-42000,-40000000,-10000000,- -,- -,- -,-740000,-1203000,-21736000,-5751000,-137642000,-25253000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214961000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-500000,- -,-1000000,-200000,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-175508000,- -,-33000,- -,- -,- -,- -,-16447000,-27582000,-101483000,-3058000,-1043000,-778000,-652000,- -
93,Dividends Paid,-300000,-400000,-500000,-500000,-500000,-600000,-600000,-700000,-800000,-893000,- -,- -,- -,- -,- -,-4390000,-11030000,-50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200000,- -,800000,800000,100000,19500000,100000,3600000,900000,500000,- -,- -,- -,- -,- -,- -,-310000,28200000,-2895000,598000,869000,22032000,1858000,3141000,1378000,3671000,66684000,21150000,33421000,79885000,13998000,-2842000
95,Cash Used/Provided by Financing Activities,-500000,-2700000,-1000000,-2600000,-1900000,6600000,-11100000,2900000,-6700000,-393000,- -,- -,- -,- -,- -,-4390000,-11340000,17653000,-5191000,521000,827000,-17968000,-8142000,3141000,-15069000,-23911000,-35539000,16889000,10642000,73356000,-124296000,-28095000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-774000,307000,-64000,132000,326000,-410000
97,Net Change In Cash,-500000,-2700000,-1000000,-2600000,-1900000,6600000,-11100000,2900000,-6700000,6086000,- -,- -,- -,- -,3420000,16240000,-2710000,8324000,7529000,-4500000,25047000,-28610000,-14188000,56629000,1182000,-37839000,-15951000,-18503000,2164000,4890000,10271000,59424000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7458000,- -,- -,- -,- -,10927000,16240000,26190000,34547000,42076000,37576000,62623000,34013000,19825000,76454000,77636000,39797000,23846000,5343000,7507000,12397000,22668000,82092000
