,https://roic.ai/company/AMH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,-2.2546,-0.1444,-0.0830,-0.0760,0.0119,0.0796,0.1048,0.1367,0.1309,0.1615
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-10236000,-32311000,-48057000,-62301000,6695000,80999000,108273000,141039000,140374000,189092000
24,Net Income ratio,- -,-2.2546,-0.2324,-0.1205,-0.0988,0.0076,0.0843,0.1009,0.1234,0.1187,0.1450
25,EPS,- -,-0.10,-0.36,-0.34,-0.40,-0.14,-0.08,0.08,0.29,0.28,0.62
26,EPS Diluted,- -,-0.10,-0.36,-0.34,-0.40,-0.14,-0.08,0.08,0.29,0.28,0.62
27,Weighted Average Shares Outstanding,- -,91843376,123592086,196348757,210600111,234010168,264254718,293640500,299415397,306613197,306613197
28,Weighted Average Shares Outstanding Diluted,- -,91843376,123592086,196348757,210600111,234010168,264254718,294268330,299918966,307074747,307074747
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1562401/000119312514116022/0001193125-14-116022-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000110465915036333/0001104659-15-036333-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240116000057/0001562401-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240117000005/0001562401-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240118000029/0001562401-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240119000020/0001562401-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1562401/000156240120000037/0001562401-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1562401/000156240121000041/0001562401-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240122000039/0001562401-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,397198000,148989000,108787000,57686000,118799000,46156000,30284000,37575000,137060000,48198000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,397198000,148989000,108787000,57686000,118799000,46156000,30284000,37575000,137060000,48198000
34,Net Receivables,11000,6586000,6863000,11009000,13936000,17618000,30144000,29027000,29618000,77063000,41587000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,17000,11961000,65642000,195981000,232909000,265036000,308518000,290964000,328600000,179903000,360194000
37,Total Current Assets,28000,415745000,221494000,315777000,304531000,401453000,384818000,350275000,395793000,394026000,449979000
38,PP&E,- -,505713000,3861422000,5710671000,6289938000,7547856000,8064980000,- -,- -,18772000,- -
39,Goodwill,- -,- -,120655000,120655000,120655000,120279000,120279000,120279000,120279000,120279000,120279000
40,Intangible Assets,- -,- -,-4100000,-16738000,-20044000,-2066000,-5249000,-10472000,-8142000,-10162000,- -
41,Intangible Assets,- -,- -,116555000,103917000,100611000,118213000,115030000,109807000,112137000,110117000,120279000
42,Investments,- -,- -,- -,25666000,25666000,25666000,25666000,25666000,25666000,118775000,147616000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3495000,- -,24673000,71320000,87040000,14022000,18274000,8515733000,8566513000,8951935000,10244559000
45,Total Non-Current Assets,3495000,505713000,4002650000,5911574000,6503255000,7705757000,8223950000,8651206000,8704316000,9199599000,10512454000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3523000,921458000,4224144000,6227351000,6807786000,8107210000,8608768000,9001481000,9100109000,9593625000,10962433000
48,Accounts Payable,- -,259000,901000,4925000,1173000,9000,1726000,195000,5037000,432000,343526000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,140000000,250000000,- -,19166000,350000000
50,Tax Payable,7000,4760000,28240000,49018000,46024000,46091000,47765000,40566000,44280000,48689000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,45000,14304000,75969000,101904000,103852000,106767000,149910000,140595000,157953000,174398000,- -
53,Total Current Liabilities,45000,14563000,76870000,106829000,105025000,106776000,291636000,390790000,162990000,193996000,693526000
54,Long-Term Debt,- -,- -,441938000,1850091000,2650919000,2922574000,2335887000,2553543000,2833497000,2817412000,3530478000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4000,1731000,54677000,100837000,116609000,140240000,105421000,83406000,84832000,109787000,- -
58,Total Non-Current Liabilities,4000,1731000,496615000,1950928000,2767528000,3062814000,2441308000,2636949000,2918329000,2927199000,3530478000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,19166000,- -
61,Total Liabilities,49000,16294000,573485000,2057757000,2872553000,3169590000,2732944000,3027739000,3081319000,3121195000,4224004000
62,Preferred Stock,- -,- -,91000,171000,171000,370000,384000,354000,354000,354000,154000
63,Common Stock,- -,387000,1854000,2114000,2078000,2433000,2867000,2966000,3007000,3166000,3380000
64,Retained Earnings,-42000,-10278000,-63479000,-170162000,-296865000,-378578000,-453953000,-491214000,-465368000,-443522000,-438710000
65,Other Comprehensive Income/Loss,- -,-2132000,-62202000,-229000,-102000,95000,75000,7393000,6658000,5840000,1814000
66,Other Total Stockholders Equity,3516000,916697000,3058680000,3618207000,3554063000,4568616000,5600256000,5732466000,5790775000,6223256000,6492933000
67,Total Stockholders Equity,3474000,904674000,2934944000,3450101000,3259345000,4192936000,5149629000,5251965000,5335426000,5789094000,6059571000
68,Total Liabilities And Stockholders Equity,3523000,920968000,3508429000,5507858000,6131898000,7362526000,7882573000,8279704000,8416745000,8910289000,10283575000
69,Minority Interest,- -,490000,715715000,719493000,675888000,744684000,726195000,721777000,683364000,683336000,678858000
70,Total Liabilities & Equity,3523000,921458000,4224144000,6227351000,6807786000,8107210000,8608768000,9001481000,9100109000,9593625000,10962433000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1562401/000119312514116022/0001193125-14-116022-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000110465915036333/0001104659-15-036333-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240116000057/0001562401-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240117000005/0001562401-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240118000029/0001562401-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240119000020/0001562401-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1562401/000156240120000037/0001562401-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1562401/000156240121000041/0001562401-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240122000039/0001562401-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-10236000,-32311000,-48057000,-62301000,6695000,80999000,108273000,141039000,140374000,189092000
74,Depreciation and Amortization,- -,2111000,70987000,165516000,242848000,298677000,297290000,318685000,329293000,343153000,361697000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,70000,1079000,2586000,3125000,3636000,4212000,3433000,4808000,9834000,9361000
77,Change in Working Capital,- -,1051000,-256558000,64324000,-9442000,95171000,-201495000,-133697000,273318000,-32773000,-29882000
78,Accounts Receivable,- -,-82000,3339000,-10115000,-10542000,-9704000,-11020000,-12172000,- -,-15633000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,676000,39973000,18528000,5627000,-13291000,9814000,11772000,17408000,- -,44512000
81,Other Working Capital,- -,401182000,144624000,208948000,199506000,294677000,93182000,-40515000,232803000,200030000,170148000
82,Other Non-Cash Items,- -,455000,232975000,-23832000,27135000,-125312000,204955000,114188000,-290571000,13512000,64932000
83,Cash Provided by Operating Activities,- -,-6549000,16172000,160537000,201365000,278867000,385961000,410882000,457887000,474100000,595200000
84,CAPEX,- -,-90077000,-2394047000,-1549672000,-783904000,-259075000,-745514000,-435847000,79560000,-104819000,-52134000
85,Acquisitions Net,- -,- -,33099000,-205262000,-64408000,25020000,- -,-8400000,-13114000,-29834000,- -
86,Purchases of Investments,- -,- -,- -,-82208000,-76781000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-7393000,-8423000,-77921000,13897000,-227560000,-837479000,-666008000,-363752000,-613091000,-1733465000
89,Cash Used for Investing Activites,- -,-97470000,-2369371000,-1900752000,-884942000,-522398000,-837479000,-674408000,-376866000,-642925000,-1733465000
90,Debt Repayment,- -,- -,-1172600000,-1999315000,-1054631000,-1333041000,-690848000,-600367000,-371517000,-152501000,- -
91,Common Stock Issued,- -,495329000,1548280000,308435000,- -,102830000,694765000,- -,- -,414100000,728810000
92,Common Stock Repurchased,- -,- -,- -,- -,-57383000,-96497000,-169000,-34969000,- -,- -,- -
93,Dividends Paid,- -,- -,-1160000,-58626000,-64402000,-88408000,-85023000,-125553000,-114960000,-116195000,- -
94,Other Financing Activites,- -,5888000,1730470000,3449519000,1808892000,1739920000,465375000,1016806000,394361000,124379000,336145000
95,Cash Used/Provided by Financing Activities,- -,501217000,2104990000,1700013000,632476000,324804000,384100000,255917000,-92116000,269783000,1064955000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-248209000,-40202000,-51101000,81273000,-67418000,-7609000,-11095000,100958000,-73310000
98,Cash at the End of Period,- -,397198000,148989000,108787000,57686000,250241000,182823000,175214000,164119000,265077000,191767000
99,Cash at the Beginning of Period,- -,- -,397198000,148989000,108787000,168968000,250241000,182823000,175214000,164119000,265077000
100,Free Cash Flow,- -,-6549000,16172000,160537000,201365000,278867000,348421000,356417000,386406000,369281000,-52134000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1562401/000119312514116022/0001193125-14-116022-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000110465915036333/0001104659-15-036333-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240116000057/0001562401-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240117000005/0001562401-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240118000029/0001562401-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240119000020/0001562401-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1562401/000156240120000037/0001562401-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1562401/000156240121000041/0001562401-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240122000039/0001562401-22-000039-index.htm
102,false,,,,,,,,,,,
