,https://roic.ai/company/COTY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024305/000093041313004596/0000930413-13-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430514000029/0001024305-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430515000058/0001024305-15-000058-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430516000181/0001024305-16-000181-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430517000071/0001024305-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430518000026/0001024305-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430519000097/coty-063019x10k.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430520000084/0001024305-20-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430521000063/0001024305-21-000063-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,510800000,609400000,920400000,1238000000,341300000,372400000,535400000,331600000,340400000,308300000,253500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,510800000,609400000,920400000,1238000000,341300000,372400000,535400000,331600000,340400000,308300000,253500000
34,Net Receivables,- -,597900000,580500000,622700000,664800000,679600000,682900000,1470300000,1536000000,1528600000,711000000,690500000
35,Inventory,- -,677300000,648300000,608200000,617400000,557800000,565800000,1052600000,1148900000,1153300000,678200000,650800000
36,Other Current Assets,- -,301100000,300300000,265600000,264600000,277700000,317300000,523200000,634500000,250400000,4797500000,188300000
37,Total Current Assets,- -,2087100000,2138500000,2416900000,2784800000,1856400000,1938400000,3581500000,3651000000,3272700000,6495000000,1783100000
38,PP&E,- -,463000000,465800000,500700000,540300000,500200000,638600000,1632100000,1680800000,1600600000,1453000000,1236600000
39,Goodwill,- -,1877100000,1490500000,1543200000,1342800000,1530700000,2212700000,8555500000,8607100000,5073800000,3973900000,4118100000
40,Intangible Assets,- -,2345700000,2033900000,1956600000,1837100000,1913600000,2050100000,8425200000,8284800000,7422300000,4372100000,4463000000
41,Intangible Assets,- -,4222800000,3524400000,3499800000,3179900000,3444300000,4262800000,16980700000,16891900000,12496100000,8346000000,8581100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1276200000
43,Tax Assets,- -,10300000,7700000,9200000,11400000,10400000,15700000,72600000,107400000,146300000,362400000,758500000
44,Other Non-Current Assets,- -,30700000,47000000,43400000,76100000,207600000,244700000,281300000,299100000,149700000,72400000,55900000
45,Total Non-Current Assets,- -,4726800000,4044900000,4053100000,3807700000,4162500000,5161800000,18966700000,18979200000,14392700000,10233800000,11908300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6813900000,6183400000,6470000000,6592500000,6018900000,7100200000,22548200000,22630200000,17665400000,16728800000,13691400000
48,Accounts Payable,- -,676900000,694600000,711700000,810200000,748400000,921400000,1732100000,1928600000,1732700000,1190300000,1166100000
49,Short-Term Debt,- -,47300000,190100000,40100000,33400000,28800000,161800000,209100000,218900000,193800000,293300000,99900000
50,Tax Payable,- -,70300000,87000000,97900000,93700000,90300000,54900000,201700000,207700000,194900000,130800000,147400000
51,Deferred Revenue,- -,- -,- -,- -,8300000,4100000,- -,15800000,25500000,13800000,20900000,21600000
52,Other Current Liabilities,- -,1107300000,1028300000,711400000,745400000,744900000,772000000,1846600000,1871000000,1536800000,2081200000,1127800000
53,Total Current Liabilities,- -,1831500000,1913000000,1463200000,1597300000,1526200000,1855200000,3803600000,4044000000,3477100000,3585700000,2415400000
54,Long-Term Debt,- -,2575100000,2270200000,2590100000,3260100000,2605900000,4001000000,6928300000,7305400000,7469900000,7892100000,5670300000
55,Deferred Revenue,- -,- -,- -,11000000,8100000,3600000,- -,- -,- -,- -,85400000,- -
56,Deferred Tax Liabilities,- -,442000000,287700000,320000000,273300000,352600000,339200000,924900000,842500000,652500000,175100000,674900000
57,Other Non-Current Liabilities,- -,591900000,843300000,576000000,599300000,545900000,537700000,1573700000,1583100000,1472500000,1045900000,832300000
58,Total Non-Current Liabilities,- -,3609000000,3401200000,3497100000,4140800000,3508000000,4877900000,9426900000,9731000000,9594900000,9198500000,7177500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422400000,345000000
61,Total Liabilities,- -,5440500000,5314200000,4960300000,5738100000,5034200000,6733100000,13230500000,13775000000,13072000000,12784200000,9592900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,715800000,1036300000
63,Common Stock,- -,3900000,4000000,3800000,3800000,3900000,4000000,8100000,8100000,8100000,8300000,8300000
64,Retained Earnings,- -,-65900000,-390300000,-329000000,-426400000,-193900000,-37000000,-459200000,-626200000,-4541200000,-5548600000,-5755600000
65,Other Comprehensive Income/Loss,- -,200000,-147200000,-118600000,-85100000,-274000000,-239700000,4400000,158800000,-58800000,-456200000,-321900000
66,Other Total Stockholders Equity,- -,1423700000,1390700000,1937800000,1351500000,1433800000,632900000,9761400000,9309000000,9178700000,9001100000,8929900000
67,Total Stockholders Equity,- -,1361900000,857200000,1494000000,843800000,969800000,360200000,9314700000,8849700000,4586900000,3720400000,3897000000
68,Total Liabilities And Stockholders Equity,- -,6802400000,6171400000,6454300000,6581900000,6004000000,7093300000,22545200000,22624700000,17658900000,16504600000,13489900000
69,Minority Interest,- -,11500000,12000000,15700000,10600000,14900000,6900000,3000000,5500000,6500000,224200000,201500000
70,Total Liabilities & Equity,- -,6813900000,6183400000,6470000000,6592500000,6018900000,7100200000,22548200000,22630200000,17665400000,16728800000,13691400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1024305/000093041313004596/0000930413-13-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430514000029/0001024305-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430515000058/0001024305-15-000058-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430516000181/0001024305-16-000181-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430517000071/0001024305-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430518000026/0001024305-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430519000097/coty-063019x10k.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430520000084/0001024305-20-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430521000063/0001024305-21-000063-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,61700000,61700000,-324400000,168000000,-97400000,232500000,156900000,-422200000,-168800000,-3784200000,-1006700000,-201300000
74,Depreciation and Amortization,199200000,213400000,246000000,259600000,250700000,230900000,232000000,555100000,737000000,736000000,716500000,585300000
75,Deferred Income Tax,-94100000,-40900000,-153600000,29900000,-38400000,-87200000,-139200000,-390000000,-101700000,-175700000,-342700000,-218100000
76,Stock Based Compensation,65900000,- -,142600000,144400000,46800000,30600000,22200000,24600000,30600000,14800000,29800000,29900000
77,Change in Working Capital,218700000,255600000,-30100000,728200000,233800000,-857300000,-247000000,-305300000,-170900000,188600000,3113700000,-3541600000
78,Accounts Receivable,-10400000,15700000,-42900000,-36700000,-31100000,-43500000,-44500000,-279800000,-79600000,344900000,424500000,10500000
79,Inventory,59000000,-60900000,-15700000,48800000,2200000,29400000,27200000,162300000,-60000000,-21900000,124400000,81200000
80,Accounts Payable,53600000,54700000,63600000,2400000,72400000,7000000,148200000,540900000,159500000,-127300000,-373500000,-49700000
81,Other Working Capital,- -,255600000,225500000,953700000,1187500000,330200000,83200000,-222100000,-393000000,-204400000,2909300000,-632300000
82,Other Non-Cash Items,42600000,-72300000,708800000,-866200000,141000000,976800000,476500000,1295300000,87500000,3660100000,-2561500000,3664500000
83,Cash Provided by Operating Activities,494000000,417500000,589300000,463900000,536500000,526300000,501400000,757500000,413700000,639600000,-50900000,318700000
84,CAPEX,-116300000,-112900000,-207400000,-193900000,-231500000,-200900000,-150100000,-432300000,-446400000,-426600000,-267400000,-173900000
85,Acquisitions Net,-34400000,-2140500000,-129100000,-61000000,-29500000,11700000,-908700000,-742600000,-278000000,-40800000,-566600000,2849100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-29600000,- -,- -,- -,- -,-237600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,800000,900000,2600000,25000000,3400000,18000000,29200000,11300000,36800000,13400000,-266800000,-169600000
89,Cash Used for Investing Activites,-149900000,-2252500000,-333900000,-229900000,-257600000,-171200000,-1059200000,-1163600000,-687600000,-454000000,-833400000,2441900000
90,Debt Repayment,-823700000,-234900000,-2991000000,-2273200000,-752000000,-3055600000,-3957700000,-2269900000,-10135800000,-1940200000,-4235100000,-7487800000
91,Common Stock Issued,- -,778500000,127000000,6200000,21900000,61000000,44700000,22800000,22600000,5900000,2700000,- -
92,Common Stock Repurchased,- -,- -,- -,-7500000,-569300000,-305100000,-794900000,-36300000,- -,- -,-4500000,- -
93,Dividends Paid,- -,-35300000,- -,-57400000,-76900000,-71000000,-89000000,-372600000,-375800000,-346200000,-196900000,-25700000
94,Other Financing Activites,816700000,1395500000,2766300000,2400900000,1370600000,2232500000,5389500000,3251200000,10558300000,2120200000,5311100000,4718400000
95,Cash Used/Provided by Financing Activities,-7000000,1903800000,-97700000,69000000,-5700000,-1138200000,592600000,595200000,69300000,-160300000,877300000,-2795100000
96,Effect of Forex Changes on Cash,-40700000,54500000,-59100000,8000000,44400000,-113600000,-3700000,9200000,-3900000,-7100000,-21400000,-7100000
97,Net Change In Cash,296400000,123300000,98600000,311000000,317600000,-896700000,31100000,198300000,-208500000,18200000,-28400000,-41600000
98,Cash at the End of Period,387500000,510800000,609400000,920400000,1238000000,341300000,372400000,570700000,362200000,380400000,352000000,310400000
99,Cash at the Beginning of Period,91100000,387500000,510800000,609400000,920400000,1238000000,341300000,372400000,570700000,362200000,380400000,352000000
100,Free Cash Flow,377700000,304600000,381900000,270000000,305000000,325400000,351300000,325200000,-32700000,213000000,-318300000,144800000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024305/000093041313004596/0000930413-13-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430514000029/0001024305-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430515000058/0001024305-15-000058-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430516000181/0001024305-16-000181-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430517000071/0001024305-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430518000026/0001024305-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1024305/000102430519000097/coty-063019x10k.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430520000084/0001024305-20-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1024305/000102430521000063/0001024305-21-000063-index.htm
102,false,,,,,,,,,,,,
