,https://roic.ai/company/NCSM,2015,2016,2017,2018,2019,2020,2021
35,Inventory,22424000,17017000,33135000,32753000,39921000,34871000,33917000
36,Other Current Assets,2197000,4561000,1616000,2037000,2444000,2975000,8016000
37,Total Current Assets,62745000,75022000,117809000,114590000,100596000,83674000,88493000
38,PP&E,10584000,9759000,23651000,32296000,32974000,29605000,29517000
39,Goodwill,119283000,122077000,184478000,23112000,15222000,15222000,15222000
40,Intangible Assets,138888000,118697000,136412000,48985000,45248000,6413000,5744000
41,Intangible Assets,258171000,240774000,320890000,72097000,60470000,21635000,20966000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,9326000,6000,205000,236000
44,Other Non-Current Assets,1037000,1272000,1563000,1392000,8531000,3559000,3113000
45,Total Non-Current Assets,269792000,251805000,346104000,115111000,101981000,55004000,53832000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,332537000,326827000,463913000,229701000,202577000,138678000,142325000
48,Accounts Payable,5077000,10258000,7448000,7167000,8549000,4943000,7502000
49,Short-Term Debt,- -,- -,5334000,2236000,1481000,3173000,4595000
50,Tax Payable,- -,- -,- -,- -,- -,1158000,294000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3010000,7285000,18907000,16222000,9750000,6768000,7721000
53,Total Current Liabilities,8087000,17543000,31689000,25625000,19780000,14884000,19818000
54,Long-Term Debt,85856000,88394000,21702000,23455000,11436000,8431000,13893000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,114000
56,Deferred Tax Liabilities,50432000,42695000,24183000,3132000,2956000,13000,114000
57,Other Non-Current Liabilities,693000,717000,17348000,1258000,4860000,1864000,-2281000
58,Total Non-Current Liabilities,136981000,131806000,63233000,27845000,19252000,10308000,11840000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,11604000,- -
61,Total Liabilities,145068000,149349000,94922000,53470000,39032000,25192000,31658000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,340000,340000,439000,451000,469000,24000,- -
64,Retained Earnings,39689000,21762000,23864000,-166206000,-199029000,-256628000,- -
65,Other Comprehensive Income/Loss,-4794000,-5763000,-67000000,-84000000,-81000000,-81780000,-82094000
66,Other Total Stockholders Equity,152234000,161139000,399544000,411056000,424170000,431992000,192761000
67,Total Stockholders Equity,187469000,177478000,356847000,161301000,144610000,93608000,110667000
68,Total Liabilities And Stockholders Equity,332537000,326827000,451769000,214771000,183642000,118800000,142325000
69,Minority Interest,- -,- -,12144000,14930000,18935000,19878000,- -
70,Total Liabilities & Equity,332537000,326827000,463913000,229701000,202577000,138678000,142325000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692427/000169242718000015/0001692427-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242719000012/0001692427-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242720000010/0001692427-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242721000007/0001692427-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242722000008/0001692427-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,28025000,-17927000,2102000,-190317000,-32823000,-57599000,-3779000
74,Depreciation and Amortization,27271000,25567000,27651000,17837000,10436000,5891000,4501000
75,Deferred Income Tax,-11300000,-9266000,-18959000,-28840000,9000000,-3202000,96000
76,Stock Based Compensation,1313000,1354000,6108000,10930000,12542000,8482000,6621000
77,Change in Working Capital,-18009000,2821000,28641000,2845000,-8149000,-12026000,-115000
78,Accounts Receivable,16297000,-6482000,-9490000,-4213000,4735000,19250000,-2558000
79,Inventory,4159000,3540000,-10608000,-2949000,-7639000,3241000,1754000
80,Accounts Payable,-3130000,5131000,-3755000,219000,2580000,-3170000,2843000
81,Other Working Capital,54658000,57479000,86120000,88965000,80816000,68790000,68675000
82,Other Non-Cash Items,-22931000,8135000,-29429000,201571000,26943000,93571000,4259000
83,Cash Provided by Operating Activities,4369000,10684000,16114000,14026000,17949000,35117000,11583000
84,CAPEX,-890000,-1157000,-5420000,-15809000,-6374000,-2153000,6000
85,Acquisitions Net,- -,- -,-81155000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-331000,-683000,1300000,-4276000,1121000,1039000,-66000
89,Cash Used for Investing Activites,-1221000,-1840000,-85221000,-15410000,-5002000,-1059000,-444000
90,Debt Repayment,-51570000,- -,-95463000,-11095000,-15021000,-16513000,-1318000
91,Common Stock Issued,39999000,102000,151356000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-175000,- -,-162000,-315000,-157000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1195000,-242000,28140000,6127000,-11969000,-13103000,-2947000
95,Cash Used/Provided by Financing Activities,-12766000,-315000,84033000,-5130000,-27305000,-29773000,-4265000
96,Effect of Forex Changes on Cash,-1008000,201000,608000,-2164000,470000,17000,-251000
97,Net Change In Cash,-10626000,8730000,15534000,-8678000,-13888000,4302000,6623000
98,Cash at the End of Period,9545000,18275000,33809000,25131000,11243000,15545000,22168000
99,Cash at the Beginning of Period,20171000,9545000,18275000,33809000,25131000,11243000,15545000
100,Free Cash Flow,3479000,9527000,10694000,-1783000,11575000,32964000,11589000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692427/000169242718000015/0001692427-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242719000012/0001692427-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242720000010/0001692427-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242721000007/0001692427-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242722000008/0001692427-22-000008-index.htm
102,false,,,,,,,
