,https://roic.ai/company/GPMT,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,60214000,68013000,118213000,133691000,80281000,261419000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,12686000,54967000,39302000,30906000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,662530000,1414908000,2325950000,3188888000,4325522000,- -,- -
45,Total Non-Current Assets,662530000,1427594000,2380917000,3228190000,4356428000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,3958229000,3988518000
47,Total Assets,722744000,1495607000,2499130000,3361881000,4436709000,4219648000,3988518000
48,Accounts Payable,73000,655000,3119000,6394000,7285000,- -,- -
49,Short-Term Debt,167262000,593632000,121314000,75000000,42008000,- -,- -
50,Tax Payable,70000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68467000,473329000,1545076000,-56654000,422575000,927128000,- -
53,Total Current Liabilities,235802000,1067616000,1669509000,24740000,471868000,927128000,- -
54,Long-Term Debt,167262000,593632000,121314000,922401000,1427143000,1527917000,2261208000
55,Deferred Revenue,155000,143000,197000,510000,228000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1464865000,732955000,1541487000,- -,- -
58,Total Non-Current Liabilities,167417000,593775000,1586376000,1655866000,2968858000,1527917000,2261208000
59,Other Liabilities,- -,- -,- -,4164476000,- -,3886591000,5236543000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,235802000,1067616000,1669509000,2533350000,3440726000,3285802000,2975335000
62,Preferred Stock,- -,- -,1000000,1000000,1000000,1000000,46000
63,Common Stock,486804000,392608000,432000,436000,549000,552000,538000
64,Retained Earnings,138000,35495000,28800000,91875000,162076000,-125004000,-112767000
65,Other Comprehensive Income/Loss,- -,-112000,- -,-192000,32000,- -,- -
66,Other Total Stockholders Equity,- -,- -,798389000,734412000,855479000,1057298000,1125241000
67,Total Stockholders Equity,486942000,427991000,828621000,827531000,1019136000,933846000,1013058000
68,Total Liabilities And Stockholders Equity,722744000,1495607000,2498130000,3360881000,4459862000,4219648000,3988393000
69,Minority Interest,- -,- -,1000000,1000000,-23153000,- -,125000
70,Total Liabilities & Equity,722744000,1495607000,2499130000,3361881000,4436709000,4219648000,3988518000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1703644/000170364418000018/0001703644-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364419000033/0001703644-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364420000010/0001703644-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364421000047/0001703644-21-000047-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,138000,35357000,53305000,63075000,70214000,-40439000,68353000
74,Depreciation and Amortization,- -,- -,- -,19000,266000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1087000,3496000,4782000,5276000,7591000
77,Change in Working Capital,3685000,-824015000,-551693000,1660247000,-500538000,-274122000,4016000
78,Accounts Receivable,-1567000,-7604000,-3360000,-3163000,-1055000,-1066000,1672000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,73000,582000,2464000,3275000,891000,- -,- -
81,Other Working Capital,-175588000,-999603000,-1551296000,108951000,-391587000,-665709000,- -
82,Other Non-Cash Items,-596000,822000000,516743000,-1669418000,489458000,329540000,-19659000
83,Cash Provided by Operating Activities,3227000,33342000,19442000,57419000,64182000,20255000,60301000
84,CAPEX,-662627000,-760731000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-78500000,-15000000,-1032478000,-1319529000,- -,- -,- -
87,Sales/Maturities of Investments,240000,2202000,6083000,15473000,8620000,30874000,- -
88,Other Investing Activites,-582044000,-744605000,100715000,468734000,-1042882000,310744000,139770000
89,Cash Used for Investing Activites,-660304000,-757403000,-925680000,-835322000,-1034262000,341618000,139770000
90,Debt Repayment,- -,-11518000,-704285000,-49394000,-660444000,-198294000,-811244000
91,Common Stock Issued,- -,10000000,181964000,3092000,207514000,- -,- -
92,Common Stock Repurchased,- -,-104196000,- -,- -,- -,- -,-17803000
93,Dividends Paid,- -,- -,-74169000,-68669000,-86412000,-34179000,-66758000
94,Other Financing Activites,713415000,829706000,1557167000,905579000,1545763000,40029000,570834000
95,Cash Used/Provided by Financing Activities,713415000,723992000,960677000,790608000,1006421000,-192444000,-324971000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-69000,54439000,12705000,36341000,169429000,-124900000
98,Cash at the End of Period,56338000,56019000,110718000,123423000,159764000,329193000,204293000
99,Cash at the Beginning of Period,- -,56088000,56279000,110718000,123423000,159764000,329193000
100,Free Cash Flow,3227000,33342000,19442000,57419000,64182000,20255000,60301000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1703644/000170364418000018/0001703644-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364419000033/0001703644-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364420000010/0001703644-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364421000047/0001703644-21-000047-index.htm,- -
102,false,,,,,,,
