,https://roic.ai/company/TGA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,- -,- -,1285714,1000000,1666667,2410000,4732000,5294118,6666667,7899001,18181000,18437440,30009841,44066100,51037283,49330809,53683891,53809091,58382353,58211111,60961905,59692000,64443000,66328000,72529000,73380000,73962000,74944000,73490000,72205369,72205369,72205369,72513657,72542071
28,Weighted Average Shares Outstanding Diluted,- -,- -,1285714,1000000,1666667,2410000,4732000,5294118,6666667,8571429,18181000,18437440,30009841,50492766,51037283,54263890,53683891,59190000,60151515,60918605,60961905,60704000,64443000,69103000,74937000,75523000,81972000,82400000,73490000,72205369,72205369,72631320,72513657,72542071
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/736744/000106299303000416/form20f.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/736744/000106299309000816/0001062993-09-000816-index.html,https://www.sec.gov/Archives/edgar/data/736744/000106299310000869/0001062993-10-000869-index.html,- -,https://www.sec.gov/Archives/edgar/data/736744/000106299312000908/0001062993-12-000908-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674413000006/0000736744-13-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/736744/000073674416000099/0000736744-16-000099-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674417000020/0000736744-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674418000008/0000736744-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674419000015/0000736744-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/736744/000156459020010395/0001564590-20-010395-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,400000,- -,100000,1200000,2600000,4500000,5000000,12200000,8800000,12700000,7600000,16200000,57800000,43900000,83000000,122100000,140390000,126910000,31468000,47449000,51705000,33251000,34510000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,400000,- -,100000,1200000,2600000,4500000,5000000,12200000,8800000,12700000,7600000,16200000,57800000,43900000,83000000,122100000,140390000,126910000,31468000,47449000,51705000,33251000,34510000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,300000,- -,1600000,1000000,3000000,2400000,6000000,7400000,7700000,14400000,28700000,35300000,69100000,162200000,221000000,148300000,117575000,22929000,14836000,18090000,12014000,10681000,9996000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,500000,- -,- -,- -,- -,- -,- -,1500000,- -,17287000,19602000,11474000,8692000,17516000,5828000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,300000,600000,900000,4700000,4000000,1900000,3100000,7600000,6800000,8500000,16872000,3206000,20095000,4745000,6583000,4338000,3530000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,700000,- -,1700000,2200000,5700000,7000000,11700000,20600000,17900000,31800000,40300000,53400000,130000000,213700000,310800000,280400000,274837000,170332000,86001000,81758000,78994000,65786000,53864000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,7800000,- -,14600000,16600000,18700000,26600000,46200000,63700000,96600000,119600000,179300000,167300000,200300000,284300000,285200000,293000000,267327000,161564000,214272000,204466000,198342000,200446000,143560000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,8200000,8200000,8200000,8200000,8200000,8200000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,48400000,90000000,100594000,122020000,105869000,41478000,36266000,33706000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,8200000,8200000,8200000,25700000,56600000,98200000,100594000,122020000,105869000,41478000,36266000,33706000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52900000,52400000,48900000,- -,3009000,- -,- -,4523000,8387000,3723000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,1600000,2600000,2000000,2000000,48500000,400000,- -,3400000,-50800000,-51600000,-44700000,11300000,-1425000,- -,- -,171000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,7800000,- -,14600000,16600000,18700000,28200000,48800000,65700000,98600000,172400000,187900000,175500000,211900000,312100000,342600000,395400000,379221000,285168000,320141000,245944000,239302000,242539000,147283000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,8500000,- -,16300000,18800000,24400000,35200000,60500000,86300000,116500000,204200000,228200000,228900000,341900000,525800000,653400000,675800000,654058000,455500000,406142000,327702000,318296000,308325000,201147000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372280,- -,- -,- -,- -,- -,- -,- -,- -,4727000,- -,49799000,- -,- -,- -,- -,- -,- -,78236000,- -,- -,1219000,16450000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,527720,- -,1500000,800000,900000,4500000,8800000,11100000,13500000,21573000,16300000,15401000,41800000,73700000,48600000,38400000,45150000,16497000,24529000,31119000,28007000,32373000,22065000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1900000,- -,1500000,800000,900000,4500000,8800000,11100000,13500000,26300000,16300000,65200000,41800000,73700000,48600000,38400000,45150000,16497000,102765000,31119000,28007000,33592000,38515000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,52000000,57200000,- -,86400000,57600000,115600000,87500000,69093000,63848000,5581000,69999000,52355000,37630000,6567000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3723000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,900000,1500000,2200000,2700000,- -,- -,- -,54000000,53400000,49700000,39715000,3471000,12480000,16577000,17643000,22613000,14047000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,200000,100000,100000,100000,900000,1500000,2200000,54700000,57200000,- -,86400000,111600000,169000000,137200000,108808000,67319000,18061000,86576000,69998000,60243000,24337000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1808000,2014000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2000000,- -,1700000,900000,1000000,4600000,9700000,12600000,15700000,81000000,73500000,65200000,128200000,185300000,217600000,175600000,153958000,83816000,120826000,117695000,98005000,93835000,62852000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27400000,27700000,- -,35400000,35600000,35600000,37000000,47300000,48900000,49400000,50100000,50500000,66100000,80200000,154300000,158700000,160600000,164006000,152084000,152084000,152084000,152084000,152805000,152805000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13500000,-21200000,- -,-20800000,-17700000,-12300000,-6400000,-700000,19200000,45400000,57800000,88400000,80000000,117900000,177700000,265400000,323900000,316667000,198202000,110537000,31801000,44951000,35878000,-41519000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-3500000,-7800000,-14000000,4168000,3642000,3212000,11766000,10880000,10880000,10880000,-65200000,-112200000,-161900000,-269710000,-397944000,-426193000,2793000,-939000,1134000,1900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,3500000,7844864,14002755,11000,1895000,2783000,3577000,4955000,6710000,4729000,73692000,123960000,177590000,289137000,419342000,448888000,23329000,24195000,24673000,25109000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,6500000,- -,14600000,17900000,23344864,30602755,50779000,73637000,100795000,123243000,154735000,163690000,213709000,340492000,435860000,500190000,500100000,371684000,285316000,210007000,220291000,214490000,138295000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,8500000,- -,16300000,18800000,24344864,35202755,60479000,86237000,116495000,204243000,228235000,228890000,341909000,525792000,653460000,675790000,654058000,455500000,406142000,327702000,318296000,308325000,201147000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55136,-2755,21000,63000,5000,-43000,-35000,10000,-9000,8000,-60000,10000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,8500000,- -,16300000,18800000,24400000,35200000,60500000,86300000,116500000,204200000,228200000,228900000,341900000,525800000,653400000,675800000,654058000,455500000,406142000,327702000,318296000,308325000,201147000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/736744/000106299303000416/form20f.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/736744/000106299309000816/0001062993-09-000816-index.html,https://www.sec.gov/Archives/edgar/data/736744/000106299310000869/0001062993-10-000869-index.html,- -,https://www.sec.gov/Archives/edgar/data/736744/000106299312000908/0001062993-12-000908-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674413000006/0000736744-13-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/736744/000073674416000099/0000736744-16-000099-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674417000020/0000736744-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674418000008/0000736744-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/736744/000073674419000015/0000736744-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/736744/000156459020010395/0001564590-20-010395-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-100000,- -,-800000,-900000,-800000,-807932,-6300000,-7700000,-207368,300000,3100000,5400000,5900000,5900000,19900000,26200000,12800000,31500000,-8400000,37900000,81400000,87700000,58500000,11482000,-105600000,-87665000,-78736000,15677000,-3995000,-77397000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,-100000,-700000,514139,868873,1241587,414737,635400,2762000,4277000,6253000,10381000,17281000,19120000,31325000,37262000,47579000,33933000,35100000,46900000,49400000,51589000,42875000,29177000,40036000,34291000,34948000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67168,-2448085,-285000,471000,263000,45000,- -,- -,- -,69572000,88075000,85351000,53226000,-10558000,12446000,21819000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2011000,2749000,3062000,4502000,5264000,5914000,2787000,2418000,1478000,3536000,2237000,857000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207368,-885137,621196,-2478700,3117398,-4259000,1280000,620000,1477000,-1269000,-8458000,-23065000,-56346000,-59506000,60390000,26488000,86428000,7296000,3858000,5910000,-2035000,1266000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6595000,-33766000,-58803000,-58792000,72733000,30710000,94646000,8093000,-3254000,6076000,1333000,685000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180000,17000,-60000,199000,- -,- -,- -,- -,- -,-1216000,1216000,-9122000,-3242000,5789000,905000,-6698000,7288000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,9108000,4004000,- -,- -,- -,- -,- -,- -,- -,- -,- -,807000,-193000,-70000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,-200000,- -,200000,1500000,293793,5141503,6719800,-1,-5871,-21545,100020,-357914,1329000,425000,1180000,7971000,-9700000,4067000,-13000,-69158000,-73679000,-59397000,-1722000,61594000,35263000,70995000,9778000,13681000,106983000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-200000,-800000,-800000,- -,- -,-289624,261387,- -,44392,6461651,7231152,12464399,13066000,39357000,47383000,53618000,57793000,36799000,51504000,63630000,93992000,199508000,146977000,77526000,-1065000,59450000,69192000,44836000,31709000
84,CAPEX,- -,- -,- -,- -,- -,- -,-2100000,-4300000,-1600000,-4113111,-7675042,-4116840,-2419299,-5991316,-4782251,-6476544,-14229106,-26367000,-32654000,-51555000,-37015000,-43857000,-35546000,-66932000,-70118000,-50770000,-128204000,-105156000,-44149000,-74356000,-37206000,-40120000,-36003000,-7063000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68001000,-62392000,- -,- -,-73836000,-27259000,- -,- -,1500000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-661035,2027370,-1110893,1382457,1191058,-702631,666024,1392850,4678000,-509000,1035000,-1963000,90463000,1444000,11290000,18860000,-24747000,-3751000,1091000,-16065000,-12521000,15783000,-128000,-1106000,-3979000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-2100000,-4300000,-1700000,-4774146,-5647672,-5227733,-1036842,-4800258,-5484882,-5810520,-12836256,-21689000,-33163000,-50520000,-106979000,-15786000,-34102000,-55642000,-118103000,-102776000,-131955000,-104065000,-58714000,-86877000,-21423000,-40248000,-37109000,-11042000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-55916000,-30000000,-41550000,-42000000,- -,- -,- -,-99416000,-17797000,-18468000,-18207000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,4994491,5575266,326733,1866316,4293146,210797,- -,2269705,10006000,1218000,297000,605000,512000,16578000,9959000,77540000,3333000,1301000,2562000,208000,- -,- -,- -,547000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-308,-41267,- -,- -,- -,-472000,-1135000,-1204000,- -,- -,- -,- -,- -,-12221000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18752000,-12865000,- -,- -,-2527000,-5078000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,300000,3100000,4900000,2200000,-220345,3185866,1502974,-760351,88028,-77634,- -,- -,-397000,-41000,-438000,56903000,-80000,-1528000,91700000,-6650000,85452000,13491000,-7835000,-5779000,-5288000,76822000,-4262000,-3388000,-1351000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,300000,3100000,4900000,2200000,4774146,8761132,1829707,1105965,4381174,133163,-308,2228438,9609000,1177000,-141000,57036000,-703000,5846000,45743000,40890000,47235000,-27208000,-24025000,-30657000,-5288000,-22594000,-24586000,-26387000,-19558000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-450000,-138000,-107000,218000,201000,- -,- -,-315000,639000,-1227000,-589000,-1635000,-2212000,548000,-102000,206000,150000
97,Net Change In Cash,- -,- -,- -,- -,- -,300000,3100000,4900000,2200000,- -,2896243,-3071293,69123,-374692,1109932,1420324,1856581,536000,7233000,-3385000,3893000,-5095000,8543000,41605000,-13898000,39090000,39118000,18298000,-13480000,-95442000,15981000,4256000,-18454000,1259000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,587587,3475491,392080,414737,64914,1174846,2595170,4451751,4988000,12221000,8836000,12729000,7634000,16177000,57782000,43884000,82974000,122092000,140390000,126910000,31468000,47449000,51705000,33251000,34510000
