,https://roic.ai/company/TOMZ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,367697,10000,60000,- -,70000,780000,160560,5916070,948320,4550000,2004940,897220,5198842,5317443
34,Net Receivables,- -,- -,4590,90000,- -,10000,220000,810000,441150,1414580,1521380,1835950,2145620,1494660,3915652,2200680
35,Inventory,- -,- -,- -,- -,- -,- -,- -,410000,772830,1395180,4047310,3518880,2682010,2315210,3781515,4743280
36,Other Current Assets,- -,- -,18710,3690000,- -,10000,- -,- -,377460,555690,251460,270430,411240,328720,810018,632159
37,Total Current Assets,- -,- -,390997,3790000,60000,20000,290000,2000000,1752000,9281520,6768470,10175260,7243810,5035810,13706027,12893562
38,PP&E,- -,- -,372990,310000,150000,30000,50000,160000,288160,250260,611810,712820,1588590,2042340,1929629,2071590
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,111100,100000,90000,80000,- -,3030000,2657060,2287550,1918040,1548530,1235820,1033290,775293,956284
41,Intangible Assets,- -,- -,111100,100000,90000,80000,- -,3030000,2657060,2287550,1918040,1548530,1235820,1033290,775293,956284
42,Investments,- -,- -,- -,5416,5416,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,6620,-5416,4584,- -,- -,540000,6540,4700,4700,4700,11390,114030,358935,351482
45,Total Non-Current Assets,- -,- -,490710,410000,250000,110000,50000,3730000,2951760,2542510,2534550,2266050,2835800,3189660,3063857,3379356
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,881707,4200000,310000,130000,340000,5730000,4703760,11824030,9303020,12441310,10079610,8225470,16769884,16272918
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,735880,751730,1133650,713220,1501469,1054040
49,Short-Term Debt,- -,- -,43976,45896,8077,84934,3988,- -,1077967,- -,- -,- -,- -,5071510,81223,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21814,86784,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118880,6000
52,Other Current Liabilities,50000,- -,812530,1624104,1311923,315066,226012,8450000,2500243,1401060,317070,350980,566570,516780,501849,756383
53,Total Current Liabilities,50000,- -,856506,1670000,1320000,400000,230000,8450000,3578210,1401060,1052950,1102710,1700220,6301510,2203421,1816423
54,Long-Term Debt,- -,- -,66365,20000,- -,- -,- -,70000,- -,- -,- -,5944380,4982470,- -,410700,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,401730,1034410,953828,861415
58,Total Non-Current Liabilities,- -,- -,66365,20000,10000,- -,- -,70000,- -,- -,- -,5944380,5384200,1034410,1364528,861415
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1105923,1034413,- -
61,Total Liabilities,50000,- -,922871,1690000,1330000,400000,230000,8520000,3578210,1401060,1052950,7047090,7084420,7335920,3567949,861415
62,Preferred Stock,- -,- -,12750000,3255100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,638,- -
63,Common Stock,10000,- -,344744,350000,480000,650000,750000,800000,836460,1200630,1208250,1220500,1242900,1247000,167615,196810
64,Retained Earnings,-720000,- -,-23239868,-9490000,-11030000,-11860000,-13610000,-19270000,-18997660,-31173970,-34331230,-37971050,-41201510,-43499240,-39108078,-43543576
65,Other Comprehensive Income/Loss,- -,- -,- -,-120000,348,- -,-210000,-120000,- -,- -,- -,- -,- -,-1339590,- -,- -
66,Other Total Stockholders Equity,664253,- -,10103960,9031778,9531974,10933718,13173312,15797540,19281655,40391214,41367943,42139675,42948708,44476273,52142399,56941846
67,Total Stockholders Equity,-45747,- -,-41164,3026878,-1012578,-271182,108412,-2787360,1125555,10422974,8250063,5394225,2995198,889543,13202574,13595080
68,Total Liabilities And Stockholders Equity,4253,- -,881707,4716878,317422,128818,338412,5732640,4703765,11824034,9303013,12441315,10079618,8225463,16770523,14456495
69,Minority Interest,-4253,- -,- -,-516878,-7422,1182,1588,-2640,-5,-4,7,-5,-8,7,-639,1816423
70,Total Liabilities & Equity,- -,- -,881707,4200000,310000,130000,340000,5730000,4703760,11824030,9303020,12441310,10079610,8225470,16769884,16272918
71,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314227/000117002213000002/0001170022-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/314227/000135448814001380/0001354488-14-001380-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000135448815001314/0001354488-15-001314-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000135448816006793/0001354488-16-006793-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495417002686/0001654954-17-002686-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495418003328/0001654954-18-003328-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495419003856/0001654954-19-003856-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495420003413/0001654954-20-003413-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495421003525/0001654954-21-003525-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000165495422004048/0001654954-22-004048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-22559,- -,-22745579,14169339,-1543179,-824880,- -,-5658312,268440,-12176320,-3157260,-3639810,-3230460,-2297730,4391166,-4435499
74,Depreciation and Amortization,- -,- -,32987,94090,85921,70128,40951,318264,470328,499344,586384,607127,634671,904906,918975,294665
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,373155,- -,- -,- -,629548,2564707,1706393,614696,635223,31522,114222,3130986,18354
77,Change in Working Capital,-10000,- -,-415509,2585509,-3380000,880000,440000,-6510000,4623790,9706670,-2164940,3357030,-3528960,-6809290,12768306,-425467
78,Accounts Receivable,- -,- -,-4590,-7070,5570,- -,-215657,-590152,327156,-980923,-361802,-514572,-109673,840964,-2502043,463925
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-407549,-508200,-633787,-2755688,204622,629023,348226,-1388986,-961765
80,Accounts Payable,10957,- -,- -,- -,- -,- -,- -,- -,- -,- -,-286004,15851,381919,-420427,788247,-447429
81,Other Working Capital,-50000,- -,-465509,2120000,-1260000,-380000,60000,-6450000,-1826210,7880460,5715520,9072550,5543590,-1265700,11502606,11077139
82,Other Non-Cash Items,20957,- -,22407040,-17636570,4559178,-454571,-867146,9914734,-9054324,-1390058,-383756,-3391811,4326247,7273441,-16631357,724263
83,Cash Provided by Operating Activities,-11602,- -,-721061,-414477,-278080,-329323,-386195,-1305766,-1127059,-1653971,-4504876,-2432241,-1766980,-814451,4578076,-3823684
84,CAPEX,- -,- -,-517077,-19556,-46248,- -,-48435,-3460991,-81994,-80496,-474866,-14829,-628085,-293264,-400656,-512669
85,Acquisitions Net,- -,- -,- -,- -,- -,-5898,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4801562,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3563062,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-517077,-19556,74257,20000,-48435,-3288300,- -,- -,12000,- -,- -,-147684,-111385,-126697
89,Cash Used for Investing Activites,- -,- -,-517077,-4821118,3637319,14102,-48435,-3460991,-81994,-80496,-462866,-14829,-628085,-293264,-400655,-639366
90,Debt Repayment,- -,- -,- -,- -,-202464,-8077,-102157,- -,- -,-1300000,- -,- -,-150000,- -,-500000,- -
91,Common Stock Issued,13300,- -,1499400,1950000,325000,127500,445000,1041099,765262,8735200,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-7000,- -,-3603062,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,110340,2931024,168992,134619,165211,4358582,-102000,54776,- -,6048750,- -,- -,624200,- -
95,Cash Used/Provided by Financing Activities,13300,- -,1602740,4881024,-3311534,254042,508054,5399681,663262,7489976,- -,6048750,-150000,- -,124200,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,348,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1698,- -,364602,-354571,48053,254042,508054,632926,-545790,5755509,-4967742,3601677,-2545065,-1107715,4301619,- -
98,Cash at the End of Period,1710,- -,367697,13126,61179,- -,73424,706350,160560,5916069,948326,4550003,2004938,897223,5198842,- -
99,Cash at the Beginning of Period,12,- -,3095,367697,13126,61179,- -,73424,706350,160560,5916068,948326,4550003,2004938,897223,5198842
100,Free Cash Flow,-11602,- -,-1238138,-434033,-324328,-329323,-434630,-4766757,-1209053,-1734467,-4979742,-2447070,-2395065,-1107715,4177420,-4336353
101,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314227/000117002213000002/0001170022-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/314227/000135448814001380/0001354488-14-001380-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000135448815001314/0001354488-15-001314-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000135448816006793/0001354488-16-006793-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495417002686/0001654954-17-002686-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495418003328/0001654954-18-003328-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495419003856/0001654954-19-003856-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495420003413/0001654954-20-003413-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495421003525/0001654954-21-003525-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000165495422004048/0001654954-22-004048-index.htm
102,false,,,,,,,,,,,,,,,,
