,https://roic.ai/company/SSTI,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,6368079,6292155,6197775,10569007,11846348,11730294,11898362
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1351636/000156459018006972/0001564590-18-006972-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459019006063/0001564590-19-006063-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459020010636/0001564590-20-010636-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459021016134/0001564590-21-016134-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000095017022004805/0000950170-22-004805-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,4124000,3865000,19567000,10218000,24550000,16043000,15636000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4124000,3865000,19567000,10218000,24550000,16043000,15636000
34,Net Receivables,2666000,2410000,3928000,15267000,13883000,12921000,16134000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,475000,597000,869000,1587000,1764000,2172000,2504000
37,Total Current Assets,7265000,6872000,24364000,27072000,40197000,31136000,34274000
38,PP&E,7013000,8959000,11596000,16504000,17112000,16228000,19732000
39,Goodwill,- -,- -,- -,1379000,1379000,2811000,2816000
40,Intangible Assets,52000,66000,95000,242000,249000,14540000,13564000
41,Intangible Assets,52000,66000,95000,1621000,1628000,17351000,16380000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,226000,220000,143000,1922000,1634000,1605000,1918000
45,Total Non-Current Assets,7291000,9245000,11834000,20047000,20374000,35184000,38030000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14556000,16117000,36198000,47119000,60571000,66320000,72304000
48,Accounts Payable,926000,1336000,1627000,1307000,1179000,1192000,1587000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,7434000,10863000,15780000,23102000,26360000,24174000,26235000
52,Other Current Liabilities,1320000,3026000,3815000,4427000,4885000,5613000,6680000
53,Total Current Liabilities,9680000,15225000,21222000,28836000,32424000,30979000,34502000
54,Long-Term Debt,9565000,11012000,- -,- -,- -,- -,- -
55,Deferred Revenue,2322000,3112000,2710000,1060000,598000,405000,474000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,43441000,43974000,104000,76000,298000,631000,3513000
58,Total Non-Current Liabilities,55328000,58098000,2814000,1136000,896000,1036000,3987000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,302000,945000,- -
61,Total Liabilities,65008000,73323000,24036000,29972000,33320000,32015000,38489000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8000,8000,48000,55000,57000,58000,58000
64,Retained Earnings,-80755000,-87615000,-97595000,-97377000,-95579000,-94354000,-98785000
65,Other Comprehensive Income/Loss,-5444000,-7815000,-8753000,-12171000,-16565000,-170000,-238000
66,Other Total Stockholders Equity,35739000,38216000,118462000,126640000,139338000,128771000,132780000
67,Total Stockholders Equity,-50452000,-57206000,12162000,17147000,27251000,34305000,33815000
68,Total Liabilities And Stockholders Equity,14556000,16117000,36198000,47119000,60571000,66320000,72304000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14556000,16117000,36198000,47119000,60571000,66320000,72304000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1351636/000156459018006972/0001564590-18-006972-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459019006063/0001564590-19-006063-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459020010636/0001564590-20-010636-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459021016134/0001564590-21-016134-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000095017022004805/0000950170-22-004805-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-6191000,-6860000,-9980000,-2725000,1798000,1225000,-4431000
74,Depreciation and Amortization,2264000,2551000,3121000,3917000,4982000,5586000,6827000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,137000,83000,628000,2468000,3057000,4462000,5872000
77,Change in Working Capital,92000,-5938000,11495000,-4906000,9537000,-7616000,-385000
78,Accounts Receivable,-1845000,255000,-1518000,-11224000,- -,74000,-3213000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,69000,410000,291000,-346000,-243000,-190000,354000
81,Other Working Capital,-2415000,-8353000,3142000,-1764000,7773000,157000,-228000
82,Other Non-Cash Items,195000,12421000,-1877000,-140000,-5682000,7552000,1939000
83,Cash Provided by Operating Activities,-3503000,2257000,3387000,-1386000,13692000,11209000,9822000
84,CAPEX,-2180000,-4554000,-6506000,-8492000,-4909000,-4131000,25000
85,Acquisitions Net,- -,- -,- -,-2000000,- -,-14627000,15000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-25000,-78000,- -,289000,- -,-72000,-7924000
89,Cash Used for Investing Activites,-2180000,-4554000,-6506000,-10203000,-4909000,-18758000,-7884000
90,Debt Repayment,-4960000,- -,-13500000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,32426000,- -,11247000,- -,898000
92,Common Stock Repurchased,- -,- -,- -,- -,-6718000,-1615000,-3601000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13606000,2008000,-175000,2437000,953000,659000,437000
95,Cash Used/Provided by Financing Activities,8646000,2008000,18751000,2437000,5482000,-956000,-2266000
96,Effect of Forex Changes on Cash,- -,30000,70000,-167000,7000,-2000,-79000
97,Net Change In Cash,2963000,-259000,15702000,-9319000,14272000,-8507000,-407000
98,Cash at the End of Period,4124000,3865000,19567000,10278000,24550000,16043000,15636000
99,Cash at the Beginning of Period,1161000,4124000,3865000,19597000,10278000,24550000,16043000
100,Free Cash Flow,-5683000,-2297000,-3119000,-9878000,8783000,7078000,9847000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1351636/000156459018006972/0001564590-18-006972-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459019006063/0001564590-19-006063-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459020010636/0001564590-20-010636-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000156459021016134/0001564590-21-016134-index.htm,https://www.sec.gov/Archives/edgar/data/1351636/000095017022004805/0000950170-22-004805-index.htm
102,false,,,,,,,
