,https://roic.ai/company/PFSI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.4972,0.3426,0.5091,0.1768,0.2586,0.3876,0.5053,0.5012,0.4555,0.6739,0.5634,0.3941
17,Operating Income,36359000,16599000,130812000,189323000,243039000,312730000,427949000,357026000,293780000,562190000,2280357000,1410611000
18,Operating Income ratio,0.5252,0.2165,0.4792,0.4695,0.4375,0.4001,0.4122,0.3246,0.2602,0.3328,0.5734,0.3965
19,Total Other Income Expenses (Gains),-3317000,-1900000,-12489000,-7197000,-20006000,-33537000,-44866000,-21117000,-26083000,-32746000,-39748000,-51428000
20,Income Before Tax,33042000,14699000,118323000,182126000,223033000,279193000,383083000,335909000,267697000,529444000,2240609000,1359183000
21,Income Before Tax Ratio,0.4773,0.1917,0.4335,0.4517,0.4015,0.3572,0.3690,0.3054,0.2371,0.3134,0.5634,0.3820
22,Income Tax expense (Gain),- -,- -,- -,9961000,26722000,31635000,46103000,24387000,23254000,136479000,593725000,355693000
23,Net Income,33042000,14699000,118323000,14400000,36842000,47228000,66079000,100757000,87694000,392965000,1646884000,1003490000
24,Net Income ratio,0.4773,0.1917,0.4335,0.0357,0.0663,0.0604,0.0637,0.0916,0.0777,0.2326,0.4141,0.2820
25,EPS,0.02,1.32,0.80,0.83,1.73,2.17,2.98,4.34,2.62,5.02,21.91,13.98
26,EPS Diluted,0.02,1.32,0.80,0.82,1.73,2.17,2.94,4.03,2.59,4.89,20.92,13.98
27,Weighted Average Shares Outstanding,11111171,11111171,11111171,17311000,21250000,21755000,22161000,23199000,33524000,78466000,75161000,58247000
28,Weighted Average Shares Outstanding Diluted,11111171,11111171,11111171,75892000,75955000,76104000,76629000,24999000,35322000,81076000,78728000,61944000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1745916/000155837019001499/0001558370-19-001499-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837020001774/0001558370-20-001774-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837021001742/0001558370-21-001742-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837022001740/0001558370-22-001740-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,16465000,12323000,30639000,76256000,105472000,99367000,37725000,155289000,188291000,532716000,340069000
32,Short-Term Investments,- -,16041000,53164000,142582000,21687000,46319000,85964000,170080000,117824000,74611000,15217000,6873000
33,Cash and Short-Term Investments,- -,32506000,65487000,173221000,97943000,151791000,185331000,207805000,273113000,262902000,547933000,346942000
34,Net Receivables,- -,57114000,68086000,82693000,93460000,240207000,238541000,36088000,33464000,48159000,87005000,12832453000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,153422000,541536000,685332000,1376514000,1400558000,2521121000,3417169000,2834844000,5244122000,12195928000,904198000
37,Total Current Assets,- -,243042000,675109000,941246000,1567917000,1792556000,2944993000,3661062000,3141421000,5555183000,12830866000,14083593000
38,PP&E,- -,2541000,5065000,9837000,11339000,16311000,31321000,29453000,33374000,103570000,74934000,120717000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,32680000,109770000,484428000,731395000,1414960000,1638877000,2145317000,2860360000,2989920000,2581174000,3987558000
41,Intangible Assets,- -,32680000,109770000,484428000,731395000,1414960000,1638877000,2145317000,2860360000,2989920000,2581174000,3987558000
42,Investments,- -,1247000,1897000,1722000,1582000,1145000,1228000,1205000,1397000,1672000,1105000,1300000
43,Tax Assets,- -,- -,- -,63117000,46038000,18378000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9771000,40322000,84125000,148854000,261944000,517483000,1531056000,1442021000,1553672000,16109716000,583444000
45,Total Non-Current Assets,- -,46239000,157054000,643229000,939208000,1712738000,2188909000,3707031000,4337152000,4648834000,18766929000,4693019000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,289281000,832163000,1584475000,2507125000,3505294000,5133902000,7368093000,7478573000,10204017000,31597795000,18776612000
48,Accounts Payable,- -,38993000,83058000,266284000,377196000,664719000,593316000,480248000,476953000,427139000,580454000,587432000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,822621000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35165000,685262000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,29622000,36795000,107993000,110932000,104744000,121435000,98598000,447083000,550727000,-164756000,715792000
53,Total Current Liabilities,- -,68615000,119853000,374277000,488128000,769463000,714751000,578846000,924036000,977866000,1238319000,1303224000
54,Long-Term Debt,- -,96302000,446547000,570409000,1185653000,1628809000,2939750000,5008633000,4861241000,6979598000,26743381000,6696201000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,449000,4013000,10585000,26078000,44672000,80045000,60940000,39505000,185046000,226707000,7358862000
58,Total Non-Current Liabilities,- -,96751000,450560000,580994000,1211731000,1673481000,3019795000,5069573000,4900746000,7164644000,26970088000,14055063000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,13579000,23424000,20971000,6605000,112130000,106057000,113492000
61,Total Liabilities,- -,165366000,570413000,955271000,1699859000,2442944000,3734546000,5648419000,5824782000,8142510000,28208407000,15358287000
62,Preferred Stock,- -,96374000,97148000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000,2000,2000,2000,2000,8000,8000,7000,6000
64,Retained Earnings,- -,44722000,147174000,14400000,51242000,98470000,164549000,265306000,343135000,726392000,2342329000,3292923000
65,Other Comprehensive Income/Loss,- -,-605000,-1429000,-3291000,-6401000,-10551000,-17392000,-24733000,-21877000,-26532000,- -,- -
66,Other Total Stockholders Equity,- -,79798000,116005000,156291000,169121000,182905000,200164000,228836000,1332525000,1361639000,1047052000,- -
67,Total Stockholders Equity,- -,123915000,261750000,167402000,213964000,270826000,347323000,469411000,1653791000,2061507000,3389388000,3418325000
68,Total Liabilities And Stockholders Equity,- -,289281000,832163000,1122673000,1913823000,2713770000,4081869000,6117830000,7478573000,10204017000,31597795000,18776612000
69,Minority Interest,- -,- -,- -,461802000,593302000,791524000,1052033000,1250263000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,289281000,832163000,1584475000,2507125000,3505294000,5133902000,7368093000,7478573000,10204017000,31597795000,18776612000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1745916/000155837019001499/0001558370-19-001499-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837020001774/0001558370-20-001774-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837021001742/0001558370-21-001742-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837022001740/0001558370-22-001740-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,33042000,14699000,118323000,14400000,36842000,47228000,66079000,100757000,87694000,392965000,1646884000,1003490000
74,Depreciation and Amortization,592000,9689000,12772000,30275000,42867000,155552000,306124000,281633000,258814000,609040000,225000,42940000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1292000,1116000,20308000,3937000,10331000,17521000,16198000,20697000,25251000,24771000,-5265000,37794000
77,Change in Working Capital,-6967000,-380829000,380829000,11713000,512820000,-56696000,1207149000,851974000,-864831000,2359932000,7015230000,-17993000
78,Accounts Receivable,2198000,-7319000,-173000,230000,-302000,7343000,2760000,-10802000,-9672000,-20257000,-574518000,35243000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1661000,8596000,22704000,10109000,16437000,26307000,33041000,-41412000,32750000,38551000,14590000,34666000
81,Other Working Capital,555256000,174427000,555256000,566969000,1079789000,1023093000,2230242000,3082216000,2217385000,4577317000,11592547000,- -
82,Other Non-Cash Items,-40606000,280607000,-840289000,-158715000,-1181814000,-110461000,-2534072000,-2138646000,1065468000,-5631831000,-8921604000,1496830000
83,Cash Provided by Operating Activities,-12647000,-74718000,-308057000,-98390000,-578954000,53144000,-938522000,-883585000,572396000,-2245123000,-264530000,2563061000
84,CAPEX,-12806000,-3352000,-3873000,-202829000,-140216000,-394728000,-30535000,-202314000,-258529000,-262954000,- -,-56879000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-24632000,-66960000,-120734000,-122227000,- -,- -,-434397000
87,Sales/Maturities of Investments,- -,- -,- -,- -,139515000,2033000,- -,- -,52256000,- -,- -,8344000
88,Other Investing Activites,-6490000,-10501000,-42165000,-278166000,-128150000,-531421000,54073000,-211706000,5889000,411736000,815034000,129583000
89,Cash Used for Investing Activites,-7176000,-12389000,-45535000,-284781000,6752000,-563142000,-34739000,-339231000,-322611000,148782000,783034000,-304369000
90,Debt Repayment,- -,-592331000,-8212350000,-15732342000,-19759907000,-50927523000,-77425466000,-58464566000,-68061469000,-85133932000,-4405000,-23969141000
91,Common Stock Issued,- -,- -,- -,230000000,- -,- -,- -,- -,- -,- -,9389000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-8599000,-5293000,-1056000,-337479000,-958194000
93,Dividends Paid,-2027000,- -,-15847000,- -,- -,- -,- -,- -,-10054000,-9708000,-30947000,-52896000
94,Other Financing Activites,24837000,689976000,8577647000,15903829000,20377726000,51466737000,78392622000,59634339000,67944782000,87273691000,6123549000,22528851000
95,Cash Used/Provided by Financing Activities,22810000,97645000,349450000,401487000,617819000,539214000,967156000,1161174000,-132034000,2128995000,5760107000,-2451380000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2987000,10538000,-4142000,18316000,45617000,29216000,-6105000,-61642000,117751000,32654000,16763000,-192688000
98,Cash at the End of Period,5927000,16465000,12323000,30639000,76256000,105472000,99367000,37725000,155924000,188578000,19013000,340093000
99,Cash at the Beginning of Period,2940000,5927000,16465000,12323000,30639000,76256000,105472000,99367000,38173000,155924000,2250000,532781000
100,Free Cash Flow,-25453000,-78070000,-311930000,-301219000,-719170000,-341584000,-969057000,-1085899000,313867000,-2508077000,-264530000,2506182000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1745916/000155837019001499/0001558370-19-001499-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837020001774/0001558370-20-001774-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837021001742/0001558370-21-001742-index.htm,https://www.sec.gov/Archives/edgar/data/1745916/000155837022001740/0001558370-22-001740-index.htm
102,false,,,,,,,,,,,,
