,https://roic.ai/company/RDHL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-1733000,-7873000,-9040000,-10772000,-10647000,-22002000,-30543000,-51972000,-39331000,-43201000,-63684000,-81135000
18,Operating Income ratio,-Infinity,-342.3043,-565.0000,-897.6667,-1.5180,-7334.0000,-302.4059,-12.9703,-4.7047,-6.8671,-0.9895,-0.9461
19,Total Other Income Expenses (Gains),-811000,-7630000,-1286000,144000,-64000,912000,1173000,6428000,511000,897000,-12489000,-16609000
20,Income Before Tax,-2544000,-15503000,-10326000,-10628000,-10711000,-21090000,-29370000,-45544000,-38820000,-42304000,-76173000,-97744000
21,Income Before Tax Ratio,-Infinity,-674.0435,-645.3750,-885.6667,-1.5271,-7030.0000,-290.7921,-11.3661,-4.6435,-6.7245,-1.1836,-1.1398
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2544000,-15503000,-10326000,-10628000,-10711000,-21090000,-29370000,-45544000,-38820000,-42304000,-76173000,-97744000
24,Net Income ratio,-Infinity,-674.0435,-645.3750,-885.6667,-1.5271,-7030.0000,-290.7921,-11.3661,-4.6435,-6.7245,-1.1836,-1.1398
25,EPS,-0.55,-3.20,-2.00,-1.70,-1.20,-1.90,-2.30,-2.60,-1.70,-1.40,-1.98,-2.10
26,EPS Diluted,-0.55,-3.20,-2.00,-1.70,-1.30,-1.90,-2.40,-2.60,-1.70,-1.40,-1.98,-2.10
27,Weighted Average Shares Outstanding,4665561,4808700,5259500,6237900,8661000,11100000,12769565,17516923,22835294,30217143,38398146,46527300
28,Weighted Average Shares Outstanding Diluted,4665561,4808700,5259500,6237900,8722200,11100000,12769565,17516923,22835294,30217143,38398146,46527300
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553846/000117184316008129/0001171843-16-008129-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837017000831/0001558370-17-000831-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837018000892/0001558370-18-000892-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837019001037/0001558370-19-001037-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837020001994/0001558370-20-001994-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14070000,16814000,11851000,5892000,5990000,53772000,8305000,7736000,6471000,29295000,29474000
32,Short-Term Investments,- -,4577000,1551000,262000,17053000,52148000,12382000,37900000,45449000,41401000,17000,8530000
33,Cash and Short-Term Investments,- -,18647000,18365000,12113000,22945000,58138000,66154000,46205000,53185000,47872000,29312000,38004000
34,Net Receivables,- -,19000,84000,427000,1064000,- -,99000,1528000,958000,1216000,29335000,32524000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,653000,769000,1882000,6526000,14810000
36,Other Current Assets,- -,70000,114000,61000,2010000,2372000,1562000,3290000,1876000,2244000,5322000,3814000
37,Total Current Assets,- -,18736000,18563000,12601000,26019000,60510000,67815000,51676000,56788000,53214000,70495000,89152000
38,PP&E,- -,132000,113000,103000,146000,124000,165000,230000,163000,3806000,5703000,4223000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1245000,1345000,1555000,2615000,6060000,6095000,5285000,5320000,16927000,-74015000,71644000
41,Intangible Assets,- -,1245000,1345000,1555000,2615000,6060000,6095000,5285000,5320000,16927000,- -,71644000
42,Investments,- -,- -,- -,81000,76000,134000,137000,152000,140000,152000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,73000,75000,- -,- -,- -,- -,- -,- -,- -,104043000,16169000
45,Total Non-Current Assets,- -,1450000,1533000,1739000,2837000,6318000,6397000,5667000,5623000,20885000,109746000,92036000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20186000,20096000,14340000,28856000,66828000,74212000,57343000,62411000,74099000,180241000,181188000
48,Accounts Payable,- -,337000,313000,882000,66000,2176000,2060000,5805000,3324000,4184000,11553000,11664000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1618000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19510000,- -
52,Other Current Liabilities,- -,176000,765000,1533000,1654000,3338000,3296000,6025000,7057000,6432000,42172000,68188000
53,Total Current Liabilities,- -,513000,1078000,2415000,1720000,5514000,5356000,11830000,10381000,10616000,73235000,81470000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2981000,81386000,86194000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,886000,- -,- -,2125000,1237000,6155000,448000,844000,500000,- -,4649000
58,Total Non-Current Liabilities,- -,886000,- -,- -,2125000,1237000,6155000,448000,844000,3481000,81386000,90843000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174528000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,3815000,5517000,4192000
61,Total Liabilities,- -,1399000,1078000,2415000,3845000,6751000,11511000,12278000,11225000,14097000,166377000,172313000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,142000,143000,174000,240000,343000,441000,575000,767000,962000,1054000,1495000
64,Retained Earnings,- -,-15209000,-23887000,-33260000,-42218000,-60887000,-88578000,-132944000,-169086000,-208363000,-280334000,-367866000
65,Other Comprehensive Income/Loss,- -,-15000,-39000,-63000,-90000,-126000,-170000,-251000,-341000,-444000,- -,- -
66,Other Total Stockholders Equity,- -,33869000,42801000,45074000,67079000,120747000,151008000,177685000,219846000,267847000,293144000,375246000
67,Total Stockholders Equity,- -,18787000,19018000,11925000,25011000,60077000,62701000,45065000,51186000,60002000,13864000,8875000
68,Total Liabilities And Stockholders Equity,- -,20186000,20096000,14340000,28856000,66828000,74212000,57343000,62411000,74099000,180241000,181188000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20186000,20096000,14340000,28856000,66828000,74212000,57343000,62411000,74099000,180241000,181188000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553846/000117184316008129/0001171843-16-008129-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837017000831/0001558370-17-000831-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837018000892/0001558370-18-000892-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837019001037/0001558370-19-001037-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837020001994/0001558370-20-001994-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-2544000,-15503000,-10326000,-10628000,-10711000,-21090000,-29370000,-45544000,-38820000,-42304000,-76173000,-97744000
74,Depreciation and Amortization,- -,15000,24000,24000,27000,36000,44000,81000,90000,1213000,8745000,18149000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,80000,2863000,1648000,1255000,1753000,1364000,1679000,2235000,2678000,3027000,4202000,10212000
77,Change in Working Capital,-21000,430000,459000,1047000,-3356000,2571000,553000,3664000,1419000,-2338000,8420000,-1153000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-1429000,570000,-258000,-27439000,-3021000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-653000,-116000,-1113000,-4644000,-8285000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,4745000,-1481000,860000,7369000,111000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17076000,12368000
82,Other Non-Cash Items,853000,7504000,1400000,-134000,58000,-707000,-1164000,-5205000,171000,-347000,6227000,5489000
83,Cash Provided by Operating Activities,-1632000,-4691000,-6795000,-8436000,-12229000,-17826000,-28258000,-44769000,-34462000,-40749000,-48579000,-65047000
84,CAPEX,-1108000,-181000,-108000,-224000,-1105000,-1634000,-120000,-1181000,-58000,-203000,-53774000,-115000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4586000,-1032000,- -,-17000000,-29558000,-12246000,-21923000,-6976000,-4325000,- -,-8500000
87,Sales/Maturities of Investments,92000,- -,4117000,1353000,243000,10000000,36838000,4522000,12386000,9692000,18125000,475000
88,Other Investing Activites,-1100000,-45000,-100000,-210000,-1035000,-1620000,-35000,-1035000,-35000,-35000,-53368000,- -
89,Cash Used for Investing Activites,-1016000,-4767000,2977000,1129000,-17862000,-21192000,24472000,-18582000,5352000,5164000,-35649000,-8140000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-796000,-1610000,-1683000
91,Common Stock Issued,- -,12662000,6248000,100000,19364000,54684000,35754000,22216000,41902000,36300000,23867000,78536000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11091000,1176000,302000,2180000,5005000,108000,263000,3437000,-139000,5000,62113000,-3391000
95,Cash Used/Provided by Financing Activities,11091000,13838000,6550000,2280000,24369000,54792000,36017000,25653000,41763000,35509000,84370000,73462000
96,Effect of Forex Changes on Cash,10000,640000,12000,64000,-237000,-150000,39000,367000,-103000,94000,130000,-96000
97,Net Change In Cash,8453000,5020000,2744000,-4963000,-5959000,15624000,32270000,-37331000,12550000,18000,272000,179000
98,Cash at the End of Period,9050000,14070000,16814000,11851000,5892000,21516000,53786000,16455000,29005000,29023000,29295000,29474000
99,Cash at the Beginning of Period,597000,9050000,14070000,16814000,11851000,5892000,21516000,53786000,16455000,29005000,29023000,29295000
100,Free Cash Flow,-2740000,-4872000,-6903000,-8660000,-13334000,-19460000,-28378000,-45950000,-34520000,-40952000,-102353000,-65162000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553846/000117184316008129/0001171843-16-008129-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837017000831/0001558370-17-000831-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837018000892/0001558370-18-000892-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837019001037/0001558370-19-001037-index.html,https://www.sec.gov/Archives/edgar/data/1553846/000155837020001994/0001558370-20-001994-index.html,- -,- -
102,false,,,,,,,,,,,,
