,https://roic.ai/company/LQMT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,- -,13738000,13029000,16138000,16263000,31830000,21710000,24936000,15991000,23240000,3610000,6923000,361000,860000,1974000,3638000,464000,554000,907000,520000,414000
54,Long-Term Debt,- -,- -,- -,3015000,2618000,6338000,225000,14588000,8521000,12661000,7962000,- -,- -,- -,- -,- -,- -,- -,- -,7074000,12768000,8267000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,74000,814000,892000,348000,552000,411000,163000,155000,681000,609000,856000,856000,856000,856000,856000,856000,856000,-6218000,-11869000,- -
58,Total Non-Current Liabilities,- -,- -,74000,3829000,3510000,6686000,777000,14999000,8684000,12816000,8643000,609000,856000,856000,856000,856000,856000,856000,856000,856000,899000,8267000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4478000,7343000,3717000,1771000,3759000,3904000,2637000,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,13812000,16858000,19648000,22949000,32607000,36709000,33620000,28807000,31883000,4219000,10545000,6848000,3721000,2889000,6541000,3512000,2335000,1763000,1419000,1313000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,2000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,106554000,42000,42000,42000,44000,45000,45000,48000,88000,130000,242000,376000,464000,477000,886000,909000,914000,914000,914000,914000
64,Retained Earnings,- -,- -,-76940000,-112587000,-125313000,-136559000,-149047000,-154710000,-162307000,-162777000,-165879000,-175859000,-189884000,-204090000,-210636000,-217945000,-236689000,-245376000,-252809000,-266284000,-268926000,-272303000
65,Other Comprehensive Income/Loss,- -,- -,1232000,127000,1971000,2270000,2609000,2792000,1027000,1441000,1494000,- -,- -,- -,- -,- -,- -,- -,- -,2000,116000,-62000
66,Other Total Stockholders Equity,- -,- -,20326000,128581000,132160000,132861000,136031000,137293000,140204000,142135000,146870000,173502000,188070000,201011000,218789000,221914000,290699000,296103000,297485000,305011000,305362000,305743000
67,Total Stockholders Equity,- -,- -,51172000,16163000,8860000,-1386000,-10363000,-14580000,-21031000,-19149000,-17425000,-2226000,-1572000,-2703000,8617000,4446000,54896000,51636000,45590000,39643000,37466000,34292000
68,Total Liabilities And Stockholders Equity,- -,- -,64984000,33021000,28508000,21563000,22244000,22129000,12589000,9658000,14458000,1993000,8973000,4145000,12338000,7335000,61437000,55148000,47925000,41406000,38885000,35605000
69,Minority Interest,- -,- -,21000,5000,- -,- -,- -,384000,651000,782000,587000,- -,- -,-42000,-54000,-62000,-70000,-73000,-74000,-75000,-76000,- -
70,Total Liabilities & Equity,- -,- -,65005000,33026000,28508000,21563000,22244000,22513000,13240000,10440000,15045000,1993000,8973000,4103000,12284000,7273000,61367000,55075000,47851000,41331000,38809000,35605000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141240/000114036112018391/0001140361-12-018391-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000114036113009347/0001140361-13-009347-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774914018084/0001437749-14-018084-index.htm,https://www.sec.gov/Archives/edgar/data/1141240/000143774915004069/0001437749-15-004069-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774916026976/0001437749-16-026976-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774917004289/0001437749-17-004289-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774918004036/0001437749-18-004036-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774919004072/0001437749-19-004072-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774920004697/0001437749-20-004697-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774921005422/0001437749-21-005422-index.htm,https://www.sec.gov/Archives/edgar/data/1141240/000143774922007571/0001437749-22-007571-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-23086000,-18352000,-33605000,-12726000,-11246000,-14522000,-5640000,-6572000,251000,-1896000,6155000,-14025000,-14206000,-6546000,-7309000,-18744000,-8687000,-7433000,-7430000,-2642000,-3377000
74,Depreciation and Amortization,- -,912000,2425000,4416000,6304000,6194000,9732000,8452000,1275000,1055000,361000,182000,186000,214000,301000,522000,527000,634000,1078000,1129000,402000,375000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000,142000,553000,363000,525000,1219000,1557000,1694000,1255000,924000,535000,351000,458000
77,Change in Working Capital,- -,673000,26385000,-25756000,-10320000,-463000,-13003000,10798000,-8396000,7671000,-1096000,11381000,3791000,1336000,7278000,-6278000,52732000,-14336000,-6530000,-11501000,-7195000,1723000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147000,-612000,-192000,177000,-162000,132000,53000,-65000,-62000,37000,-183000,-194000,124000
79,Inventory,- -,-311000,-1803000,-273000,-2103000,-151000,-2017000,1467000,1479000,-163000,-121000,7000,- -,- -,- -,-83000,-307000,-1000,360000,19000,-31000,8000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-854000,577000,-216000,337000,204000,-944000,64000,- -,- -,-162000
81,Other Working Capital,- -,- -,26385000,629000,-9691000,-10154000,-23157000,-12359000,-20755000,-13084000,-14180000,-2799000,992000,2328000,9606000,3328000,56060000,41724000,35194000,23693000,16498000,18221000
82,Other Non-Cash Items,- -,18315000,-29770000,27575000,10418000,-990000,12527000,-23849000,14121000,-12602000,12569000,-11200000,4512000,7154000,-9671000,4674000,-44025000,13471000,5710000,13395000,6854000,-1909000
83,Cash Provided by Operating Activities,- -,-3186000,-19312000,-27370000,-6324000,-6505000,-5266000,-10239000,428000,-3449000,10080000,7071000,-5173000,-4977000,-7419000,-6834000,-7816000,-7663000,-6251000,-3872000,-2230000,-2730000
84,CAPEX,- -,-1070000,-23787000,-2450000,-73000,-169000,-1036000,-1274000,-1155000,-758000,-340000,-178000,-86000,-198000,-1070000,-675000,-220000,-11874000,-292000,-630000,-116000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2000000,- -,- -,- -,-3000,-303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11692000,-26719000,-19310000
87,Sales/Maturities of Investments,- -,- -,1432000,2578000,- -,- -,- -,- -,- -,306000,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000,10836000,- -
88,Other Investing Activites,- -,-89000,59000,-298000,-235000,-90000,104000,400000,- -,-300000,-340000,-178000,-35000,-12000,-4000,-2008000,1981000,- -,- -,282000,200000,24617000
89,Cash Used for Investing Activites,- -,-1159000,-24296000,-170000,-308000,-259000,-935000,-1177000,-1155000,-452000,-340000,-178000,-86000,-197000,-1065000,-2683000,1783000,-11874000,-292000,-11835000,-15799000,5307000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29078000,-20377000,- -,-2762000,- -,- -,- -,-700000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,11454000,71225000,899000,- -,- -,- -,- -,2500000,- -,2046000,- -,3000000,- -,16000000,1568000,62650000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-13000,- -,- -,- -,- -,- -,- -,-237000,- -,-343000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3900000,-3914000,3980000,3851000,7062000,5572000,12674000,-2269000,33041000,14014000,-10350000,12061000,74000,431000,713000,206000,1950000,463000,21000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,15341000,67311000,4879000,3851000,7062000,5572000,12674000,-1184000,3963000,-4660000,-10350000,12299000,74000,16431000,2281000,62156000,1950000,463000,21000,- -,- -
96,Effect of Forex Changes on Cash,- -,-24000,70000,-213000,396000,353000,-619000,-222000,888000,-68000,-137000,-1493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10972000,23773000,-22874000,-2385000,651000,-1248000,1036000,-1023000,-6000,4943000,-4950000,7040000,-5100000,7947000,-7236000,56123000,-17587000,-6080000,-15686000,-18029000,2577000
98,Cash at the End of Period,- -,2230000,26003000,3129000,742000,1393000,144000,1180000,157000,151000,5049000,122000,7162000,2062000,10009000,2773000,58896000,41309000,35234000,19548000,1519000,4096000
99,Cash at the Beginning of Period,- -,-8742000,2230000,26003000,3127000,742000,1392000,144000,1180000,157000,106000,5072000,122000,7162000,2062000,10009000,2773000,58896000,41314000,35234000,19548000,1519000
100,Free Cash Flow,- -,-4256000,-43099000,-29820000,-6397000,-6674000,-6302000,-11513000,-727000,-4207000,9740000,6893000,-5259000,-5175000,-8489000,-7509000,-8036000,-19537000,-6543000,-4502000,-2346000,-2730000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141240/000114036112018391/0001140361-12-018391-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000114036113009347/0001140361-13-009347-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774914018084/0001437749-14-018084-index.htm,https://www.sec.gov/Archives/edgar/data/1141240/000143774915004069/0001437749-15-004069-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774916026976/0001437749-16-026976-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774917004289/0001437749-17-004289-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774918004036/0001437749-18-004036-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774919004072/0001437749-19-004072-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774920004697/0001437749-20-004697-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774921005422/0001437749-21-005422-index.htm,https://www.sec.gov/Archives/edgar/data/1141240/000143774922007571/0001437749-22-007571-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
