,https://roic.ai/company/ASTI,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),2740,1080691,424,3438,- -,- -,113471,272000,432426,8146789,27458190,7902926,6864521,7351681,8850002,3507533,-1088
14,Depreciation and Amortization,- -,12635,102416,1415424,2582706,6690601,7541962,6166123,6225854,5960843,5633428,3600007,1197285,381056,242780,337485,- -
15,EBITDA,-1204494,-3362669,-6400579,-11796214,-18340011,-24543117,-98088427,-22330275,-23472671,-29246817,-12706180,-27347849,-10498324,-8303755,4224521,5462462,-7088
16,EBITDA ratio,-Infinity,-Infinity,-6.3835,-7.8656,-12.5244,-9.8905,-24.8331,-18.6527,-17.8299,-5.4815,-1.9437,-15.6510,-16.3480,-9.6285,6.6176,82.0029,-11.6626
17,Operating Income,-1204494,-3375304,-7926315,-14236072,-21738429,-31096045,-105302385,-27941388,-28239276,-33858977,-27746384,-24628551,-14148055,-6570124,-3253048,-2454546,-8790246
18,Operating Income ratio,-Infinity,-Infinity,-7.9052,-9.4924,-14.8451,-12.5312,-26.6594,-23.3397,-21.4506,-6.3459,-4.2445,-14.0948,-22.0313,-7.6183,-5.0958,-36.8479,-14462.8033
19,Total Other Income Expenses (Gains),-2740,- -,- -,-1120936,284015,-180429,-78380919,-827010,-1891675,-9495472,-18051414,-14222231,-4412075,-9466368,-1615213,4071990,8784246
20,Income Before Tax,-1207234,- -,- -,- -,- -,- -,- -,-28768398,-30130951,-43354449,-45797798,-38850782,-18560130,-16036492,-4868261,1617444,-6000
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,- -,-24.0305,-22.8876,-8.1256,-7.0059,-22.2340,-28.9018,-18.5949,-7.6260,24.2812,-9.8719
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1207234,-4180912,-6503419,-13215076,-20922717,-31233718,-105743860,-28768398,-30130951,-43354449,-45797798,-38850782,-18560130,-16036492,-4868261,1617444,-6000
24,Net Income ratio,-Infinity,-Infinity,-6.4861,-8.8116,-14.2881,-12.5867,-26.7712,-24.0305,-22.8876,-8.1256,-7.0059,-22.2340,-28.9018,-18.5949,-7.6260,24.2812,-9.8719
25,EPS,-1207234.00,-160804.31,-114095.07,-127068.04,-158505.43,-193998.25,-539509.49,-112817.25,-113132.19,-56529.61,-45797798.00,-353188.93,-15000.00,-3450.00,-15.00,1.18,-1.54
26,EPS Diluted,-1207234.00,-160804.31,-114095.07,-127068.04,-158505.43,-193998.25,-539509.49,-112817.25,-113132.19,-56529.61,-45797798.00,-353188.93,-15000.00,-3450.00,-15.00,0.44,-1.54
27,Weighted Average Shares Outstanding,1,26,57,104,132,161,196,255,308,910,1,110,1176,4631,307528,1371035,3894015
28,Weighted Average Shares Outstanding Diluted,1,26,57,104,132,161,196,255,308,910,1,110,1176,4631,307528,3681809,3894015
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350102/000110465907024407/a07-7156_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1350102/000104746908002820/a2183526z10-k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000104746909002574/a2191310z10-k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000119312510058347/d10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000119312511049878/d10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010212000032/asti-20111231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010213000006/asti-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010214000021/asti-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010215000015/asti-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010216000140/asti-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010217000041/asti-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010218000006/asti-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010219000030/asti-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459021003381/0001564590-21-003381-index.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459021027744/0001564590-21-027744-index.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459022010099/0001564590-22-010099-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28059,786357,580746,32913304,21717215,27303217,11298885,12621477,3318155,3316576,326217,130946,89618,18159,- -,167725,5962
32,Short-Term Investments,- -,9885000,37120000,52136902,38788671,17486409,12616097,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,28059,10671357,37700746,85050206,60505886,44789626,23914982,12621477,3318155,3316576,326217,130946,89618,18159,- -,167725,5962
34,Net Receivables,- -,4440,204351,336236,155416,487550,342087,696503,479198,2782105,1992885,549204,6658,165160,- -,5539,49
35,Inventory,- -,- -,- -,- -,- -,1876834,2469123,2159553,1887612,2427212,4272380,2569816,1037854,660791,533892000,534431,592
36,Other Current Assets,27165,115222,349062,3046687,817629,510348,386624,235305,1157484,26660384,1394780,983796,494425,138369,51598000,71575,248
37,Total Current Assets,55224,10791019,38254159,88433129,61478931,47664358,27112816,15712838,6842449,35186277,7986262,4233762,1628555,982479,585490000,779270,6851
38,PP&E,- -,91008,1651243,26924511,102630763,100002842,28932656,27253715,20764217,14657188,9091028,5656012,4632176,4413358,32911969000,5652431,27411
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,37568,91215,137781,167030,259439,308785,500879,879541,1305895,1567567,1647505,1470796,862429,- -,439836,- -
41,Intangible Assets,- -,37568,91215,137781,167030,259439,308785,500879,879541,1305895,1567567,1647505,1470796,862429,- -,439836,- -
42,Investments,- -,- -,- -,- -,8316193,8770693,3582883,- -,- -,320000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,141007,370000,9820309,38716444,67812,3323412,1487365,56563,52813,4451022,105313,77562,49813,34061,-27863953000,500000,-21413
45,Total Non-Current Assets,141007,498576,11562767,65778736,111181798,112356386,34311689,27811157,21696571,20734105,10763908,7381079,6152785,5309848,5048016000,6592267,5997
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,196231,11289595,49816926,154211865,172660729,160020744,61424505,43523995,28539020,55920382,18750170,11614841,7781340,6292327,5633506000,7371537,12848
48,Accounts Payable,42974,73043,257529,265415,692557,1092449,658605,855373,442754,1569746,3625322,4902471,1600455,2318655,1663316000,736986,642
49,Short-Term Debt,200000,- -,- -,187150,217463,582257,648059,264935,282960,666303,1691024,3468128,4478619,8405579,17139279,1018604,897
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,250705,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,162487,305590,917321,7079279,10340308,4250189,3473543,1788635,4946525,8929327,4809431,9727085,8233408,13145906,29031427721,7396093,1512
53,Total Current Liabilities,405461,378633,1174850,7531844,11250328,6175600,4780207,2908943,5672239,11165376,10125777,18097684,14312482,23870140,30711883000,9151683,3051
54,Long-Term Debt,- -,- -,- -,7049902,7095386,7263129,6615070,6350135,6067175,6862434,5442194,5281776,5803490,5028969,6075307000,13218685,4532
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,9912,20021,12012,- -,15900,26660,38187,1365437,30227582,603505,2226457,2867703,29114,- -,5193372,8098
58,Total Non-Current Liabilities,- -,9912,20021,7061914,7095386,7279029,6641730,6388322,7432612,37090016,6045699,7508233,8671193,5058083,6075307000,18412057,12631
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25261
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5754633,- -
61,Total Liabilities,405461,388545,1194871,14593758,18345714,13454629,11421937,9297265,13104851,48255392,16171476,25605917,22983675,28928223,5633506000,27563740,15682
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,36,21,21,13,6,6,5,5,- -
63,Common Stock,97,532,1144,2095,2658,3226,3935,5114,6175,1821,15520,55422,960660,6354,475917000,1810258,0
64,Retained Earnings,-1207234,-5388146,-11891565,-25106641,-46029358,-77263076,-183006936,-211775334,-247842047,-299283996,-345081794,-383932576,-402495476,-418531968,- -,-421782785,-427783
65,Other Comprehensive Income/Loss,- -,-12635,-115051,331068,-3012,-226,1019,- -,-17850688,-22941264,-28484708,-30983448,-32013686,-32207829,- -,-24848408,- -
66,Other Total Stockholders Equity,997907,16301299,60627527,164391585,200344727,223826191,233004550,245996950,281120693,329888408,376129655,400869513,418346161,428097541,-501023786,424628727,424949
67,Total Stockholders Equity,-209230,10901050,48622055,139618107,154315015,146566115,50002568,34226730,15434169,7664990,2578694,-13991076,-15202335,-22635896,-25106781,-20192203,-2834
68,Total Liabilities And Stockholders Equity,196231,11289595,49816926,154211865,172660729,160020744,61424505,43523995,28539020,55920382,18750170,11614841,7781340,6292327,5608399219,7371537,12848
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25106781,- -,-0
70,Total Liabilities & Equity,196231,11289595,49816926,154211865,172660729,160020744,61424505,43523995,28539020,55920382,18750170,11614841,7781340,6292327,5633506000,7371537,12848
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350102/000110465907024407/a07-7156_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1350102/000104746908002820/a2183526z10-k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000104746909002574/a2191310z10-k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000119312510058347/d10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000119312511049878/d10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010212000032/asti-20111231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010213000006/asti-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010214000021/asti-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010215000015/asti-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010216000140/asti-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010217000041/asti-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010218000006/asti-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010219000030/asti-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459021003381/0001564590-21-003381-index.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459021027744/0001564590-21-027744-index.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459022010099/0001564590-22-010099-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1207234,-4180912,-6503419,-13215076,-20922717,-31233718,-105743860,-28768398,-30130951,-43354449,-45797798,-38850782,-18560130,-16036492,-4868261,1617444,-6000
74,Depreciation and Amortization,- -,12635,102416,1415424,2582706,6690601,7541962,6166123,6225854,5960843,5633428,3600007,1197285,381056,242780,337485,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2676957,2713468,1572607,924315,621505,834317,856811,888348,123268,29265,20750,- -,- -
77,Change in Working Capital,205461,10762623,26666923,43821976,-30672682,-8739845,-19156149,-9528714,-11633685,22850691,-26160416,-11724407,1179995,-10203734,-30103505339,30118020587,8376213
78,Accounts Receivable,- -,- -,- -,- -,202389,-351180,142939,241923,-357912,-2356595,711696,1321265,569632,-155966,164801,-5398,- -
79,Inventory,- -,- -,- -,- -,- -,-1638025,-592289,309570,271941,-539600,-1845168,1702564,1168585,377063,126899,-539,- -
80,Accounts Payable,- -,- -,- -,- -,427143,399893,-433844,196538,-412619,1126992,2055575,1492053,-592403,994418,-288945,-321576,- -
81,Other Working Capital,-350237,10412386,37079309,80901285,50228603,41488758,22332609,12803895,1170210,24020901,-2139515,-13863922,-12683927,-22887661,-30126393000,-8372413,3800
82,Other Non-Cash Items,959124,-9351693,-24559470,-41100986,32123175,9046582,95853973,13545133,14567691,-14376543,43366041,29231350,3461653,21814059,30105394652,-30122856654,-8370213
83,Cash Provided by Operating Activities,-42649,-2757347,-4293550,-9078662,-14212561,-21522912,-19931467,-17661541,-20349586,-28085141,-22101934,-16855484,-12597929,-4015846,-2715418,-2881138,- -
84,CAPEX,- -,-480010,-11166606,-50711978,-45650224,-14397234,-7909676,-6479203,-933617,-600448,-337761,-241179,-69054,-16447,-6393,-156,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-320000,191291,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-46244450,-97116344,-552312954,-143989514,-38601173,-28215821,-638572,- -,-171000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,36359450,69881344,537627120,157003665,59906220,33087378,13253650,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-2351682,-36300824,-5551548,-60408,1215057,-413876,-465721,-358013,-106683,87348,-2447,833884,254444,- -
89,Cash Used for Investing Activites,- -,-10365010,-38401606,-67749494,-30336073,6907813,-3038119,7562928,-933617,-1091448,-195916,-158407,80946,-2447,827491,254444,- -
90,Debt Repayment,- -,- -,- -,- -,-187151,-567463,-582257,-648059,-264936,-282960,-1276259,-266027,-2056845,-145666,-10000,-145000,- -
91,Common Stock Issued,38880,16503120,42613480,106360020,35339614,22178501,7547511,12069264,12457300,25907495,9300000,15236147,9010000,- -,- -,2500000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2062866,-1409937,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,31828,-2622465,-123935,2800694,262948,- -,- -,- -,-212483,3550475,11283750,1848500,5522500,4092500,1879768,443200,- -
95,Cash Used/Provided by Financing Activities,70708,13880655,42489545,109160714,33352545,20201101,6965254,11421205,11979881,29175010,19307491,16818620,12475655,3946834,1869768,2798200,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,758298,-205611,32332558,-11196089,5586002,-16004332,1322592,-9303322,-1579,-2990359,-195271,-41328,-71459,- -,- -,- -
98,Cash at the End of Period,28059,786357,580746,32913304,21717215,27303217,11298885,12621477,3318155,3316576,326217,130946,89618,18159,- -,171506,- -
99,Cash at the Beginning of Period,- -,28059,786357,580746,32913304,21717215,27303217,11298885,12621477,3318155,3316576,326217,130946,89618,18159,- -,171506
100,Free Cash Flow,-42649,-3237357,-15460156,-59790640,-59862785,-35920146,-27841143,-24140744,-21283203,-28685589,-22439695,-17096663,-12666983,-4032293,-2721811,-2881294,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350102/000110465907024407/a07-7156_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1350102/000104746908002820/a2183526z10-k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000104746909002574/a2191310z10-k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000119312510058347/d10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000119312511049878/d10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010212000032/asti-20111231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010213000006/asti-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010214000021/asti-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010215000015/asti-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010216000140/asti-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010217000041/asti-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010218000006/asti-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000135010219000030/asti-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459021003381/0001564590-21-003381-index.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459021027744/0001564590-21-027744-index.htm,https://www.sec.gov/Archives/edgar/data/1350102/000156459022010099/0001564590-22-010099-index.htm
102,false,,,,,,,,,,,,,,,,,
