,https://roic.ai/company/PTNR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.8034,-0.3601,-0.0934,0.0208,0.2602,0.0917,0.0692,0.1217,0.1537,0.1661,0.1877,0.1862,0.0633,0.0858,0.0299,0.0368,-0.0097,0.0147,0.0349,0.0175,0.0059,0.0053,0.0342
25,EPS,-4.81,-4.13,-1.70,0.47,6.34,2.57,2.19,4.44,6.02,6.77,7.42,8.03,2.85,3.07,0.87,1.04,-0.26,0.33,0.70,0.34,0.12,0.09,0.63
26,EPS Diluted,-4.81,-4.13,-1.70,0.46,6.29,2.56,2.17,4.41,5.97,6.73,7.37,7.95,2.84,3.07,0.87,1.04,-0.26,0.33,0.69,0.34,0.12,0.09,0.63
27,Weighted Average Shares Outstanding,151136767,183732966,178286224,179984090,181930803,183389383,161711125,153633758,156414684,155349784,153773585,154794521,155542000,155700326,155687002,155802000,156081000,157575758,162733000,167647059,162831000,182331000,182331000
28,Weighted Average Shares Outstanding Diluted,151136767,183732966,178903982,183069394,183243157,184108917,163617272,154677685,157787009,156347843,154816825,156352201,155779000,155700326,155687002,156400000,156081000,157575758,164537000,167647059,163608000,183188000,182331000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096691/000115697304000566/0001156973-04-000566-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096691/000117891310000754/0001178913-10-000754-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891311000835/0001178913-11-000835-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891312000768/0001178913-12-000768-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891313000753/0001178913-13-000753-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891314000884/0001178913-14-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891315000814/0001178913-15-000814-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891316004683/0001178913-16-004683-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891317000974/0001178913-17-000974-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891318001012/0001178913-18-001012-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891319000942/0001178913-19-000942-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891320000927/0001178913-20-000927-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1361473,3759268,4618045,4006600,77316225,148474906,183674000,329000000,321000000,532000000,548000000,481000000,663000000,926000000,716000000,867000000,416000000,299000000,376000000,308000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,452000000,150000000,- -,552000000,411000000,344000000
33,Cash and Short-Term Investments,- -,- -,- -,1361473,3759268,4618045,4006600,77316225,148474906,183674000,329000000,321000000,532000000,548000000,481000000,663000000,926000000,1168000000,1017000000,416000000,851000000,787000000,652000000
34,Net Receivables,- -,- -,- -,570571235,536480717,696660157,891700800,1026796875,1179108294,1163021000,1306000000,1402000000,1571000000,1451000000,1099000000,982000000,1106000000,1047000000,856000000,689000000,663000000,606000000,620000000
35,Inventory,- -,- -,- -,137703317,102442239,101843000,209189600,126092763,143385263,124766000,158000000,101000000,162000000,98000000,93000000,138000000,120000000,96000000,93000000,98000000,124000000,77000000,87000000
36,Other Current Assets,- -,- -,- -,107950140,219101664,255973492,65320000,40372600,46207787,70193000,14000000,6000000,43000000,23000000,30000000,34000000,33000000,28000000,43000000,51000000,26000000,26000000,130000000
37,Total Current Assets,- -,- -,- -,817586166,861783888,1059094695,1170217000,1270578463,1517176249,1541654000,1807000000,1830000000,2308000000,2120000000,1703000000,1817000000,2185000000,2339000000,2009000000,1254000000,1664000000,1496000000,1489000000
38,PP&E,- -,- -,- -,1867192079,1687658478,1846574966,1767743200,1742290000,1739377715,1756231000,2064000000,2058000000,2051000000,1990000000,1791000000,1661000000,1414000000,1207000000,1180000000,1211000000,2012000000,2158000000,2323000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407000000,407000000,407000000,407000000,407000000,407000000,407000000,407000000,407000000,407000000,407000000
40,Intangible Assets,- -,- -,- -,1271175047,1320527997,1328033241,1320315000,1243395200,1156864241,1060503000,1260000000,1077000000,1290000000,1217000000,1167000000,1079000000,956000000,793000000,697000000,617000000,538000000,521000000,472000000
41,Intangible Assets,- -,- -,- -,1271175047,1320527997,1328033241,1320315000,1243395200,1156864241,1060503000,1260000000,1077000000,1697000000,1624000000,1574000000,1486000000,1363000000,1200000000,1104000000,1024000000,945000000,928000000,879000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,81869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,280000000
43,Tax Assets,- -,- -,- -,- -,412062895,94613817,86447800,75913463,93984881,109766000,14000000,- -,30000000,36000000,12000000,14000000,49000000,41000000,55000000,38000000,41000000,29000000,34000000
44,Other Non-Current Assets,- -,- -,- -,46057651,72333205,166120146,264270000,354435538,536783805,417516000,478000000,662000000,1001000000,647000000,407000000,518000000,515000000,410000000,370000000,449000000,353000000,359000000,388000000
45,Total Non-Current Assets,- -,- -,- -,3184424777,3492582574,3435342170,3438776000,3416034200,3527010642,3425885000,3816000000,3797000000,4779000000,4297000000,3784000000,3679000000,3341000000,2858000000,2709000000,2722000000,3351000000,3629000000,3904000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,4002010943,4354366462,4494436865,4608993000,4686612663,5044186892,4967539000,5623000000,5627000000,7087000000,6417000000,5487000000,5496000000,5526000000,5197000000,4718000000,3976000000,5015000000,5125000000,5393000000
48,Accounts Payable,- -,- -,- -,736210849,637784708,861321518,665109400,688381475,751532029,- -,777000000,843000000,913000000,936000000,761000000,804000000,715000000,681000000,787000000,711000000,716000000,666000000,705000000
49,Short-Term Debt,- -,- -,- -,- -,119363307,- -,34440200,40065088,28351624,567315000,752000000,628000000,498000000,306000000,334000000,309000000,554000000,498000000,705000000,162000000,498000000,410000000,393000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,11000000,- -,- -,31000000,38000000,52000000,45000000,50000000,35000000,30000000,27000000,33000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,51000000,52000000,40000000,37000000,35000000,245000000,177000000,72000000,72000000,76000000,131000000,89000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,286800800,296353588,379880142,1166444000,330000000,304000000,426000000,243000000,242000000,237000000,251000000,251000000,247000000,205000000,199000000,127000000,235000000
53,Total Current Liabilities,- -,- -,- -,736210849,757148015,861321518,986350400,1024800150,1159763795,1733759000,1915000000,1826000000,1889000000,1525000000,1374000000,1385000000,1765000000,1607000000,1811000000,1150000000,1489000000,1334000000,1422000000
54,Long-Term Debt,- -,- -,- -,3301269561,2443511247,1942556934,2686478200,2282113450,2077912222,1624727000,1379000000,3088000000,4673000000,4054000000,3147000000,2966000000,2547000000,2196000000,1218000000,1204000000,1899000000,1887000000,2003000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,195000000,164000000,133000000,102000000,71000000,39000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,17000000,9000000,- -,4000000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,61052835,82533818,100561169,121343400,128944625,146824627,169746000,367000000,85000000,83000000,88000000,92000000,102000000,86000000,88000000,91000000,83000000,108000000,110000000,70000000
58,Total Non-Current Liabilities,- -,- -,- -,3362322396,2526045064,2043118103,2807821600,2411058075,2224736849,1794473000,1746000000,3175000000,4773000000,4151000000,3239000000,3072000000,2741000000,2479000000,1473000000,1420000000,2109000000,2068000000,2112000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,567315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617000000,702000000,720000000
61,Total Liabilities,- -,- -,- -,4098533245,3283193080,2904439621,3794172000,3435858225,3384500644,3528232000,3661000000,5001000000,6662000000,5676000000,4613000000,4457000000,4506000000,4086000000,3284000000,2570000000,3598000000,3402000000,3534000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1816879,1818579,1842902,1522600,1541775,1577018,1578000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,-2388513079,-1217435954,-752262283,-1573572600,-1196210988,-893313283,-781540000,-172000000,-124000000,-326000000,-10000000,123000000,286000000,267000000,358000000,491000000,563000000,576000000,606000000,742000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-6394656,-6855649,-25960319,-12723600,-3124141650,-3624261378,-4038344000,-617000000,-965000000,-1352000000,-1633000000,-1739000000,-1844000000,-1738000000,-1674000000,-1746000000,-1674000000,-1825000000,-1605000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,2296568553,2293646406,2366376944,2399594600,5569565300,6175683890,6257613000,2749000000,1713000000,2101000000,2382000000,2488000000,2595000000,2489000000,2425000000,2687000000,2515000000,2664000000,2720000000,1115000000
67,Total Stockholders Equity,- -,- -,- -,-96522302,1071173382,1589997244,814821000,1250754438,1659686248,1439307000,1962000000,626000000,425000000,741000000,874000000,1039000000,1020000000,1111000000,1434000000,1406000000,1417000000,1723000000,1859000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,4002010943,4354366462,4494436865,4608993000,4686612663,5044186892,4967539000,5623000000,5627000000,7087000000,6417000000,5487000000,5496000000,5526000000,5197000000,4718000000,3976000000,5015000000,5125000000,5393000000
69,Minority Interest,- -,- -,- -,0,- -,-0,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,4002010943,4354366462,4494436865,4608993000,4686612663,5044186892,4967539000,5623000000,5627000000,7087000000,6417000000,5487000000,5496000000,5526000000,5197000000,4718000000,3976000000,5015000000,5125000000,5393000000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1096691/000115697304000566/0001156973-04-000566-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096691/000117891310000754/0001178913-10-000754-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891311000835/0001178913-11-000835-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891312000768/0001178913-12-000768-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891313000753/0001178913-13-000753-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891314000884/0001178913-14-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891315000814/0001178913-15-000814-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891316004683/0001178913-16-004683-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891317000974/0001178913-17-000974-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891318001012/0001178913-18-001012-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891319000942/0001178913-19-000942-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891320000927/0001178913-20-000927-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-727850403,-761213796,-302227365,84321223,1157898217,472421698,354328800,680268200,942177710,1051479000,1141000000,1243000000,443000000,478000000,135000000,162000000,-40000000,52000000,114000000,57000000,19000000,17000000,115000000
74,Depreciation and Amortization,423823865,662238763,556874246,525913008,539830041,569987611,693399400,620593925,604961884,653475000,577000000,669000000,743000000,700000000,669000000,652000000,641000000,565000000,540000000,545000000,723000000,714000000,713000000
75,Deferred Income Tax,- -,- -,- -,- -,-631164559,284329152,197951800,35128038,-23258125,-40125000,63000000,18000000,2000000,143000000,26000000,70000000,-7000000,40000000,16000000,18000000,5000000,13000000,10000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,8691000,22000000,23000000,19000000,11000000,5000000,8000000,17000000,45000000,20000000,15000000,17000000,12000000,15000000
77,Change in Working Capital,-189241686,-2832830,89454830,-31034005,7108593,-60703555,-349278000,-142774263,-160720895,39386000,-208000000,-194000000,-577000000,268000000,463000000,-46000000,120000000,139000000,112000000,-116000000,-14000000,-27000000,-154000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,59933000,-227000000,-214000000,-190000000,467000000,566000000,-26000000,-183000000,226000000,283000000,124000000,42000000,82000000,-24000000
79,Inventory,-43369529,-65697375,36722543,-13017015,34505023,1208460,-107598600,82611338,-16599176,8102000,-33000000,57000000,-58000000,65000000,5000000,-45000000,18000000,24000000,3000000,-5000000,-26000000,47000000,-10000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,10625000,26000000,-2000000,33000000,-179000000,-115000000,44000000,-5000000,-38000000,69000000,-69000000,63000000,-57000000,3000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,1065763,528243,673000,8000000,-13000000,-302000000,-41000000,-13000000,-33000000,304000000,-60000000,-251000000,-149000000,-99000000,-53000000,-80000000
82,Other Non-Cash Items,112623015,-9623528,76863490,103970084,-46397743,9106612,109263800,26631425,96822743,126191000,158000000,199000000,940000000,105000000,241000000,105000000,191000000,104000000,171000000,106000000,87000000,57000000,75000000
83,Cash Provided by Operating Activities,-380645209,-111431392,420965201,683170310,1027274549,1275141519,1005665800,1219847325,1459983316,1839097000,1753000000,1958000000,1570000000,1705000000,1539000000,951000000,922000000,945000000,973000000,625000000,837000000,786000000,774000000
84,CAPEX,-693003742,-714577321,-598801385,-600628016,-348909806,-610915576,-498520400,-371095975,-533876539,-522130000,-757000000,-466000000,-504000000,-500000000,-482000000,-432000000,-359000000,-196000000,-376000000,-502000000,-629000000,-573000000,-672000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-597000000,- -,- -,- -,-1000000,- -,- -,-3000000,-3000000,- -,- -
86,Purchases of Investments,- -,- -,-16383701,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-4000000,- -,-452000000,- -,- -,-552000000,-14000000,-58000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,5000000,- -,18000000,- -,- -,- -,-452000000,302000000,150000000,- -,- -,- -
88,Other Investing Activites,-465243176,-329648333,-11522264,-216512232,-26314877,-63940503,-47812400,-76263100,-7572772,-8698000,-230000000,-130000000,-139000000,-122000000,-147000000,-140000000,-139000000,392000000,-151000000,-155000000,-164000000,-158000000,-150000000
89,Cash Used for Investing Activites,-1158246918,-1044225654,-626707351,-817140248,-375224683,-674856079,-546332800,-447359075,-541449311,-530828000,-732000000,-486000000,-1085000000,-471000000,-498000000,-431000000,-356000000,-639000000,-72000000,-351000000,-1181000000,-581000000,-727000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21808000,-584000000,-759000000,-1417000000,-851000000,-927000000,-409000000,-841000000,-658000000,-1775000000,-706000000,-333000000,-801000000,-419000000
91,Common Stock Issued,2091820424,- -,48394,4240966,3379853,25843789,37131200,44201763,75727716,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000000,- -,- -,276000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1091129200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-41745000,-351402538,-625601928,-929993000,-986000000,-1209000000,-659000000,-167000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-154909550,740825514,210080047,125810585,-653022392,-625291938,635807400,-391968913,-297921470,-320890000,694000000,488000000,1802000000,-200000000,-181000000,71000000,538000000,142000000,835000000,81000000,560000000,397000000,304000000
95,Cash Used/Provided by Financing Activities,1936910874,740825514,210128441,130051551,-649642539,-599448150,-459935600,-699169688,-847795682,-1272691000,-876000000,-1480000000,-274000000,-1218000000,-1108000000,-338000000,-303000000,-516000000,-750000000,-725000000,227000000,-128000000,-115000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,398018747,-414831531,4386292,-3918387,2407327,837290,-602600,73318563,70730612,35578000,145000000,-8000000,211000000,16000000,-67000000,182000000,263000000,-210000000,151000000,-451000000,-117000000,77000000,-68000000
98,Cash at the End of Period,414736679,870084,5252991,1361473,3759268,4618045,4006600,77316225,148474906,183674000,329000000,321000000,532000000,548000000,481000000,663000000,926000000,716000000,867000000,416000000,299000000,376000000,308000000
99,Cash at the Beginning of Period,16717933,415701615,866700,5279861,1351941,3780755,4609200,3997663,77744294,148096000,184000000,329000000,321000000,532000000,548000000,481000000,663000000,926000000,716000000,867000000,416000000,299000000,376000000
100,Free Cash Flow,-1073648951,-826008712,-177836185,82542294,678364744,664225943,507145400,848751350,926106777,1316967000,996000000,1492000000,1066000000,1205000000,1057000000,519000000,563000000,749000000,597000000,123000000,208000000,213000000,102000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096691/000115697304000566/0001156973-04-000566-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096691/000117891310000754/0001178913-10-000754-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891311000835/0001178913-11-000835-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891312000768/0001178913-12-000768-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891313000753/0001178913-13-000753-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891314000884/0001178913-14-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891315000814/0001178913-15-000814-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891316004683/0001178913-16-004683-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891317000974/0001178913-17-000974-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891318001012/0001178913-18-001012-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891319000942/0001178913-19-000942-index.htm,https://www.sec.gov/Archives/edgar/data/1096691/000117891320000927/0001178913-20-000927-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2646,0.2637,0.2837,0.2622,0.2676,0.288,0.2564,0.2567,0.259,0.2872,0.2674,0.2894,0.3108,0.3215
