,https://roic.ai/company/RCRT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,400000.00,130026.00,414048.00,1275783.00,492934.00,8551.00,-3205035.00,-2569000.00,-3133733.50,-1883041.50,-1107712.50,- -,- -,-4.50,-2.50,-2.00,-1.00,-200.00,-400.00,94.00,-24.00,-34.00,-132.00,-20.90,-8.75,-8.38
26,EPS Diluted,400000.00,130026.00,414048.00,1275783.00,492934.00,8551.00,-3205035.00,-2569000.00,-3133733.50,-1883041.50,-1107712.50,- -,- -,-4.50,-2.50,-2.00,-1.00,-200.00,-400.00,94.00,-24.00,-34.00,-132.00,-20.90,-8.75,-8.38
27,Weighted Average Shares Outstanding,2,1,1,1,1,1,1,1,2,2,2,- -,- -,6214,6214,6214,6214,5590,8837,11648,12769,12770,277990,571894,1949462,1949462
28,Weighted Average Shares Outstanding Diluted,2,1,1,1,1,1,1,1,2,2,2,- -,- -,6214,6214,6214,6214,5590,8837,11648,12769,12770,277990,571894,1949462,1949462
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1462223/000122527912000088/0001225279-12-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390013003386/0001213900-13-003386-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390014004889/0001213900-14-004889-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390015005160/0001213900-15-005160-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390016014576/0001213900-16-014576-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390017007029/0001213900-17-007029-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390018008509/0001213900-18-008509-index.html,- -,https://www.sec.gov/Archives/edgar/data/1462223/000121390021014153/0001213900-21-014153-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000165495422004330/0001654954-22-004330-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,170000,5780000,5290000,1660000,80000,980000,1210000,2310000,590000,120000,270000,- -,- -,10000,- -,- -,- -,- -,4250,13390,13250,1980,213600,306252,99906,2584
32,Short-Term Investments,- -,- -,- -,980000,3500000,1660000,1620000,1880000,2800000,280000,790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44766,1424,- -
33,Cash and Short-Term Investments,170000,5780000,5290000,2640000,3580000,2640000,2830000,4190000,3390000,400000,1060000,- -,- -,10000,- -,- -,- -,- -,4250,13390,13250,1980,213600,351018,101330,2584
34,Net Receivables,70000,200000,560000,630000,970000,430000,190000,420000,240000,410000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,864415,983966,5651
35,Inventory,220000,810000,1010000,930000,1010000,1340000,800000,900000,1480000,1020000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,210000,190000,260000,650000,250000,610000,510000,50000,20000,200000,- -,- -,- -,- -,- -,- -,80000,- -,- -,- -,- -,21650,98503,167045,595
37,Total Current Assets,660000,7000000,7050000,4460000,6210000,4660000,4430000,6020000,5160000,1850000,2000000,- -,- -,10000,- -,- -,- -,80000,4250,13390,13250,1980,235250,1313936,1252341,8830
38,PP&E,380000,700000,1090000,2200000,2980000,4350000,3910000,3460000,3860000,4510000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216810,142277,0
39,Goodwill,110000,1700000,1730000,1620000,1510000,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3517315,3517315,7719
40,Intangible Assets,50000,520000,510000,440000,360000,310000,640000,560000,480000,400000,330000,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,682500,1432554,795864,9742
41,Intangible Assets,160000,2220000,2240000,2060000,1870000,4510000,640000,560000,480000,400000,330000,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,682500,4949869,4313179,17461
42,Investments,- -,- -,- -,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82
44,Other Non-Current Assets,590000,420000,340000,340000,630000,1130000,1710000,2160000,240000,150000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82
45,Total Non-Current Assets,1130000,3340000,3670000,7700000,5480000,10010000,6260000,6180000,4580000,5060000,4930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682500,5166679,4455456,17461
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1790000,10340000,10720000,12160000,11690000,14670000,10690000,12200000,9740000,6910000,6930000,- -,- -,10000,- -,- -,- -,80000,4250,13390,13250,1980,917750,6480615,5707797,26291
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1447180,1396349,1122
49,Short-Term Debt,100000,145105,116581,80843,133756,689586,565194,564000,507366,696331,362133,- -,- -,37917,79279,106754,126004,- -,1537209,1694084,150000,507753,- -,99312,1934075,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,549575,51537,746
52,Other Current Liabilities,540000,714895,1113419,1659157,856244,860414,674806,1036000,1382634,1223669,1887867,- -,- -,2083,721,13246,13996,680000,2435651,715286,239980,313297,93890,3450684,13309293,5695
53,Total Current Liabilities,640000,860000,1230000,1740000,990000,1550000,1240000,1600000,1890000,1920000,2250000,- -,- -,40000,80000,120000,140000,680000,3972860,2409370,389980,821050,93890,5546751,16691254,7563
54,Long-Term Debt,230000,300000,270000,190000,280000,2550000,2110000,1650000,210000,1750000,720000,- -,- -,- -,- -,- -,- -,40000,- -,45000,1955930,1955930,- -,218508,73541,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-10000,- -,- -,30000,10000,660000,840000,720000,1910000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,- -,- -,67264,18728
58,Total Non-Current Liabilities,230000,300000,260000,190000,280000,2580000,2120000,2310000,1050000,2470000,2630000,- -,- -,- -,- -,- -,- -,40000,- -,45000,1955930,1955940,- -,218508,140805,18728
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,122564,143000,205874,74320,95527,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214020,140642,- -
61,Total Liabilities,870000,1160000,1490000,1930000,1270000,4130000,3360000,3910000,2940000,4390000,4880000,- -,- -,40000,80000,120000,140000,720000,3972860,2454370,2345910,2776990,93890,5765259,16832059,26291
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1696932,134,135,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,94150,260,260,260,13160,362,550,1
64,Retained Earnings,-1060000,-930000,-520000,760000,1080000,1090000,-2120000,-4690000,-10960000,-16670000,-18890000,- -,- -,-90000,-150000,-190000,-210000,-2170000,-6113960,-5010820,-5316670,-5759370,-6231210,-17488188,-34525025,-50860
65,Other Comprehensive Income/Loss,-330000,-440000,-610000,-980000,-1530000,-2260000,-3030000,-3700000,-4210000,-4920000,-5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2310000,10550000,10350000,10450000,10870000,11720000,12480000,16680000,21970000,24110000,26050000,- -,- -,60000,70000,70000,70000,1447354,2051204,2569588,2983745,2984108,5344979,18203048,23400078,66948
67,Total Stockholders Equity,920000,9180000,9220000,10230000,10420000,10550000,7330429,8294000,6798691,2519389,2057111,- -,- -,-27663,-82300,-121966,-142946,-642646,-3968606,-2440972,-2332665,-2775002,823861,715356,-11124262,16090
68,Total Liabilities And Stockholders Equity,1790000,10340000,10710000,12160000,11690000,14680000,10690429,12204000,9738691,6909389,6937111,- -,- -,12337,-2300,-1966,-2946,77354,4254,13398,13245,1988,917751,6480615,5707797,42381
69,Minority Interest,- -,- -,10000,- -,- -,-10000,-429,-4000,1309,611,-7111,- -,- -,-2337,2300,1966,2946,2646,-4,-8,5,-8,-1,- -,- -,-16090
70,Total Liabilities & Equity,1790000,10340000,10720000,12160000,11690000,14670000,10690000,12200000,9740000,6910000,6930000,- -,- -,10000,- -,- -,- -,80000,4250,13390,13250,1980,917750,6480615,5707797,26291
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1462223/000122527912000088/0001225279-12-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390013003386/0001213900-13-003386-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390014004889/0001213900-14-004889-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390015005160/0001213900-15-005160-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390016014576/0001213900-16-014576-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390017007029/0001213900-17-007029-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390018008509/0001213900-18-008509-index.html,- -,https://www.sec.gov/Archives/edgar/data/1462223/000121390021014153/0001213900-21-014153-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000165495422004330/0001654954-22-004330-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,830000,130000,410000,1280000,490000,10000,-3200000,-2570000,-6270000,-3770000,-2220000,- -,- -,-90000,-50000,-40000,-20000,-1110000,-3943250,1103140,-305850,-442700,-471840,-11812797,-17036837,-1424000
74,Depreciation and Amortization,100000,251443,387160,527054,799969,1112870,1016260,982000,865436,820746,941537,- -,- -,2945,5000,- -,- -,- -,- -,- -,- -,- -,- -,478191,687845,2741008000
75,Deferred Income Tax,-500000,59696,251144,112631,5522,43189,-1331778,-591000,1894822,32835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105200,479359,9582,- -,361,28599,4643127,3216689,17323695000
77,Change in Working Capital,190000,6120000,-320000,-3100000,2500000,-2110000,80000,1230000,-1150000,-3340000,-180000,- -,- -,220000,-50000,-40000,-20000,-460000,-3368610,1572630,2019250,-442340,960430,-4374175,-11206098,15440180
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63144,-131551,- -
79,Inventory,-100000,-722806,-197873,82407,-80343,466112,421156,-103000,-575439,642051,187926,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36761,- -,- -,- -
81,Other Working Capital,20000,6140000,5820000,2720000,5220000,3110000,3190000,4420000,3270000,-70000,-250000,- -,- -,-30000,-80000,-120000,-140000,-600000,-3968610,-2395980,-376730,-819070,141360,-4232815,-15438913,1267
82,Other Non-Cash Items,-220000,-6679726,513950,3551254,-3857971,2452118,4130230,-94000,1893495,3701136,640622,- -,- -,-182672,82747,55843,22499,1227621,6219950,-3044871,-2052048,515616,-874905,9674796,21812246,-20078719180
83,Cash Provided by Operating Activities,400000,-118587,1242254,2370939,-62480,1508177,694712,-1043000,-2766247,-2555283,-817841,- -,- -,-49727,-12253,-24157,-17501,-237179,-612551,-359519,-338648,-369063,-357716,-1390858,-2526155,- -
84,CAPEX,-100000,-312709,-547592,-1378830,-1164945,-1798899,-717515,-407000,-1322873,-247520,-108736,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57500,-14963,-50000,- -
85,Acquisitions Net,- -,-1325781,-192000,- -,- -,-1149636,- -,- -,- -,-1203587,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4074550,-2811689,-15259,-1817520,-1241000,-8342687,-4708594,-1089020,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9040,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3342092,1901427,1763685,1198000,7519941,7149842,584039,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68702,17009,- -
88,Other Investing Activites,- -,-53565,-256691,-19825,-250808,-321593,839543,213000,312065,296180,171982,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,-57500,15500,-50000,- -
89,Cash Used for Investing Activites,-100000,-1692055,-996283,-5473205,-885350,-1383960,68193,-237000,-1833554,1286321,-441735,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,-66540,80739,-32991,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,-386337,-160000,-58699,- -,-105034,-17907,- -
91,Common Stock Issued,- -,8284357,10040,12961,1140823,122000,29061,880000,4951905,1228540,19375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471373,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-377871,-321436,-1720168,- -,- -,- -,-388303,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-868008,-364199,-215582,-59032,659284,-566856,1502000,-1684173,-428178,1391122,- -,- -,65000,9150,24225,16000,238475,655504,755000,498500,416500,164500,1922253,2370707,- -
95,Cash Used/Provided by Financing Activities,-200000,7416349,-732030,-524057,-638377,781284,-537795,2382000,2879429,800362,1410497,- -,- -,65000,9150,24225,16000,238475,615504,368663,338500,357801,635873,1602219,2352800,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-200000,5605707,-486059,-3626323,-1586207,905501,225111,1102000,-1720372,-468600,150921,- -,- -,65000,-3103,68,-1501,238475,2953,9144,-148,-11262,211617,292100,-206346,- -
98,Cash at the End of Period,- -,5775276,5289217,1662894,76687,982188,1207299,2309000,588909,120309,269726,- -,- -,5273,2170,2238,737,1296,4249,13393,13245,1983,213600,306252,99906,- -
99,Cash at the Beginning of Period,100000,169569,5775276,5289217,1662894,76687,982188,1207000,2309281,588909,118805,- -,- -,- -,5273,2170,2238,- -,1296,4249,13393,13245,1983,14152,306252,99906
100,Free Cash Flow,300000,-431296,694662,992109,-1227425,-290722,-22803,-1450000,-4089120,-2802803,-926577,- -,- -,-49727,-12253,-24157,-17501,-237179,-612551,-359519,-338648,-369063,-415216,-1405821,-2576155,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1462223/000122527912000088/0001225279-12-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390013003386/0001213900-13-003386-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390014004889/0001213900-14-004889-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390015005160/0001213900-15-005160-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000121390016014576/0001213900-16-014576-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390017007029/0001213900-17-007029-index.html,https://www.sec.gov/Archives/edgar/data/1462223/000121390018008509/0001213900-18-008509-index.html,- -,https://www.sec.gov/Archives/edgar/data/1462223/000121390021014153/0001213900-21-014153-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000165495422004330/0001654954-22-004330-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
